time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro
10:48:27,-3.2537052902625874e-05,0.001532356992053489,0.026444637527068455,0.00030574768121975165,0.00023048822185955942,0.0022228898790975413,583937.5,-35.3632275,149.165188125,0.0,-2.0,2.25,1.0,STABILIZE,0.0,5.5,-994.0,0.0,0.0,0.0
10:48:29,-0.00042371434392407537,0.001133721903897822,0.025293948594480753,0.000243444912484847,0.0002544533126638271,0.0020809605484828353,583932.0,-35.3632276,149.16518818,0.0,-1.4,2.2,0.8,STABILIZE,0.0,1.25,-1000.0,0.25,0.0,0.75
10:48:31,-0.001023282005917281,0.0008928036782890558,0.02437507174909115,0.0002188856480643153,0.0002239727065898478,0.001922745257616043,583950.0,-35.3632275,149.16518806666667,0.0,-1.0,0.3333333333333333,-0.6666666666666666,STABILIZE,0.0,2.0,-999.5,0.0,0.5,0.0
10:48:33,-0.000940659039770253,0.0009017868287628517,0.02376352297142148,0.0002613245014799759,0.00030494469683617353,0.001836322364397347,583965.0,-35.3632275,149.165188,0.0,-1.0,0.25,-1.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,1.0
10:48:37,-0.0008674958565582832,0.0009747880685608834,0.022546857595443726,0.00026227311658052105,0.0002574758545961231,0.001704116565330575,583960.0,-35.363227675000005,149.165188,0.0,-1.0,1.5,0.0,STABILIZE,0.0,1.6666666666666667,-1000.0,0.3333333333333333,0.0,0.6666666666666666
10:48:41,-0.0006835034776789447,0.0009257266744195173,0.021533579876025517,0.00030476135240557295,0.0002868115746726592,0.0015350364847108722,583990.0,-35.3632277,149.16518799999997,0.8333333333333334,-1.0,1.0,-1.0,AUTO,0.0,1.1666666666666667,-1000.0,0.6666666666666666,0.0,0.16666666666666666
10:48:45,-0.000557137561069491,0.0010920854401774704,0.021086704917252064,0.00031244923593476415,0.0002972684451378882,0.0014581092012425263,583990.0,-35.36322760000001,149.16518796666665,5.5,-0.16666666666666666,0.5,-0.8333333333333334,AUTO,0.0,1.1666666666666667,-1000.0,0.3333333333333333,0.16666666666666666,0.6666666666666666
10:48:46,-0.00022945434102439322,0.0015770281315781176,0.020614222157746553,0.0003300407843198627,0.0003003413730766624,0.0013941108772996813,584000.0,-35.3632276,149.1651879,12.25,0.0,0.0,0.0,AUTO,0.0,1.75,-1000.0,0.75,0.25,0.5
10:48:47,0.0008762166107771918,0.0011180577566847205,0.020312651991844177,-0.023395273834466934,0.004428854212164879,0.0009530652459943667,584020.0,-35.3632277,149.1651879,35.5,0.0,0.0,-17.5,AUTO,0.0,-0.5,-1083.5,-23.0,5.0,0.5
10:48:48,0.019357403100002557,0.004133524016651791,0.025973312091082335,0.030042853439226747,0.0014751709531992674,0.005989046301692724,585117.5,-35.363227475,149.16518805,1133.0,0.25,7.75,-137.0,AUTO,0.0,-0.6666666666666666,-1051.3333333333333,25.666666666666668,6.333333333333333,5.666666666666667
10:48:49,0.04670961573719978,0.004115728777833283,0.025530190207064152,-0.02628880739212036,0.004339142236858606,-0.010537110967561603,586290.0,-35.3632274,149.16519069999998,2306.0,0.0,37.5,-148.5,AUTO,1.6666666666666667,-3.6666666666666665,-999.6666666666666,-2.3333333333333335,0.3333333333333333,-5.666666666666667
10:48:51,-0.038474961183965206,0.0008527530153514817,-0.06907100044190884,0.007554065901786089,0.01378084672614932,-0.03355433125398122,588802.5,-35.3632286,149.165192325,4814.0,-3.75,-14.25,-145.0,AUTO,-0.5,-1.75,-1002.75,8.0,14.5,-33.25
10:48:53,0.004511059184248249,-0.005226321557226281,-0.004135176258084054,0.002966976879785458,0.011982206022366881,-0.0029592877253890038,591553.3333333334,-35.363227916666666,149.16518838333332,7569.5,12.333333333333334,-19.166666666666668,-148.16666666666666,AUTO,-5.0,2.0,-1000.0,3.6666666666666665,12.5,-2.8333333333333335
10:48:54,0.007348116836510599,0.012032730504870415,0.0048793646128615364,0.019623014784883708,-0.001168817572761327,-0.0001373336199321784,594172.5,-35.3632261,149.1651867,10186.0,-2.5,-10.25,-151.0,AUTO,-2.6666666666666665,2.3333333333333335,-1001.6666666666666,17.0,0.3333333333333333,-0.6666666666666666
10:48:55,0.00765353674069047,0.009834673255681992,0.010310333920642734,0.002031218260526657,-0.0021081282757222652,0.0055426895851269364,595345.0,-35.36322615,149.16518595,11359.0,-10.0,-5.5,-151.0,AUTO,-0.3333333333333333,2.6666666666666665,-1002.3333333333334,11.666666666666666,-1.6666666666666667,3.3333333333333335
10:48:56,0.009545561973936856,0.0024975788583105896,0.021590961143374443,0.019153085071593523,-0.008880400098860264,-0.0032970105530694127,597272.5,-35.363226725000004,149.16518524999998,13288.0,-13.0,0.25,-150.75,AUTO,1.0,1.6666666666666667,-1001.3333333333334,16.666666666666668,-9.0,-1.6666666666666667
10:48:57,0.009389267768710852,-0.002210634294897318,0.022265175357460976,-0.005845126695930958,-0.003167096758261323,-0.010155701078474522,598430.0,-35.363227050000006,149.16518524999998,14444.0,-10.5,3.5,-150.5,AUTO,1.6666666666666667,0.3333333333333333,-1001.0,6.0,-3.0,-10.0
10:48:59,0.0027474641683511436,-0.002186570782214403,-0.01626637764275074,0.0022247432498261333,-0.0015979013260221109,-0.018050605431199074,601145.0,-35.363227249999994,149.16518614999998,17162.0,-1.5,4.5,-151.0,AUTO,0.2,-2.4,-1000.4,-0.2,1.2,-18.8
