time_stamp,MODE,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
00:31:02,AUTO,61890.0,-0.0007958899077493697,0.0009865192114375532,0.02145890984684229,0.00021048515918664634,0.00029223394813016057,0.0013723549200221896,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0,0.0,1.5,-1000.0,0.5,0.0,1.0
00:31:04,AUTO,52363.5,-0.0005562016740441322,0.0013735380489379168,0.020975681021809578,0.0003048849175684154,0.00024048247723840177,0.0014310061233118176,-35.3632621,149.1652375,0.0,0.0,0.0,1.0,0.0,1.5,-1000.0,0.0,0.5,0.5
00:31:06,AUTO,42837.0,0.0024989224039018154,0.0006380249797075521,0.020478938706219196,-0.0036479909904301167,0.004769461927935481,0.0011046600120607764,-35.3632621,149.1652375,291.0,0.0,0.0,-84.0,0.0,0.0,-1118.5,-3.5,5.0,0.5
00:31:08,AUTO,42837.0,0.05277177505195141,0.0008667050860822201,-0.01820370741188526,-0.06959424261003733,0.056960653979331255,-0.07161466032266617,-35.3632615,149.16524035,3100.0,8.5,47.0,-146.0,1.5,-9.0,-991.0,-68.0,57.5,-71.5
00:31:09,AUTO,20205.0,-0.05093665327876806,0.006299243308603764,-0.08423999883234501,-0.04398102266713977,-0.026400537928566337,-0.021258217049762607,-35.363260925,149.16524585000002,5004.25,-2.0,17.25,-148.25,3.0,-4.75,-1002.0,-43.0,-25.25,-21.0
00:31:10,AUTO,20205.0,-0.06472570449113846,-0.00924880476668477,-0.08984603732824326,0.04915531352162361,-0.001310409337747842,-0.004520062822848558,-35.363261050000006,149.16524565,6158.5,-2.0,-30.5,-148.0,-1.5,4.5,-1002.5,49.0,-1.0,-4.0
00:31:12,AUTO,20205.0,0.05949682742357254,0.009147422853857279,-0.08804064244031906,0.05496402829885483,0.0026229743962176144,0.007145544979721308,-35.363261699999995,149.16523495,9257.0,-7.5,-22.5,-152.0,-2.5,6.0,-1000.5,55.5,3.5,6.5
00:31:14,AUTO,29932.0,-0.013778302818536758,-0.004029595525935292,-0.10429210215806961,0.0032337192678824067,0.0031700313556939363,-0.023390313610434532,-35.3632624,149.16523645,12357.5,1.5,6.0,-151.0,0.5,-1.5,-1001.5,3.5,3.5,-23.5
00:31:16,AUTO,39659.0,0.008649899158626795,0.006487434962764382,-0.15041835606098175,0.003414681297726929,0.004122242098674178,-0.015046398621052504,-35.36326175,149.16523565,15466.5,0.5,-2.0,-152.0,-1.5,0.0,-1000.0,3.5,4.0,-14.5
00:31:18,AUTO,39659.0,0.004418577998876572,0.004336342681199312,-0.17894095182418823,-0.00013709478662349284,0.00015026150504127145,-0.01632707752287388,-35.3632616,149.16523575000002,18591.5,-3.0,6.0,-152.0,0.0,0.0,-1000.0,0.0,0.5,-16.0
00:31:19,AUTO,9767.0,0.0019468794052954763,0.0034001932945102453,-0.20197729766368866,-0.0014007336285430938,-0.00012087123468518257,-0.020723487716168165,-35.3632617,149.16523617500002,20540.5,-3.0,4.75,-152.0,0.0,0.0,-999.75,-0.5,0.5,-20.25
00:31:20,AUTO,9767.0,0.0019875598372891545,0.003351794322952628,-0.21707800775766373,0.0032745106145739555,0.0013233791687525809,-0.021746933460235596,-35.3632617,149.1652364,21712.0,-3.0,4.0,-152.0,0.0,0.0,-1000.0,3.5,1.5,-21.0
00:31:22,AUTO,9767.0,0.0022749691270291805,0.0023923536064103246,-0.2558973729610443,0.0009006609034258872,0.0006839172565378249,-0.018267775885760784,-35.3632619,149.1652367,24824.5,-2.0,3.0,-152.5,0.0,0.0,-999.5,1.0,1.0,-18.0
00:31:24,AUTO,27768.0,0.009563585743308067,0.0011171214282512665,-0.22142978757619858,-0.0050257781986147165,0.0006180985365062952,0.024609940126538277,-35.3632624,149.16523665,27932.5,-2.5,6.0,-152.0,0.0,0.0,-999.5,-3.5,1.5,24.0
00:31:26,AUTO,45769.0,-0.0007065391109790653,0.001596142421476543,-0.1816110461950302,8.361099753528833e-05,-0.0005679727764800191,0.01873832568526268,-35.3632624,149.16523784999998,31037.5,0.0,4.5,-152.0,0.0,-0.5,-1000.5,1.0,0.0,18.0
00:31:28,AUTO,45769.0,-0.003550361841917038,0.00539334854693152,-0.1423349231481552,-0.03966473834589124,0.04188883930328302,0.10207391995936632,-35.3632623,149.165238,34139.0,0.0,0.0,-150.0,0.0,0.0,-986.0,-38.5,42.5,101.5
00:31:29,AUTO,51098.0,-0.008451405330561101,-0.01272643287666142,0.20511949062347412,0.09097593184560537,-0.12326384522020817,0.07451043650507927,-35.363263974999995,149.165235375,35771.75,-26.0,-32.75,-100.0,2.0,9.25,-952.0,91.75,-121.75,74.5
00:31:30,AUTO,51098.0,0.04059154540300369,-0.04990193247795105,0.20211278647184372,0.02313300914829597,0.016991300974041224,-0.03477008081972599,-35.363265150000004,149.16523315,36430.0,-1.0,-9.0,-70.0,-0.5,3.0,-968.0,23.5,18.0,-34.5
00:31:32,AUTO,51098.0,0.004899397201370448,0.013687788043171167,0.15590087324380875,0.36779700964689255,0.010425059590488672,-0.014332413673400879,-35.363262,149.16523684999999,37320.5,17.5,26.0,-20.5,-1.0,1.0,-987.0,368.0,11.0,-13.5
00:31:34,AUTO,35951.0,-0.02474228199571371,-0.034308476373553276,0.1299726441502571,0.679968923330307,-0.0497187003493309,-0.00489144038874656,-35.363261050000006,149.1652381,37244.0,6.0,-22.5,7.5,-2.0,24.5,-994.5,680.5,-48.0,-4.5
00:31:36,AUTO,20804.0,0.022281506098806858,-0.11995284259319305,-0.5657902657985687,0.5733273923397064,-0.03448258340358734,-0.06273220106959343,-35.36325205,149.16522730000003,37060.5,113.5,-86.0,11.5,-29.5,0.0,-1000.5,573.5,-33.0,-62.5
00:31:38,AUTO,20804.0,0.03412668593227863,-0.1842908039689064,-0.5334051847457886,-0.43870194256305695,-0.033508993685245514,0.003646558616310358,-35.36321555,149.1651935,36556.0,291.5,-205.5,32.5,-71.0,-59.5,-990.5,-437.0,-32.0,4.0
00:31:39,AUTO,168620.0,0.05924181640148163,-0.21579448506236076,-0.5454856902360916,-0.066887766122818,-0.009228414855897427,0.017589569091796875,-35.363177375,149.16515885,36033.75,401.5,-277.75,47.25,-106.25,-54.75,-985.25,-65.75,-8.25,18.0
00:31:40,AUTO,168620.0,0.07928813621401787,-0.20319995284080505,-0.5530856251716614,0.11394839733839035,0.017251950688660145,0.020022924290969968,-35.3631491,149.16513315,35651.0,465.0,-318.0,50.5,-119.0,-57.0,-990.0,115.0,18.0,20.5
00:31:42,AUTO,168620.0,0.08465608581900597,-0.15715708583593369,-0.5544911324977875,0.2605487462133169,0.033875392749905586,-0.01405372004956007,-35.3630576,149.16505354999998,34499.0,551.0,-373.0,59.5,-145.5,-73.0,-989.5,261.0,34.0,-13.5
00:31:44,AUTO,168620.0,0.08833368122577667,-0.14086075127124786,-0.5627278983592987,0.42356039583683014,-0.0008173566311597824,-0.03781577944755554,-35.36295855,149.1649673,33220.0,560.0,-378.5,65.5,-141.0,-49.5,-993.5,425.0,0.0,-37.0
00:31:45,AUTO,15974.0,0.08887566439807415,-0.08176077157258987,-0.5662724077701569,0.29280605912208557,0.06097947806119919,-0.037530760979279876,-35.362897175,149.164914575,32444.5,538.0,-372.75,56.25,-125.25,-61.5,-997.25,294.5,61.0,-37.25
00:31:46,AUTO,15974.0,0.08844341337680817,-0.04056181386113167,-0.5670624077320099,-0.4217116590589285,0.04324686527252197,0.0383555069565773,-35.36286215,149.164884,32016.0,499.5,-348.0,54.5,-133.5,-125.0,-1001.5,-420.5,43.0,38.0
00:31:48,AUTO,15974.0,0.07687501981854439,0.04853573441505432,-0.5722121000289917,0.7582011222839355,0.024008482228964567,-0.0012457011034712195,-35.3627868,149.16481915,31027.0,334.0,-224.5,39.5,-81.5,-40.0,-1020.5,758.5,23.5,-1.0
00:31:50,AUTO,50075.0,0.0030240272972150706,0.0838145799934864,-0.5805549621582031,-0.5486280620098114,0.00881947715242859,-0.00431573879905045,-35.36274385,149.16478489999997,30471.0,141.0,-103.0,15.0,-32.5,-31.0,-1007.5,-545.0,9.0,-4.0
00:31:52,AUTO,50075.0,-0.015478245913982391,0.04015045054256916,-0.5849221050739288,0.2908592442981899,-0.023405506275594234,-0.003395640174858272,-35.3627305,149.1647758,30324.5,9.5,-33.5,0.5,-2.5,26.0,-1007.0,293.5,-23.0,-3.0
00:31:54,RTL,50075.0,0.00589473289437592,-0.005438510677777231,-0.5883626043796539,0.38965678215026855,0.012991938230697997,-0.0007463260553777218,-35.362731249999996,149.1647741,30359.0,-12.0,-18.0,0.5,-4.0,9.5,-979.5,390.0,13.0,-0.5
00:31:55,RTL,8483.0,0.028052630135789514,-0.002828167984262109,-0.5954415649175644,0.03285210579633713,0.0026515821664361283,0.006164173129945993,-35.36273295,149.16477155,30387.25,-2.5,-8.5,-6.75,-5.25,15.25,-1029.25,35.0,2.75,6.25
00:31:56,RTL,8483.0,0.039028048515319824,-1.577728835400194e-05,-0.5970397591590881,-0.1760568507015705,0.0018281412194482982,0.008863384369760752,-35.36273385,149.16476985,30521.0,6.5,3.0,-30.0,-5.0,-8.0,-1037.5,-174.5,1.5,9.5
00:31:58,RTL,8483.0,0.02262894529849291,0.005462668603286147,-0.5995803475379944,-0.04982687020674348,0.0014190348447300494,0.00592721370048821,-35.362734450000005,149.16476835,32011.5,19.5,26.0,-112.0,0.0,-3.5,-1040.0,-47.5,1.5,7.0
00:32:00,RTL,35702.0,0.05730676092207432,-0.002920796236139722,-0.6068081557750702,-0.023143631406128407,0.03308063792064786,-0.04664507694542408,-35.362731800000006,149.16477145,34894.0,41.5,43.5,-146.5,2.0,-10.0,-993.5,-20.5,33.5,-45.5
00:32:02,RTL,62921.0,-0.059107210487127304,0.007525774650275707,-0.7006382346153259,0.052519261837005615,0.0008376657497137785,-0.010907445102930069,-35.362728399999995,149.16477559999998,37952.0,-30.5,-25.0,-149.0,-2.5,4.5,-999.5,54.5,1.0,-9.5
00:32:04,RTL,62921.0,0.06152701564133167,0.01568608358502388,-0.6972232460975647,0.0349497739225626,-0.02003675722517073,0.022318644681945443,-35.362734200000006,149.16476864999998,41069.0,-27.5,-0.5,-152.5,-0.5,5.0,-999.0,37.0,-19.0,23.0
00:32:05,RTL,96856.0,-0.014598927111364901,-0.0047576240031048656,-0.6883367896080017,-0.047266580164432526,0.028282799292355776,-0.045224230736494064,-35.362733525,149.1647704,43005.25,10.0,9.5,-149.5,1.5,-6.0,-1003.5,-44.5,28.5,-43.5
00:32:06,RTL,96856.0,-0.02488834597170353,0.010085619520395994,-0.7267049849033356,0.01885295193642378,0.014429348055273294,-0.04374258778989315,-35.36273235,149.16477064999998,44173.5,1.5,-7.0,-151.5,-1.5,-2.0,-1002.5,21.0,14.5,-42.0
00:32:08,RTL,96856.0,0.006631513359025121,0.015584389679133892,-0.772523432970047,-0.0011100402334704995,-0.004282244015485048,-0.006273661274462938,-35.3627322,149.1647691,47299.0,-13.0,1.0,-152.0,0.0,0.5,-999.5,1.5,-3.0,-5.0
00:32:10,RTL,98444.0,-0.0017085286672227085,0.006413869326934218,-0.8004682958126068,-0.002826846088282764,0.00020728888921439648,-0.019415109418332577,-35.3627325,149.1647702,50420.5,-7.5,5.5,-152.0,1.0,0.0,-1000.5,-0.5,0.5,-17.5
00:32:12,RTL,100032.0,0.00011826532863778993,0.0076970483642071486,-0.8465110659599304,0.001691273064352572,0.0018382015405222774,-0.019695572555065155,-35.3627325,149.16477075,53541.0,-6.0,2.0,-152.5,0.0,0.0,-1000.0,3.5,2.5,-18.0
00:32:14,RTL,100032.0,0.0013055614836048335,0.00849934620782733,-0.8864049315452576,0.004723384394310415,0.003497426863759756,-0.00846232776530087,-35.3627325,149.1647709,56662.5,-5.0,2.5,-152.0,0.0,0.0,-1000.0,6.5,3.5,-7.0
00:32:15,RTL,29888.0,0.002276118320878595,0.009089441038668156,-0.8679137676954269,-0.002758574904873967,-0.0015167564124567434,0.025354026816785336,-35.362732449999996,149.16477135,58599.25,-4.0,5.75,-152.0,0.5,0.0,-1000.0,-0.25,-0.25,26.25
00:32:16,RTL,29888.0,-5.894464508552725e-05,0.00647349360709389,-0.845625619093577,-0.00200398126617074,-0.00263233226723969,0.024575007458527882,-35.3627324,149.1647718,59958.666666666664,-4.0,5.333333333333333,-152.0,0.0,0.0,-1000.3333333333334,0.6666666666666666,-1.0,25.333333333333332
00:32:18,RTL,29888.0,0.0001962125146140655,0.005664319886515538,-0.8068549036979675,0.0008976031094789505,0.00018369173631072044,0.019148400674263637,-35.3627324,149.1647721,62834.666666666664,-4.0,0.6666666666666666,-152.0,0.0,0.0,-1000.0,2.6666666666666665,1.0,20.0
00:32:20,RTL,6990.0,0.0027287895791232586,0.006071872388323148,-0.775827169418335,0.0013331749942153692,0.00043484320243199665,0.013248392380774021,-35.3627324,149.16477193333333,65938.33333333333,-3.0,0.0,-152.0,0.0,0.0,-1000.3333333333334,2.6666666666666665,1.3333333333333333,14.0
00:32:22,RTL,6990.0,0.003015456643576423,0.00657392805442214,-0.7522004445393881,0.00076730417398115,0.0002825022287045916,0.009397792009015879,-35.3627324,149.1647716,69041.66666666667,-2.0,1.0,-152.0,0.0,0.0,-1000.3333333333334,2.0,1.3333333333333333,10.0
00:32:24,RTL,6990.0,0.003186803078278899,0.0061041863324741525,-0.734708567460378,-0.0005783572560176253,0.000912366706567506,0.008672611943135658,-35.3627325,149.1647714,72148.0,-1.3333333333333333,1.0,-152.0,0.0,0.0,-999.6666666666666,1.3333333333333333,2.0,9.333333333333334
00:32:25,RTL,23569.0,0.0028729884264369807,0.006081855235000451,-0.7257866263389587,0.0002574043658872445,-0.0001776458229869604,0.00942430179566145,-35.3627325,149.1647714,74088.33333333333,-1.0,1.0,-152.0,0.0,0.0,-1000.0,2.0,0.6666666666666666,10.666666666666666
00:32:26,RTL,23569.0,0.0029804841615259647,0.006178887560963631,-0.7207457621892294,0.0004289351248492797,0.0004439553207096954,0.008138115052133799,-35.3627325,149.1647714,75257.0,-1.0,1.0,-152.0,0.0,0.0,-1000.0,2.3333333333333335,1.3333333333333333,9.333333333333334
00:32:28,RTL,23569.0,0.0031521477115650973,0.005969367766131957,-0.7084954977035522,0.0002133341816564401,0.0011731235232825081,0.0066802590154111385,-35.3627325,149.1647714,78358.66666666667,-1.0,1.0,-152.0,0.0,0.0,-999.6666666666666,2.0,2.3333333333333335,7.666666666666667
00:32:30,RTL,16832.5,0.0030386076929668584,0.005961753893643618,-0.6983213623364767,0.00034974084701389074,-0.00027151533868163824,0.004522046695152919,-35.3627325,149.1647714,81476.0,-1.0,1.0,-152.0,0.0,0.0,-1000.3333333333334,2.0,1.0,5.333333333333333
