,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
21:35:38.846,1.3,0.1,203.0,210.0,0.1,0.0,0.0,50.0,40.0,210.0,63.0,4.0,20.0,34.0,34.0,56.0,10.0,23.0,27.0,68.0,8.0,96.0,0.0,1.0,25.0
21:35:43.703,0.3,0.1,34.0,3015.0,0.1,0.0,0.0,70.0,80.0,110.0,100.0,35.0,14.0,41.0,88.0,6.0,106.0,14.0,2.0,15.0,17.0,38.0,0.0,1.0,50.0
21:35:48.727,1.4,0.1,42.0,650.0,0.1,0.0,0.0,10.0,130.0,190.0,8.0,16.0,9.0,2.0,69.0,17.0,7.0,60.0,33.0,29.0,114.0,68.0,0.0,1.0,35.0
21:35:53.711,1.2,0.1,176.0,980.0,0.1,0.0,0.0,100.0,70.0,240.0,11.0,65.0,10.0,13.0,60.0,12.0,10.0,7.0,25.0,48.0,37.0,42.0,0.0,1.0,15.0
21:35:59.227,0.5,0.1,32.0,1381.0,0.1,0.0,0.0,40.0,100.0,100.0,28.0,21.0,9.0,83.0,57.0,8.0,31.0,113.0,85.0,29.0,17.0,9.0,0.0,1.0,30.0
21:36:05.321,0.2,0.1,152.0,4964.0,0.1,0.0,0.0,10.0,40.0,60.0,69.0,11.0,5.0,91.0,57.0,15.0,13.0,19.0,45.0,6.0,29.0,77.0,0.0,1.0,45.0
21:36:11.076,1.8,0.1,63.0,4551.0,0.1,0.0,0.0,20.0,80.0,40.0,3.0,35.0,28.0,19.0,4.0,49.0,14.0,50.0,10.0,23.0,35.0,48.0,0.0,1.0,50.0
21:36:16.291,0.4,0.1,201.0,1500.0,0.1,0.0,0.0,20.0,40.0,30.0,6.0,52.0,33.0,12.0,69.0,9.0,76.0,60.0,30.0,60.0,75.0,17.0,0.0,1.0,25.0
21:36:20.870,0.5,0.1,28.0,4807.0,0.1,0.0,0.0,10.0,130.0,180.0,3.0,6.0,9.0,75.0,21.0,15.0,42.0,56.0,14.0,3.0,70.0,60.0,0.0,1.0,20.0
21:36:25.956,0.9,0.1,198.0,843.0,0.1,0.0,0.0,40.0,70.0,150.0,6.0,41.0,7.0,69.0,27.0,60.0,50.0,45.0,29.0,75.0,62.0,27.0,0.0,1.0,15.0
21:36:31.628,0.5,0.1,126.0,336.0,0.1,0.0,0.0,80.0,20.0,130.0,8.0,22.0,2.0,68.0,14.0,41.0,19.0,73.0,42.0,105.0,70.0,97.0,0.0,1.0,35.0
21:36:36.917,0.3,0.1,77.0,1231.0,0.1,0.0,0.0,10.0,40.0,30.0,2.0,41.0,23.0,97.0,17.0,35.0,114.0,81.0,2.0,45.0,78.0,75.0,0.0,1.0,25.0
21:36:41.723,0.2,0.1,108.0,249.0,0.1,0.0,0.0,70.0,40.0,220.0,24.0,10.0,30.0,91.0,38.0,75.0,91.0,46.0,38.0,5.0,9.0,35.0,0.0,1.0,35.0
21:36:46.793,0.7,0.1,97.0,2582.0,0.1,0.0,0.0,10.0,20.0,210.0,21.0,57.0,3.0,75.0,10.0,98.0,52.0,91.0,83.0,12.0,27.0,9.0,0.0,1.0,35.0
21:36:51.703,0.9,0.1,74.0,662.0,0.1,0.0,0.0,130.0,70.0,20.0,26.0,89.0,15.0,6.0,42.0,15.0,4.0,17.0,76.0,25.0,41.0,7.0,0.0,1.0,40.0
21:36:57.447,0.5,0.1,38.0,174.0,0.1,0.0,0.0,130.0,50.0,60.0,82.0,19.0,2.0,45.0,7.0,95.0,53.0,99.0,27.0,15.0,75.0,98.0,0.0,1.0,15.0
21:37:03.369,0.5,0.1,154.0,464.0,0.1,0.0,0.0,20.0,20.0,60.0,35.0,35.0,5.0,53.0,57.0,5.0,42.0,98.0,23.0,83.0,11.0,46.0,0.0,1.0,35.0
21:37:09.294,1.5,0.1,85.0,4270.0,0.1,0.0,0.0,130.0,10.0,10.0,38.0,44.0,5.0,80.0,90.0,5.0,21.0,11.0,15.0,60.0,9.0,53.0,0.0,1.0,20.0
21:37:14.762,0.5,0.1,97.0,852.0,0.1,0.0,0.0,70.0,10.0,220.0,58.0,32.0,2.0,90.0,2.0,25.0,15.0,38.0,50.0,83.0,92.0,38.0,0.0,1.0,25.0
21:37:19.557,0.5,0.1,38.0,3588.0,0.1,0.0,0.0,40.0,50.0,250.0,10.0,52.0,7.0,23.0,45.0,31.0,56.0,90.0,75.0,29.0,104.0,68.0,0.0,1.0,20.0
21:37:24.319,0.9,0.1,58.0,768.0,0.1,0.0,0.0,70.0,80.0,60.0,89.0,15.0,33.0,38.0,42.0,42.0,9.0,7.0,7.0,113.0,25.0,19.0,0.0,1.0,30.0
21:37:29.214,0.4,0.1,43.0,3482.0,0.1,0.0,0.0,10.0,10.0,160.0,89.0,73.0,13.0,29.0,21.0,62.0,13.0,92.0,73.0,9.0,5.0,15.0,0.0,1.0,25.0
21:37:35.546,0.5,0.1,44.0,1161.0,0.1,0.0,0.0,20.0,40.0,20.0,47.0,3.0,28.0,34.0,14.0,75.0,41.0,101.0,58.0,29.0,25.0,74.0,0.0,1.0,20.0
21:37:40.212,1.1,0.1,147.0,2846.0,0.1,0.0,0.0,100.0,20.0,60.0,22.0,6.0,14.0,75.0,15.0,30.0,88.0,45.0,29.0,23.0,66.0,84.0,0.0,1.0,30.0
21:37:44.977,0.3,0.1,36.0,462.0,0.1,0.0,0.0,50.0,80.0,80.0,38.0,57.0,12.0,69.0,96.0,77.0,12.0,93.0,23.0,53.0,45.0,5.0,0.0,1.0,35.0
21:37:49.875,1.4,0.1,106.0,688.0,0.1,0.0,0.0,10.0,10.0,80.0,68.0,6.0,5.0,30.0,69.0,84.0,71.0,53.0,3.0,25.0,86.0,17.0,0.0,1.0,20.0
21:37:55.139,1.5,0.1,186.0,883.0,0.1,0.0,0.0,40.0,50.0,60.0,24.0,2.0,25.0,31.0,56.0,25.0,74.0,31.0,5.0,56.0,60.0,2.0,0.0,1.0,30.0
21:38:00.359,1.1,0.1,128.0,1293.0,0.1,0.0,0.0,40.0,70.0,20.0,35.0,71.0,26.0,45.0,23.0,15.0,105.0,49.0,34.0,34.0,15.0,37.0,0.0,1.0,35.0
21:38:05.014,1.2,0.1,69.0,3143.0,0.1,0.0,0.0,20.0,70.0,110.0,24.0,68.0,13.0,98.0,9.0,49.0,23.0,9.0,33.0,9.0,56.0,19.0,0.0,1.0,35.0
21:38:10.332,0.3,0.1,152.0,3922.0,0.1,0.0,0.0,10.0,40.0,120.0,53.0,25.0,7.0,99.0,34.0,23.0,23.0,53.0,3.0,70.0,88.0,75.0,0.0,1.0,20.0
21:38:15.022,1.2,0.1,34.0,1299.0,0.1,0.0,0.0,20.0,50.0,130.0,28.0,16.0,4.0,30.0,4.0,38.0,96.0,7.0,39.0,21.0,5.0,74.0,0.0,1.0,50.0
21:38:20.399,0.4,0.1,79.0,2471.0,0.1,0.0,0.0,40.0,20.0,60.0,32.0,19.0,2.0,38.0,12.0,23.0,11.0,23.0,118.0,57.0,11.0,5.0,0.0,1.0,35.0
21:38:24.802,0.5,0.1,117.0,3933.0,0.1,0.0,0.0,70.0,10.0,80.0,15.0,35.0,10.0,91.0,25.0,69.0,53.0,38.0,73.0,7.0,7.0,38.0,0.0,1.0,45.0
21:38:29.900,0.4,0.1,43.0,663.0,0.1,0.0,0.0,70.0,20.0,110.0,57.0,12.0,2.0,98.0,4.0,83.0,19.0,7.0,89.0,60.0,90.0,42.0,0.0,1.0,30.0
21:38:35.922,0.5,0.1,64.0,3270.0,0.1,0.0,0.0,40.0,40.0,100.0,32.0,19.0,25.0,100.0,19.0,58.0,90.0,6.0,23.0,29.0,75.0,49.0,0.0,1.0,50.0
21:38:41.526,0.9,0.1,101.0,2668.0,0.1,0.0,0.0,10.0,50.0,40.0,41.0,19.0,9.0,83.0,63.0,12.0,104.0,12.0,8.0,68.0,53.0,19.0,0.0,1.0,20.0
21:38:46.328,1.4,0.1,50.0,4261.0,0.1,0.0,0.0,100.0,40.0,40.0,80.0,11.0,3.0,93.0,35.0,21.0,39.0,19.0,15.0,29.0,85.0,8.0,0.0,1.0,40.0
21:38:50.506,0.7,0.1,38.0,1412.0,0.1,0.0,0.0,130.0,20.0,120.0,55.0,88.0,3.0,97.0,11.0,21.0,119.0,104.0,6.0,30.0,49.0,23.0,0.0,1.0,35.0
21:38:55.224,0.2,0.1,179.0,2600.0,0.1,0.0,0.0,20.0,10.0,240.0,11.0,96.0,31.0,108.0,67.0,2.0,5.0,99.0,45.0,12.0,39.0,90.0,0.0,1.0,30.0
21:39:00.314,0.7,0.1,48.0,2482.0,0.1,0.0,0.0,20.0,20.0,80.0,21.0,86.0,7.0,23.0,43.0,2.0,93.0,75.0,52.0,21.0,45.0,33.0,0.0,1.0,30.0
21:39:04.901,0.4,0.1,110.0,2532.0,0.1,0.0,0.0,10.0,40.0,10.0,87.0,6.0,30.0,90.0,107.0,38.0,29.0,65.0,108.0,5.0,48.0,14.0,0.0,1.0,30.0
21:39:09.717,0.9,0.1,55.0,1058.0,0.1,0.0,0.0,70.0,70.0,160.0,76.0,13.0,30.0,62.0,73.0,2.0,31.0,3.0,49.0,52.0,15.0,60.0,0.0,1.0,15.0
21:39:14.465,0.7,0.1,164.0,2893.0,0.1,0.0,0.0,10.0,80.0,210.0,64.0,94.0,4.0,83.0,2.0,19.0,68.0,115.0,76.0,60.0,6.0,37.0,0.0,1.0,20.0
21:39:19.125,1.4,0.1,96.0,1053.0,0.1,0.0,0.0,40.0,100.0,190.0,1.0,83.0,5.0,5.0,70.0,6.0,48.0,25.0,19.0,46.0,11.0,8.0,0.0,1.0,45.0
21:39:24.416,0.4,0.1,238.0,2719.0,0.1,0.0,0.0,40.0,100.0,80.0,37.0,37.0,35.0,3.0,31.0,12.0,11.0,86.0,53.0,65.0,5.0,58.0,0.0,1.0,20.0
21:39:28.990,0.2,0.1,228.0,365.0,0.1,0.0,0.0,100.0,70.0,20.0,21.0,52.0,9.0,43.0,56.0,25.0,98.0,88.0,50.0,45.0,4.0,41.0,0.0,1.0,35.0
21:39:33.769,0.4,0.1,101.0,2151.0,0.1,0.0,0.0,70.0,10.0,240.0,56.0,16.0,7.0,99.0,29.0,48.0,7.0,101.0,45.0,4.0,74.0,98.0,0.0,1.0,40.0
21:39:39.636,0.3,0.1,68.0,2039.0,0.1,0.0,0.0,40.0,40.0,10.0,3.0,89.0,28.0,5.0,31.0,3.0,53.0,3.0,62.0,6.0,115.0,27.0,0.0,1.0,20.0
21:39:44.362,0.2,0.1,36.0,2519.0,0.1,0.0,0.0,40.0,40.0,120.0,4.0,38.0,9.0,42.0,90.0,96.0,25.0,14.0,67.0,100.0,3.0,60.0,0.0,1.0,45.0
21:39:48.831,1.5,0.1,95.0,1373.0,0.1,0.0,0.0,70.0,50.0,10.0,58.0,6.0,14.0,38.0,66.0,15.0,34.0,73.0,57.0,3.0,54.0,27.0,0.0,1.0,30.0
21:39:53.686,0.9,0.1,41.0,1554.0,0.1,0.0,0.0,40.0,10.0,30.0,38.0,52.0,4.0,89.0,39.0,9.0,29.0,99.0,69.0,73.0,62.0,74.0,0.0,1.0,40.0
21:39:59.171,0.4,0.1,31.0,2985.0,0.1,0.0,0.0,100.0,50.0,40.0,52.0,52.0,15.0,23.0,112.0,19.0,70.0,42.0,48.0,48.0,4.0,15.0,0.0,1.0,30.0
21:40:04.375,0.9,0.1,46.0,1931.0,0.1,0.0,0.0,10.0,10.0,210.0,21.0,50.0,35.0,93.0,37.0,58.0,57.0,118.0,53.0,73.0,9.0,3.0,0.0,1.0,40.0
21:40:08.598,0.5,0.1,56.0,3518.0,0.1,0.0,0.0,40.0,50.0,220.0,24.0,82.0,7.0,27.0,9.0,33.0,57.0,42.0,42.0,11.0,65.0,68.0,0.0,1.0,25.0
21:40:13.544,1.3,0.1,28.0,396.0,0.1,0.0,0.0,10.0,20.0,30.0,76.0,41.0,18.0,58.0,77.0,35.0,54.0,98.0,89.0,49.0,48.0,21.0,0.0,1.0,30.0
21:40:18.392,0.3,0.1,179.0,356.0,0.1,0.0,0.0,40.0,70.0,80.0,50.0,44.0,23.0,3.0,118.0,60.0,86.0,6.0,30.0,21.0,35.0,8.0,0.0,1.0,15.0
21:40:22.981,0.5,0.1,231.0,1642.0,0.1,0.0,0.0,50.0,10.0,60.0,88.0,8.0,4.0,113.0,17.0,76.0,12.0,68.0,83.0,37.0,30.0,68.0,0.0,1.0,45.0
21:40:27.689,0.9,0.1,157.0,426.0,0.1,0.0,0.0,70.0,70.0,80.0,48.0,52.0,10.0,69.0,21.0,11.0,38.0,54.0,38.0,9.0,108.0,7.0,0.0,1.0,40.0
