time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT,lat,lon,relative_alt,vx,vy,vz
21:32:37,0.0,1.3333333333333333,-1000.0,1.0,0.0,0.6666666666666666,AUTO,-0.0010891860583797097,0.001006460515782237,0.02070021318892638,0.0002504293030748765,0.00023034913465380669,0.0013945357641205192,1500.0,-35.3632622,149.1652375,3.6666666666666665,-1.0,1.0,1.0
21:32:39,0.0,1.3333333333333333,-1000.0,1.0,0.0,0.6666666666666666,AUTO,-0.0005777377324799696,0.0013638622670744855,0.020309753095110256,0.00029211111056307953,0.0002790194897291561,0.001447714554766814,1500.0,-35.3632622,149.16523746666667,0.0,0.0,0.0,2.0
21:32:41,0.0,0.0,-1126.0,-1.3333333333333333,2.3333333333333335,0.6666666666666666,AUTO,0.0035868513708313308,0.00023613198330470672,0.01979483353594939,-0.002251441706903279,0.001894313454007109,0.0014953838544897735,1500.0,-35.36326213333333,149.16523746666667,198.0,0.0,0.0,-65.33333333333333
21:32:43,0.6666666666666666,-6.666666666666667,-995.6666666666666,-14.666666666666666,31.666666666666668,-40.0,AUTO,0.054014316449562706,-0.0031014795725544295,-0.003943090947965781,-0.015025489032268524,0.031010269808272522,-0.03999053609247009,1500.0,-35.363261599999994,149.16523966666668,2894.6666666666665,7.333333333333333,39.666666666666664,-147.33333333333334
21:32:45,-0.3333333333333333,2.6666666666666665,-1001.0,4.0,-13.666666666666666,-1.6666666666666667,AUTO,-0.06748982394735019,-0.008066141977906227,-0.09020294497410457,0.003067292273044586,-0.014684666336203614,-0.0015577184967696667,1500.0,-35.36326103333334,149.165246,5975.0,-3.0,-19.333333333333332,-149.0
21:32:47,-4.0,8.0,-1002.3333333333334,61.666666666666664,7.0,3.6666666666666665,AUTO,0.04978064075112343,0.007628281290332477,-0.09071201086044312,0.061426907777786255,0.00703589734621346,0.004380646627396345,1500.0,-35.36326163333334,149.16523553333332,9084.0,-6.0,-31.333333333333332,-153.66666666666666
21:32:49,1.0,-1.6666666666666667,-1001.6666666666666,-3.3333333333333335,2.6666666666666665,-22.666666666666668,AUTO,-0.0128678431113561,-0.003940688523774345,-0.1012992411851883,-0.004123614480098088,0.0027217899332754314,-0.023174025118350983,1500.0,-35.3632624,149.16523623333333,12193.333333333334,1.6666666666666667,9.0,-151.66666666666666
21:32:52,0.0,0.0,-1000.0,-2.0,-0.3333333333333333,-13.333333333333334,AUTO,0.007425890925029914,0.005688735283911228,-0.16629497706890106,-0.002982770170395573,-0.0014408811305960019,-0.013605605500439802,1500.0,-35.3632616,149.1652355,17291.333333333332,-1.6666666666666667,3.3333333333333335,-153.0
21:32:54,0.0,0.0,-1000.0,0.0,1.0,-20.333333333333332,AUTO,0.002379785602291425,0.003703446825966239,-0.1999696840842565,-0.0008203662388647596,0.0007003769472551843,-0.02030087945361932,1500.0,-35.3632617,149.1652361,20422.333333333332,-3.0,5.0,-154.0
21:32:56,0.0,0.0,-1000.0,0.0,1.0,-20.5,AUTO,0.0017448249661053221,0.0028422274626791477,-0.2397339791059494,0.0009757798785964648,0.00021675178625931343,-0.0202848178644975,1500.0,-35.3632618,149.1652366,23555.0,-2.0,3.0,-154.0
21:32:58,0.0,0.6666666666666666,-999.3333333333334,14.333333333333334,-1.3333333333333333,23.666666666666668,AUTO,0.00916062838708361,0.0029987788293510675,-0.2398675481478373,0.013854222372174263,-0.002549355694403251,0.02426685330768426,1500.0,-35.3632622,149.1652365333333,26680.666666666668,-4.666666666666667,0.0,-154.0
21:33:00,0.0,-1.0,-1000.3333333333334,-3.6666666666666665,1.0,19.666666666666668,AUTO,0.001184645931061823,0.0017678071356688936,-0.1947247882684072,-0.004998131189495325,0.0004510093325128158,0.020164957890907925,1500.0,-35.3632624,149.1652374,29799.333333333332,0.0,7.666666666666667,-153.0
21:33:02,0.0,0.0,-1000.3333333333334,3.0,1.3333333333333333,15.0,AUTO,0.0004565633134916425,0.0011112592571104567,-0.1616030881802241,0.0024126963689923286,0.0008238112980810305,0.01578945169846217,1500.0,-35.3632623,149.165238,32918.333333333336,0.0,0.6666666666666666,-153.66666666666666
21:33:04,0.0,0.0,-1000.0,1.6666666666666667,1.0,10.333333333333334,AUTO,0.0017341827042400837,0.0011337289276222389,-0.13682634135087332,0.0005571803776547313,0.0005196862233181795,0.010977834152678648,1500.0,-35.3632622,149.16523786666667,36038.0,0.0,0.0,-153.0
21:33:06,0.0,0.0,-1000.5,4.0,1.0,8.5,AUTO,0.0024676871641228595,0.0016330473978693287,-0.1183253675699234,0.000618078939927121,0.00019132999780898294,0.00817110730955998,1500.0,-35.3632621,149.16523753333334,39163.666666666664,0.0,0.0,-153.0
21:33:08,0.0,0.0,-1000.0,2.5,2.0,6.5,AUTO,0.002157888375222683,0.0015735093426580231,-0.10409324119488399,0.001142832450568676,0.000757452294540902,0.007486297438542048,1500.0,-35.363262,149.1652374,42280.666666666664,-1.0,1.0,-153.0
21:33:10,0.0,0.0,-1000.0,1.0,1.5,6.5,AUTO,0.0017843239863092701,0.0011310557990024488,-0.09192646046479543,0.00010023285479595263,0.0002007191457475225,0.006768747853736083,1500.0,-35.363262,149.1652373,45399.333333333336,-1.0,1.0,-153.0
21:33:12,3.5,5.5,-940.0,49.5,-152.5,318.0,AUTO,-0.037570602260529995,0.02624574862420559,0.24083427091439566,0.06676207948476076,-0.15131081144014993,0.24602988610665003,1500.0,-35.36326270000001,149.1652363,48205.5,-27.0,-28.0,-120.5
