,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
06:08:50.271,200.0,0.0,0.8,-10.0,0.25,0.0,0.0,9895.0,1000.0,1.0,0.1,50.0,50.0,0.0,0.0
06:08:54.296,24674.0,0.2,0.7,-5.5,0.25,5.1,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,805.0,0.0
06:08:58.320,94209.0,0.0,0.8,9.1,0.25,3.4,0.0,0.0,480.0,1.0,0.1,50.0,50.0,131.0,0.0
06:09:02.342,169229.0,0.3,0.0,-3.8,0.25,4.5,0.0,14635.0,0.0,1.0,0.1,50.0,50.0,657.0,0.0
06:09:06.383,300000.0,1.1,1.1,-5.6,0.25,5.1,0.0,32000.0,230.0,1.0,0.1,50.0,50.0,0.0,0.0
06:09:10.413,197481.0,0.6,2.0,7.7,0.25,5.0,0.0,22007.0,20.0,1.0,0.1,50.0,50.0,1000.0,0.0
06:09:14.426,200.0,0.5,2.0,10.1,0.25,1.5,0.0,12299.0,1000.0,1.0,0.1,50.0,50.0,688.0,0.0
06:09:18.451,200.0,0.0,0.1,-2.2,0.25,5.1,0.0,26089.0,1000.0,1.0,0.1,50.0,50.0,527.0,0.0
06:09:22.480,130948.0,0.9,1.0,10.1,0.25,5.1,0.0,5483.0,700.0,1.0,0.1,50.0,50.0,0.0,0.0
06:09:26.512,300000.0,0.1,0.0,6.9,0.25,5.1,0.0,298.0,1000.0,1.0,0.1,50.0,50.0,596.0,0.0
06:09:30.025,200.0,0.0,1.1,0.3,0.25,5.1,0.0,0.0,1000.0,1.0,0.1,50.0,50.0,245.0,0.0
06:09:34.048,155993.0,0.8,2.0,-4.4,0.25,2.0,0.0,23017.0,600.0,1.0,0.1,50.0,50.0,284.0,0.0
06:09:38.090,238919.0,1.0,1.9,-7.5,0.25,5.1,0.0,2184.0,790.0,1.0,0.1,50.0,50.0,1000.0,0.0
06:09:42.118,300000.0,1.0,0.0,10.1,0.25,2.4,0.0,24600.0,990.0,1.0,0.1,50.0,50.0,776.0,0.0
06:09:46.147,196153.0,0.5,1.7,-10.0,0.25,4.6,0.0,0.0,740.0,1.0,0.1,50.0,50.0,659.0,0.0
06:09:50.171,179122.0,0.3,0.0,-10.0,0.25,3.0,0.0,32000.0,360.0,1.0,0.1,50.0,50.0,449.0,0.0
06:09:54.193,200.0,0.9,2.0,1.8,0.25,0.4,0.0,12253.0,0.0,1.0,0.1,50.0,50.0,49.0,0.0
06:09:58.222,269994.0,0.8,2.0,-5.7,0.25,5.1,0.0,0.0,0.0,1.0,0.1,50.0,50.0,786.0,0.0
06:10:02.242,33342.0,0.1,2.0,-10.0,0.25,2.6,0.0,26024.0,1000.0,1.0,0.1,50.0,50.0,224.0,0.0
06:10:06.272,300000.0,1.1,0.2,10.1,0.25,3.5,0.0,7145.0,1000.0,1.0,0.1,50.0,50.0,105.0,0.0
06:10:10.284,200.0,0.5,0.0,0.6,0.25,1.7,0.0,0.0,520.0,1.0,0.1,50.0,50.0,0.0,0.0
06:10:14.313,135460.0,0.2,0.9,1.7,0.25,0.3,0.0,30495.0,570.0,1.0,0.1,50.0,50.0,1000.0,0.0
