time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,alt,lat,lon,relative_alt,vx,vy,vz,MODE,RTL_ALT,EK2_ALT_SOURCE,xacc,yacc,zacc,xgyro,ygyro,zgyro
10:48:56,0.15056918002665043,0.036911961098667234,-0.2833753377199173,0.07209403603337705,-0.09504476096481085,0.03617243003100157,604.7874755859375,604787.5,-35.36328485,149.1652135,20843.5,-155.5,43.75,-142.5,AUTO,1500.0,0.0,28.25,21.5,-1006.0,72.5,-93.75,35.25
10:49:35,0.061819203197956085,0.05386318303644657,2.959482192993164,0.16506247259676457,-0.08420489309355617,0.028916815295815468,634.0599853515625,634060.0,-35.363576019999996,149.16533614,50113.6,-308.0,71.6,12.6,AUTO,1500.0,0.0,-63.2,-61.4,-990.6,156.0,-82.6,30.0
10:50:00,-0.005812629514063398,0.12446113551656406,2.9091774225234985,-0.22561029344797134,0.04675890194873015,-0.000718731782399118,633.9199829101562,633920.0,-35.3639411,149.16545035,49974.333333333336,130.16666666666666,-37.166666666666664,0.3333333333333333,RTL,1500.0,0.0,25.333333333333332,8.0,-1004.5,-225.0,49.333333333333336,0.6666666666666666
10:50:11,-0.03541474491357803,0.1882752116769552,2.930033254623413,-0.1126672999933362,-0.16344341561198233,-0.0095984251704067,633.8579833984375,633858.0,-35.363530299999994,149.1653231,49913.8,436.2,-129.4,3.6,RTL,1500.0,0.0,94.8,49.4,-1036.6,-110.4,-160.2,-7.4
10:50:33,-0.00972293820232153,0.0024798525497317313,2.940717935562134,-0.5689046800136566,-0.0011562044266611338,-0.0007515772478654981,633.8799926757813,633880.0,-35.36326176,149.16523618000002,49935.4,0.2,12.2,17.8,RTL,1500.0,0.0,-1.2,-12.4,-956.6,-562.2,2.0,1.0
10:50:35,0.02077935729175806,0.0033808680018410087,2.940407156944275,1.6661498546600342,-0.0021981308818794787,-0.005553130409680307,632.3299763997396,632180.0,-35.3632621,149.16523695,48233.5,0.0,2.0,112.5,RTL,1500.0,0.0,0.6666666666666666,55.666666666666664,-1052.6666666666667,1518.6666666666667,2.3333333333333335,-2.6666666666666665
10:51:11,-0.022204147341350716,0.0009507855963117132,2.940643072128296,-1.3445398211479187,-0.00162396184168756,-0.0032306587866817913,598.5033264160156,598503.3333333334,-35.36326275,149.16523528333332,14558.666666666666,7.333333333333333,21.333333333333332,103.0,RTL,1500.0,0.0,-1.3333333333333333,-47.0,-993.5,-1341.8333333333333,2.5,-1.0
10:51:18,0.008001403883099556,0.005561875179409981,2.9402804374694824,0.946586012840271,0.005387432407587767,0.0038319677114486694,593.3349914550781,593335.0,-35.36326235,149.1652383,9387.0,0.0,-13.0,27.5,RTL,1500.0,0.0,1.5,40.0,-1003.5,846.0,5.5,3.5
10:51:39,-0.008134999917820096,0.001979614328593016,2.940661334991455,-0.6174894280731678,0.0009229921735823155,-0.0004095091251656413,589.8039916992187,589804.0,-35.3632625,149.16523632000002,5858.2,2.4,11.0,33.8,RTL,1500.0,0.0,-0.8,-30.4,-992.0,-619.4,5.4,2.0
10:51:49,0.01236460660584271,0.007405535667203367,2.940662384033203,0.44892453867942095,0.004351202631369233,0.005978490691632032,586.3949890136719,586395.0,-35.36326225,149.16523935,2448.25,-2.25,-22.25,33.75,RTL,1500.0,0.0,2.5,-3.5,-1003.0,442.25,8.5,8.25
