,A.LAND1
11:14:59.375,-1.0
11:14:59.577,-1.0
11:14:59.780,-1.0
11:14:59.982,-1.0
11:15:00.185,-1.0
11:15:00.386,-1.0
11:15:00.589,-1.0
11:15:00.790,-1.0
11:15:00.994,-1.0
11:15:01.196,-1.0
11:15:01.400,-1.0
11:15:01.602,-1.0
11:15:01.804,-1.0
11:15:02.011,-1.0
11:15:02.213,-1.0
11:15:02.415,-1.0
11:15:02.619,-1.0
11:15:02.822,-1.0
11:15:03.026,-1.0
11:15:03.228,-1.0
11:15:03.429,-1.0
11:15:03.631,-1.0
11:15:03.833,-1.0
11:15:04.034,-1.0
11:15:04.237,-1.0
11:15:04.440,-1.0
11:15:04.644,-1.0
11:15:04.846,-1.0
11:15:05.050,-1.0
11:15:05.253,-1.0
11:15:05.457,-1.0
11:15:05.659,-1.0
11:15:05.862,-1.0
11:15:06.066,-1.0
11:15:06.268,-1.0
11:15:06.470,-1.0
11:15:06.675,-1.0
11:15:06.878,-1.0
11:15:07.080,-1.0
11:15:07.284,-1.0
11:15:07.487,-1.0
11:15:07.688,-1.0
11:15:07.890,-1.0
11:15:08.092,-1.0
11:15:08.295,-1.0
11:15:08.498,-1.0
11:15:08.701,-1.0
11:15:08.903,-1.0
11:15:09.107,-1.0
11:15:09.309,-1.0
11:15:09.510,-1.0
11:15:09.713,-1.0
11:15:09.919,-1.0
11:15:10.124,-1.0
11:15:10.327,-1.0
11:15:10.529,-1.0
11:15:10.731,-1.0
11:15:10.934,-1.0
11:15:11.136,-1.0
11:15:11.339,-1.0
11:15:11.541,-1.0
11:15:11.742,-1.0
11:15:11.947,-1.0
11:15:12.153,-1.0
11:15:12.356,-1.0
11:15:12.558,-1.0
11:15:12.760,-1.0
11:15:12.963,-1.0
11:15:13.166,-1.0
11:15:13.371,-1.0
11:15:13.572,-1.0
11:15:13.774,-1.0
11:15:13.980,-1.0
11:15:14.183,-1.0
11:15:14.387,-1.0
11:15:14.592,-1.0
11:15:14.794,-1.0
11:15:14.996,-1.0
11:15:15.197,-1.0
11:15:15.402,-1.0
11:15:15.604,-1.0
11:15:15.805,-1.0
11:15:16.009,-1.0
11:15:16.211,-1.0
11:15:16.412,-1.0
11:15:16.615,-1.0
11:15:16.818,-1.0
11:15:17.022,-1.0
11:15:17.225,-1.0
11:15:17.427,-1.0
11:15:17.628,-1.0
11:15:17.829,-1.0
11:15:18.032,-1.0
11:15:18.234,-1.0
11:15:18.437,-1.0
11:15:18.640,-1.0
11:15:18.842,-1.0
11:15:19.046,-1.0
11:15:19.248,-1.0
11:15:19.451,-1.0
11:15:19.655,-1.0
11:15:19.858,-1.0
11:15:20.060,-1.0
11:15:20.262,-1.0
11:15:20.464,-1.0
11:15:20.668,-1.0
11:15:20.872,-1.0
11:15:21.075,-1.0
11:15:21.279,-1.0
11:15:21.481,-1.0
11:15:21.683,-1.0
11:15:21.884,-1.0
11:15:22.094,-1.0
11:15:22.296,-1.0
11:15:22.497,-1.0
11:15:22.701,-1.0
11:15:22.903,-1.0
11:15:23.106,-1.0
11:15:23.308,-1.0
11:15:23.511,-1.0
11:15:23.713,-1.0
11:15:23.916,-1.0
11:15:24.121,-1.0
11:15:24.324,-1.0
11:15:24.525,-1.0
11:15:24.729,-1.0
11:15:24.931,-1.0
11:15:25.132,-1.0
11:15:25.333,-1.0
11:15:25.537,-1.0
11:15:25.739,-1.0
11:15:25.943,-1.0
11:15:26.145,-1.0
11:15:26.346,-1.0
11:15:26.552,-1.0
11:15:26.754,-1.0
11:15:26.963,-1.0
11:15:27.164,-1.0
11:15:27.366,-1.0
11:15:27.568,-1.0
11:15:27.769,-1.0
11:15:27.972,-1.0
11:15:28.175,-1.0
11:15:28.379,-1.0
11:15:28.581,-1.0
11:15:28.783,-1.0
11:15:28.985,-1.0
11:15:29.188,-1.0
11:15:29.390,-1.0
11:15:29.592,-1.0
11:15:29.794,-1.0
11:15:29.999,-1.0
11:15:30.202,-1.0
11:15:30.406,-1.0
11:15:30.607,-1.0
11:15:30.812,-1.0
11:15:31.014,-1.0
11:15:31.218,-1.0
11:15:31.421,-1.0
11:15:31.623,-1.0
11:15:31.825,-1.0
11:15:32.027,-1.0
11:15:32.229,-1.0
11:15:32.431,-1.0
