time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,LAND_SPEED_HIGH,WPNAV_SPEED_DN,RTL_ALT
21:01:04.703,GUIDED,-35.3632621,149.1652374,50,0.0003957105800509453,0.0013178617227822542,0.029729222878813744,0.0003251859452575445,0.00013812267570756376,0.0025599482469260693,0,1,-1000,0,0,0,0,0,0,0.0,150.0,1500.0
21:01:04.904,GUIDED,-35.3632621,149.1652374,48,0.00044618992251344025,0.001373161911033094,0.029544971883296967,0.0002930792688857764,0.00023275165585801005,0.002497556619346142,0,1,-1000,0,0,0,0,0,-3,0.0,150.0,1500.0
21:01:05.104,GUIDED,-35.3632621,149.1652374,43,0.0005173512035980821,0.0014268668601289392,0.029330875724554062,0.0003857276460621506,0.00023354325094260275,0.0025595305487513542,0,1,-1000,0,0,0,0,0,-3,0.0,150.0,1500.0
21:01:05.305,GUIDED,-35.3632621,149.1652374,38,0.0005814178148284554,0.0014820583164691925,0.029110785573720932,0.00036364072002470493,0.00021101173479110003,0.0023938817903399467,0,1,-1000,0,0,0,-1,0,-2,0.0,150.0,1500.0
21:01:05.506,GUIDED,-35.3632621,149.1652374,34,0.0006375180091708899,0.0015178188914433122,0.028914788737893105,0.00031537195900455117,0.00018772156909108162,0.0023721118923276663,0,1,-1000,0,0,1,-1,0,-2,0.0,150.0,1500.0
21:01:05.706,GUIDED,-35.3632621,149.1652374,34,0.0006375180091708899,0.0015178188914433122,0.028914788737893105,0.00031537195900455117,0.00018772156909108162,0.0023721118923276663,0,1,-1000,0,0,1,-1,0,-2,0.0,150.0,1500.0
21:01:05.907,GUIDED,-35.3632621,149.1652374,29,0.0006670798175036907,0.0015390340704470873,0.02870328165590763,0.00037967885145917535,0.0002894527860917151,0.002426605438813567,0,1,-1000,0,0,0,-1,1,-1,0.0,150.0,1500.0
21:01:06.108,GUIDED,-35.3632621,149.1652374,29,0.0006670798175036907,0.0015390340704470873,0.02870328165590763,0.00037967885145917535,0.0002894527860917151,0.002426605438813567,0,1,-1000,0,0,0,-1,1,-1,0.0,150.0,1500.0
21:01:06.309,GUIDED,-35.3632621,149.1652374,29,0.0006670798175036907,0.0015390340704470873,0.02870328165590763,0.00037967885145917535,0.0002894527860917151,0.002426605438813567,0,1,-1000,0,0,0,-1,1,-1,0.0,150.0,1500.0
21:01:06.510,GUIDED,-35.3632621,149.1652374,29,0.0006670798175036907,0.0015390340704470873,0.02870328165590763,0.00037967885145917535,0.0002894527860917151,0.002426605438813567,0,1,-1000,0,0,0,-1,1,-1,0.0,150.0,1500.0
21:01:06.710,GUIDED,-35.3632621,149.1652374,19,0.0006609210977330804,0.001542641781270504,0.02809274010360241,0.00020864003454335034,0.0003310573229100555,0.0023314408026635647,0,1,-1000,0,0,1,-1,2,0,0.0,150.0,1500.0
21:01:06.911,GUIDED,-35.3632621,149.1652375,16,0.0006084138294681907,0.0015116919530555606,0.027894580736756325,0.0001870304113253951,0.00017474827473051846,0.0022742205765098333,0,1,-1000,0,0,0,-1,2,0,0.0,150.0,1500.0
21:01:07.113,GUIDED,-35.3632621,149.1652375,3,0.000548271753359586,0.0014793958980590105,0.027682794257998466,0.00036597056896425784,0.00038473965832963586,0.0022784420289099216,0,1,-1000,0,0,0,-2,2,0,0.0,150.0,1500.0
21:01:07.314,GUIDED,-35.3632622,149.1652375,2,0.0004695181851275265,0.0014521144330501556,0.027513226494193077,0.0003387998731341213,0.0004509895225055516,0.002469690516591072,0,1,-1000,0,0,0,-2,2,0,0.0,150.0,1500.0
21:01:07.515,GUIDED,-35.3632622,149.1652375,1,0.00039336030022241175,0.0014117213431745768,0.02733471803367138,0.00023842649534344673,0.0003381363640073687,0.002104411134496331,0,1,-1000,0,0,0,-1,2,0,0.0,150.0,1500.0
21:01:07.715,GUIDED,-35.3632622,149.1652375,1,0.00039336030022241175,0.0014117213431745768,0.02733471803367138,0.00023842649534344673,0.0003381363640073687,0.002104411134496331,0,1,-1000,0,0,0,-1,2,0,0.0,150.0,1500.0
21:01:07.916,GUIDED,-35.3632622,149.1652375,1,0.00033120231819339097,0.0013783550821244717,0.02716897614300251,0.0003137050080113113,0.00022912074928171933,0.002259120810776949,0,1,-1000,0,0,0,-1,2,0,0.0,150.0,1500.0
21:01:08.117,GUIDED,-35.3632622,149.1652375,1,0.00033120231819339097,0.0013783550821244717,0.02716897614300251,0.0003137050080113113,0.00022912074928171933,0.002259120810776949,0,1,-1000,0,0,0,-1,2,0,0.0,150.0,1500.0
21:01:08.318,GUIDED,-35.3632622,149.1652375,1,0.00033120231819339097,0.0013783550821244717,0.02716897614300251,0.0003137050080113113,0.00022912074928171933,0.002259120810776949,0,1,-1000,0,0,0,-1,2,0,0.0,150.0,1500.0
21:01:08.519,GUIDED,-35.3632622,149.1652375,1,0.00033120231819339097,0.0013783550821244717,0.02716897614300251,0.0003137050080113113,0.00022912074928171933,0.002259120810776949,0,1,-1000,0,0,0,-1,2,0,0.0,150.0,1500.0
21:01:08.720,GUIDED,-35.3632621,149.1652375,0,0.0005858129588887095,0.0014204460894688964,0.026643825694918633,0.0003701102396007627,0.00010430780821479857,0.0022095954045653343,0,1,-1000,1,0,0,0,1,3,0.0,150.0,1500.0
21:01:08.921,GUIDED,-35.3632621,149.1652374,0,0.0006066873902454972,0.001473150448873639,0.02647276036441326,0.0002792477316688746,0.0002789110876619816,0.0021471513900905848,0,1,-1000,0,0,0,0,1,3,0.0,150.0,1500.0
