time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz
10:36:53,55450.0,0.0,17.0,-976.0,8.0,0.0,0.0,0.00043263472616672516,0.0015610727132298052,0.027340481989085674,0.0040803527808748186,0.0002534502709750086,0.00230040168389678,STABILIZE,-35.3632621,149.1652375,0.0,-1.0,3.0,1.0
10:37:09,55450.0,0.0,1.5,-1000.0,0.5,0.5,1.0,-0.0009693866595625877,0.0010181927355006337,0.02210710570216179,0.00026367645477876067,0.0003212207811884582,0.0015334330382756889,AUTO,-35.36326215,149.1652375,0.0,-0.5,0.5,0.0
10:37:11,55450.0,0.0,1.0,-1000.0,0.5,0.0,0.5,-0.0005869106971658766,0.0014521112898364663,0.02164595015347004,0.0002977239200845361,0.00030262372456490993,0.0014792075380682945,AUTO,-35.3632621,149.1652375,0.0,0.0,0.0,0.5
10:37:12,106182.0,0.0,0.5,-1062.0,5.25,-1.5,1.25,0.000637357086816337,0.0009351173575851135,0.021354676224291325,0.005527955043362454,-0.0015961043682182208,0.0017732070700731128,AUTO,-35.3632621,149.1652375,16.0,0.0,0.0,-11.0
10:37:13,106182.0,0.0,0.0,-1083.0,18.0,-0.5,0.5,0.0064428538316860795,0.0006156134477350861,0.02113251108676195,0.017146714497357607,-0.0011639982694759965,0.0016718872939236462,AUTO,-35.3632621,149.1652375,635.5,0.0,0.5,-106.0
10:37:15,106182.0,4.0,-9.5,-1001.0,-32.0,9.0,-55.5,0.018586778081953526,0.0066522336564958096,-0.036600928055122495,-0.03316913079470396,0.008556187967769802,-0.05604420229792595,AUTO,-35.363261300000005,149.16524175,3526.5,5.0,45.0,-147.5
10:37:17,72743.5,-3.0,6.5,-1003.0,47.5,4.5,1.0,-0.05080050602555275,-0.013389707542955875,-0.08813342452049255,0.04728717543184757,0.004086429253220558,0.001270571316126734,AUTO,-35.3632613,149.1652446,6592.5,-2.0,-38.0,-149.5
10:37:19,39305.0,-2.0,4.5,-999.0,-5.5,-7.0,3.5,0.04756397008895874,0.011899714358150959,-0.0913347415626049,-0.006105272099375725,-0.007623867131769657,0.0039981824811547995,AUTO,-35.363261550000004,149.1652348,9703.5,-4.5,-12.0,-152.0
10:37:21,39305.0,1.0,-1.0,-1001.0,5.5,1.5,-18.5,-0.010965825524181128,-0.00556629803031683,-0.10996221750974655,0.004461541306227446,0.0006102155894041061,-0.018574107438325882,AUTO,-35.3632624,149.1652365,12799.5,-1.0,5.5,-152.5
10:37:22,13569.0,-1.25,0.0,-1000.0,12.75,7.0,-22.25,-0.00037684570997953415,-0.001025878569635097,-0.13315903767943382,0.012233886634930968,0.006988915032707155,-0.022488276474177837,AUTO,-35.363262325,149.165236475,14356.0,2.75,-4.25,-153.0
