time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT,EK2_ALT_SOURCE
17:10:16,-0.050316167529672384,0.005888164974749088,-0.07117048371583223,-0.062158566899597645,-0.008681039325892925,-0.03704778989776969,588772.5,-35.363260775,149.1652455,4795.75,2.5,25.25,-149.25,588.7724914550781,3.25,-7.0,-1003.75,-60.75,-8.0,-37.25,AUTO,1500.0,0.0
17:10:18,0.004230520781129598,0.010087143629789352,-0.10921442657709121,0.06763890385627747,0.008015622291713953,-0.0013568857568316162,591810.0,-35.36326168,149.16523892,7833.6,-16.0,-55.0,-151.2,591.8099853515625,-4.333333333333333,12.0,-1002.8333333333334,67.0,8.0,-3.0,AUTO,1500.0,0.0
17:10:22,0.016322170756757258,0.014878302346915007,-0.17011137902736664,-0.004642953013535589,-0.017349268682301043,0.009790777415037154,599840.0,-35.36326002,149.16523504000003,15860.2,-14.8,1.6,-152.2,599.839990234375,1.2,1.8,-998.8,-3.8,-16.0,8.8,AUTO,1500.0,0.0
17:10:25,0.004168054621134486,0.0032981675550607698,-0.24758975633553096,0.0008503270551695355,0.0018276009858319803,-0.02092848558511053,606790.0,-35.3632622,149.16523641428572,22814.0,-0.14285714285714285,2.142857142857143,-153.0,606.7899867466518,0.0,0.0,-1000.0,1.4285714285714286,2.2857142857142856,-20.285714285714285,AUTO,1500.0,0.0
17:10:34,0.0021769538056105376,0.00160357931163162,-0.13096351623535157,-0.0002032424323260784,0.0012311273021623492,0.007998830545693636,624488.0,-35.3632621,149.16523754,40510.0,0.0,0.0,-153.0,624.48798828125,0.0,0.0,-999.6,0.8,2.0,7.6,AUTO,1500.0,0.0
17:10:40,0.01779144036603005,-0.03823428938630968,0.27789637943108875,0.0643063597381115,-0.04643246427682849,0.02486158985023697,632933.3333333334,-35.36326435,149.16523358333333,48956.833333333336,-12.333333333333334,-19.5,-80.0,632.9333292643229,1.1666666666666667,6.333333333333333,-961.5,65.33333333333333,-45.0,25.166666666666668,AUTO,1500.0,0.0
17:11:17,-0.029582963790744543,-0.0318767880089581,1.0138729512691498,-1.4649483859539032,0.013938154559582472,0.07229643501341343,623080.0,-35.363027925000004,149.1656444,39107.0,410.75,384.0,209.25,623.0799865722656,-133.25,-94.25,-980.75,-1463.0,15.0,72.5,ALT_HOLD,1500.0,0.0
17:11:25,0.09026248753070831,-0.13543806970119476,0.8575116991996765,-0.07920780032873154,0.2438281774520874,-0.0946144312620163,618900.0,-35.3628289,149.1659301,34928.0,310.0,521.0,-37.0,618.8999633789062,-133.0,-89.0,-1083.0,-79.0,245.0,-93.0,AUTO,1500.0,0.0
17:11:57,-0.00697597876812021,-0.07712194447716077,1.3144044081370037,-0.7219211409489313,0.06937187289198239,0.05710485391318798,619288.3333333334,-35.36234913333333,149.16691641666668,35313.666666666664,295.5,399.8333333333333,194.83333333333334,619.2883097330729,-128.33333333333334,-71.5,-1005.5,-725.3333333333334,71.33333333333333,59.0,AUTO,1500.0,0.0
17:12:09,0.011614940012805164,0.0016335588411493518,-2.554761528968811,-0.40389631874859333,0.0058942874311469495,0.0019267374300397933,620420.0,-35.36232945,149.16697649999998,36446.0,7.5,-5.25,-5.25,620.4199829101562,0.25,-14.25,-991.0,-403.0,7.75,3.5,AUTO,1500.0,0.0
17:12:31,0.010784728080034256,-0.006831588968634605,-2.103439283370972,-0.15858803912997246,-0.18146390952169894,0.12006292529404164,631606.0,-35.36238254,149.16695834,47631.4,98.2,105.0,-111.8,631.6059814453125,28.8,10.6,-916.6,-155.8,-178.2,121.8,ALT_HOLD,1500.0,0.0
17:12:46,-0.01249340265057981,-0.03739980086684227,-1.4003219604492188,-0.03260143846273422,-0.02943847291171551,-0.18477464616298675,632478.0,-35.36238572,149.16693458000003,48500.8,4.0,-83.8,-99.0,632.477978515625,-15.0,-8.8,-995.0,-27.8,-26.4,-181.6,AUTO,1500.0,0.0
17:12:52,0.0539151718840003,0.03508072369731963,-1.4112843871116638,0.9185246676206589,-0.02083285804837942,0.5951913259923458,627160.0,-35.362402175,149.16687935000002,43184.25,6.75,6.75,69.5,627.1599731445312,-2.0,54.25,-1143.5,924.5,-18.0,597.0,AUTO,1500.0,0.0
17:12:55,-0.017864234745502472,-0.013259610161185265,0.888849139213562,-0.2347403292854627,-0.025500328590472538,0.7116209864616394,627273.3333333334,-35.36240226666667,149.16688713333335,43295.333333333336,41.0,1.6666666666666667,-29.333333333333332,627.2733154296875,-4.0,-11.666666666666666,-1021.3333333333334,-229.66666666666666,-22.333333333333332,713.6666666666666,AUTO,1500.0,0.0
17:14:25,0.017047266103327276,-0.0022423326969146728,-1.9163341522216797,0.3936935782432556,0.0002216162160038948,0.005044439807534218,609730.0,-35.36296076,149.16558748,25753.4,-101.6,-88.0,186.6,609.72998046875,-35.0,-9.8,-1000.6,397.6,3.0,8.8,ALT_HOLD,1500.0,0.0
