,WPNAV_SPEED,WPNAV_SPEED_DN,H_COL_LAND_MIN,ATC_ANG_LIM_TC,FENCE_MARGIN,WPNAV_SPEED_UP,RTL_SPEED,AROT_TARG_SP,CAM_DURATION,FFT_NUM_FRAMES,PILOT_TKOFF_ALT,IM_STB_COL_1,IM_STB_COL_4,ACRO_Y_EXPO,ACRO_RP_EXPO,PILOT_Y_EXPO,LOIT_BRK_ACCEL,TMODE_TRIM_AUTO,FHLD_BRAKE_RATE,H_CYC_MAX,IM_STB_COL_2,IM_STB_COL_3,PSC_POSZ_P,ADSB_LIST_ALT,CHUTE_ALT_MIN
17:10:26.252,20.0,250.0,-1.8,0.5,1.0,160.0,1450.0,1100.0,0.0,0.0,0.0,100.0,17.0,-1.0,-0.5,-0.5,229.0,0.0,1.0,2600.0,27.0,59.0,1.0,0.0,32000.0
17:10:35.045,20.0,10.0,0.1,0.5,1.0,460.0,0.0,1400.0,0.0,0.0,330.0,0.0,82.0,-1.0,-0.5,-0.5,189.0,0.0,1.0,1200.0,98.0,65.0,1.0,0.0,525.0
17:10:41.019,2020.0,120.0,-0.9,0.5,1.0,1010.0,2000.0,2000.0,0.0,0.0,550.0,38.0,38.0,-1.0,-0.5,-0.5,82.0,0.0,1.0,1400.0,91.0,9.0,1.0,0.0,0.0
17:11:18.498,2020.0,500.0,-0.7,0.5,1.0,460.0,1300.0,1950.0,0.0,0.0,80.0,52.0,0.0,-1.0,-0.5,-0.5,101.0,0.0,1.0,2700.0,56.0,100.0,1.0,0.0,13237.0
17:11:26.431,1320.0,410.0,-0.0,0.5,1.0,1010.0,1650.0,1900.0,0.0,0.0,570.0,51.0,16.0,-1.0,-0.5,-0.5,119.0,0.0,1.0,1700.0,83.0,74.0,1.0,0.0,31738.0
17:11:58.179,20.0,330.0,-0.0,0.5,1.0,10.0,1600.0,1650.0,0.0,0.0,0.0,100.0,0.0,-1.0,-0.5,-0.5,34.0,0.0,1.0,0.0,60.0,0.0,1.0,0.0,14045.0
17:12:10.177,1670.0,10.0,-5.0,0.5,1.0,710.0,1300.0,800.0,0.0,0.0,690.0,57.0,100.0,-1.0,-0.5,-0.5,94.0,0.0,1.0,2100.0,84.0,69.0,1.0,0.0,27475.0
17:12:32.511,870.0,270.0,-0.0,0.5,1.0,160.0,1500.0,1750.0,0.0,0.0,810.0,40.0,0.0,-1.0,-0.5,-0.5,25.0,0.0,1.0,2700.0,26.0,56.0,1.0,0.0,10043.0
17:12:47.309,20.0,260.0,0.1,0.5,1.0,460.0,1000.0,1850.0,0.0,0.0,710.0,40.0,72.0,-1.0,-0.5,-0.5,25.0,0.0,1.0,4500.0,18.0,100.0,1.0,0.0,7880.0
17:12:53.035,320.0,220.0,-0.0,0.5,1.0,360.0,1000.0,1150.0,0.0,0.0,320.0,23.0,54.0,-1.0,-0.5,-0.5,250.0,0.0,1.0,4100.0,37.0,96.0,1.0,0.0,6883.0
17:14:26.221,1070.0,110.0,-5.0,0.5,1.0,510.0,1600.0,1450.0,0.0,0.0,580.0,100.0,48.0,-1.0,-0.5,-0.5,158.0,0.0,1.0,4500.0,90.0,0.0,1.0,0.0,17852.0
