,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P
00:54:22.028,179610.0,0.2,0.7,-5.0,0.25,0.4,0.0,8238.0,290.0,1.0
00:54:27.861,37535.0,0.4,0.3,-5.3,0.25,3.5,0.0,750.0,410.0,1.0
00:54:32.629,150694.0,0.2,0.7,-0.5,0.25,2.6,0.0,2767.0,210.0,1.0
00:54:37.870,50372.0,0.7,1.2,1.3,0.25,0.2,0.0,7527.0,30.0,1.0
00:54:42.524,55963.0,0.5,0.3,-9.2,0.25,3.8,0.0,10240.0,310.0,1.0
00:54:47.642,16558.0,0.9,0.5,-9.6,0.25,1.1,0.0,26.0,380.0,1.0
00:54:52.348,191818.0,0.4,0.7,-6.6,0.25,0.4,0.0,15289.0,210.0,1.0
00:54:57.946,61614.0,0.4,0.3,-0.5,0.25,0.8,0.0,2876.0,250.0,1.0
00:55:02.710,31954.0,0.5,0.7,-4.3,0.25,0.6,0.0,7261.0,160.0,1.0
00:55:07.975,68522.0,0.2,0.7,2.1,0.25,1.3,0.0,8315.0,390.0,1.0
00:55:12.651,181244.0,0.2,2.0,-7.8,0.25,1.1,0.0,1377.0,310.0,1.0
00:55:17.826,243774.0,0.7,0.3,-7.4,0.25,0.6,0.0,10516.0,20.0,1.0
00:55:22.505,55707.0,0.3,0.4,-5.6,0.25,4.4,0.0,3658.0,160.0,1.0
00:55:27.641,36930.0,0.2,0.3,-9.4,0.25,1.2,0.0,29806.0,780.0,1.0
00:55:32.356,3614.0,0.2,0.4,-6.8,0.25,1.1,0.0,14223.0,290.0,1.0
00:55:38.083,39510.0,1.1,0.2,-4.1,0.25,3.2,0.0,9.0,20.0,1.0
00:55:43.800,9942.0,0.2,0.2,-9.2,0.25,0.2,0.0,26035.0,470.0,1.0
00:55:48.479,83476.0,0.5,0.4,-7.9,0.25,0.3,0.0,2737.0,280.0,1.0
00:55:54.222,55920.0,0.2,1.2,-8.5,0.25,0.2,0.0,30191.0,380.0,1.0
00:55:59.886,120646.0,0.4,0.5,-7.8,0.25,0.2,0.0,11370.0,440.0,1.0
00:56:04.638,229169.0,0.7,0.7,-9.6,0.25,2.6,0.0,2221.0,220.0,1.0
00:56:09.885,24552.0,0.2,0.5,-2.4,0.25,1.2,0.0,15570.0,380.0,1.0
00:56:14.668,71232.0,0.2,0.3,-6.2,0.25,0.1,0.0,11172.0,350.0,1.0
00:56:19.942,39207.0,0.3,0.3,-0.5,0.25,0.8,0.0,29003.0,410.0,1.0
00:56:24.633,72275.0,0.2,0.4,-3.8,0.25,1.2,0.0,8033.0,160.0,1.0
00:56:29.728,66596.0,0.2,0.7,-6.5,0.25,4.4,0.0,2283.0,340.0,1.0
00:56:34.482,88900.0,0.7,1.1,-9.2,0.25,1.5,0.0,8294.0,180.0,1.0
00:56:40.268,4684.0,0.5,1.4,-9.4,0.25,0.6,0.0,12297.0,30.0,1.0
00:56:46.058,138240.0,0.3,0.9,-5.9,0.25,1.0,0.0,6252.0,130.0,1.0
00:56:51.684,259220.0,0.2,0.4,-7.9,0.25,0.6,0.0,10636.0,220.0,1.0
00:56:56.467,97842.0,0.2,1.3,-5.9,0.25,1.9,0.0,14787.0,410.0,1.0
00:57:02.289,112905.0,0.7,0.7,-4.3,0.25,2.1,0.0,127.0,310.0,1.0
