time_stamp,RTL_ALT,LAND_SPEED,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
17:20:07,1500.0,30.0,GUIDED,-0.00028042966732755303,0.001567354309372604,0.028270529583096504,0.00022117581102065742,0.00032235131948255,0.0024472051300108433,-35.3632621,149.1652374,0.0,-1.0,0.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0
17:20:09,1500.0,30.0,GUIDED,-0.0004633390926755965,0.0013478643959388137,0.027062293142080307,0.0004201593983452767,0.00022491530398838222,0.0022615196648985147,-35.3632622,149.1652375,7.0,-2.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0
17:20:11,1500.0,30.0,GUIDED,-0.00047607088345102966,0.001385592739097774,0.026066995225846767,0.0002430308668408543,0.000284943133010529,0.002077216748148203,-35.3632622,149.1652375,0.0,0.0,0.0,1.0,0.0,1.0,-1000.0,0.0,0.0,0.3333333333333333
17:20:13,1500.0,30.0,GUIDED,0.0037375683896243572,-3.7392874219221994e-05,0.025212138891220093,-0.0016663712449371815,-0.00676786107942462,0.0023302058689296246,-35.3632622,149.1652374,18.0,0.0,0.0,-24.0,0.0,0.0,-1139.0,-1.0,-6.0,1.0
17:20:15,1500.0,30.0,GUIDED,0.02401022605287532,-0.001454669352218237,0.024836469441652298,0.03526541264727712,-0.0059231085469946265,0.003046429483219981,-35.363262033333335,149.16523773333333,1451.0,1.1666666666666667,8.5,-138.5,0.0,-1.0,-1032.5,35.5,-5.166666666666667,1.5
17:20:17,1500.0,30.0,GUIDED,-0.05448328579465548,0.005266329428801934,-0.08471821000178655,-0.05654509241382281,-0.032358674332499504,-0.015351516117031375,-35.3632609,149.16524593333335,5066.666666666667,-2.3333333333333335,15.0,-149.0,3.5,-5.25,-1002.75,-48.25,-27.25,-25.0
17:20:19,1500.0,30.0,GUIDED,0.01786109999132653,0.003122857781515146,-0.09131188193957011,0.06513678282499313,0.01264360329757134,0.003338353397945563,-35.3632614,149.16523806666666,8164.333333333333,-4.333333333333333,-52.0,-152.0,-6.0,10.666666666666666,-1003.3333333333334,65.33333333333333,12.666666666666666,1.6666666666666667
17:20:21,1500.0,30.0,GUIDED,-0.007610054221004248,-0.004035179503262043,-0.08994225412607193,-0.024970154277980328,0.0005708914250135422,-0.019510776735842228,-35.3632624,149.16523569999998,11467.5,0.5,14.5,-150.5,2.0,-3.0,-1002.0,-34.333333333333336,0.0,-16.666666666666668
17:20:23,1500.0,30.0,GUIDED,0.002942541817901656,0.0034093670547008514,-0.13371306657791138,0.0123325209133327,0.005390243139117956,-0.01918188761919737,-35.36326195,149.16523592500002,14198.75,2.5,-3.75,-153.0,-1.5,0.0,-1000.0,12.25,5.25,-19.5
17:20:25,1500.0,30.0,GUIDED,0.007924431469291449,0.005688190087676048,-0.16132810413837434,-0.0020546828862279655,-0.0008839390357024968,-0.013352417200803757,-35.3632616,149.1652354,16978.0,-1.6,3.4,-153.0,0.0,0.0,-1000.0,-1.4,-0.2,-13.8
17:20:27,1500.0,30.0,GUIDED,0.0018534970004111528,0.003588832914829254,-0.2046734094619751,0.000776920875068754,-0.00016600231174379587,-0.02083001099526882,-35.3632617,149.1652362,20887.0,-3.0,4.0,-153.0,0.0,0.0,-1000.0,1.0,0.0,-21.0
17:20:29,1500.0,30.0,GUIDED,0.002431255765259266,0.0028399520087987185,-0.2434670478105545,0.0006423903978429735,-0.00020624423632398248,-0.021905425935983658,-35.3632618,149.1652366,24019.0,-2.0,3.0,-153.0,0.0,0.0,-1000.0,1.0,0.0,-22.0
17:20:31,1500.0,30.0,GUIDED,0.0027958663180470467,0.003945147851482034,-0.2457554817199707,0.020268710609525443,-0.0012980329105630518,0.020435252599418162,-35.36326208,149.16523660000001,26354.8,-4.2,-0.6,-153.4,0.0,0.2,-1001.0,20.6,-0.6,19.4
17:20:33,1500.0,30.0,GUIDED,0.0020083957133465447,0.001853547029895708,-0.1978013552725315,-0.006153547205030918,0.000879493571119383,0.0206266762688756,-35.3632624,149.1652373,29670.25,0.0,7.75,-153.0,0.25,-1.0,-1000.25,-4.5,1.25,19.5
17:20:35,1500.0,30.0,GUIDED,0.00019555260087145143,0.0011205898190382868,-0.16395795717835426,0.002675629177247174,0.00039012434717733413,0.015415285713970661,-35.3632623,149.165238,32785.5,0.0,1.0,-153.0,0.0,0.0,-1000.25,3.0,0.75,14.25
17:20:37,1500.0,30.0,GUIDED,0.001761819701641798,0.00099985659471713,-0.13884767889976501,0.0010159110315726139,0.00042211051913909614,0.01151929097250104,-35.3632622,149.16523784999998,35910.75,0.0,0.0,-153.0,0.0,0.0,-999.75,1.5,0.75,11.0
17:20:39,1500.0,30.0,GUIDED,0.0024910266511142254,0.0016058771482979257,-0.11873505761226018,-0.0005109781244148811,0.0008494503369244436,0.00999306949476401,-35.3632621,149.1652375,39213.333333333336,0.0,0.0,-153.0,0.0,0.0,-999.6666666666666,0.6666666666666666,1.3333333333333333,9.333333333333334
17:20:41,1500.0,30.0,GUIDED,0.002103439997881651,0.001316370558924973,-0.10606359839439392,0.00044664726592600343,0.0006893580430187285,0.008301069401204586,-35.36326208,149.16523738,41947.6,-0.4,0.0,-153.0,0.0,0.0,-1000.1666666666666,1.1666666666666667,0.8333333333333334,7.666666666666667
17:20:43,1500.0,30.0,GUIDED,0.002336464705877006,0.001125977491028607,-0.09293562732636929,-0.00034895987482741475,0.00027767583378590643,0.005782609689049423,-35.363262,149.165237275,45261.0,-1.0,1.0,-153.0,0.0,0.0,-1000.0,0.5,1.0,5.25
17:20:45,1500.0,30.0,GUIDED,0.002117300988174975,0.0011002414976246655,-0.08146445453166962,0.00048123375745490193,0.0005951987986918539,0.006710259476676583,-35.363262,149.1652372,48603.0,-1.0,1.0,-153.0,0.0,0.0,-1000.0,1.0,1.0,6.5
17:20:47,1500.0,30.0,LAND,0.0011208331125089899,0.001068321376806125,-0.07269003055989742,0.0004134750925004482,-0.0008624251931905746,0.005127267679199576,-35.363262,149.1652372,51330.25,-1.0,0.75,-153.0,0.0,0.0,-1000.25,1.25,0.0,4.75
17:20:49,1500.0,200.0,LAND,-0.051613527039686836,0.05396973838408788,0.1711362898349762,-0.039244577288627625,-0.040307203928629555,0.42769012848536175,-35.36326236666667,149.16523666666666,54543.0,-19.0,-19.666666666666668,-117.33333333333333,1.3333333333333333,3.6666666666666665,-921.3333333333334,-38.333333333333336,-39.333333333333336,427.6666666666667
17:20:51,1500.0,200.0,LAND,0.04758504219353199,-0.023657496087253094,0.3092227578163147,0.6482019424438477,0.038756489753723145,-0.04342656955122948,-35.363264,149.16523275,55280.5,17.5,21.0,31.0,-1.0,17.333333333333332,-971.3333333333334,743.0,40.0,-39.666666666666664
17:20:53,1500.0,140.0,LAND,0.0007308072177693248,0.016347463801503183,0.2545358896255493,0.06855305433273315,0.0026231202064082026,-0.03957208003848791,-35.36326174,149.16523839999996,54176.8,12.2,19.8,108.2,2.2,-43.0,-919.0,62.4,3.8,-38.8
17:20:55,1500.0,140.0,LAND,-0.023226087167859077,0.001970196864567697,0.1979194015264511,1.356644368171692,-0.01223026104271412,-0.004821679694578052,-35.36326198,149.16524296,51836.8,3.6,-19.4,85.2,2.3333333333333335,60.0,-1031.3333333333333,1312.3333333333333,-9.333333333333334,-5.666666666666667
17:20:57,1500.0,80.0,LAND,-0.011065724771469831,-0.005591442342847586,0.16496402770280838,0.9515108267466227,0.0012671935158626486,-0.00940000033006072,-35.36326268333334,149.16524163333335,50067.833333333336,8.5,-30.666666666666668,86.33333333333333,-0.8333333333333334,68.16666666666667,-1023.6666666666666,957.8333333333334,1.6666666666666667,-8.666666666666666
17:20:59,1500.0,80.0,LAND,-0.017370653396937996,-0.003123251721262932,0.13642628863453865,-0.7059145718812943,-0.0036561377928592265,-0.018399438122287393,-35.3632628,149.165240075,48599.75,9.0,-21.5,54.0,0.0,-43.25,-988.25,-709.0,-2.75,-17.5
17:21:01,1500.0,100.0,LAND,-0.005101937393192202,-0.006237970587487022,0.11614556983113289,-0.9272454803188642,-0.005403012696964045,-0.00756268771753336,-35.363262733333336,149.16523885,47534.333333333336,6.833333333333333,-18.0,58.666666666666664,-2.1666666666666665,-49.666666666666664,-978.8333333333334,-931.3333333333334,-4.5,-6.166666666666667
17:21:03,1500.0,100.0,LAND,0.04089996684342623,-0.0027952438103966415,0.09875611402094364,1.1563552618026733,0.003238175981095992,-0.0061754107009619474,-35.363262175,149.16523477500002,46036.0,2.5,10.25,65.0,-3.2,59.4,-1016.4,1083.8,2.6,-4.8
17:21:05,1500.0,130.0,LAND,0.009164629804824168,0.0035350374334181347,0.08840414757529895,-1.0817238787810008,0.0009455720331364622,-0.010360922276352843,-35.36326181666667,149.16523421666668,44841.5,0.16666666666666666,23.5,64.66666666666667,0.3333333333333333,-50.5,-991.0,-1083.5,1.3333333333333333,-9.166666666666666
17:21:07,1500.0,130.0,LAND,-0.010199473518878222,0.0065448909066617485,0.07555412948131561,-0.04723739795736037,0.0009489861316978931,-0.0006529540289193392,-35.363261720000004,149.16523641999999,43035.8,-1.0,15.2,83.2,2.0,14.166666666666666,-1007.6666666666666,-197.66666666666666,1.0,-1.1666666666666667
17:21:09,1500.0,40.0,LAND,0.0022178894141688943,0.001493367967971911,0.06551650042335193,1.2344336708386738,-0.0011957886551196377,0.0040691210015211254,-35.363262166666665,149.1652384166667,41399.166666666664,-0.16666666666666666,-1.8333333333333333,81.16666666666667,1.0,58.666666666666664,-1031.1666666666667,1237.0,-0.6666666666666666,4.5
17:21:11,1500.0,40.0,LAND,-0.0031564333088075123,-0.0007571366004412994,0.0571762186785539,-0.26535508036613464,0.0018664134646921109,-0.006185328646097332,-35.363262549999995,149.16523871666666,40183.0,3.0,-10.333333333333334,56.333333333333336,0.6666666666666666,-25.833333333333332,-990.8333333333334,-268.1666666666667,2.0,-5.0
17:21:13,1500.0,200.0,LAND,-0.005550926240781943,0.0006036980339558795,0.04968597119053205,0.6990942247211933,0.0016682960849720985,0.0004578127312318732,-35.363262549999995,149.16523903333334,38988.166666666664,4.0,-11.666666666666666,61.666666666666664,0.0,49.833333333333336,-1003.6666666666666,703.5,1.5,1.3333333333333333
17:21:15,1500.0,200.0,LAND,-0.022877423364358645,0.00018054320632169643,0.04260425455868244,-0.6136221686999003,0.0009336840982238451,-0.0028947611475208155,-35.3632625,149.16523936666667,36909.5,2.6666666666666665,-14.5,149.0,-1.3333333333333333,0.3333333333333333,-995.1666666666666,-610.6666666666666,1.1666666666666667,-1.8333333333333333
17:21:17,1500.0,170.0,LAND,0.013283449690788984,-0.0012785965227521956,0.035892289131879807,0.5240092873573303,0.0027252042200416327,-0.0010268983023706824,-35.36326235,149.16523660000001,33365.5,1.0,0.5,115.0,-4.0,69.5,-1084.0,531.5,2.5,0.0
17:21:19,1500.0,170.0,LAND,0.004646130953915417,0.002027647045906633,0.03179279575124383,-0.784204512834549,0.0030687951075378805,-0.0006262887036427855,-35.363262049999996,149.165234675,31398.75,0.0,14.75,108.5,-1.4,13.0,-987.4,-613.0,2.8,0.6
