time_stamp,RTL_ALT,MODE,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,EK2_ALT_SOURCE
08:40:40,1500.0,AUTO,583.9500122070312,0.0,1.0,-1000.0,1.0,1.0,0.5,-0.0004490291321417317,0.0015640813508071005,0.020575566217303276,0.0002911303599830717,0.0002853210608009249,0.0013619704404845834,583950.0,-35.3632621,149.1652374,0.0,0.0,0.0,0.5,0.0
08:40:42,1500.0,AUTO,584.9599914550781,0.0,0.0,-1057.5,19.0,-2.5,0.5,0.013635755865834653,7.302797166630626e-05,0.01999802142381668,0.01823086105287075,-0.002865961752831936,0.0011080032345489599,584960.0,-35.36326205,149.16523755,1002.5,0.5,3.0,-126.0,0.0
08:40:44,1500.0,AUTO,587.9599914550781,3.5,-9.0,-998.0,-94.5,30.0,-67.0,-0.003829309716820717,0.017119389958679676,-0.05904242396354675,-0.09593414049595594,0.02898360975086689,-0.0672740787267685,587960.0,-35.3632611,149.16524335,4004.5,4.0,43.0,-147.0,0.0
08:40:46,1500.0,AUTO,591.0349731445312,-5.0,7.5,-1002.0,62.0,8.5,0.0,-0.027778468560427427,-0.005784911336377263,-0.09313512966036797,0.06136424466967583,0.007944138487800956,0.00035186432069167495,591035.0,-35.3632612,149.16524245,7082.0,-2.0,-50.5,-150.0,0.0
08:40:48,1500.0,AUTO,594.1549987792969,0.5,1.0,-997.0,-42.5,-11.5,5.0,0.03850266896188259,0.0014784884406253695,-0.08511210232973099,-0.04400257766246796,-0.012760731391608715,0.004766491707414389,594155.0,-35.3632622,149.16523465,10201.0,-5.5,6.0,-151.0,0.0
08:40:50,1500.0,AUTO,597.2549743652344,-1.0,-0.5,-1000.5,13.5,4.5,-21.5,-0.005850615620147437,-0.00010749849025160074,-0.12124921381473541,0.012965258210897446,0.004855838138610125,-0.021553884260356426,597255.0,-35.3632622,149.16523625000002,13301.5,3.0,-1.5,-152.5,0.0
08:40:52,1500.0,AUTO,600.3849792480469,-0.5,0.0,-999.0,-2.0,0.0,-13.0,0.008378834929317236,0.006128392647951841,-0.15914034098386765,-0.002856889070244506,-0.000515906693181023,-0.013221116736531258,600385.0,-35.36326165,149.16523545,16428.0,-1.0,1.5,-153.0,0.0
08:40:54,1500.0,AUTO,603.5049743652344,0.0,0.0,-1000.0,0.0,0.0,-19.0,0.003019206807948649,0.0038642657455056906,-0.1907304897904396,-0.000647232256596908,-0.0007161341491155326,-0.01949373632669449,603505.0,-35.36326165,149.16523595,19547.0,-3.0,5.5,-153.0,0.0
08:40:56,1500.0,AUTO,606.6299743652344,0.0,0.0,-999.5,-0.5,0.5,-18.5,0.0021957693388685584,0.003096654312685132,-0.22997692227363586,-0.0010022159258369356,-0.00023344716464634985,-0.019323138520121574,606630.0,-35.3632618,149.1652365,22672.0,-2.5,3.5,-153.0,0.0
08:40:58,1500.0,AUTO,609.7449645996094,0.0,-1.0,-990.5,-35.5,4.5,14.5,0.001740242150845006,0.0035896810004487634,-0.253395140171051,-0.0365659911185503,0.003853418631479144,0.01559685473330319,609745.0,-35.363262,149.1652367,25788.5,-3.5,0.5,-152.5,0.0
