time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
12:56:01,-0.0008648573129903525,0.0009784157446119934,0.02447665762156248,0.0003277086070738733,0.000220340647501871,0.0018203470390290022,STABILIZE,-35.3632622,149.1652375,11.5,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.5,0.5,1500.0
12:56:10,0.03616586793214083,0.011307580512948334,-0.03136706817895174,-0.134495597332716,0.06864490918815136,-0.09580934047698975,AUTO,-35.3632614,149.1652411,3310.0,8.5,53.0,-145.0,2.0,-9.5,-992.0,-133.5,68.5,-96.0,1500.0
12:56:12,-0.05478524789214134,-0.013148046098649502,-0.08354141563177109,0.05742952227592468,0.0031174495816230774,2.214175765402615e-05,AUTO,-35.3632613,149.16524479999998,6364.5,-0.5,-43.0,-148.0,-4.0,7.5,-1000.5,57.5,3.0,-0.5,1500.0
12:56:14,0.06934327259659767,0.011057163123041391,-0.0805341824889183,0.04114632215350866,0.014919279841706157,-0.009612430352717638,AUTO,-35.363261550000004,149.16523375,9468.0,-5.5,-12.5,-151.5,-2.5,6.5,-999.5,41.5,15.0,-10.0,1500.0
12:56:16,-0.02129256632179022,-0.00706488243304193,-0.10310577601194382,0.009760151733644307,0.0018902434094343334,-0.02497346978634596,AUTO,-35.3632625,149.1652371,12554.5,0.5,7.0,-150.5,1.0,-1.5,-1001.5,10.0,2.0,-25.0,1500.0
12:56:18,0.00990307175864776,0.0054226854505638284,-0.14849830667177835,0.004814454043904941,0.005173974204808474,-0.015985518073042233,AUTO,-35.3632619,149.16523586666668,15642.666666666666,2.0,-4.333333333333333,-151.0,-2.0,0.0,-1000.0,5.333333333333333,5.333333333333333,-16.0,1500.0
12:56:20,0.004902284437169631,0.004837432721008857,-0.17552911738554636,-0.0020225223658295968,-0.0015219911583699286,-0.01383870126058658,AUTO,-35.3632616,149.1652357,18763.0,-2.3333333333333335,5.666666666666667,-151.0,0.0,0.0,-1000.0,-1.0,-0.6666666666666666,-13.666666666666666,1500.0
12:56:22,0.0017861246985072892,0.0033946045053501925,-0.21200222770373026,0.0007689161187348267,0.00042159452762765187,-0.02051840101679166,AUTO,-35.3632617,149.16523636666668,21887.0,-2.0,4.0,-152.0,0.0,0.0,-1000.0,1.3333333333333333,0.6666666666666666,-20.333333333333332,1500.0
12:56:24,-0.0027247415079424777,0.0029101293378820023,-0.2508930216232936,-0.012312155061711868,0.0017016110941767693,-0.016130068028966587,AUTO,-35.3632618,149.1652367,25009.0,-2.3333333333333335,2.3333333333333335,-151.66666666666666,0.0,0.0,-999.6666666666666,-11.333333333333334,2.6666666666666665,-16.0,1500.0
12:56:26,0.009520113157729307,0.0012368630074585478,-0.22304964065551758,-0.006489860514799754,-5.75192777129511e-05,0.023334615553418796,AUTO,-35.36326233333333,149.1652366,28125.666666666668,-2.3333333333333335,6.666666666666667,-152.0,0.6666666666666666,0.0,-999.6666666666666,-5.0,0.3333333333333333,22.333333333333332,1500.0
12:56:28,-0.000874527400204291,0.0016209863824769855,-0.18272595604260763,0.0008960195506612459,0.0003950920266409715,0.01787449357410272,AUTO,-35.3632624,149.1652379,31239.0,0.0,5.0,-152.0,0.0,-0.6666666666666666,-999.6666666666666,1.6666666666666667,1.0,17.333333333333332,1500.0
12:56:30,0.0013469359449421365,0.0013648510600129764,-0.15266616642475128,0.0010930301311115425,0.0007060114488316079,0.013209920997420946,AUTO,-35.3632623,149.165238,34351.666666666664,0.0,0.0,-152.0,0.0,0.0,-1000.3333333333334,1.3333333333333333,1.0,12.333333333333334,1500.0
12:56:32,0.001987463445402682,0.0014164858342458804,-0.13021219273408255,0.0017046896585573752,0.0005568742053583264,0.009463493712246418,AUTO,-35.3632622,149.16523776666668,37471.666666666664,0.0,0.0,-152.0,0.0,0.0,-1000.3333333333334,2.0,1.0,9.0,1500.0
12:56:34,0.002191657510896524,0.0014484072647367914,-0.11334092170000076,0.0006442366478343805,-4.0755257941782475e-05,0.008251557126641273,AUTO,-35.3632621,149.1652375,40586.0,-0.3333333333333333,0.0,-152.0,0.0,0.0,-1000.3333333333334,1.3333333333333333,0.6666666666666666,7.666666666666667,1500.0
12:56:36,0.0018609751326342423,0.0014091734774410725,-0.09991975128650665,5.818802552918593e-05,0.00013763348882397017,0.007102842287470897,AUTO,-35.363262,149.1652374,43707.666666666664,-1.0,1.0,-152.0,0.0,0.0,-1000.0,0.6666666666666666,1.3333333333333333,6.666666666666667,1500.0
12:56:38,-0.0010894036774213116,0.003860546974465251,-0.08252690484126408,-0.028119326336309314,0.02806649438571185,0.06329192609215777,AUTO,-35.363262,149.1652374,46815.0,-1.0,0.6666666666666666,-150.66666666666666,0.0,-0.3333333333333333,-990.3333333333334,-26.666666666666668,29.0,63.0,1500.0
12:56:40,0.032997253040472664,-0.05271258701880773,0.3019431233406067,0.03461503547926744,0.0003154200191299121,-0.01549300349627932,AUTO,-35.36326463333334,149.1652328,49188.666666666664,-5.666666666666667,-14.333333333333334,-71.0,0.0,4.666666666666667,-965.3333333333334,35.0,1.3333333333333333,-15.0,1500.0
12:56:42,0.0003180871329580744,0.012269713295002779,0.2359118660291036,-0.09836795926094055,0.015416922979056835,-0.025444301466147106,AUTO,-35.363262066666664,149.1652362,50090.0,16.0,29.333333333333332,-20.666666666666668,-0.6666666666666666,-0.6666666666666666,-977.3333333333334,-95.66666666666667,15.666666666666666,-25.0,1500.0
