,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
20:34:47.219,20476.0,0.2,1.3,-3.7,0.25,0.6,0.0,7555.0,60.0,1.0,0.1,50.0,50.0,515.0,0.0
20:34:53.202,37444.0,0.3,0.7,0.8,0.25,0.3,0.0,14065.0,110.0,1.0,0.1,50.0,50.0,159.0,0.0
20:34:59.095,86187.0,0.7,0.3,0.2,0.25,0.4,0.0,394.0,60.0,1.0,0.1,50.0,50.0,49.0,0.0
20:35:04.996,138290.0,0.3,1.3,1.4,0.25,3.4,0.0,9547.0,470.0,1.0,0.1,50.0,50.0,258.0,0.0
20:35:11.073,189165.0,0.7,0.4,-5.3,0.25,1.0,0.0,1326.0,410.0,1.0,0.1,50.0,50.0,942.0,0.0
20:35:16.927,131111.0,0.3,0.2,-8.8,0.25,0.3,0.0,6594.0,530.0,1.0,0.1,50.0,50.0,130.0,0.0
20:35:21.784,49849.0,0.4,1.1,-7.1,0.25,0.3,0.0,31851.0,500.0,1.0,0.1,50.0,50.0,220.0,0.0
20:35:27.156,22832.0,0.5,0.7,-3.7,0.25,1.6,0.0,14377.0,380.0,1.0,0.1,50.0,50.0,88.0,0.0
20:35:33.336,26011.0,0.3,0.3,-3.1,0.25,2.2,0.0,3102.0,520.0,1.0,0.1,50.0,50.0,9.0,0.0
20:35:39.489,63483.0,0.2,1.3,-2.7,0.25,0.6,0.0,145.0,470.0,1.0,0.1,50.0,50.0,181.0,0.0
20:35:45.554,36755.0,0.3,1.5,-5.8,0.25,1.6,0.0,3112.0,280.0,1.0,0.1,50.0,50.0,281.0,0.0
20:35:51.080,105934.0,0.3,0.7,-8.5,0.25,0.2,0.0,10804.0,390.0,1.0,0.1,50.0,50.0,60.0,0.0
20:35:57.194,81005.0,0.7,1.3,-9.4,0.25,3.2,0.0,11375.0,80.0,1.0,0.1,50.0,50.0,5.0,0.0
20:36:03.183,196873.0,0.4,0.4,-3.1,0.25,0.6,0.0,5529.0,190.0,1.0,0.1,50.0,50.0,196.0,0.0
20:36:09.035,266055.0,0.9,0.4,5.0,0.25,5.0,0.0,23570.0,380.0,1.0,0.1,50.0,50.0,38.0,0.0
20:36:14.953,31122.0,0.4,0.4,5.6,0.25,2.6,0.0,6659.0,40.0,1.0,0.1,50.0,50.0,33.0,0.0
20:36:19.969,118671.0,0.3,1.9,-7.1,0.25,0.6,0.0,718.0,10.0,1.0,0.1,50.0,50.0,694.0,0.0
20:36:25.395,262027.0,0.4,1.1,3.6,0.25,2.1,0.0,4526.0,420.0,1.0,0.1,50.0,50.0,235.0,0.0
20:36:31.305,101975.0,0.3,1.3,-3.2,0.25,1.1,0.0,8195.0,500.0,1.0,0.1,50.0,50.0,44.0,0.0
20:36:37.342,48195.0,0.7,0.5,-7.2,0.25,2.4,0.0,5671.0,630.0,1.0,0.1,50.0,50.0,396.0,0.0
20:36:43.285,81704.0,0.5,0.7,-4.4,0.25,3.8,0.0,1344.0,110.0,1.0,0.1,50.0,50.0,11.0,0.0
20:36:49.410,81324.0,0.2,0.3,-7.1,0.25,0.4,0.0,20644.0,290.0,1.0,0.1,50.0,50.0,88.0,0.0
20:36:55.208,36956.0,0.5,0.5,2.2,0.25,2.9,0.0,5593.0,60.0,1.0,0.1,50.0,50.0,173.0,0.0
20:37:01.062,26665.0,0.5,0.5,-4.9,0.25,4.8,0.0,950.0,500.0,1.0,0.1,50.0,50.0,854.0,0.0
20:37:07.045,119797.0,0.5,0.5,-3.5,0.25,1.6,0.0,5561.0,190.0,1.0,0.1,50.0,50.0,149.0,0.0
20:37:12.952,222384.0,0.9,1.3,-5.9,0.25,1.0,0.0,4594.0,10.0,1.0,0.1,50.0,50.0,42.0,0.0
20:37:17.799,12925.0,0.7,0.5,-1.1,0.25,1.2,0.0,5218.0,350.0,1.0,0.1,50.0,50.0,95.0,0.0
20:37:23.230,19150.0,0.2,1.1,-0.6,0.25,0.4,0.0,668.0,240.0,1.0,0.1,50.0,50.0,616.0,0.0
20:37:29.015,43877.0,0.5,1.4,5.5,0.25,0.2,0.0,7500.0,570.0,1.0,0.1,50.0,50.0,274.0,0.0
20:37:35.166,90979.0,0.2,0.5,2.0,0.25,2.1,0.0,9372.0,440.0,1.0,0.1,50.0,50.0,185.0,0.0
20:37:41.232,52424.0,0.5,1.2,-7.1,0.25,0.6,0.0,12414.0,160.0,1.0,0.1,50.0,50.0,98.0,0.0
20:37:47.277,282564.0,0.2,0.5,-0.6,0.25,2.9,0.0,14374.0,680.0,1.0,0.1,50.0,50.0,49.0,0.0
20:37:53.372,23469.0,0.3,0.7,1.7,0.25,3.4,0.0,1308.0,690.0,1.0,0.1,50.0,50.0,123.0,0.0
20:37:59.489,32675.0,0.5,1.8,4.6,0.25,2.9,0.0,6782.0,210.0,1.0,0.1,50.0,50.0,80.0,0.0
20:38:05.486,175909.0,0.3,1.1,0.1,0.25,0.6,0.0,3937.0,10.0,1.0,0.1,50.0,50.0,212.0,0.0
20:38:11.440,82361.0,0.2,1.4,-8.8,0.25,1.1,0.0,26396.0,510.0,1.0,0.1,50.0,50.0,369.0,0.0
20:38:17.523,76310.0,0.2,0.5,7.8,0.25,0.4,0.0,10214.0,560.0,1.0,0.1,50.0,50.0,401.0,0.0
20:38:22.943,23656.0,1.1,1.2,-6.5,0.25,2.4,0.0,9146.0,60.0,1.0,0.1,50.0,50.0,461.0,0.0
20:38:28.027,229588.0,0.2,1.8,-6.5,0.25,0.6,0.0,28979.0,370.0,1.0,0.1,50.0,50.0,217.0,0.0
20:38:32.968,114169.0,0.9,0.7,-3.1,0.25,1.5,0.0,692.0,350.0,1.0,0.1,50.0,50.0,121.0,0.0
20:38:38.035,176522.0,0.5,0.9,2.8,0.25,0.4,0.0,8252.0,190.0,1.0,0.1,50.0,50.0,352.0,0.0
20:38:43.007,10494.0,0.2,1.4,7.7,0.25,0.4,0.0,5736.0,110.0,1.0,0.1,50.0,50.0,49.0,0.0
20:38:48.831,5743.0,0.7,0.7,-3.7,0.25,0.2,0.0,913.0,310.0,1.0,0.1,50.0,50.0,219.0,0.0
20:38:53.807,94671.0,0.5,0.5,-2.9,0.25,0.6,0.0,6876.0,30.0,1.0,0.1,50.0,50.0,606.0,0.0
20:38:59.203,48580.0,0.2,0.3,-4.2,0.25,4.7,0.0,14733.0,190.0,1.0,0.1,50.0,50.0,376.0,0.0
20:39:05.363,58476.0,0.5,0.7,-9.2,0.25,0.4,0.0,29451.0,470.0,1.0,0.1,50.0,50.0,561.0,0.0
20:39:11.536,6461.0,0.4,1.1,-7.4,0.25,2.2,0.0,13601.0,60.0,1.0,0.1,50.0,50.0,188.0,0.0
20:39:16.850,68818.0,0.7,0.3,-3.3,0.25,1.1,0.0,4432.0,240.0,1.0,0.1,50.0,50.0,240.0,0.0
20:39:21.922,103995.0,0.5,0.7,-9.0,0.25,1.6,0.0,1058.0,710.0,1.0,0.1,50.0,50.0,791.0,0.0
20:39:27.016,31785.0,0.5,0.2,-2.6,0.25,1.6,0.0,13063.0,760.0,1.0,0.1,50.0,50.0,219.0,0.0
20:39:31.963,255228.0,0.4,0.3,-8.5,0.25,0.8,0.0,20236.0,110.0,1.0,0.1,50.0,50.0,509.0,0.0
20:39:36.768,51609.0,0.3,0.3,0.6,0.25,2.9,0.0,10021.0,750.0,1.0,0.1,50.0,50.0,72.0,0.0
20:39:42.155,34287.0,0.5,0.7,-4.8,0.25,0.8,0.0,3750.0,840.0,1.0,0.1,50.0,50.0,9.0,0.0
