time_stamp,RTL_ALT,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
14:42:06,1500.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.00045188231160864234,0.001630114042200148,0.02713482640683651,0.00027242867508903146,0.0003055382694583386,0.002290545031428337,-35.3632621,149.1652374,0.0,-2.0,1.0,0.0
14:42:12,1500.0,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0012994323624297976,0.0009436800610274076,0.024983789771795273,0.00012584449723362923,0.00018326533609069884,0.0018996907165274024,-35.3632621,149.1652375,0.0,-1.0,0.0,0.0
14:42:20,20187.0,AUTO,0.0,1.0,-1000.0,0.0,0.5,0.0,-0.000931542890612036,0.0009798203827813268,0.02227170206606388,0.00025429570814594626,0.00020599825074896216,0.0015665965620428324,-35.3632622,149.1652375,2.0,-1.0,1.0,0.0
14:42:22,38874.0,AUTO,0.0,1.0,-1000.0,0.0,0.0,1.0,-0.0006678563659079373,0.0012516702408902347,0.021883271634578705,0.00021856380044482648,0.0002445452264510095,0.001441045431420207,-35.3632621,149.1652375,0.0,0.0,0.0,0.0
14:42:23,145953.0,AUTO,0.0,1.0,-1000.0,0.5,1.0,0.5,-0.0004498605485423468,0.0015369420580100268,0.021609941497445107,0.00031535967718809843,0.00029451947193592787,0.001484504115069285,-35.3632621,149.16523742500002,0.0,0.0,0.0,0.0
14:42:24,145953.0,AUTO,0.0,1.0,-1058.0,-2.0,2.5,0.5,0.001043440293869935,0.0012422427826095372,0.021416075527668,-0.0022947815305087715,0.0022911450068932027,0.0016543901292607188,-35.3632621,149.16523745,174.0,0.0,0.0,-48.5
14:42:26,219556.0,AUTO,0.0,0.0,-1004.5,23.0,-3.0,1.5,0.014529467385727912,0.0011487008887343109,0.0071103242225945,0.023130785644752905,-0.004085023771040142,0.0023343171342276037,-35.363262,149.1652375,2615.5,0.0,3.5,-146.0
14:42:28,293159.0,AUTO,4.5,-9.0,-998.0,-113.0,16.0,-64.0,0.00548323430120945,0.019736777991056442,-0.06514429673552513,-0.1140325739979744,0.015480108559131622,-0.06415564566850662,-35.3632612,149.16524370000002,5680.5,2.5,50.5,-147.0
14:42:29,167066.0,AUTO,3.25,-3.0,-1002.5,-62.75,-30.75,-5.0,-0.06796820275485516,-0.003725396301888395,-0.09457018971443176,-0.06382197211496532,-0.032083761878311634,-0.0047713787644170225,-35.363261225,149.165247825,7210.0,-4.25,12.0,-148.75
14:42:30,167066.0,AUTO,-6.5,9.0,-1002.5,61.5,11.0,1.0,-0.05987490341067314,-0.012785647064447403,-0.08747956529259682,0.060860440135002136,0.010780090000480413,0.00200024334480986,-35.363261249999994,149.16524485,8739.0,1.5,-58.5,-148.0
14:42:32,171326.0,AUTO,-3.0,8.5,-1001.0,62.0,2.5,4.5,0.07549295201897621,0.021295949816703796,-0.07400769367814064,0.062083035707473755,0.0014770305715501308,0.005573736038058996,-35.36326185,149.1652305,11849.0,-18.0,-22.0,-153.5
14:42:34,175586.0,AUTO,6.0,-19.0,-1011.0,-152.0,65.0,-105.0,-0.05117284937296063,-0.026010988280177116,-0.09583907760679722,-0.15323860198259354,0.06450998783111572,-0.1052432507276535,-35.36326305,149.1652408,14892.5,22.0,66.5,-147.0
14:42:35,238010.0,AUTO,-6.75,0.0,-1002.0,37.75,24.25,-59.25,-0.10726719163358212,-0.0020275035640224814,-0.18508755788207054,0.03738544032967184,0.023976566502824426,-0.05929580517113209,-35.363260675,149.16524314999998,16435.75,21.0,-36.25,-150.25
14:42:36,238010.0,AUTO,-13.5,16.0,-1003.5,74.0,35.0,-15.0,-0.046668125316500664,0.02309854282066226,-0.216618612408638,0.07391420006752014,0.034821439534425735,-0.015526779694482684,-35.36325995,149.1652347,17954.0,-10.5,-99.0,-148.5
14:42:38,213002.5,AUTO,11.5,13.5,-1000.5,68.5,-35.0,9.0,0.1095716580748558,0.040496681816875935,-0.2130901888012886,0.06785872764885426,-0.036241792142391205,0.009580128593370318,-35.36326855,149.16521925,21054.0,-76.0,13.5,-151.5
14:42:40,187995.0,AUTO,8.0,-43.0,-1016.5,-167.5,18.0,-41.5,0.008973509073257446,-0.12747225910425186,-0.155725359916687,-0.1691843420267105,0.016746044158935547,-0.041272472590208054,-35.363271049999994,149.1652436,23950.5,98.5,153.5,-137.0
14:42:41,47986.0,AUTO,-17.5,-36.5,-1022.5,-124.25,104.0,-144.75,-0.1358578633517027,-0.04036833648569882,-0.29484599456191063,-0.1258459147065878,0.10389909707009792,-0.14497387409210205,-35.363258475,149.165255375,25402.75,157.5,33.0,-150.25
14:42:42,47986.0,AUTO,-29.0,-3.5,-1007.0,60.0,109.5,-34.5,-0.1447538286447525,0.057627965696156025,-0.3965448886156082,0.0595941748470068,0.10948242619633675,-0.03487580129876733,-35.36324775,149.16524995,26930.5,67.0,-112.0,-148.5
14:42:44,65739.0,AUTO,12.0,46.0,-1010.5,83.5,-73.5,57.0,0.03401873237453401,0.14245153963565826,-0.3964173197746277,0.08325434848666191,-0.07454040204174817,0.05768582271412015,-35.363261550000004,149.1652221,29785.0,-213.0,-61.0,-133.0
14:42:46,83492.0,AUTO,-10.5,-20.5,-995.0,-3.0,203.0,44.0,0.024710296420380473,-0.32001033052802086,-0.055013250559568405,-0.004287135787308216,0.2020527347922325,0.04388837143778801,-35.363286450000004,149.1652285,32172.5,100.5,66.0,-63.0
14:42:47,140490.0,AUTO,-30.0,-19.75,-999.5,188.25,173.75,-11.25,4.0944432839751244e-05,0.07642904960084707,-0.07285472936928272,0.18725538867875002,0.17312120087444782,-0.011655359994620085,-35.363270875,149.165233825,32587.25,182.0,33.5,-31.75
14:42:48,140490.0,AUTO,-7.5,-26.5,-999.0,-208.0,68.5,-27.0,-0.016214238479733467,0.14529819414019585,-0.07695384323596954,-0.20910394191741943,0.06761952489614487,-0.027099177706986666,-35.3632599,149.16523615,32809.0,57.5,13.0,-13.0
14:42:50,128827.5,AUTO,-1.0,1.0,-1009.5,-43.0,-56.5,-210.5,-0.02940336987376213,-0.07570056989789009,-0.11630816385149956,-0.04356160759925842,-0.05778270773589611,-0.21131918439641595,-35.3632613,149.16523610000002,32953.0,1.5,-32.0,-19.0
14:42:52,117165.0,AUTO,-29.0,-9.5,-1027.5,198.5,7.0,31.0,0.020600267685949802,-0.0895444005727768,-0.4867703914642334,0.19845454394817352,0.006112962495535612,0.030871912371367216,-35.36324995,149.1652247,33687.0,130.5,-83.0,-60.0
14:42:53,135737.0,AUTO,-38.25,-21.75,-1008.0,5.75,21.75,-8.75,0.019888852257281542,-0.06804697029292583,-0.4824863523244858,0.00530326459556818,0.021568466792814434,-0.009300896723289043,-35.3632367,149.16521505,34406.25,170.0,-102.25,-82.75
14:42:54,135737.0,AUTO,-39.0,-29.5,-1008.5,-126.0,9.0,-6.5,0.018798207864165306,-0.0560395922511816,-0.4882565140724182,-0.12723636254668236,0.009160606190562248,-0.0077215684577822685,-35.363220749999996,149.16520375,35268.0,185.0,-113.0,-88.0
14:42:56,164249.5,AUTO,-47.5,-28.5,-1015.0,17.5,4.5,-1.5,0.02217814140021801,-0.035719677805900574,-0.49746063351631165,0.01706710341386497,0.003790883347392082,-0.002675442025065422,-35.36318665,149.16517905,37297.5,187.0,-119.0,-106.5
14:42:58,192762.0,AUTO,-31.5,-18.5,-965.5,-60.5,43.5,-0.5,0.022280032746493816,0.034775919280946255,-0.5045616030693054,-0.061170060420408845,0.04334632493555546,-0.0012514034751802683,-35.3631561,149.16515625,39318.0,129.5,-83.0,-75.0
14:42:59,104425.0,AUTO,-18.75,-21.5,-962.5,-207.0,2.75,-0.75,0.015565591165795922,0.06428353022783995,-0.5075486749410629,-0.2076092364732176,0.0019809496589004993,-0.0012422759318724275,-35.36314645,149.1651492,39911.75,70.25,-44.5,-36.25
14:43:00,104425.0,AUTO,-6.0,-2.5,-979.5,80.5,-35.0,-5.0,0.005879027827177197,0.03604521509259939,-0.5101733803749084,0.08021096885204315,-0.03611809387803078,-0.006103096529841423,-35.36314225,149.16514635,40136.0,23.0,-13.5,-11.0
14:43:02,94807.5,AUTO,-1.5,12.0,-1004.5,47.5,-7.5,1.0,0.00751348293852061,-0.004645769717171788,-0.5162618160247803,0.04694536328315735,-0.008453961912891828,0.0006395678501576185,-35.36314095,149.16514475,40164.0,1.5,0.0,1.5
14:43:04,85190.0,RTL,-3.5,-1.0,-1040.5,-101.0,1.0,5.5,0.028969979844987392,0.0010167452855966985,-0.5232145488262177,-0.10219226777553558,4.548230208456516e-05,0.005190936848521233,-35.36314145,149.1651417,40213.5,12.0,9.0,-17.0
14:43:05,77873.0,RTL,0.25,-7.0,-1047.25,-35.5,1.5,1.5,0.024027603678405285,0.0016385147464461625,-0.5253022015094757,-0.0363884624093771,0.000889728864422068,0.0012225056270835921,-35.3631416,149.16514085,40565.5,14.5,19.25,-59.25
14:43:06,77873.0,RTL,2.5,-6.0,-1041.0,2.0,-1.0,-1.0,0.006368996459059417,0.0019031983683817089,-0.5270497798919678,0.0007521640509366989,-0.0017101190460380167,-0.0019343315507285297,-35.36314125,149.16514175,41400.5,13.5,20.0,-102.0
14:43:08,102840.0,RTL,1.0,-3.0,-991.5,-2.5,5.0,2.5,-0.017388783860951662,0.004142026184126735,-0.5353430509567261,-0.0035669553326442838,0.00468308302515652,0.001449129544198513,-35.363139849999996,149.16514475,44113.5,1.0,-1.5,-146.5
14:43:10,127807.0,RTL,6.5,4.5,-955.5,0.0,38.5,-0.5,-0.008071670075878501,0.06801494769752026,-0.5347778797149658,-0.0009785580914467573,0.03874862752854824,-0.0016108927957247943,-35.36314145,149.16514655,46806.0,-47.0,12.5,-100.0
14:43:11,192923.0,RTL,19.5,12.5,-957.25,3.25,38.5,1.75,-0.011297482764348388,0.10493172146379948,-0.5371449291706085,0.002297995612025261,0.03799195308238268,0.0006546192744281143,-35.3631471,149.16515055,47622.25,-99.25,50.0,-52.25
14:43:12,192923.0,RTL,36.0,8.5,-968.0,-296.0,-24.0,-4.0,-0.02254798822104931,0.11147503554821014,-0.5381398797035217,-0.2969893142580986,-0.02522382966708392,-0.005086604331154376,-35.36315845,149.16515915,47970.5,-161.0,94.0,-17.0
14:43:14,234824.5,RTL,50.0,37.0,-1006.5,15.5,-14.5,-1.5,-0.02698728535324335,0.057891447097063065,-0.5374833643436432,0.015183955430984497,-0.01592095661908388,-0.003023640252649784,-35.3631928,149.165185,48030.0,-211.5,131.0,1.0
14:43:16,276726.0,RTL,46.0,26.5,-1008.5,-31.0,-47.5,-0.5,-0.02402640786021948,0.01684537052642554,-0.5407592952251434,-0.031640827655792236,-0.04851445369422436,-0.001523745246231556,-35.3632303,149.16521245,48031.0,-194.0,125.5,-1.5
14:43:17,178170.0,RTL,37.75,22.5,-995.25,-230.25,-47.0,2.25,-0.02566130179911852,-0.03157329955138266,-0.5409345775842667,-0.23216060362756252,-0.04851327836513519,0.0010766442865133286,-35.3632465,149.16522457499997,48037.0,-151.25,100.5,0.25
14:43:18,178170.0,RTL,21.5,21.0,-1008.5,201.0,-10.0,1.0,-0.007611070526763797,-0.0657994206994772,-0.5415761470794678,0.20020796358585358,-0.010899916291236877,-0.0004963241517543793,-35.36325735,149.16523260000002,48031.5,-83.0,56.0,0.5
14:43:20,235291.0,RTL,0.0,-15.0,-987.0,-332.0,19.5,0.0,0.007391858845949173,-0.01122585590928793,-0.5429126024246216,-0.3329806476831436,0.01925750495865941,-0.0011880138190463185,-35.363264,149.1652368,48016.0,-2.0,9.0,0.0
14:43:22,292412.0,RTL,0.5,0.5,-991.5,166.5,-19.0,1.5,0.01262414874508977,-0.004417079850099981,-0.5430129170417786,0.16464414820075035,-0.020212663104757667,0.0003684397670440376,-35.363264900000004,149.16523740000002,48030.0,3.0,12.0,0.0
14:43:23,190070.0,RTL,-0.25,-9.75,-999.75,-71.0,4.25,-4.0,0.007271524576935917,-0.009097734582610428,-0.54400734603405,-0.0724736712872982,0.00382851084577851,-0.005544922809349373,-35.363265,149.1652378,48029.75,10.0,7.5,0.0
14:43:24,190070.0,RTL,-2.0,22.5,-1003.5,361.0,5.0,-0.5,0.010316769126802683,-0.003885732381604612,-0.5443847179412842,0.3590721823275089,0.004580696579068899,-0.002340444189030677,-35.3632646,149.16523775000002,48029.5,13.0,4.5,0.5
14:43:26,105808.0,RTL,-1.5,-3.0,-964.0,-48.5,0.5,-6.5,0.020494957454502583,-0.0007528521819040179,-0.5453115701675415,-0.050683677196502686,0.0001386325602652505,-0.008442735765129328,-35.3632641,149.16523625,48036.0,12.0,9.0,2.0
14:43:28,21546.0,RTL,1.0,63.5,-942.5,788.0,5.0,0.0,0.008336320985108614,0.00217903294833377,-0.5475810766220093,0.7841203510761261,0.004495154251344502,-0.001376395783154294,-35.36326365,149.16523575,47186.0,16.0,18.5,94.5
14:43:29,24558.0,RTL,2.0,45.75,-1002.75,261.5,4.75,4.25,-0.010189791559241712,0.002563687536166981,-0.5486858487129211,0.25741202011704445,0.004181092721410096,0.0030418458627536893,-35.363262975,149.1652368,46150.0,11.5,12.5,104.0
14:43:30,24558.0,RTL,4.0,32.0,-977.0,-15.5,2.0,-4.0,-0.026279977057129145,0.0032717150170356035,-0.5495076179504395,-0.019655749201774597,0.0009692662861198187,-0.005057064350694418,-35.36326215,149.1652383,45164.0,6.0,4.5,87.5
14:43:32,150070.0,RTL,0.0,-40.5,-950.0,-1200.5,-7.0,-1.5,-0.04733438417315483,-0.002482122799847275,-0.5501442849636078,-1.2033356428146362,-0.008373915450647473,-0.003029162937309593,-35.363261,149.16524095,43150.0,-9.5,-21.0,96.5
14:43:34,275582.0,RTL,-2.5,-48.5,-1020.0,-634.5,2.0,0.5,-0.0018993348348885775,-0.004740176256746054,-0.5505542159080505,-0.6339437472634017,0.0016926014795899391,-0.000700115691870451,-35.36326165,149.16524005,41063.0,-8.5,-22.5,95.0
14:43:35,142669.0,RTL,0.0,-21.5,-1002.0,347.5,-1.25,-2.25,0.014223195612430573,-0.002823067217832431,-0.5514013022184372,0.34793201461434364,-0.001479490521887783,-0.003769895469304174,-35.363261949999995,149.16523922500002,40039.0,-5.0,-18.25,97.0
14:43:36,142669.0,RTL,-1.5,-39.5,-1007.5,-304.5,-2.0,17.0,0.0017829034040914848,-0.0026303596096113324,-0.5513235926628113,-0.3051636591553688,-0.0028406079800333828,0.01656957936938852,-35.36326205,149.16523885,39069.5,-2.0,-13.0,86.5
14:43:38,201927.5,RTL,-1.5,-1.0,-985.0,678.0,-1.0,0.0,0.038004825823009014,-0.0050939449574798346,-0.5509945452213287,0.6785178780555725,-0.0015192099381238222,-0.0016964549431577325,-35.363263200000006,149.16523665,37071.5,3.5,-1.5,99.5
14:43:40,261186.0,RTL,2.5,-25.0,-976.5,385.0,-2.5,-3.5,0.006171763525344431,0.004574980237521231,-0.5510305166244507,0.38583238422870636,-0.003046413417905569,-0.004815004009287804,-35.363262500000005,149.16523725,35017.5,8.5,6.0,99.5
14:43:41,131970.0,RTL,2.0,-52.25,-988.75,-259.5,-5.25,0.75,-0.016212994931265712,0.0036884897854179144,-0.5515096485614777,-0.25968803092837334,-0.005550011235754937,-0.0010850388498511165,-35.36326155,149.16523884999998,34000.5,0.0,-3.75,97.75
14:43:42,131970.0,RTL,0.0,-16.0,-955.0,494.5,-1.0,0.0,-0.003879039315506816,0.0004691216272476595,-0.5521735548973083,0.4949798732995987,-0.0015775333158671856,-0.0013928392436355352,-35.363261249999994,149.16523955,32971.0,-6.5,-12.0,98.5
14:43:44,200408.0,RTL,-1.5,49.5,-1042.5,1244.0,-0.5,4.5,0.006797691574320197,-0.002584255998954177,-0.5529201030731201,1.2438124418258667,-0.0008096264355117455,0.00389794260263443,-35.36326135,149.1652396,30931.0,-8.5,-15.5,99.0
14:43:46,268846.0,RTL,-0.5,45.5,-1046.0,1131.5,2.5,3.0,0.03761178068816662,-0.0028240373358130455,-0.5525302290916443,1.1308060586452484,0.0026465249829925597,0.0016624063136987388,-35.363262899999995,149.16523660000001,28879.5,2.0,0.5,99.0
14:43:47,94885.0,RTL,-2.25,73.5,-1013.25,1193.5,1.5,4.0,0.02217276208102703,-0.0013661070261150599,-0.5530942529439926,1.1912928521633148,0.0015409075422212481,0.0028755711391568184,-35.363263175,149.165235975,27866.0,8.75,10.75,97.75
14:43:48,94885.0,RTL,-2.5,61.5,-980.0,1124.0,-1.0,-0.5,0.03062610514461994,-0.002873265533708036,-0.5529488027095795,1.1221350133419037,-0.0015831644122954458,-0.002192500338423997,-35.36326365,149.16523515,26861.0,10.5,15.0,96.5
14:43:50,112458.0,RTL,-2.5,27.5,-1000.0,-247.0,2.0,12.5,0.03455045260488987,-0.0027208818355575204,-0.5526320338249207,-0.25146186351776123,0.0015749073645565659,0.011755120474845171,-35.36326485,149.1652326,24823.5,23.0,34.5,104.5
14:43:52,130031.0,RTL,0.0,-23.5,-967.0,-1105.5,-5.0,14.5,0.028772332705557346,-8.121327846311033e-05,-0.5533681511878967,-1.1102136373519897,-0.004998133750632405,0.013143959746230394,-35.363265350000006,149.16523139999998,22721.5,30.5,47.5,107.5
14:43:53,48122.0,RTL,1.5,-11.75,-980.5,-798.25,6.0,-0.75,0.021940402686595917,0.0035613427171483636,-0.5524265468120575,-0.803829550743103,0.005968991754343733,-0.002524309791624546,-35.36326515,149.165231525,21696.25,32.75,51.0,102.75
14:43:54,48122.0,RTL,4.0,-9.5,-1043.0,-709.0,1.5,2.0,0.006785545265302062,0.007118230918422341,-0.5524613261222839,-0.7150221168994904,0.0009801522828638554,0.0004773831460624933,-35.3632642,149.16523310000002,20717.5,29.0,45.5,96.5
14:43:56,154095.0,RTL,2.5,-33.0,-995.0,-1209.5,-1.5,-10.0,-0.0228472538292408,0.003903811564669013,-0.5518953800201416,-1.2151431441307068,-0.0019399258744670078,-0.012400883017107844,-35.363262399999996,149.16523684999999,18704.5,9.0,17.5,102.0
14:43:58,260068.0,RTL,4.0,-46.5,-1019.5,-88.5,-0.5,-6.0,-0.014658269938081503,0.004423890728503466,-0.5512058436870575,-0.09080696105957031,-0.0014838450006209314,-0.007929039653390646,-35.3632612,149.1652396,16533.5,-3.5,-6.5,108.0
14:43:59,28430.0,RTL,3.25,-21.5,-986.75,292.0,-0.5,-5.75,-0.018475375836715102,0.00382953358348459,-0.5524280071258545,0.2899451497942209,-0.0013545372057706118,-0.007494343008147553,-35.363260499999996,149.165240975,15524.25,-11.75,-19.5,99.75
14:44:00,28430.0,RTL,1.5,-41.5,-1036.0,-113.0,-7.0,-13.5,-0.03248752560466528,0.0028913014684803784,-0.5523967146873474,-0.11503491550683975,-0.007590376539155841,-0.015589673072099686,-35.363259799999994,149.16524235,14575.5,-18.5,-29.5,95.0
14:44:02,162596.5,RTL,0.0,-38.5,-971.5,39.0,0.5,-5.0,-0.01677833590656519,0.0006674124306300655,-0.5523324906826019,0.0386977344751358,0.00020242901518940926,-0.006033746059983969,-35.3632598,149.16524245,12583.0,-24.5,-40.5,99.0
14:44:04,296763.0,RTL,-1.0,-30.0,-1039.0,-478.5,-2.0,-5.5,-0.036749896593391895,-3.673154424177483e-05,-0.553356796503067,-0.47986479848623276,-0.002563661924796179,-0.006897975748870522,-35.3632596,149.16524275,10866.0,-27.0,-43.0,48.5
14:44:05,228670.0,RTL,-2.5,27.0,-990.75,458.75,-0.75,5.75,-0.0231000492349267,-0.0017480345559306443,-0.5534766465425491,0.45716947317123413,-0.0011766132956836373,0.0044391967239789665,-35.363259825,149.1652423,10469.25,-27.0,-42.0,35.0
14:44:06,228670.0,RTL,-4.0,-36.0,-961.0,-415.0,-1.0,3.0,-0.009074120782315731,-0.003926931880414486,-0.553175687789917,-0.41490480303764343,-0.0018507902277633548,0.0023028748109936714,-35.3632604,149.1652414,10241.0,-26.0,-39.0,37.0
14:44:08,196010.5,RTL,-1.6666666666666667,-34.333333333333336,-1002.6666666666666,-701.3333333333334,3.0,1.6666666666666667,0.008511748475333055,-0.000985646542782585,-0.5529336134592692,-0.7024716138839722,0.0026300669026871524,0.0001882062836860617,-35.36326233333333,149.1652373,9441.666666666666,-4.0,-8.0,32.666666666666664
14:44:10,163351.0,RTL,2.0,33.0,-1013.0,906.0,0.0,0.0,0.004127079155296087,0.004217284265905619,-0.5520300269126892,0.905406653881073,0.00035692204255610704,-0.0015468108467757702,-35.363262,149.1652374,8889.0,0.0,1.0,33.0
14:44:11,250517.0,RTL,0.0,1.25,-990.0,131.5,-1.5,2.0,-0.0032643165504850913,0.0019369726069271564,-0.5524153858423233,0.1308525037020445,-0.002728672232478857,0.00046086692600511014,-35.36326175,149.1652379,8796.75,-4.25,-2.25,-2.75
14:44:12,250517.0,RTL,-1.3333333333333333,5.666666666666667,-1001.6666666666666,42.666666666666664,2.6666666666666665,3.6666666666666665,0.00033389823511242867,0.0010043966855543356,-0.5525968273480734,0.04127058883508047,0.0027172994353653244,0.0024647058065359793,-35.36326183333333,149.1652377,8799.666666666666,-4.333333333333333,-2.0,-0.6666666666666666
14:44:14,225053.5,RTL,-1.0,23.0,-1010.0,613.0,6.0,2.0,0.018554385751485825,0.002283695852383971,-0.5522835850715637,0.6124101877212524,0.00596838491037488,0.00042377260979264975,-35.3632622,149.1652369,8800.0,-1.0,3.0,0.0
14:44:16,199590.0,RTL,-1.0,-20.0,-999.0,-494.0,1.0,1.0,0.009652422741055489,0.0012074654805473983,-0.552788496017456,-0.495793417096138,0.00027439917903393507,-0.0010061461362056434,-35.36326255,149.1652361,8801.0,1.0,9.5,0.0
14:44:17,219517.0,RTL,-0.25,-28.5,-968.25,-448.5,2.25,0.5,0.012368592200800776,0.002745328180026263,-0.5528622269630432,-0.4496031254529953,0.00192052309284918,-0.001444582943804562,-35.363262725,149.165235675,8764.75,3.5,12.75,15.25
14:44:18,219517.0,RTL,0.0,-8.0,-989.0,-525.0,0.5,2.0,0.0008610725053586066,0.0029180599376559258,-0.55336594581604,-0.5282969027757645,-1.8122780602425337e-05,0.0007832784904167056,-35.3632628,149.16523565,8549.5,5.5,15.5,39.0
14:44:20,205280.5,RTL,-1.0,7.0,-1016.5,-335.0,0.0,4.5,0.010168516542762518,0.00026401018840260804,-0.5538278520107269,-0.33797983452677727,-0.00038434891030192375,0.0030825333669781685,-35.36326305,149.16523525000002,7794.0,6.5,18.5,33.5
14:44:22,191044.0,RTL,-0.5,-40.0,-981.5,-320.5,1.0,1.0,0.03614622540771961,8.149506993504474e-05,-0.5535959005355835,-0.32250772416591644,0.0005223613698035479,-0.0007072063162922859,-35.363263849999996,149.1652339,7185.5,13.5,26.5,31.0
14:44:23,245057.0,RTL,0.5,16.0,-1009.25,9.0,4.75,4.0,0.028033295180648565,0.0016434969002148136,-0.5528791695833206,0.005358867347240448,0.004387034103274345,0.002215944230556488,-35.363264275,149.165233175,6756.5,19.5,35.0,33.0
14:44:24,245057.0,RTL,3.0,2.5,-991.0,472.0,5.5,0.0,0.033073064871132374,0.003989938762970269,-0.5526380240917206,0.4696768596768379,0.004641326842829585,-0.002191172738093883,-35.363264,149.16523360000002,6500.5,20.5,35.5,33.0
14:44:26,245057.0,RTL,4.0,23.5,-1006.5,852.0,4.0,3.0,0.0031434661359526217,0.0067878239788115025,-0.5519509017467499,0.8495552837848663,0.0037951638223603368,0.001077882363460958,-35.363262250000005,149.16523675,5817.5,8.0,17.5,31.5
14:44:27,118761.0,RTL,3.25,-32.5,-1011.75,-624.75,-1.25,-2.75,-0.02292466163635254,0.004932057694531977,-0.5526463389396667,-0.6282066181302071,-0.002238257395219989,-0.004883117828285322,-35.3632613,149.16523885,5396.25,-2.75,-0.5,33.0
14:44:28,118761.0,RTL,1.5,29.5,-1012.0,258.5,4.5,4.5,-0.027275508269667625,0.0038607310270890594,-0.5527788996696472,0.25443775579333305,0.004416083334945142,0.0031136443139985204,-35.3632608,149.16523995,5146.5,-7.5,-8.0,32.5
14:44:30,282869.0,RTL,-1.0,-9.5,-996.0,-606.0,-2.0,2.5,-0.021838340908288956,-0.0020794737502001226,-0.5531902313232422,-0.6102612167596817,-0.0033142571337521076,0.0009190916316583753,-35.36326095,149.16524040000002,4463.0,-14.5,-22.5,36.0
14:44:32,282869.0,RTL,-3.0,3.5,-1006.0,450.0,0.0,2.0,0.013286064378917217,-0.002269510878250003,-0.5532813668251038,0.44873420894145966,-0.00034607277484610677,0.00033510092180222273,-35.363261699999995,149.16523895,3723.5,-8.5,-15.5,32.5
14:44:33,185420.0,RTL,-3.0,8.5,-995.75,-248.25,2.0,4.5,0.00620851317216875,-0.0016835325513966382,-0.553251788020134,-0.25131920957937837,0.0012441449944162741,0.0028308812179602683,-35.363262299999995,149.16523755,3306.75,-2.5,-5.0,32.0
