time_stamp,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
01:50:31,AUTO,0.0,1.0,-1000.0,0.0,0.0,1.0,117353.0,-35.3632622,149.1652376,0.0,-1.0,2.0,2.0,-0.001042823656462133,0.000995698501355946,0.02148859202861786,0.00019596354104578495,0.00021113618277013302,0.0014528119936585426
01:50:33,AUTO,0.0,1.5,-1000.0,0.5,0.0,0.5,233206.0,-35.3632621,149.16523745,0.0,0.0,-0.5,0.5,-0.0009175367595162243,0.0012585520162247121,0.021201614290475845,0.0002312404685653746,0.00028833013493567705,0.0015320436796173453
01:50:34,AUTO,0.0,1.5,-1000.0,0.25,0.25,0.0,180522.0,-35.3632621,149.1652374,0.0,0.0,-0.25,0.0,-0.0006491677922895178,0.0015275537152774632,0.021015026606619358,0.00028527276299428195,0.0002725100057432428,0.0014240294985938817
01:50:35,AUTO,0.0,1.0,-1064.5,-2.0,2.5,0.5,180522.0,-35.3632621,149.16523745,99.5,0.0,0.0,-35.5,0.0010944162495434284,0.0009129006321018096,0.020775814540684223,-0.0028826515772379935,0.002370055502979085,0.001468059839680791
01:50:37,AUTO,0.0,-5.0,-1000.0,20.5,4.5,-18.0,100495.0,-35.363261800000004,149.1652387,2353.0,4.5,26.5,-148.0,0.04729398339986801,-0.006081845727749169,0.006911411182954907,0.01994242612272501,0.004007665906101465,-0.017435007845051587
01:50:39,AUTO,2.0,-1.0,-1001.0,-5.0,-13.5,-17.0,20468.0,-35.36326095,149.16524585000002,5413.0,-1.5,0.5,-149.5,-0.05769952945411205,0.001013179775327444,-0.08643515780568123,-0.0053264666348695755,-0.014724601060152054,-0.016906230710446835
01:50:40,AUTO,-5.75,8.5,-1001.75,61.75,8.25,-1.75,199480.0,-35.363261125,149.16524305000002,6954.5,-2.75,-52.5,-149.5,-0.03654717328026891,-0.0050507173291407526,-0.09480899013578892,0.06181272864341736,0.008081428444711491,-0.0017119594776886515
01:50:41,AUTO,-4.5,10.5,-1003.5,65.5,10.5,2.0,199480.0,-35.3632616,149.16523684999999,8503.5,-8.0,-46.0,-152.5,0.028147402917966247,0.006346686859615147,-0.09388525038957596,0.06559539586305618,0.01015192735940218,0.003234678879380226
01:50:43,AUTO,1.5,-5.0,-1003.0,-41.5,16.0,-33.5,139976.5,-35.3632626,149.1652359,11605.0,5.5,19.5,-150.0,-0.010007899953052402,-0.007861156715080142,-0.08839620649814606,-0.04229899880010635,0.015437629539519548,-0.03362515661865473
01:50:45,AUTO,-1.5,0.5,-999.5,13.0,3.0,-15.5,80473.0,-35.363261449999996,149.165236,14714.5,1.0,-6.5,-152.5,0.00537354382686317,0.008227717597037554,-0.15008770674467087,0.01317919371649623,0.0025483850622549653,-0.01581422332674265
01:50:46,AUTO,-0.25,0.0,-1000.0,0.0,-1.25,-8.5,132941.0,-35.36326135,149.16523542500002,16273.25,-3.25,0.75,-152.0,0.01001832028850913,0.006770428270101547,-0.1604706048965454,-0.0009219046332873404,-0.002399155666353181,-0.00877480092458427
01:50:47,AUTO,0.5,0.0,-1000.0,-3.5,0.0,-15.0,132941.0,-35.363261550000004,149.1652355,17829.5,-4.0,5.5,-152.0,0.00536273093894124,0.004185172030702233,-0.17234399169683456,-0.0048369846772402525,-0.0011094381916336715,-0.015364806167781353
01:50:49,AUTO,0.0,0.0,-1000.0,1.0,0.5,-21.0,159509.0,-35.3632618,149.16523619999998,20947.5,-2.5,3.5,-153.0,0.001366303418762982,0.0026323749916628003,-0.2107507586479187,2.5809509679675102e-05,0.00041188098839484155,-0.021201766096055508
01:50:51,AUTO,0.0,0.0,-1000.0,1.5,0.5,-17.5,186077.0,-35.363261949999995,149.16523654999997,24067.5,-1.5,3.0,-153.0,0.0021546570351347327,0.0022533738519996405,-0.2509622722864151,0.000869573763338849,-0.00039919069968163967,-0.017853623256087303
01:50:52,AUTO,0.0,-0.25,-997.5,-6.25,4.75,11.75,99180.0,-35.363262025,149.16523662499998,25617.75,-3.0,0.0,-152.5,-0.0034212222672067583,0.004721818491816521,-0.25774675607681274,-0.007122872048057616,0.004054330551298335,0.01227897423086688
01:50:53,AUTO,0.5,0.5,-999.5,5.0,-0.5,24.5,99180.0,-35.3632623,149.1652365,27172.5,-4.0,3.0,-153.0,0.009033672045916319,0.00264860998140648,-0.2354084849357605,0.004439002368599176,-0.0017259982705581933,0.0252575920894742
01:50:55,AUTO,0.0,-0.5,-1000.5,-0.5,0.0,18.0,143990.5,-35.36326235,149.1652376,30274.5,0.0,6.5,-152.5,-0.0001871823042165488,0.0016744217718951404,-0.19243865460157394,-0.0014178766869008541,-0.0006208510312717408,0.018662629649043083
01:50:57,AUTO,0.0,0.0,-999.5,-0.5,0.5,13.5,188801.0,-35.3632623,149.165238,33387.5,0.0,0.5,-153.0,0.00013094650057610124,0.0013515637256205082,-0.16034014523029327,-0.0016678900574333966,-0.0003113335696980357,0.0139771425165236
01:50:58,AUTO,-0.25,0.75,-978.0,-76.25,63.75,279.75,274273.0,-35.363262325,149.16523782500002,34922.5,-5.5,-4.75,-145.25,-0.023134562725317664,0.027365905552869663,-0.07412618584930897,-0.07752456446178257,0.0629596653743647,0.28001755359582603
01:50:59,AUTO,1.5,7.0,-950.5,63.0,-112.0,125.5,274273.0,-35.36326385,149.1652354,36186.5,-23.5,-28.5,-102.5,-0.014558271504938602,0.0008015446364879608,0.19071358442306519,0.06291685998439789,-0.11366107501089573,0.12557832803577185
01:51:01,AUTO,-2.0,-17.5,-978.5,-65.0,34.5,-20.0,266193.5,-35.3632635,149.1652344,37529.0,20.5,25.5,-38.0,0.022825890220701694,-0.006184517405927181,0.1708843782544136,-0.06616877531632781,0.033773280680179596,-0.02065921761095524
01:51:03,AUTO,1.5,-13.0,-956.5,-397.0,9.5,-8.0,258114.0,-35.363261,149.1652384,37792.0,2.0,4.0,9.0,-0.02298455499112606,0.003390044905245304,0.1348513662815094,-0.3984741121530533,0.008696306496858597,-0.007953142980113626
01:51:04,AUTO,-5.75,-1.0,-1017.0,98.0,-57.25,-5.5,156268.0,-35.3632603,149.16523800000002,37692.0,29.0,-8.75,0.5,-0.005335760273737833,-0.06845287326723337,0.12864938750863075,0.09684907644987106,-0.058828722685575485,-0.005683824769221246
01:51:05,AUTO,-21.5,-17.0,-1011.5,-245.0,-49.0,-2.5,156268.0,-35.3632545,149.16523719999998,37735.5,106.5,-7.0,-11.0,-0.001514824340119958,-0.11498667299747467,0.12096389383077621,-0.24639776349067688,-0.050712818279862404,-0.0024951898958534002
01:51:07,AUTO,-65.5,-34.5,-1016.5,-149.5,-25.5,-8.0,97852.0,-35.363217399999996,149.16523619999998,38160.0,324.0,-3.5,-34.5,0.016967430245131254,-0.18502136319875717,0.10286197811365128,-0.15157467126846313,-0.026985954493284225,-0.008819220587611198
01:51:09,AUTO,-102.5,-53.5,-1002.5,4.0,37.0,-64.5,39436.0,-35.3631403,149.16523525,39116.0,524.0,-4.5,-60.0,0.043947458267211914,-0.17418528348207474,0.0559756038710475,0.0030759734800085425,0.03594806184992194,-0.0654730536043644
01:51:10,AUTO,-101.5,-64.0,-952.5,10.0,-97.75,-142.0,218613.0,-35.363090975,149.16523415,39742.5,577.0,-9.75,-55.5,0.07038338202983141,-0.17656656354665756,-0.05204860802041367,0.009058126248419285,-0.09887998085469007,-0.14285949245095253
01:51:11,AUTO,-104.5,-98.5,-981.0,12.5,87.0,-166.5,218613.0,-35.363034799999994,149.1652325,39998.0,670.5,-13.0,-5.0,0.12631993368268013,-0.20149479061365128,-0.2334851697087288,0.011811567470431328,0.08596805483102798,-0.1670883297920227
01:51:13,AUTO,-109.5,-118.0,-989.5,0.5,-39.0,53.0,151871.5,-35.362908700000006,149.16523304999998,40853.5,682.0,20.5,-76.0,0.11040707305073738,-0.07631518878042698,-0.27952244877815247,-0.0008296213345602155,-0.04060875345021486,0.05326941795647144
01:51:15,AUTO,-118.0,-111.5,-999.0,2.5,24.0,20.0,85130.0,-35.36278635,149.16523675,42137.5,681.5,4.5,-59.0,0.09146760404109955,-0.11649252101778984,-0.22180930525064468,0.0016018711030483246,0.023381689563393593,0.019924785010516644
01:51:16,AUTO,-107.25,-121.5,-994.5,0.0,4.0,21.5,12735.0,-35.3627247,149.165237175,42777.0,678.25,-3.25,-66.5,0.09652886353433132,-0.11067393235862255,-0.2011781893670559,-0.0011760278139263391,0.0031478051096200943,0.021436545066535473
01:51:17,AUTO,-112.0,-87.5,-990.0,-11.0,35.0,20.0,12735.0,-35.36266345,149.1652371,43462.5,675.5,-5.0,-68.5,0.09527384862303734,-0.10922419652342796,-0.18070221692323685,-0.012260464951395988,0.03390481695532799,0.02022638963535428
01:51:19,AUTO,-116.0,-97.5,-1036.0,-22.5,69.0,16.0,25665.5,-35.3625458,149.16523669999998,45196.0,606.0,-5.0,-114.0,0.07361126691102982,-0.04012285079807043,-0.15028925985097885,-0.02399078942835331,0.06843123771250248,0.015780960209667683
01:51:21,AUTO,-82.0,-43.0,-942.0,13.0,42.5,278.0,38596.0,-35.3624514,149.16523725000002,47854.0,432.5,21.5,-118.5,0.08883216604590416,0.016653256956487894,0.0881282240152359,0.011769082397222519,0.041328318417072296,0.2775581330060959
01:51:22,AUTO,-64.25,-32.75,-933.75,-43.25,49.0,-9.0,28465.0,-35.362416925,149.165240525,48741.5,311.75,26.5,-51.5,0.0340104007627815,0.09792603179812431,0.25318076461553574,-0.04434792697429657,0.04827903211116791,-0.010171497007831931
01:51:23,AUTO,-39.0,-13.0,-984.5,-85.5,-39.5,-25.0,28465.0,-35.3623957,149.16524099999998,48975.0,170.5,-14.0,-6.5,0.00814995466498658,0.09680474922060966,0.2211877927184105,-0.08694690465927124,-0.04152564238756895,-0.026270146016031504
01:51:25,AUTO,-6.0,-2.5,-1008.5,-147.5,-14.0,-18.0,160369.0,-35.36238145,149.16523619999998,48997.5,24.5,-17.5,-2.0,0.011808440089225769,0.022795540280640125,0.1805846244096756,-0.1487230286002159,-0.01579401921480894,-0.01982281357049942
01:51:27,AUTO,-1.0,-3.0,-999.0,-28.0,-4.0,-6.0,292273.0,-35.36238075,149.16523425,48985.0,2.0,-3.0,-1.0,0.007704813266173005,-0.005384993506595492,0.14720258116722107,-0.02923226449638605,-0.005289667285978794,-0.00746427895501256
01:51:28,RTL,-2.5,-5.75,-1006.25,-20.25,6.5,-5.75,220665.0,-35.362380599999995,149.16523345000002,48985.0,8.5,0.75,-1.75,0.007140695000998676,-0.011525017296662554,0.13403219729661942,-0.020895905792713165,0.00561349093914032,-0.007308506756089628
01:51:29,RTL,-1.5,1.5,-1025.5,-158.0,1.5,-6.5,220665.0,-35.3623799,149.16523275,49046.0,8.0,6.0,-17.0,0.008434606716036797,0.003358644898980856,0.122918501496315,-0.1593669354915619,0.0010065053647849709,-0.008169957669451833
