time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,chan4_raw,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
17:09:49,1500.0,-0.00027876805688720196,0.0011326380190439522,0.02150416187942028,0.000276787206530571,0.00026125196018256247,0.0014581307768821716,-35.3632621,149.1652375,17.0,0.0,0.0,-1.5,1500.0,0.0,1.0,-1000.0,0.5,0.5,0.0,AUTO
17:09:51,1500.0,0.0005368505662772804,0.0016828187508508563,0.020816784352064133,0.000359275727532804,0.0002628107031341642,0.0014884979464113712,-35.3632621,149.1652375,7.5,0.0,1.0,0.0,1500.0,0.0,1.0,-1000.0,0.5,0.5,0.0,AUTO
17:09:57,1500.0,0.000568881630897522,0.008075183723121881,-0.10929359123110771,0.06851579621434212,0.01089096860960126,-0.0005629847582895309,-35.363261449999996,149.16523934999998,7715.5,-13.0,-59.5,-149.5,1500.0,-6.5,13.0,-1003.5,69.0,11.0,-0.5,AUTO
17:10:01,1500.0,0.018819978926330805,-0.018157722428441048,-0.27082154154777527,0.03879888169467449,-0.0246120048686862,-0.019861947279423475,-35.3632653,149.1652353,13911.5,-12.0,-15.0,-151.5,1500.0,0.0,5.0,-1001.5,39.0,-23.0,-19.5,AUTO
17:10:03,1500.0,0.032778892666101456,-0.009876775555312634,-0.2923129200935364,-0.03942607715725899,0.04426970332860947,-0.05328119546175003,-35.3632613,149.1652362,16825.0,56.0,29.0,-149.0,1500.0,-5.0,-14.0,-1001.0,-38.0,44.0,-53.0,AUTO
17:10:07,1500.0,0.06459466740489006,0.03221546299755573,-0.38093823194503784,0.06616609543561935,-0.026624235324561596,0.005694979568943381,-35.3632591,149.1652316,23249.0,-60.5,8.0,-153.0,1500.0,7.5,11.5,-1001.5,66.5,-25.0,5.0,AUTO
17:10:11,1500.0,0.03622348885983229,0.053562698885798454,-0.2785654738545418,0.08626347407698631,0.11074148304760456,0.6049691140651703,-35.363259,149.1652306,29382.0,-1.5,-74.5,-144.5,1612.0,-14.0,12.0,-997.0,86.5,111.0,604.0,AUTO
17:10:13,1500.0,0.03202010132372379,-0.07529318332672119,1.0519502460956573,0.07927491888403893,0.0630934126675129,0.7630163431167603,-35.3632622,149.16522755,32363.0,3.5,56.0,-142.0,1612.0,-2.0,-8.0,-995.0,71.0,44.0,754.0,AUTO
17:10:15,1500.0,0.006526298820972443,0.11976037174463272,1.715506136417389,-0.07955549657344818,0.07981741242110729,-0.030656435526907444,-35.363263849999996,149.1652397,35383.0,-15.0,-10.0,-151.5,1500.0,0.0,-5.0,-995.0,-78.0,80.5,-30.0,AUTO
17:10:17,1500.0,0.0014446090208366513,-0.05897920019924641,1.669512689113617,0.020309416577219963,-0.08330380916595459,-0.06566635705530643,-35.36326149999999,149.165224,38399.5,23.0,-63.5,-153.0,1500.0,12.5,11.0,-1008.5,21.0,-82.0,-65.0,AUTO
17:10:19,1500.0,0.028125938028097153,-0.06327682361006737,1.5518056154251099,-0.00655850232578814,0.08575360104441643,-0.07598236948251724,-35.3632607,149.16522995,41465.0,-15.5,111.5,-145.0,1500.0,-19.0,-14.0,-1002.5,-5.0,86.5,-75.5,AUTO
