,A.AUTO1
17:10:34.703,-1
17:10:34.904,-1
17:10:35.106,-1
17:10:35.308,-1
17:10:35.510,-1
17:10:35.713,-1
17:10:35.918,-1
17:10:36.119,-1
17:10:36.320,-1
17:10:36.521,-1
17:10:36.723,-1
17:10:36.925,-1
17:10:37.125,-1
17:10:37.330,-1
17:10:37.530,-1
17:10:37.732,-1
17:10:37.934,-1
17:10:38.135,-1
17:10:38.337,-1
17:10:38.538,-1
17:10:38.739,-1
17:10:38.940,-1
17:10:39.141,-1
17:10:39.342,-1
17:10:39.545,-1
17:10:39.747,-1
17:10:39.948,-1
17:10:40.150,-1
17:10:40.352,-1
17:10:40.554,-1
17:10:40.756,-1
17:10:40.957,-1
17:10:41.158,-1
17:10:41.360,-1
17:10:41.562,-1
17:10:41.765,-1
17:10:41.968,-1
17:10:42.169,-1
17:10:42.370,-1
17:10:42.571,-1
17:10:42.772,-1
17:10:42.973,-1
17:10:43.174,-1
17:10:43.377,-1
17:10:43.578,-1
17:10:43.780,-1
17:10:43.981,-1
17:10:44.190,-1
17:10:44.391,-1
17:10:44.593,-1
17:10:44.795,-1
17:10:44.996,-1
17:10:45.197,-1
17:10:45.400,-1
17:10:45.602,-1
17:10:45.805,-1
17:10:46.006,-1
17:10:46.208,-1
17:10:46.409,-1
17:10:46.610,-1
17:10:46.811,-1
17:10:47.012,-1
17:10:47.213,-1
17:10:47.415,-1
17:10:47.616,-1
17:10:47.820,-1
17:10:48.022,-1
17:10:48.224,-1
17:10:48.425,-1
17:10:48.628,-1
17:10:48.829,-1
17:10:49.031,-1
17:10:49.235,-1
17:10:49.437,-1
17:10:49.640,-1
17:10:49.845,-1
17:10:50.050,-1
17:10:50.251,-1
17:10:50.452,-1
17:10:50.653,-1
17:10:50.855,-1
17:10:51.056,-1
17:10:51.258,-1
17:10:51.459,-1
17:10:51.660,-1
17:10:51.862,-1
17:10:52.063,-1
17:10:52.264,-1
17:10:52.465,-1
17:10:52.666,-1
17:10:52.867,-1
17:10:53.068,-1
17:10:53.270,-1
17:10:53.471,-1
17:10:53.672,-1
17:10:53.874,-1
17:10:54.074,-1
17:10:54.275,-1
17:10:54.478,-1
17:10:54.680,-1
17:10:54.881,-1
17:10:55.083,-1
17:10:55.285,-1
17:10:55.487,-1
17:10:55.691,-1
17:10:55.896,-1
17:10:56.100,-1
17:10:56.302,-1
17:10:56.503,-1
17:10:56.704,-1
17:10:56.905,-1
17:10:57.107,-1
17:10:57.309,-1
17:10:57.511,-1
17:10:57.714,-1
17:10:57.916,-1
17:10:58.117,-1
17:10:58.318,-1
17:10:58.519,-1
17:10:58.720,-1
17:10:58.922,-1
17:10:59.124,-1
17:10:59.326,-1
17:10:59.527,-1
17:10:59.729,-1
17:10:59.931,-1
17:11:00.132,-1
17:11:00.334,-1
17:11:00.535,-1
17:11:00.738,-1
17:11:00.941,-1
17:11:01.143,-1
17:11:01.346,-1
17:11:01.550,-1
17:11:01.754,-1
17:11:01.957,-1
17:11:02.159,-1
17:11:02.360,-1
17:11:02.561,-1
17:11:02.763,-1
17:11:02.964,-1
17:11:03.166,-1
17:11:03.367,-1
17:11:03.568,-1
17:11:03.770,-1
17:11:03.971,-1
17:11:04.173,-1
17:11:04.376,-1
17:11:04.578,-1
17:11:04.779,-1
17:11:04.980,-1
17:11:05.182,-1
17:11:05.383,-1
17:11:05.586,-1
17:11:05.788,-1
17:11:05.990,-1
17:11:06.192,-1
17:11:06.394,-1
17:11:06.595,-1
17:11:06.797,-1
17:11:06.999,-1
17:11:07.201,-1
17:11:07.403,-1
17:11:07.605,-1
17:11:07.807,-1
17:11:08.009,-1
17:11:08.212,-1
17:11:08.414,-1
17:11:08.616,-1
17:11:08.817,-1
17:11:09.018,-1
17:11:09.220,-1
17:11:09.422,-1
17:11:09.623,-1
