,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
18:21:09.662,0.7,0.1,34.0,2006.0,0.1,0.0,0.0,40.0,40.0,190.0,8.0,38.0,38.0,29.0,5.0,110.0,42.0,15.0,9.0,76.0,2.0,88.0,0.0,1.0,40.0
18:21:15.429,0.4,0.1,112.0,3234.0,0.1,0.0,0.0,10.0,50.0,220.0,39.0,28.0,14.0,60.0,53.0,62.0,45.0,53.0,13.0,21.0,21.0,29.0,0.0,1.0,20.0
18:21:19.798,0.9,0.1,86.0,743.0,0.1,0.0,0.0,100.0,20.0,60.0,78.0,47.0,17.0,21.0,84.0,60.0,45.0,3.0,15.0,115.0,19.0,53.0,0.0,1.0,35.0
18:21:25.232,0.5,0.1,51.0,1024.0,0.1,0.0,0.0,40.0,10.0,150.0,96.0,1.0,15.0,53.0,23.0,37.0,70.0,48.0,12.0,17.0,17.0,27.0,0.0,1.0,40.0
18:21:29.747,0.7,0.1,112.0,1793.0,0.1,0.0,0.0,20.0,10.0,10.0,35.0,19.0,2.0,27.0,13.0,25.0,89.0,21.0,49.0,68.0,76.0,30.0,0.0,1.0,30.0
18:21:33.898,2.0,0.1,63.0,1143.0,0.1,0.0,0.0,40.0,100.0,190.0,38.0,50.0,35.0,8.0,15.0,9.0,21.0,118.0,49.0,48.0,50.0,34.0,0.0,1.0,25.0
18:21:38.848,0.3,0.1,51.0,78.0,0.1,0.0,0.0,120.0,20.0,60.0,69.0,87.0,5.0,34.0,9.0,53.0,71.0,107.0,8.0,19.0,53.0,66.0,0.0,1.0,15.0
18:21:43.926,1.2,0.1,116.0,556.0,0.1,0.0,0.0,40.0,40.0,210.0,19.0,42.0,19.0,31.0,82.0,63.0,37.0,83.0,10.0,81.0,37.0,31.0,0.0,1.0,25.0
18:21:48.863,0.5,0.1,179.0,2486.0,0.1,0.0,0.0,120.0,100.0,150.0,75.0,38.0,5.0,15.0,17.0,23.0,73.0,4.0,17.0,27.0,3.0,23.0,0.0,1.0,15.0
18:21:54.374,1.3,0.1,174.0,499.0,0.1,0.0,0.0,100.0,70.0,210.0,69.0,8.0,4.0,8.0,113.0,58.0,96.0,103.0,78.0,21.0,11.0,89.0,0.0,1.0,25.0
18:21:59.634,1.3,0.1,250.0,1663.0,0.1,0.0,0.0,40.0,10.0,40.0,44.0,16.0,15.0,14.0,17.0,90.0,25.0,93.0,49.0,53.0,76.0,5.0,0.0,1.0,40.0
18:22:04.986,1.3,0.1,90.0,1628.0,0.1,0.0,0.0,10.0,20.0,240.0,82.0,94.0,18.0,71.0,6.0,23.0,6.0,23.0,25.0,29.0,29.0,107.0,0.0,1.0,15.0
18:22:09.787,0.2,0.1,144.0,4366.0,0.1,0.0,0.0,10.0,100.0,60.0,1.0,19.0,7.0,2.0,56.0,14.0,78.0,3.0,63.0,95.0,3.0,66.0,0.0,1.0,25.0
18:22:15.430,1.3,0.1,117.0,490.0,0.1,0.0,0.0,10.0,20.0,210.0,62.0,29.0,7.0,34.0,10.0,38.0,58.0,19.0,21.0,34.0,46.0,95.0,0.0,1.0,40.0
18:22:21.527,0.5,0.1,32.0,125.0,0.1,0.0,0.0,40.0,40.0,10.0,99.0,57.0,25.0,4.0,76.0,23.0,9.0,35.0,120.0,23.0,11.0,50.0,0.0,1.0,20.0
18:22:26.608,0.2,0.1,34.0,2100.0,0.1,0.0,0.0,10.0,40.0,60.0,70.0,93.0,9.0,10.0,75.0,90.0,9.0,23.0,57.0,86.0,42.0,7.0,0.0,1.0,30.0
18:22:31.335,0.7,0.1,157.0,1704.0,0.1,0.0,0.0,10.0,40.0,160.0,65.0,65.0,9.0,56.0,8.0,34.0,71.0,45.0,104.0,19.0,31.0,34.0,0.0,1.0,15.0
18:22:37.265,0.7,0.1,43.0,1336.0,0.1,0.0,0.0,100.0,20.0,210.0,16.0,34.0,13.0,4.0,73.0,77.0,77.0,53.0,19.0,33.0,2.0,50.0,0.0,1.0,15.0
18:22:42.973,1.5,0.1,48.0,1199.0,0.1,0.0,0.0,50.0,40.0,10.0,69.0,29.0,28.0,100.0,3.0,27.0,65.0,10.0,63.0,46.0,77.0,57.0,0.0,1.0,15.0
18:22:48.014,1.2,0.1,126.0,622.0,0.1,0.0,0.0,40.0,70.0,80.0,29.0,11.0,5.0,39.0,65.0,57.0,2.0,29.0,38.0,17.0,11.0,29.0,0.0,1.0,45.0
18:22:52.393,0.2,0.1,59.0,741.0,0.1,0.0,0.0,10.0,70.0,210.0,61.0,6.0,5.0,23.0,60.0,110.0,115.0,56.0,57.0,10.0,9.0,7.0,0.0,1.0,15.0
18:22:57.606,1.1,0.1,184.0,1942.0,0.1,0.0,0.0,100.0,70.0,60.0,2.0,31.0,7.0,110.0,23.0,23.0,4.0,63.0,71.0,8.0,81.0,14.0,0.0,1.0,20.0
18:23:02.708,0.4,0.1,31.0,2138.0,0.1,0.0,0.0,50.0,70.0,240.0,67.0,38.0,5.0,25.0,7.0,54.0,101.0,6.0,42.0,8.0,85.0,53.0,0.0,1.0,30.0
18:23:07.534,1.4,0.1,119.0,442.0,0.1,0.0,0.0,130.0,100.0,220.0,1.0,12.0,12.0,105.0,34.0,15.0,42.0,30.0,29.0,19.0,14.0,43.0,0.0,1.0,30.0
18:23:12.250,0.3,0.1,86.0,1305.0,0.1,0.0,0.0,130.0,130.0,30.0,78.0,51.0,5.0,83.0,54.0,6.0,23.0,83.0,119.0,43.0,23.0,23.0,0.0,1.0,25.0
18:23:17.112,0.5,0.1,122.0,1480.0,0.1,0.0,0.0,40.0,100.0,20.0,24.0,13.0,21.0,113.0,8.0,85.0,23.0,86.0,7.0,58.0,49.0,90.0,0.0,1.0,45.0
18:23:23.103,0.2,0.1,63.0,1689.0,0.1,0.0,0.0,20.0,100.0,240.0,53.0,55.0,23.0,23.0,35.0,27.0,65.0,15.0,2.0,17.0,52.0,23.0,0.0,1.0,20.0
18:23:28.484,0.7,0.1,48.0,1032.0,0.1,0.0,0.0,80.0,40.0,40.0,3.0,26.0,5.0,30.0,5.0,70.0,57.0,75.0,13.0,34.0,4.0,61.0,0.0,1.0,25.0
18:23:33.374,0.5,0.1,226.0,439.0,0.1,0.0,0.0,20.0,40.0,160.0,84.0,18.0,14.0,69.0,68.0,29.0,23.0,89.0,101.0,112.0,8.0,56.0,0.0,1.0,15.0
18:23:39.071,1.8,0.1,50.0,3011.0,0.1,0.0,0.0,20.0,70.0,30.0,11.0,98.0,35.0,34.0,19.0,2.0,27.0,41.0,27.0,7.0,115.0,98.0,0.0,1.0,25.0
18:23:44.533,0.9,0.1,42.0,2159.0,0.1,0.0,0.0,10.0,70.0,40.0,28.0,29.0,5.0,60.0,106.0,5.0,57.0,52.0,37.0,34.0,21.0,48.0,0.0,1.0,15.0
18:23:49.368,0.5,0.1,154.0,1736.0,0.1,0.0,0.0,40.0,100.0,100.0,80.0,62.0,40.0,39.0,54.0,50.0,8.0,68.0,56.0,84.0,3.0,29.0,0.0,1.0,30.0
18:23:55.189,0.2,0.1,86.0,1933.0,0.1,0.0,0.0,100.0,130.0,120.0,15.0,50.0,25.0,25.0,73.0,29.0,43.0,11.0,5.0,10.0,12.0,12.0,0.0,1.0,25.0
18:24:00.357,0.5,0.1,59.0,4064.0,0.1,0.0,0.0,40.0,20.0,100.0,37.0,50.0,5.0,7.0,7.0,34.0,17.0,11.0,53.0,75.0,3.0,10.0,0.0,1.0,40.0
18:24:05.407,0.5,0.1,28.0,989.0,0.1,0.0,0.0,40.0,50.0,40.0,32.0,3.0,10.0,84.0,92.0,13.0,58.0,34.0,5.0,15.0,45.0,95.0,0.0,1.0,45.0
18:24:11.175,0.3,0.1,176.0,1895.0,0.1,0.0,0.0,40.0,70.0,240.0,42.0,42.0,3.0,101.0,10.0,19.0,25.0,23.0,8.0,53.0,37.0,69.0,0.0,1.0,35.0
18:24:16.856,1.1,0.1,84.0,1217.0,0.1,0.0,0.0,40.0,70.0,130.0,38.0,87.0,12.0,31.0,9.0,56.0,75.0,14.0,34.0,25.0,53.0,3.0,0.0,1.0,15.0
18:24:22.211,1.2,0.1,58.0,2170.0,0.1,0.0,0.0,20.0,120.0,110.0,16.0,3.0,18.0,49.0,54.0,9.0,34.0,19.0,25.0,90.0,19.0,29.0,0.0,1.0,50.0
18:24:27.425,0.3,0.1,92.0,958.0,0.1,0.0,0.0,10.0,20.0,130.0,29.0,1.0,15.0,114.0,6.0,46.0,113.0,34.0,3.0,4.0,101.0,30.0,0.0,1.0,25.0
18:24:33.166,0.2,0.1,54.0,826.0,0.1,0.0,0.0,10.0,70.0,80.0,11.0,38.0,2.0,99.0,25.0,14.0,38.0,108.0,41.0,33.0,70.0,31.0,0.0,1.0,30.0
18:24:38.426,0.5,0.1,86.0,311.0,0.1,0.0,0.0,10.0,70.0,100.0,84.0,68.0,10.0,31.0,33.0,29.0,3.0,80.0,99.0,65.0,50.0,10.0,0.0,1.0,35.0
18:24:43.104,0.5,0.1,64.0,193.0,0.1,0.0,0.0,40.0,40.0,20.0,67.0,92.0,5.0,29.0,83.0,41.0,23.0,57.0,11.0,93.0,19.0,10.0,0.0,1.0,30.0
18:24:48.671,0.7,0.1,159.0,3096.0,0.1,0.0,0.0,10.0,40.0,60.0,74.0,88.0,5.0,45.0,114.0,46.0,15.0,89.0,45.0,56.0,38.0,42.0,0.0,1.0,25.0
18:24:53.521,0.9,0.1,31.0,2557.0,0.1,0.0,0.0,50.0,40.0,110.0,38.0,25.0,40.0,52.0,11.0,67.0,83.0,23.0,23.0,89.0,25.0,49.0,0.0,1.0,15.0
18:24:58.312,1.3,0.1,56.0,4651.0,0.1,0.0,0.0,20.0,70.0,100.0,44.0,35.0,5.0,13.0,19.0,65.0,13.0,23.0,6.0,53.0,106.0,65.0,0.0,1.0,15.0
18:25:02.817,1.8,0.1,127.0,3782.0,0.1,0.0,0.0,70.0,40.0,80.0,6.0,74.0,5.0,21.0,21.0,25.0,34.0,4.0,42.0,96.0,81.0,39.0,0.0,1.0,35.0
18:25:07.549,0.4,0.1,42.0,4080.0,0.1,0.0,0.0,40.0,70.0,160.0,16.0,21.0,17.0,108.0,42.0,33.0,31.0,82.0,83.0,42.0,82.0,45.0,0.0,1.0,30.0
18:25:12.227,1.7,0.1,50.0,2343.0,0.1,0.0,0.0,70.0,40.0,110.0,45.0,24.0,15.0,9.0,21.0,35.0,85.0,93.0,58.0,21.0,19.0,46.0,0.0,1.0,45.0
18:25:16.420,1.3,0.1,51.0,4662.0,0.1,0.0,0.0,40.0,50.0,160.0,34.0,10.0,33.0,41.0,101.0,13.0,9.0,6.0,10.0,75.0,6.0,37.0,0.0,1.0,35.0
18:25:21.367,0.2,0.1,59.0,2871.0,0.1,0.0,0.0,40.0,100.0,60.0,51.0,6.0,30.0,8.0,6.0,25.0,85.0,21.0,23.0,25.0,81.0,75.0,0.0,1.0,30.0
18:25:27.301,0.2,0.1,34.0,2500.0,0.1,0.0,0.0,20.0,100.0,110.0,41.0,19.0,35.0,4.0,77.0,19.0,21.0,23.0,23.0,15.0,8.0,116.0,0.0,1.0,15.0
18:25:33.010,0.3,0.1,31.0,1740.0,0.1,0.0,0.0,100.0,20.0,20.0,69.0,62.0,25.0,113.0,10.0,30.0,11.0,92.0,34.0,9.0,41.0,57.0,0.0,1.0,20.0
18:25:38.220,1.8,0.1,149.0,743.0,0.1,0.0,0.0,10.0,10.0,210.0,89.0,75.0,28.0,108.0,12.0,29.0,13.0,6.0,80.0,6.0,34.0,7.0,0.0,1.0,15.0
18:25:43.443,1.4,0.1,50.0,777.0,0.1,0.0,0.0,100.0,70.0,80.0,35.0,39.0,17.0,31.0,21.0,12.0,21.0,99.0,17.0,17.0,6.0,58.0,0.0,1.0,50.0
18:25:49.239,1.7,0.1,238.0,4962.0,0.1,0.0,0.0,120.0,50.0,160.0,35.0,48.0,7.0,68.0,15.0,34.0,8.0,88.0,52.0,15.0,62.0,25.0,0.0,1.0,40.0
18:25:54.927,0.5,0.1,47.0,429.0,0.1,0.0,0.0,20.0,20.0,60.0,77.0,78.0,2.0,25.0,74.0,57.0,34.0,27.0,77.0,34.0,81.0,86.0,0.0,1.0,20.0
