,A.LOITER1
11:40:10.966,1.0
11:40:11.170,1.0
11:40:11.376,1.0
11:40:11.578,1.0
11:40:11.781,1.0
11:40:11.985,-1.0
11:40:12.191,1.0
11:40:12.395,-1.0
11:40:12.606,-1.0
11:40:12.810,-1.0
11:40:13.014,-1.0
11:40:13.219,-1.0
11:40:13.423,-1.0
11:40:13.629,-1.0
11:40:13.831,-1.0
11:40:14.034,-1.0
11:40:14.239,-1.0
11:40:14.444,-1.0
11:40:14.651,-1.0
11:40:14.854,-1.0
11:40:15.057,-1.0
11:40:15.260,-1.0
11:40:15.463,-1.0
11:40:15.666,-1.0
11:40:15.868,-1.0
11:40:16.071,-1.0
11:40:16.276,-1.0
11:40:16.482,-1.0
11:40:16.690,-1.0
11:40:16.899,-1.0
11:40:17.101,-1.0
11:40:17.305,-1.0
11:40:17.509,-1.0
11:40:17.711,-1.0
11:40:17.915,-1.0
11:40:18.123,-1.0
11:40:18.326,-1.0
11:40:18.532,-1.0
11:40:18.735,-1.0
11:40:18.944,-1.0
11:40:19.149,-1.0
11:40:19.353,-1.0
11:40:19.561,-1.0
11:40:19.765,-1.0
11:40:19.973,-1.0
11:40:20.178,-1.0
11:40:20.385,-1.0
11:40:20.590,-1.0
11:40:20.794,-1.0
11:40:20.996,-1.0
11:40:21.203,-1.0
11:40:21.411,-1.0
11:40:21.618,-1.0
11:40:21.826,-1.0
11:40:22.029,-1.0
11:40:22.232,-1.0
11:40:22.442,-1.0
11:40:22.650,-1.0
11:40:22.854,-1.0
11:40:23.059,-1.0
11:40:23.261,-1.0
11:40:23.467,-1.0
11:40:23.669,-1.0
11:40:23.871,-1.0
11:40:24.076,-1.0
11:40:24.278,-1.0
11:40:24.483,-1.0
11:40:24.688,-1.0
11:40:24.892,-1.0
11:40:25.095,-1.0
11:40:25.300,-1.0
11:40:25.503,-1.0
11:40:25.705,-1.0
11:40:25.908,-1.0
11:40:26.113,-1.0
11:40:26.315,-1.0
11:40:26.518,-1.0
11:40:26.720,-1.0
11:40:26.923,-1.0
11:40:27.126,-1.0
11:40:27.328,-1.0
11:40:27.530,-1.0
11:40:27.733,-1.0
11:40:27.945,0.103
11:40:28.148,0.103
11:40:28.352,0.103
11:40:28.558,0.103
11:40:28.763,0.103
11:40:28.965,0.103
11:40:29.168,0.103
11:40:29.372,0.062
11:40:29.574,0.645
11:40:29.778,0.645
11:40:29.982,0.645
11:40:30.185,0.645
11:40:30.388,0.645
11:40:30.590,0.645
11:40:30.796,0.645
11:40:30.999,0.645
11:40:31.202,0.645
11:40:31.405,1.0
11:40:31.608,1.0
11:40:31.811,-1.0
11:40:32.014,-1.0
11:40:32.217,-1.0
11:40:32.420,-1.0
11:40:32.628,-1.0
11:40:32.833,-1.0
11:40:33.038,-1.0
11:40:33.243,-1.0
11:40:33.445,-1.0
11:40:33.648,-1.0
11:40:33.857,-1.0
11:40:34.060,-1.0
11:40:34.263,-1.0
11:40:34.468,-1.0
11:40:34.671,-1.0
11:40:34.878,-1.0
11:40:35.083,-1.0
11:40:35.286,-1.0
11:40:35.489,-1.0
11:40:35.694,-1.0
11:40:37.473,-1.0
11:40:37.675,-1.0
11:40:37.880,-1.0
11:40:38.082,-1.0
11:40:38.290,-1.0
11:40:38.495,-1.0
11:40:38.700,-1.0
11:40:38.902,-1.0
11:40:39.115,-1.0
11:40:39.320,-1.0
11:40:39.529,-1.0
11:40:39.731,-1.0
11:40:39.938,-1.0
11:40:40.141,-1.0
11:40:40.344,-1.0
11:40:40.550,-1.0
11:40:40.753,-1.0
11:40:40.959,-1.0
11:40:41.162,-1.0
11:40:41.366,-1.0
11:40:41.572,-1.0
11:40:41.783,-1.0
11:40:41.987,-1.0
11:40:42.196,-1.0
11:40:42.399,-1.0
11:40:42.603,-1.0
11:40:42.807,-1.0
11:40:43.013,-1.0
11:40:43.216,-1.0
11:40:43.422,-1.0
11:40:43.624,-1.0
11:40:43.830,-1.0
11:40:44.034,-1.0
11:40:44.240,-1.0
11:40:44.442,-1.0
11:40:44.644,-1.0
11:40:44.847,-1.0
11:40:45.051,-1.0
11:40:45.256,-1.0
11:40:45.459,-1.0
11:40:45.662,-1.0
11:40:45.867,-1.0
11:40:46.070,-1.0
11:40:46.272,-1.0
11:40:46.481,-1.0
11:40:46.688,-1.0
11:40:46.894,-1.0
11:40:47.098,-1.0
11:40:47.302,-1.0
11:40:47.513,-1.0
11:40:47.719,-1.0
11:40:47.922,-1.0
11:40:48.124,-1.0
11:40:48.327,-1.0
11:40:48.531,-1.0
11:40:48.738,-1.0
11:40:48.942,-1.0
11:40:49.146,-1.0
11:40:49.350,-1.0
11:40:49.558,-1.0
11:40:49.761,-1.0
11:40:49.964,-1.0
11:40:50.166,-1.0
11:40:50.369,-1.0
11:40:50.579,1.0
11:40:50.783,1.0
11:40:50.988,1.0
11:40:51.190,1.0
11:40:51.398,1.0
11:40:51.602,1.0
11:40:51.805,1.0
11:40:52.008,0.414
11:40:52.211,1.0
11:40:52.414,1.0
11:40:52.619,1.0
11:40:52.824,1.0
11:40:53.031,1.0
11:40:53.235,1.0
11:40:53.437,1.0
11:40:53.642,1.0
11:40:53.847,1.0
11:40:54.050,1.0
11:40:54.252,1.0
11:40:54.459,1.0
11:40:54.663,1.0
11:40:54.869,1.0
11:40:55.073,1.0
11:40:55.276,1.0
11:40:55.490,1.0
11:40:55.693,1.0
11:40:55.897,1.0
11:40:56.100,-1.0
11:40:56.302,-1.0
11:40:56.508,-1.0
11:40:56.713,-1.0
11:40:56.916,-1.0
11:40:57.120,-1.0
11:40:57.323,-1.0
11:40:57.526,-1.0
11:40:57.729,-1.0
11:40:57.934,-1.0
11:40:58.136,-1.0
11:40:58.339,-1.0
11:40:58.543,-1.0
11:40:58.751,-1.0
11:40:58.955,-1.0
11:40:59.157,-1.0
11:40:59.361,-1.0
11:40:59.566,-1.0
11:40:59.770,-1.0
11:40:59.976,-1.0
11:41:00.178,-1.0
11:41:00.380,-1.0
11:41:00.585,-1.0
11:41:00.791,-1.0
11:41:00.996,-1.0
11:41:01.201,-1.0
11:41:01.405,-1.0
11:41:01.609,-1.0
11:41:01.813,-1.0
11:41:02.015,-1.0
11:41:02.218,-1.0
11:41:02.420,-1.0
11:41:02.625,-1.0
11:41:02.827,-1.0
11:41:03.030,-1.0
11:41:03.232,-1.0
11:41:03.436,-1.0
11:41:03.638,-1.0
11:41:03.842,-1.0
11:41:04.045,-1.0
11:41:04.249,-1.0
11:41:04.452,-1.0
11:41:04.656,-1.0
11:41:04.858,-1.0
11:41:05.064,-1.0
11:41:05.268,-1.0
11:41:05.473,-1.0
11:41:05.675,-1.0
11:41:05.880,-1.0
11:41:06.085,-1.0
11:41:06.287,-1.0
11:41:06.490,-1.0
11:41:06.693,-1.0
11:41:06.898,-1.0
11:41:07.101,-1.0
11:41:07.304,-1.0
11:41:07.507,-1.0
11:41:07.713,-1.0
11:41:07.915,-1.0
11:41:08.120,-1.0
11:41:08.323,1.0
11:41:08.525,1.0
11:41:08.733,1.0
11:41:08.938,1.0
11:41:09.148,1.0
11:41:09.351,1.0
11:41:09.555,1.0
11:41:11.294,1.0
11:41:11.500,1.0
11:41:11.706,1.0
11:41:11.912,1.0
11:41:12.124,1.0
11:41:12.328,1.0
11:41:12.540,1.0
11:41:12.744,-1.0
11:41:12.947,-1.0
11:41:13.149,-1.0
11:41:13.353,-1.0
11:41:13.556,-1.0
11:41:13.762,-1.0
11:41:13.967,-1.0
11:41:14.175,-1.0
11:41:14.380,-1.0
11:41:14.588,-1.0
11:41:14.798,-1.0
11:41:15.004,-1.0
11:41:15.209,-1.0
11:41:15.412,-1.0
11:41:15.617,-1.0
11:41:15.827,-1.0
11:41:16.030,-1.0
11:41:16.233,-1.0
11:41:16.444,-1.0
11:41:16.651,-1.0
11:41:16.855,-1.0
11:41:17.059,-1.0
11:41:17.266,-1.0
11:41:17.475,-1.0
11:41:17.693,-1.0
11:41:17.900,-1.0
11:41:18.104,-1.0
11:41:18.318,-1.0
11:41:18.528,-1.0
11:41:18.733,-1.0
11:41:18.940,-1.0
11:41:19.145,-1.0
11:41:19.349,-1.0
11:41:19.552,-1.0
11:41:19.756,-1.0
11:41:19.962,-1.0
11:41:20.168,-1.0
11:41:20.374,-1.0
11:41:20.581,-1.0
11:41:20.784,-1.0
11:41:20.989,-1.0
11:41:21.199,-1.0
11:41:21.407,-1.0
11:41:21.611,-1.0
11:41:21.815,-1.0
11:41:22.022,-1.0
11:41:22.226,-1.0
11:41:22.431,-1.0
11:41:22.635,-1.0
11:41:22.845,-1.0
11:41:23.048,-1.0
11:41:23.251,-1.0
11:41:23.454,-1.0
11:41:23.663,-1.0
11:41:23.865,-1.0
11:41:24.071,-1.0
11:41:24.273,-1.0
11:41:24.479,-1.0
11:41:24.682,-1.0
11:41:24.889,-1.0
11:41:25.097,-1.0
11:41:25.301,-1.0
11:41:25.507,-1.0
11:41:25.710,-1.0
