time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz
01:12:01,1500.0,-0.0007715336687397212,0.0010130595182999969,0.022102106362581253,0.0001865549711510539,0.00025807105703279376,0.0015213326551020145,AUTO,0.0,1.0,-1000.0,0.5,1.0,0.5,-35.3632622,149.1652375,5.5,-1.0,1.0,-1.0
01:12:03,78102.0,-0.0002797279303194955,0.001399581553414464,0.02156220842152834,0.0003304526908323169,0.00033324662945233285,0.0014272104599513113,AUTO,0.0,1.0,-1000.0,0.0,0.5,0.5,-35.3632621,149.1652375,10.0,0.0,0.0,-1.0
01:12:05,154704.0,0.002382455160841346,0.0007165509596234187,0.021028166636824608,-0.0045449398458004,0.003985520103015006,0.0010509463609196246,AUTO,0.0,0.0,-1118.5,-3.5,4.0,0.5,-35.3632621,149.1652375,324.5,0.0,0.0,-88.5
01:12:07,154704.0,0.05051364749670029,0.00333509873598814,-0.021780959330499172,-0.08891634549945593,0.0627769511193037,-0.07658283412456512,AUTO,2.0,-9.5,-991.0,-88.0,63.0,-76.0,-35.363261449999996,149.16524045,3141.0,9.0,49.0,-146.0
01:12:08,2175.0,-0.05589902913197875,0.0035679642169270664,-0.07762996759265661,-0.05471601546742022,0.004508896789047867,-0.0423954320140183,AUTO,2.0,-5.25,-1001.75,-53.75,5.25,-42.25,-35.363260675,149.165245975,5036.0,3.25,16.5,-148.5
01:12:09,2175.0,-0.06722454354166985,0.005802905187010765,-0.10707718506455421,0.05390838719904423,0.00016384082846343517,-0.0235917242243886,AUTO,-2.5,5.0,-1001.0,54.5,1.0,-23.5,-35.3632606,149.16524545,6184.0,-3.5,-36.0,-148.5
01:12:11,2175.0,0.06309796869754791,0.014233583118766546,-0.11275877803564072,0.04465913772583008,-0.02107088966295123,0.022713608341291547,AUTO,1.0,10.0,-1000.0,45.0,-20.0,22.0,-35.36326365,149.165234,9278.0,-29.0,-21.0,-152.5
01:12:13,9281.5,-0.039693739265203476,0.002560530323535204,-0.09952929988503456,-0.026558554731309414,0.07336114346981049,-0.11474886164069176,AUTO,-6.0,-10.5,-1009.0,-25.5,73.5,-114.5,-35.3632621,149.165238,12349.5,48.0,15.5,-150.0
01:12:15,16388.0,0.027474449947476387,0.0354324784129858,-0.19542014598846436,0.027244769036769867,-0.029144916217774153,0.017550070420838892,AUTO,0.0,4.0,-998.0,27.5,-28.0,17.0,-35.3632591,149.16523505,15472.5,-20.0,-8.5,-152.5
01:12:17,16388.0,-0.005856250412762165,-0.005194481695070863,-0.17803344130516052,-0.0009852356743067503,0.0026357981842011213,-0.029613538645207882,AUTO,1.5,0.0,-1001.0,0.0,3.0,-29.5,-35.363261949999995,149.1652364,18589.0,-7.0,7.5,-152.0
01:12:18,48640.0,0.0013280373241286725,0.00044848797188024037,-0.2169375866651535,0.008660353720188141,0.00514665141236037,-0.029280767310410738,AUTO,0.0,0.0,-1000.0,8.75,5.5,-29.0,-35.3632622,149.165236575,20528.75,-1.25,0.0,-152.0
01:12:19,48640.0,0.005380116403102875,0.003119919798336923,-0.23650550097227097,0.004294621874578297,0.0035085678100585938,-0.022972107864916325,AUTO,0.0,0.0,-1000.0,4.5,3.5,-23.0,-35.3632621,149.1652364,21699.0,-1.0,0.0,-152.0
01:12:21,48640.0,0.0026034769252873957,0.00317381729837507,-0.2747754007577896,-0.04179267809377052,0.0011845568660646677,-0.01839355193078518,AUTO,0.0,-1.5,-992.5,-41.5,1.5,-18.0,-35.3632621,149.16523645,24814.5,-1.0,4.0,-152.0
01:12:23,48640.0,0.010812786873430014,0.0031269051833078265,-0.2572253346443176,-0.004210019833408296,-0.0014149669441394508,0.02585978712886572,AUTO,1.0,0.0,-999.5,-3.0,0.0,25.0,-35.36326235,149.16523645,27930.0,-3.0,7.0,-152.0
01:12:24,3947.0,0.0006978899928071769,0.0019265894952695817,-0.22929682955145836,-0.0034855665144277737,9.889730426948518e-05,0.02168628480285406,AUTO,0.25,-1.0,-1000.25,-2.25,0.5,21.25,-35.3632624,149.165237475,29866.5,-0.5,8.5,-152.0
01:12:25,3947.0,-0.0013055039453320205,0.0013065527891740203,-0.21467792987823486,-0.00033310428261756897,0.0002755805035121739,0.0188687015324831,AUTO,0.0,-0.5,-1000.0,0.5,1.0,18.5,-35.3632624,149.16523795,31030.5,0.0,5.5,-152.0
01:12:27,3947.0,0.0016454819124192,0.0009005355532281101,-0.18346448987722397,0.002708256128244102,0.0008947346941567957,0.015653287526220083,AUTO,0.0,0.0,-1000.0,3.5,1.5,15.0,-35.36326235,149.1652381,34136.0,0.0,0.0,-152.0
01:12:29,11900.0,-0.03555252589285374,0.021018121857196093,0.17261777818202972,0.11260679364204407,-0.1922760307788849,0.16207072883844376,AUTO,3.0,10.0,-935.0,113.0,-190.5,161.5,-35.36326335,149.1652364,37044.0,-32.0,-34.0,-104.0
01:12:31,19853.0,0.020221007522195578,-0.009475175058469176,0.1524672508239746,-0.4702613353729248,0.041832659393548965,-0.021563202142715454,AUTO,-4.0,-25.0,-976.0,-468.5,42.5,-21.0,-35.36326390000001,149.16523410000002,38276.5,22.5,26.5,-26.0
01:12:33,19853.0,-0.014989187475293875,-0.015651686349883676,0.12026898190379143,-0.6820376515388489,-0.1071588583290577,-0.01036798651330173,AUTO,2.0,-37.0,-994.5,-680.0,-105.5,-9.5,-35.3632612,149.1652383,38312.0,1.5,1.5,13.0
