time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,alt,VFR_HUD_alt,EK2_ALT_SOURCE,RTL_ALT
13:42:58.013,STABILIZE,-35.3632622,149.1652375,21,-0.0008542565628886223,0.0009715910418890417,0.02190389484167099,0.0001893129083327949,0.0003512715920805931,0.001547875115647912,0,2,-1000,0,1,0,-1,1,0,584010,584.010009765625,0.0,1500.0
13:42:58.216,STABILIZE,-35.363262,149.1652377,1752,0.03351983428001404,-0.0027833187486976385,0.020604614168405533,0.045005328953266144,-0.007668944075703621,0.0029468340799212456,0,-1,-1007,45,-7,2,1,10,-147,585760,585.760009765625,0.0,1500.0
13:42:58.417,AUTO,-35.363262,149.1652377,1752,0.03351983428001404,-0.0027833187486976385,0.020604614168405533,0.045005328953266144,-0.007668944075703621,0.0029468340799212456,0,-1,-1007,45,-7,2,1,10,-147,585760,585.760009765625,0.0,1500.0
13:42:58.617,AUTO,-35.3632619,149.1652381,2136,0.044421207159757614,-0.005069906357675791,0.020868858322501183,0.04218260198831558,-0.009768328629434109,0.0035080467350780964,1,-2,-1002,43,-8,3,3,19,-148,586140,586.1400146484375,0.0,1500.0
13:42:58.818,AUTO,-35.3632618,149.1652388,2523,0.05460081622004509,-0.007647333666682243,0.021106336265802383,0.03938570246100426,-0.011336047202348709,0.00368121569044888,0,-4,-1000,40,-10,3,5,29,-148,586530,586.5299682617188,0.0,1500.0
13:42:59.019,AUTO,-35.3632616,149.1652398,2910,0.061748310923576355,-0.009062978439033031,-0.009047734551131725,-0.0029101127292960882,0.017576921731233597,-0.02942214161157608,2,-8,-994,-2,17,-29,8,42,-148,586920,586.9199829101562,0.0,1500.0
13:42:59.220,AUTO,-35.3632614,149.165241,3295,0.04207795485854149,0.012671280652284622,-0.031423382461071014,-0.1339927762746811,0.10153427720069885,-0.10255180299282074,1,-10,-991,-133,102,-102,9,52,-145,587300,587.2999877929688,0.0,1500.0
13:42:59.421,AUTO,-35.3632614,149.165241,3295,0.04207795485854149,0.012671280652284622,-0.031423382461071014,-0.1339927762746811,0.10153427720069885,-0.10255180299282074,1,-10,-991,-133,102,-102,9,52,-145,587300,587.2999877929688,0.0,1500.0
13:42:59.622,AUTO,-35.3632614,149.165241,3295,0.04207795485854149,0.012671280652284622,-0.031423382461071014,-0.1339927762746811,0.10153427720069885,-0.10255180299282074,1,-10,-991,-133,102,-102,9,52,-145,587300,587.2999877929688,0.0,1500.0
13:42:59.822,AUTO,-35.3632614,149.165241,3295,0.04207795485854149,0.012671280652284622,-0.031423382461071014,-0.1339927762746811,0.10153427720069885,-0.10255180299282074,1,-10,-991,-133,102,-102,9,52,-145,587300,587.2999877929688,0.0,1500.0
13:43:00.024,AUTO,-35.3632614,149.165241,3295,0.04207795485854149,0.012671280652284622,-0.031423382461071014,-0.1339927762746811,0.10153427720069885,-0.10255180299282074,1,-10,-991,-133,102,-102,9,52,-145,587300,587.2999877929688,0.0,1500.0
13:43:00.225,AUTO,-35.3632609,149.1652458,4818,-0.04655789956450462,0.008034013211727142,-0.08191468566656113,-0.06146662309765816,-0.022585606202483177,-0.025977129116654396,3,-4,-1000,-60,-21,-26,-1,23,-149,588820,588.8200073242188,0.0,1500.0
13:43:00.426,AUTO,-35.3632609,149.1652458,4818,-0.04655789956450462,0.008034013211727142,-0.08191468566656113,-0.06146662309765816,-0.022585606202483177,-0.025977129116654396,3,-4,-1000,-60,-21,-26,-1,23,-149,588820,588.8200073242188,0.0,1500.0
13:43:00.628,AUTO,-35.3632609,149.1652462,5205,-0.06605652719736099,0.0010185696883127093,-0.08581753075122833,-0.08809161186218262,-0.02921324409544468,-0.009309301152825356,2,-3,-998,-87,-28,-9,-2,8,-149,589210,589.2099609375,0.0,1500.0
13:43:00.829,AUTO,-35.363261,149.1652462,5589,-0.07652655243873596,-0.004403356928378344,-0.08859604597091675,0.01141563430428505,-0.008274652063846588,-0.01720108650624752,0,0,-1005,11,-7,-17,-2,-11,-149,589590,589.5899658203125,0.0,1500.0
13:43:01.030,AUTO,-35.363261,149.1652458,5974,-0.06675267219543457,-0.005549185443669558,-0.09222277998924255,0.0506761372089386,-0.002768686506897211,-0.010447511449456215,-1,3,-1002,50,-1,-10,-2,-28,-149,589980,589.97998046875,0.0,1500.0
13:43:01.231,AUTO,-35.363261,149.1652448,6360,-0.053050652146339417,-0.005781005602329969,-0.09490109980106354,0.05739964172244072,0.0019025695510208607,-0.0060598645359277725,-3,7,-1001,58,2,-6,-3,-42,-149,590370,590.3699951171875,0.0,1500.0
13:43:01.432,AUTO,-35.363261,149.1652448,6360,-0.053050652146339417,-0.005781005602329969,-0.09490109980106354,0.05739964172244072,0.0019025695510208607,-0.0060598645359277725,-3,7,-1001,58,2,-6,-3,-42,-149,590370,590.3699951171875,0.0,1500.0
13:43:01.633,AUTO,-35.363261,149.1652448,6360,-0.053050652146339417,-0.005781005602329969,-0.09490109980106354,0.05739964172244072,0.0019025695510208607,-0.0060598645359277725,-3,7,-1001,58,2,-6,-3,-42,-149,590370,590.3699951171875,0.0,1500.0
13:43:01.836,AUTO,-35.363261,149.1652448,6360,-0.053050652146339417,-0.005781005602329969,-0.09490109980106354,0.05739964172244072,0.0019025695510208607,-0.0060598645359277725,-3,7,-1001,58,2,-6,-3,-42,-149,590370,590.3699951171875,0.0,1500.0
