time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,alt,lat,lon,relative_alt,vx,vy,vz,MODE
16:41:23,-3.706332790898159e-05,0.0014386494876816869,0.028574135154485703,0.0002252371923532337,0.00034119613701477647,0.0025000658351927996,0.0,1.0,-1000.0,0.0,0.0,0.0,583990.0,-35.3632621,149.1652374,9.0,-1.0,1.0,0.0,STABILIZE
16:41:25,-0.0001212903104412059,0.0015087769910072286,0.0270548469076554,0.00022930830406645933,0.0002691100720160951,0.002219748372832934,0.0,1.0,-1000.0,0.0,0.0,0.25,583990.0,-35.363262133333336,149.1652375,5.0,-2.0,2.0,0.0,STABILIZE
16:41:30,-0.0005228190566413105,0.0009336633083876222,0.02495618909597397,0.00024037668481469154,0.0002785881806630641,0.0019816617714241147,0.0,1.0,-1000.0,0.0,0.0,0.0,584000.0,-35.3632622,149.1652375,11.333333333333334,-1.0,1.0,0.0,STABILIZE
16:41:34,-0.0006903675384819508,0.0009680384246166795,0.023443063255399466,0.000311281401081942,0.0002647696092026308,0.0018062472518067807,0.0,1.0,-1000.0,0.3333333333333333,0.0,0.0,583990.0,-35.3632622,149.1652375,3.3333333333333335,-1.0,1.0,0.0,STABILIZE
16:41:36,-0.0007020638440735638,0.0009889055509120226,0.022861015051603317,0.0003417115076445043,7.193774217739701e-05,0.0016772972885519266,0.0,1.0,-1000.0,0.5,0.0,0.5,583990.0,-35.3632622,149.1652375,2.0,-1.0,1.0,0.0,STABILIZE
16:41:37,-0.0007751369460796317,0.0009876311135788758,0.02233073301613331,0.00027489363371084136,0.00023017396839956442,0.0016694834921509027,0.0,1.5,-1000.0,0.0,0.0,0.5,583986.6666666666,-35.3632622,149.1652375,0.3333333333333333,-1.0,0.6666666666666666,-0.3333333333333333,STABILIZE
16:41:39,-0.0007163390206793944,0.0009809924037350963,0.02188128636529048,0.0002899269845026235,0.00027393158719254035,0.0015823359717614949,0.0,1.8333333333333333,-1000.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,583990.0,-35.3632622,149.1652375,5.0,-1.0,1.0,0.0,AUTO
16:41:41,-0.00042025083967018874,0.0012287475634366273,0.02141391709446907,0.00034003080800175666,0.00029806133825331925,0.0014936413848772646,0.0,1.4,-1000.0,0.6,0.4,0.2,583990.0,-35.3632622,149.1652375,4.0,0.0,0.0,0.0,AUTO
16:41:42,-0.00018138719315174967,0.0014257938601076603,0.02120317332446575,0.00030489859636873007,0.00023592275101691484,0.0014862570678815246,0.0,1.0,-1000.0,0.0,0.0,1.0,583990.0,-35.3632622,149.1652375,3.0,0.0,0.0,0.0,AUTO
16:41:43,0.001590300726093119,0.0007765575195662677,0.020905375108122827,0.0018854260328225792,-0.0010834912303835154,0.001901633245870471,0.0,0.6,-1079.0,2.2,-1.0,1.2,584052.0,-35.36326218000001,149.1652375,65.8,0.0,0.0,-26.8,AUTO
16:41:44,0.001891660038381815,0.001305587007664144,0.020741326734423637,-0.0016436150763183832,0.0026444506365805864,0.0006719928933307528,0.0,0.0,-1103.0,0.0,3.0,0.0,584450.0,-35.3632621,149.1652375,469.0,0.0,0.0,-105.0,AUTO
16:41:45,0.04558306075632572,-0.005068319966085255,0.014335747435688972,0.025778909772634508,0.002645483333617449,-0.011180867021903396,0.6,-3.6,-1002.2,26.2,3.6,-11.8,586228.0,-35.36326186,149.16523844,2241.6,4.0,23.8,-146.6,AUTO
16:41:46,0.03385067731142044,0.01714259386062622,-0.03510183095932007,-0.16527381539344788,0.07883709669113159,-0.0954495519399643,3.0,-11.0,-992.0,-164.0,79.0,-95.0,587380.0,-35.3632613,149.1652413,3391.0,9.0,54.0,-144.0,AUTO
16:41:47,-0.05796583369374275,0.005942421220242977,-0.07310145199298859,-0.03278120271861553,0.037813570164144036,-0.06947399657219648,-1.0,-4.6,-1002.2,-31.8,38.2,-69.4,589276.0,-35.36326,149.16524598,5290.4,11.0,6.8,-147.6,AUTO
16:41:48,-0.06330309808254242,0.029277827590703964,-0.13390091061592102,0.05667625740170479,0.004905504174530506,-0.04558870941400528,-4.0,7.0,-1000.0,57.0,5.0,-46.0,590430.0,-35.3632595,149.165245,6440.0,-8.0,-44.0,-148.0,AUTO
16:41:49,0.013575257500633597,0.02272619716823101,-0.14558278024196625,0.037407764419913295,-0.04138120005372912,0.031570611894130705,-0.5,16.0,-1002.25,54.25,-19.75,11.0,592354.0,-35.36326304,149.16523716,8370.2,-47.4,-48.6,-149.4,AUTO
16:41:50,0.02279595099389553,-0.03464042395353317,-0.09213656187057495,0.010929929092526436,-0.0954437181353569,0.10967189073562622,5.0,13.0,-1003.5,-7.5,-109.0,110.5,593520.0,-35.3632665,149.1652337,9533.0,-46.0,-23.0,-151.0,AUTO
16:41:51,0.05987386479973793,-0.07309856489300728,-0.01939542470499873,-0.01995488926768303,0.014496513665653766,0.017877647280693056,-2.8,-6.6,-994.0,-19.4,15.4,17.2,595472.0,-35.36326699999999,149.16523364,11486.8,37.2,28.8,-147.8,AUTO
16:41:52,0.004721859935671091,-0.02494373917579651,-0.05045011267066002,-0.10736441612243652,0.12980322539806366,-0.12703517079353333,-8.0,-19.0,-1015.0,-106.0,130.0,-127.0,596600.0,-35.3632631,149.1652368,12617.0,82.0,52.0,-143.0,AUTO
