,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
13:49:46.058,9622.0,0.2,0.5,-9.8,0.25
13:49:51.886,28037.0,0.2,0.4,-5.8,0.25
13:49:56.780,20809.0,0.5,0.3,-9.0,0.25
13:50:02.137,52010.0,0.2,1.3,-5.2,0.25
13:50:07.997,142316.0,0.2,0.4,1.7,0.25
13:50:12.893,27587.0,0.7,0.5,-8.9,0.25
13:50:18.253,64698.0,0.3,0.4,-7.8,0.25
13:50:24.115,217099.0,0.2,0.3,-9.2,0.25
13:50:29.939,41390.0,0.2,0.4,-3.9,0.25
13:50:34.902,12870.0,0.4,0.2,-4.9,0.25
13:50:40.276,110088.0,0.2,0.5,-4.9,0.25
13:50:46.219,77540.0,0.4,0.5,-8.1,0.25
13:50:52.123,41444.0,0.3,0.2,-8.5,0.25
13:50:57.932,77215.0,0.3,0.9,-5.6,0.25
13:51:02.818,64736.0,0.3,0.7,-8.4,0.25
13:51:08.124,22712.0,0.5,0.2,-2.7,0.25
13:51:13.969,17407.0,0.2,0.5,-9.9,0.25
13:51:18.895,18716.0,0.5,0.3,-9.2,0.25
13:51:24.176,66181.0,0.2,0.7,-8.2,0.25
13:51:29.943,93139.0,0.2,0.5,-1.3,0.25
13:51:34.858,69609.0,0.4,0.5,-3.6,0.25
13:51:40.245,38529.0,0.3,0.3,-7.8,0.25
13:51:46.147,19702.0,0.5,0.4,-6.2,0.25
13:51:52.071,176799.0,0.2,0.5,-7.6,0.25
13:51:57.844,93372.0,0.5,0.5,-7.1,0.25
13:52:02.752,90188.0,0.4,0.5,-7.1,0.25
13:52:08.164,43774.0,0.2,0.3,-5.9,0.25
13:52:14.047,15990.0,0.5,0.5,-0.4,0.25
