time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,alt,lat,lon,relative_alt,vx,vy,vz,EK2_ALT_SOURCE,MODE
13:47:22,0.007741493638604879,0.00029494708724087104,0.021744846055905025,0.015708591245735686,-0.002156826745097836,0.0017870348140907784,584.5,0.0,0.6666666666666666,-1004.1666666666666,15.833333333333334,-1.6666666666666667,0.8333333333333334,1500.0,584500.0,-35.36326213333333,149.16523751666668,505.3333333333333,-0.5,2.0,-51.0,0.0,AUTO
13:47:24,0.023804138880223036,0.00581385032273829,-0.049871452152729034,-0.11949633061885834,0.00017234543338418007,-0.05348275415599346,588.3999938964844,5.5,-18.0,-1001.0,-118.5,0.0,-53.0,1500.0,588400.0,-35.3632602,149.16524695,4404.0,16.5,82.0,-143.0,0.0,AUTO
13:47:26,-0.11776303872466087,0.016907967161387205,-0.16482092440128326,0.06934204325079918,0.016710663214325905,-0.02927535492926836,591.3049926757812,-9.0,13.5,-998.0,70.0,16.5,-29.0,1500.0,591305.0,-35.3632585,149.16525024999999,7311.0,-17.0,-92.0,-139.0,0.0,AUTO
13:47:28,0.02622684370726347,0.005669801030308008,-0.11867551505565643,0.009769167052581906,-0.10943891480565071,0.1292741782963276,594.1549682617188,3.0,32.0,-1007.0,10.0,-108.5,128.5,1500.0,594155.0,-35.363269349999996,149.16522295,10159.0,-94.5,-94.5,-146.5,0.0,AUTO
13:47:30,0.07110429182648659,-0.11501505225896835,0.10888208448886871,0.04098498262465,0.02998762857168913,0.03829011972993612,597.1399841308594,-14.0,-4.0,-994.0,41.0,30.0,37.0,1500.0,597140.0,-35.36327355,149.16521195,13142.0,77.5,8.5,-142.5,0.0,AUTO
13:47:32,0.07455450296401978,0.00980760748643661,0.10839605703949928,-0.02727821283042431,0.07532225921750069,-0.028590986505150795,599.8949890136719,-21.0,-39.0,-1011.0,-26.0,75.5,-28.0,1500.0,599895.0,-35.36324965,149.16522685,15896.0,144.0,121.5,-139.5,0.0,AUTO
13:47:34,-0.06666368246078491,0.14754705876111984,-0.13865509629249573,-0.002835079561918974,-0.004511721432209015,-0.11771558970212936,602.8599853515625,15.5,-6.0,-991.0,-2.0,-3.5,-117.5,1500.0,602860.0,-35.363237850000004,149.16525015,18864.5,-62.0,56.0,-144.5,0.0,AUTO
13:47:36,-0.03454837668687105,-0.08113522455096245,-0.04369274526834488,0.037281676195561886,-0.10115732252597809,0.0885515958070755,605.72998046875,17.5,22.0,-1012.5,38.0,-99.5,88.0,1500.0,605730.0,-35.36326015,149.16525095,21737.0,-103.5,-36.5,-152.0,0.0,AUTO
13:47:38,0.007360755174886435,-0.01772418152540922,-0.10999706014990807,0.050780460238456726,0.051141394302248955,-0.057004040107131004,608.7449951171875,-17.0,7.0,-1004.5,51.0,51.5,-56.5,1500.0,608745.0,-35.36326255,149.16523815,24749.0,38.5,-63.5,-148.0,0.0,AUTO
13:47:40,0.05953102186322212,0.06033521704375744,-0.1875630021095276,-0.07108394615352154,-0.0646787416189909,0.02430390811059624,611.6900024414062,6.5,-1.5,-992.0,-70.0,-63.5,23.5,1500.0,611690.0,-35.36325895,149.16523185,27691.0,-24.0,35.5,-144.0,0.0,AUTO
13:47:42,-0.028507118113338947,-0.01982446014881134,-0.17082323133945465,0.022702524438500404,0.009246101370081306,-0.037720490247011185,614.6849975585938,2.0,0.0,-1000.5,23.0,9.5,-37.5,1500.0,614685.0,-35.363262649999996,149.16523934999998,30689.0,-5.0,2.5,-149.0,0.0,AUTO
13:47:44,0.01252320921048522,0.007350928150117397,-0.2095545530319214,0.000654415343888104,0.002122448175214231,0.023111850023269653,617.719970703125,-2.0,0.0,-1000.0,1.5,2.5,22.5,1500.0,617720.0,-35.36326205,149.1652372,33723.5,1.5,-5.5,-148.0,0.0,AUTO
13:47:46,0.0015989524545148015,0.0023354814620688558,-0.15816999226808548,-0.0029852533480152488,-0.0016977078339550644,0.023191881366074085,620.719970703125,0.0,0.0,-1000.0,-1.5,-0.5,22.5,1500.0,620720.0,-35.363262,149.16523725000002,36729.0,-2.0,4.0,-148.0,0.0,AUTO
13:47:48,0.0009106872894335538,0.0012640652130357921,-0.11956716328859329,0.0004514753236435354,-0.000786527874879539,0.017231526784598827,623.7949829101562,0.0,0.0,-999.5,1.5,0.5,17.0,1500.0,623795.0,-35.36326205,149.1652376,39802.5,-1.0,1.0,-150.0,0.0,AUTO
13:47:50,0.001985936309210956,0.0006984107894822955,-0.09090041369199753,-0.0007065021782182157,0.00044891255674883723,0.013557220809161663,626.9249877929688,0.0,0.0,-1000.0,0.0,1.0,13.5,1500.0,626925.0,-35.3632621,149.1652376,42930.0,0.0,0.0,-151.0,0.0,AUTO
13:47:54,0.023058997932821512,-0.04794113524258137,0.30805063247680664,0.07110524922609329,-0.04357555042952299,-0.007501078303903341,632.7149658203125,1.0,9.5,-960.5,71.5,-42.0,-7.0,1500.0,632715.0,-35.36326435,149.1652334,48722.5,-15.5,-27.5,-88.0,0.0,AUTO
13:47:56,0.0055896605481393635,0.006165473256260157,0.25142852216959,-0.3947797268629074,0.02602559421211481,-0.021999080665409565,633.9249877929688,-1.5,-23.0,-980.5,-393.0,27.0,-21.0,1500.0,633925.0,-35.36326255,149.16523535,49928.5,18.0,31.0,-34.0,0.0,AUTO
13:47:58,-0.006764854304492474,0.030576457269489765,0.21276803314685822,0.6571117043495178,-0.023232108913362026,-0.005150688928551972,634.0799865722656,1.0,41.0,-1014.0,660.5,-21.5,-4.5,1500.0,634080.0,-35.3632612,149.1652393,50087.0,-12.0,-4.5,14.0,0.0,AUTO
13:48:00,0.09359686449170113,0.05127879045903683,0.5254344493150711,0.30852178391069174,0.05435369536280632,0.8333637118339539,633.9599609375,18.5,-8.5,-1009.5,308.0,55.0,833.5,1500.0,633960.0,-35.36326855,149.16524145,49960.5,-80.0,42.0,-1.0,0.0,AUTO
13:48:02,0.08950268849730492,-0.05987168475985527,2.0008206367492676,0.2968408530578017,-0.03169378265738487,0.6920073926448822,633.9450073242188,-23.5,-36.5,-1000.0,299.0,-30.5,692.0,1500.0,633945.0,-35.363297599999996,149.1652622,49949.5,-229.0,136.0,-4.0,0.0,AUTO
13:48:04,0.042486829683184624,-0.12599517405033112,2.770883083343506,0.10272520035505295,-0.2779659628868103,-0.14840874075889587,633.9749755859375,-79.0,-23.0,-954.5,105.5,-276.0,-147.0,1500.0,633975.0,-35.3633519,149.16530075,49981.0,-337.5,189.5,-3.5,0.0,AUTO
