time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,alt,lat,lon,relative_alt,vx,vy,vz,EK2_ALT_SOURCE
09:15:21,-0.04106790609657764,0.01744080986827612,-0.08626702278852463,-0.057367011159658435,-0.034336264990270135,-0.030196772143244743,AUTO,588.6179931640625,4.4,-6.2,-1004.4,-56.0,-33.6,-30.6,1500.0,588618.0,-35.3632611,149.16524508,4641.6,-4.4,29.2,-147.8,0.0
09:15:31,0.0035287110367789865,0.0048847629223018885,-0.18973678102095923,-0.0032856334388876953,-0.0016964595415629447,-0.015234176845600208,AUTO,603.931650797526,0.0,0.0,-999.8333333333334,-2.0,-0.8333333333333334,-15.333333333333334,1500.0,603931.6666666666,-35.36326151666666,149.16523588333334,19955.333333333332,-2.8333333333333335,6.0,-152.83333333333334,0.0
09:15:37,0.002420993102714419,0.0014578258153051138,-0.1995786875486374,-0.005884684808552265,0.000562663609161973,0.020562200620770455,AUTO,613.431982421875,0.2,-1.0,-1000.2,-4.4,1.2,20.0,1500.0,613432.0,-35.36326234,149.1652372,29458.8,-0.4,8.4,-152.6,0.0
09:15:41,0.0013671885632599394,0.0011055401312963415,-0.1396834229429563,-3.838901951288184e-05,-3.639466012828052e-05,0.011381103191524744,AUTO,619.5549825032552,0.0,0.0,-999.8333333333334,1.3333333333333333,0.6666666666666666,10.5,1500.0,619555.0,-35.3632622,149.16523794999998,35577.833333333336,0.0,0.0,-153.0,0.0
09:16:35,-0.056222593411803246,0.179564468562603,-2.292633056640625,-0.016703277826309204,-0.02030662486019234,-0.001348320928324635,RTL,633.9616495768229,121.33333333333333,68.83333333333333,-985.6666666666666,-13.666666666666666,-18.5,-1.0,1500.0,633961.6666666666,-35.36368361666666,149.164674,49987.666666666664,436.5,452.5,-1.8333333333333333,0.0
09:17:10,-0.0059705386132312315,0.0009557076991768554,-2.2937220335006714,0.2533482611179352,0.004226992023177445,0.006840958259999752,RTL,623.989990234375,0.6666666666666666,42.666666666666664,-999.1666666666666,267.8333333333333,5.833333333333333,7.666666666666667,1500.0,623990.0,-35.36326198333333,149.16523723333333,40014.0,0.6666666666666666,-0.3333333333333333,97.66666666666667,0.0
09:17:12,-0.0036666606805132083,0.0007969095847026134,-2.2939579089482627,-0.8948061366875967,-0.005470003137209763,-0.003198144433554262,RTL,622.0466512044271,0.8333333333333334,-72.16666666666667,-993.3333333333334,-900.3333333333334,-3.1666666666666665,-1.8333333333333333,1500.0,622046.6666666666,-35.36326173333333,149.1652366666667,38071.166666666664,-3.6666666666666665,5.666666666666667,97.5,0.0
09:17:16,0.029660601541399954,-0.0009761744790012017,-2.294016933441162,1.360097599029541,0.0007480557076632976,-0.0015568379778414965,RTL,617.7279907226563,-0.6,41.6,-1009.2,1362.2,2.6,-0.4,1500.0,617728.0,-35.36326242,149.16523756,33754.0,0.0,1.0,103.2,0.0
09:17:56,0.01946430467069149,0.0014180777594447135,-2.2931464195251463,0.56517274081707,0.0019859075080603363,0.002290828782133758,RTL,593.1859741210938,0.2,15.4,-973.2,568.8,4.0,4.2,1500.0,593186.0,-35.36326332,149.1652384,9214.2,11.4,-8.6,23.6,0.0
09:18:17,-0.0022095826155106935,-0.0003079017665835896,-2.293287072862898,-0.6319204611437661,7.571258382605655e-05,0.0018242723807426436,RTL,587.2928379603794,-0.2857142857142857,-29.142857142857142,-1008.7142857142857,-628.0,2.5714285714285716,4.0,1500.0,587292.8571428572,-35.36326235714286,149.16523734285715,3317.0,1.8571428571428572,0.5714285714285714,32.42857142857143,0.0
09:18:26,-0.00844362797215581,0.0008870961610227823,-2.2979160149892173,-0.0024141512112692,0.00033760489895939827,0.0004840398905798793,RTL,585.3599853515625,0.0,0.0,-1000.0,3.0,3.0,3.0,1500.0,585360.0,-35.363262983333335,149.16523865000002,1381.8333333333333,-13.166666666666666,16.5,4.166666666666667,0.0
