time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE
07:37:41,-0.0003451338561717421,0.001188174239359796,0.025086062029004097,0.0002822072128765285,0.00032781652407720685,0.0020029982551932335,-35.3632622,149.1652375,0.0,-1.5,2.0,1.5,0.0,1.0,-1000.0,0.5,0.0,0.5,126501.0,STABILIZE
07:37:45,-0.0009966494981199503,0.000914005097001791,0.023610485717654228,0.0002263944479636848,0.00027426605811342597,0.0018438505940139294,-35.3632621,149.1652375,0.0,-1.0,1.0,1.0,0.0,1.0,-1000.0,0.0,0.0,1.0,126501.0,STABILIZE
07:37:51,-0.0007671838393434882,0.0009643802768550813,0.022056713700294495,0.00023004435934126377,0.00017990689957514405,0.001639707712456584,-35.3632622,149.1652375,0.0,-1.0,0.0,-2.0,0.0,1.0,-1000.0,0.0,0.5,0.5,126501.0,STABILIZE
07:37:52,-0.0006902682216605172,0.0009641282085794955,0.021881500724703074,0.0002618700236780569,0.0002561541914474219,0.0015649024862796068,-35.3632622,149.1652375,1.75,-1.0,0.25,-2.0,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.0,0.3333333333333333,285128.0,AUTO
07:37:53,-0.0005232308030826971,0.0010221490520052612,0.02161148376762867,0.000698035815730691,0.0002992655790876597,0.0015725591802038252,-35.36326215,149.1652375,7.5,-0.5,0.5,-2.5,0.0,-12.0,-1021.5,0.5,0.5,1.0,285128.0,AUTO
07:37:55,-3.13676027872134e-05,0.0015095885028131306,0.02102076169103384,0.00031748993205837905,0.0002113547525368631,0.0014694433193653822,-35.3632621,149.16523745,18.0,0.0,0.0,-1.5,0.0,1.5,-1000.0,0.5,0.0,0.0,285128.0,AUTO
07:37:56,0.0011538593280420173,0.0005330781932570972,0.02079162886366248,0.0015351498441305012,-0.001074065949069336,0.0019074732263106853,-35.3632621,149.1652375,86.75,0.0,0.0,-31.75,0.0,0.5,-1094.25,1.75,-0.5,1.25,200.0,AUTO
07:37:57,0.013442922965623438,-4.165718564763665e-05,0.0206056647002697,0.02356874497490935,-0.0018673127051442862,0.0015289566945284605,-35.36326205,149.1652375,945.5,0.0,3.0,-125.0,0.0,0.0,-1062.0,24.0,-1.0,0.5,200.0,AUTO
07:37:59,0.005026944912970066,0.005031229928135872,-0.04213045723736286,-0.10449240356683731,0.043823004816658795,-0.0671311542391777,-35.3632611,149.1652431,3913.0,8.0,46.5,-147.0,3.0,-9.5,-996.5,-103.5,43.5,-66.5,200.0,AUTO
07:38:00,-0.07051752042025328,0.009146056298050098,-0.08944143541157246,-0.03433265909552574,0.018574394707684405,-0.05577781982719898,-35.3632604,149.16524625,5438.75,3.5,-0.75,-148.5,0.25,-2.75,-1002.0,-33.75,19.0,-55.25,127022.0,AUTO
07:38:01,-0.03801603754982352,0.014510142616927624,-0.12332096695899963,0.064618906006217,0.005995084764435887,-0.015605782391503453,-35.36326085,149.16524255000002,6968.5,-15.5,-55.5,-148.5,-4.0,11.0,-1001.5,64.5,6.0,-15.5,127022.0,AUTO
07:38:03,0.05238652788102627,-0.03596821811515838,-0.07313712127506733,-0.01989668095484376,-0.09433626756072044,0.10058225318789482,-35.36326595,149.1652332,10068.0,-19.5,2.5,-150.5,3.0,4.0,-998.0,-19.0,-93.5,100.0,127022.0,AUTO
07:38:04,0.031974975718185306,-0.06531610386446118,-0.022708722157403827,-0.08221449190750718,0.06697251694276929,-0.035707234404981136,-35.363265225,149.165235475,11607.25,46.75,41.5,-145.75,-2.5,-11.75,-997.0,-81.5,67.25,-36.0,18696.0,AUTO
07:38:05,-0.045959584414958954,0.02401032974012196,-0.13441455736756325,-0.023184780031442642,0.06572325527667999,-0.10903488844633102,-35.36326,149.1652387,13124.0,51.5,10.0,-150.0,-8.0,-12.0,-1010.5,-22.5,65.5,-109.0,18696.0,AUTO
07:38:07,0.033102613873779774,0.04939805716276169,-0.2208401784300804,0.06182936765253544,-0.015824605943635106,-0.005765429348684847,-35.36325935,149.16523454999998,16247.0,-46.0,-9.0,-151.5,4.0,8.5,-1000.5,62.0,-15.0,-6.0,18696.0,AUTO
07:38:08,0.034106598468497396,-0.03925903234630823,-0.1572267711162567,-0.05952206254005432,-0.14252988807857037,0.12960584089159966,-35.3632638,149.165235675,17791.0,-41.75,36.5,-150.0,13.0,1.5,-1003.0,-58.5,-141.25,129.0,40535.0,AUTO
07:38:09,-0.07651818543672562,-0.03000391274690628,-0.09352181851863861,-0.03045516461133957,0.15036654099822044,0.13455685414373875,-35.363264099999995,149.1652382,19306.0,21.5,-3.5,-140.5,-2.5,-3.0,-972.0,-30.0,150.5,134.5,40535.0,AUTO
07:38:11,0.07276741228997707,-0.0033872980857267976,-0.018043315038084984,-0.02069087652489543,-0.0017263563349843025,-0.015271314652636647,-35.36326245,149.16523075,21246.5,-2.5,4.0,-48.0,0.5,0.5,-966.5,-20.0,-1.0,-15.0,40535.0,AUTO
07:38:12,0.018592970111058094,0.0037006431307418097,-0.023727587424218655,-0.06304079503752291,0.008898191852495074,-0.0012525827623903751,-35.363262425,149.165233325,21596.0,3.25,42.0,-21.0,3.75,-9.0,-977.5,-62.0,9.0,-0.75,182794.0,AUTO
07:38:13,-0.02684457879513502,0.014397619292140007,-0.02727882843464613,-0.2594356848858297,0.022301878314465284,-0.006149950553663075,-35.36326205,149.16523734999998,21653.5,1.5,24.5,9.5,3.0,-24.5,-980.0,-259.0,22.5,-5.5,182794.0,AUTO
