time_stamp,EK2_ALT_SOURCE,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
16:29:24,0.0,AUTO,0.0013589857262559235,0.0026705460622906685,0.023677106481045485,0.0007869944674894214,0.0005211164971115068,0.0025921433698385954,584712.5,-35.363262049999996,149.1652375,785.75,0.0,0.0,-67.75,584.7124938964844,0.0,0.0,-999.75,1.25,0.5,1.25,1500.0
16:29:36,0.0,AUTO,0.005318630545480119,-0.00037989293778082354,-0.006678013876080513,0.08158479891717434,3.1401007436215875e-05,-0.0012017249828204513,589902.0,-35.3632624,149.16523696,5975.6,3.0,2.0,-40.0,589.9019897460937,0.0,7.0,-1000.8,82.4,0.2,-1.6,1500.0
16:29:47,0.0,ALT_HOLD,0.009419304711627774,0.0001981367022381164,-0.007112274295650423,0.3887553885579109,-0.001089472381863743,-4.4236716348677874e-05,593902.5,-35.363262250000005,149.16523610000002,9978.25,1.0,2.75,37.75,593.9024810791016,-0.25,2.75,-839.25,387.5,-1.0,-0.5,1500.0
16:29:53,0.0,AUTO,-0.04031982203014195,0.006499893395812251,-0.019034702796489,-0.5752310873940587,-0.017672807909548283,0.0326948375441134,584550.0,-35.3632564125,149.16525513750003,622.75,7.375,-8.375,50.375,584.5499954223633,1.125,-38.5,-1058.75,-576.625,-17.375,32.375,1500.0
16:30:02,0.0,AUTO,-0.07646377459168434,0.053425136208534243,-0.20755035281181336,0.09664676040410995,0.035207824781537056,-0.01766054378822446,594382.0,-35.363252779999996,149.16525785999997,10455.8,-61.0,-144.0,-137.6,594.381982421875,-14.6,32.4,-1005.6,97.0,34.8,-16.6,1500.0
16:30:08,0.0,ALT_HOLD,-0.11718961348136266,0.04752327125364294,-0.3092992305755615,0.005682749518503745,0.12284533431132634,-0.0650766051063935,602996.6666666666,-35.3632396,149.1652622666667,19072.5,179.83333333333334,-82.0,-153.66666666666666,602.9966430664062,-44.0,-24.833333333333332,-1023.6666666666666,6.666666666666667,123.0,-64.16666666666667,1500.0
16:30:16,0.0,AUTO,0.06436898112297058,-0.03657287284731865,-0.06765255220234394,-0.02708604708313942,0.06909999921917916,-0.10426017267163842,602252.0,-35.36329858,149.16516846,18328.2,16.0,25.2,-145.2,602.2519897460937,0.4,-3.0,-1007.4,-25.8,69.4,-103.2,1500.0
16:30:30,0.0,ALT_HOLD,-0.07503693422768265,-0.04374901112169027,-0.1180824510132273,-0.1197369893391927,0.18501574685797095,0.12163817851493756,622753.3333333334,-35.363296950000006,149.16519675,38827.833333333336,201.66666666666666,94.5,-75.83333333333333,622.7533162434896,-18.833333333333332,-43.833333333333336,-895.0,-117.66666666666667,185.83333333333334,122.5,1500.0
16:31:19,0.0,ALT_HOLD,-0.0021369105185537287,0.001078842915982629,-0.19418073445558548,-0.06355950011250873,-2.5484633321563404e-05,-0.0011723394660900037,625646.6666666666,-35.36339913333333,149.16498155000002,41721.0,-6.166666666666667,0.0,-27.833333333333332,625.6466471354166,0.16666666666666666,-2.3333333333333335,-855.3333333333334,-62.333333333333336,1.1666666666666667,0.6666666666666666,1500.0
16:31:27,0.0,AUTO,-0.004051052965223789,-0.006067080423235893,-0.2029765099287033,0.026572149246931076,-0.0016003083437681198,0.00036647170782089233,618510.0,-35.3634043,149.1649828,34589.0,4.0,4.0,-10.0,618.510009765625,0.0,21.0,-991.0,32.0,0.0,2.0,1500.0
