,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
23:26:54.015,124216.0,0.3,0.3,3.5,0.25,3.2,0.0,21810.0,130.0,1.0,0.1,50.0,50.0,38.0,0.0
23:26:59.732,84573.0,0.7,1.2,-6.5,0.25,0.4,0.0,10299.0,190.0,1.0,0.1,50.0,50.0,72.0,0.0
23:27:04.461,99217.0,0.2,0.4,-8.7,0.25,0.6,0.0,1800.0,440.0,1.0,0.1,50.0,50.0,742.0,0.0
23:27:10.169,12032.0,0.4,0.7,-8.1,0.25,3.5,0.0,18187.0,370.0,1.0,0.1,50.0,50.0,79.0,0.0
23:27:15.846,29952.0,0.4,0.4,8.5,0.25,0.4,0.0,2750.0,100.0,1.0,0.1,50.0,50.0,926.0,0.0
23:27:20.672,69731.0,0.3,1.5,-8.9,0.25,1.6,0.0,7284.0,820.0,1.0,0.1,50.0,50.0,29.0,0.0
23:27:25.884,222236.0,0.2,1.2,-2.7,0.25,1.9,0.0,5632.0,80.0,1.0,0.1,50.0,50.0,387.0,0.0
23:27:30.585,67290.0,0.4,0.3,9.0,0.25,0.3,0.0,5863.0,190.0,1.0,0.1,50.0,50.0,260.0,0.0
23:27:35.893,207912.0,0.4,0.3,-7.9,0.25,2.4,0.0,15504.0,10.0,1.0,0.1,50.0,50.0,117.0,0.0
23:27:40.596,198032.0,0.4,0.7,-7.9,0.25,2.1,0.0,593.0,100.0,1.0,0.1,50.0,50.0,803.0,0.0
23:27:45.757,248758.0,0.9,0.3,1.0,0.25,0.4,0.0,144.0,280.0,1.0,0.1,50.0,50.0,18.0,0.0
23:27:50.517,83309.0,0.5,0.7,-3.3,0.25,0.8,0.0,21653.0,840.0,1.0,0.1,50.0,50.0,302.0,0.0
23:27:55.764,176420.0,0.5,0.2,-7.9,0.25,0.1,0.0,1458.0,810.0,1.0,0.1,50.0,50.0,288.0,0.0
23:28:00.539,95207.0,0.2,0.5,-7.6,0.25,3.1,0.0,3602.0,100.0,1.0,0.1,50.0,50.0,292.0,0.0
23:28:05.794,38089.0,0.5,0.5,3.3,0.25,1.9,0.0,10389.0,240.0,1.0,0.1,50.0,50.0,348.0,0.0
23:28:10.552,98820.0,0.2,0.5,-2.9,0.25,4.7,0.0,4687.0,110.0,1.0,0.1,50.0,50.0,128.0,0.0
23:28:15.769,3312.0,0.7,1.2,-7.2,0.25,2.4,0.0,1938.0,570.0,1.0,0.1,50.0,50.0,511.0,0.0
23:28:20.439,119194.0,0.7,1.8,-9.9,0.25,1.2,0.0,112.0,190.0,1.0,0.1,50.0,50.0,301.0,0.0
23:28:26.137,74313.0,0.9,0.3,-3.7,0.25,2.1,0.0,15870.0,80.0,1.0,0.1,50.0,50.0,581.0,0.0
23:28:31.854,189790.0,0.5,0.5,-7.8,0.25,0.2,0.0,2258.0,190.0,1.0,0.1,50.0,50.0,53.0,0.0
23:28:36.477,18402.0,1.1,0.4,-3.9,0.25,2.1,0.0,6745.0,30.0,1.0,0.1,50.0,50.0,294.0,0.0
23:28:42.158,121487.0,0.5,0.9,-6.2,0.25,0.8,0.0,13228.0,40.0,1.0,0.1,50.0,50.0,17.0,0.0
23:28:47.789,6896.0,0.3,1.2,-1.3,0.25,0.3,0.0,27046.0,480.0,1.0,0.1,50.0,50.0,327.0,0.0
23:28:52.503,190499.0,0.5,0.7,-9.0,0.25,0.6,0.0,3520.0,60.0,1.0,0.1,50.0,50.0,666.0,0.0
23:28:57.713,18562.0,0.7,1.9,-4.7,0.25,1.1,0.0,7077.0,820.0,1.0,0.1,50.0,50.0,83.0,0.0
23:29:02.394,38032.0,0.9,0.5,1.6,0.25,4.4,0.0,8638.0,220.0,1.0,0.1,50.0,50.0,60.0,0.0
23:29:08.271,106110.0,0.5,0.4,-5.9,0.25,0.6,0.0,11435.0,500.0,1.0,0.1,50.0,50.0,413.0,0.0
23:29:13.964,18222.0,0.7,1.5,-2.4,0.25,4.4,0.0,1680.0,310.0,1.0,0.1,50.0,50.0,171.0,0.0
23:29:18.774,22185.0,0.2,1.3,-7.4,0.25,2.9,0.0,4711.0,500.0,1.0,0.1,50.0,50.0,239.0,0.0
23:29:23.963,44795.0,0.5,0.7,-4.7,0.25,2.4,0.0,4364.0,350.0,1.0,0.1,50.0,50.0,80.0,0.0
