,A.RTL3
17:11:41.228,-1.0
17:11:41.432,-1.0
17:11:41.635,-1.0
17:11:41.838,-1.0
17:11:42.040,-1.0
17:11:42.241,-1.0
17:11:42.446,-1.0
17:11:42.651,-1.0
17:11:42.853,-1.0
17:11:43.056,-1.0
17:11:43.258,-1.0
17:11:43.463,-1.0
17:11:43.665,-1.0
17:11:43.866,-1.0
17:11:44.068,-1.0
17:11:44.275,-1.0
17:11:44.479,-1.0
17:11:44.681,-1.0
17:11:44.883,-1.0
17:11:45.085,-1.0
17:11:45.287,-1.0
17:11:45.489,-1.0
17:11:45.691,-1.0
17:11:45.892,-1.0
17:11:46.094,-1.0
17:11:46.296,-1.0
17:11:46.500,-1.0
17:11:46.703,-1.0
17:11:46.908,-1.0
17:11:47.114,-1.0
17:11:47.322,-1.0
17:11:47.523,-1.0
17:11:47.727,-1.0
17:11:47.932,-1.0
17:11:48.134,-1.0
17:11:48.336,-1.0
17:11:48.537,-1.0
17:11:48.740,-1.0
17:11:48.941,-1.0
17:11:49.143,-1.0
17:11:49.347,-1.0
17:11:49.550,-1.0
17:11:49.754,-1.0
17:11:49.957,-1.0
17:11:50.159,-1.0
17:11:50.362,-1.0
17:11:50.566,-1.0
17:11:50.769,-1.0
17:11:50.974,-1.0
17:11:51.183,-1.0
17:11:51.388,-1.0
17:11:51.591,-1.0
17:11:51.809,-1.0
17:11:52.013,-1.0
17:11:52.216,-1.0
17:11:52.419,-1.0
17:11:52.622,-1.0
17:11:52.826,-1.0
17:11:53.030,-1.0
17:11:53.232,-1.0
17:11:53.434,-1.0
17:11:53.637,-1.0
17:11:53.838,-1.0
17:11:54.044,-1.0
17:11:54.247,-1.0
17:11:54.451,-1.0
17:11:54.654,-1.0
17:11:54.857,-1.0
17:11:55.060,-1.0
17:11:55.261,-1.0
17:11:55.466,-1.0
17:11:55.671,-1.0
17:11:55.872,-1.0
17:11:56.073,-1.0
17:11:56.276,-1.0
17:12:00.045,-1.0
17:12:00.247,-1.0
17:12:00.449,-1.0
17:12:00.651,-1.0
17:12:00.852,-1.0
17:12:01.054,-1.0
17:12:01.257,-1.0
17:12:01.459,-1.0
17:12:01.662,-1.0
17:12:01.865,-1.0
17:12:02.066,-1.0
17:12:02.269,-1.0
17:12:02.471,-1.0
17:12:02.674,-1.0
17:12:02.875,-1.0
17:12:03.079,-1.0
17:12:03.281,-1.0
17:12:03.483,-1.0
17:12:03.685,-1.0
17:12:03.891,-1.0
17:12:04.093,-1.0
17:12:04.294,-1.0
17:12:04.496,-1.0
17:12:04.699,-1.0
17:12:04.902,-1.0
17:12:05.104,-1.0
17:12:05.306,-1.0
17:12:05.508,-1.0
17:12:05.712,-1.0
17:12:05.915,-1.0
17:12:06.121,-1.0
17:12:06.323,-1.0
17:12:06.524,-1.0
17:12:06.727,-1.0
17:12:06.929,-1.0
17:12:07.132,-1.0
17:12:07.336,-1.0
17:12:07.538,-1.0
17:12:07.740,-1.0
17:12:07.941,-1.0
17:12:08.144,-1.0
17:12:08.349,-1.0
17:12:08.551,-1.0
17:12:08.753,-1.0
17:12:08.955,-1.0
17:12:09.158,-1.0
17:12:09.359,-1.0
17:12:09.562,-1.0
17:12:09.766,-1.0
17:12:09.967,-1.0
17:12:10.169,-1.0
17:12:10.370,-1.0
17:12:10.572,-1.0
17:12:10.774,-1.0
17:12:10.979,-1.0
17:12:11.181,-1.0
17:12:11.384,-1.0
17:12:11.586,-1.0
17:12:11.792,-1.0
17:12:11.993,-1.0
17:12:12.194,-1.0
17:12:12.396,-1.0
17:12:12.597,-1.0
17:12:12.799,-1.0
17:12:13.000,-1.0
17:12:13.201,-1.0
17:12:13.403,-1.0
17:12:13.604,-1.0
17:12:13.806,-1.0
17:12:14.007,-1.0
17:12:14.212,-1.0
17:12:14.413,-1.0
17:12:14.615,-1.0
17:12:14.819,-1.0
17:12:15.021,-1.0
17:12:15.225,-1.0
17:12:15.426,-1.0
17:12:15.628,-1.0
17:12:15.831,-1.0
17:12:16.033,-1.0
17:12:16.234,-1.0
17:12:16.437,-1.0
17:12:16.638,-1.0
17:12:16.841,-1.0
17:12:17.043,-1.0
17:12:17.247,-1.0
17:12:17.449,-1.0
17:12:17.650,-1.0
17:12:17.853,-1.0
17:12:18.055,-1.0
17:12:18.259,-1.0
17:12:18.465,-1.0
17:12:18.670,-1.0
17:12:18.873,-1.0
17:12:19.076,-1.0
17:12:19.278,-1.0
17:12:19.479,-1.0
17:12:19.683,-1.0
17:12:19.885,-1.0
17:12:20.087,-1.0
17:12:20.293,-1.0
17:12:20.496,-1.0
17:12:20.700,-1.0
17:12:20.905,-1.0
17:12:21.108,-1.0
17:12:21.311,-1.0
17:12:21.514,-1.0
17:12:21.716,-1.0
17:12:21.919,-1.0
17:12:22.120,-1.0
17:12:22.322,-1.0
17:12:22.524,-1.0
17:12:22.728,-1.0
17:12:22.929,-1.0
17:12:23.136,-1.0
17:12:23.338,-1.0
17:12:23.541,-1.0
17:12:23.744,-1.0
17:12:23.945,-1.0
17:12:24.146,-1.0
17:12:24.348,-1.0
17:12:24.550,-1.0
17:12:24.752,-1.0
17:12:24.954,-1.0
17:12:25.155,-1.0
17:12:25.358,-1.0
17:12:25.561,-1.0
17:12:25.764,-1.0
17:12:25.966,-1.0
17:12:26.170,-1.0
17:12:26.372,-1.0
17:12:26.575,-1.0
17:12:26.777,-1.0
17:12:26.979,-1.0
17:12:27.182,-1.0
17:12:27.384,-1.0
17:12:27.586,-1.0
17:12:27.789,-1.0
17:12:27.993,-1.0
17:12:28.196,-1.0
17:12:28.400,-1.0
17:12:28.603,-1.0
17:12:28.806,-1.0
17:12:29.007,-1.0
17:12:29.212,-1.0
17:12:29.414,-1.0
17:12:29.617,-1.0
17:12:29.818,-1.0
17:12:30.020,-1.0
17:12:30.223,-1.0
17:12:30.424,-1.0
17:12:30.626,-1.0
17:12:30.829,-1.0
17:12:31.030,-1.0
17:12:31.231,-1.0
17:12:31.432,-1.0
17:12:31.634,-1.0
17:12:31.836,-1.0
17:12:32.039,-1.0
17:12:32.241,-1.0
17:12:35.509,-1.0
17:12:35.713,-0.0
17:12:35.917,-0.0
17:12:36.121,-0.0
17:12:36.324,-0.0
17:12:36.529,-0.0
17:12:36.730,-0.0
17:12:36.932,-0.0
17:12:37.133,-0.0
17:12:37.342,-0.0
17:12:37.545,0.0
17:12:37.747,0.0
17:12:37.949,0.0
17:12:38.151,0.0
17:12:38.354,0.0
17:12:38.556,0.0
17:12:38.758,0.0
17:12:38.960,0.0
17:12:39.163,0.0
17:12:39.364,0.0
17:12:39.567,0.0
17:12:39.769,0.0
17:12:39.972,0.0
17:12:40.175,0.0
17:12:40.378,0.0
17:12:40.581,0.0
17:12:40.783,0.0
17:12:40.985,0.0
17:12:41.187,0.0
17:12:41.388,0.0
17:12:41.589,0.0
17:12:41.791,0.0
17:12:41.993,0.0
17:12:42.194,0.0
17:12:42.395,0.0
17:12:42.598,0.0
17:12:42.800,0.0
17:12:43.003,0.0
17:12:43.204,0.0
17:12:43.406,-0.0
17:12:43.609,-0.002
17:12:43.810,-0.004
17:12:44.012,-0.004
17:12:44.215,-0.004
17:12:44.417,-0.004
17:12:44.622,-0.004
17:12:44.829,-0.004
17:12:45.031,-0.004
17:12:45.234,-0.004
17:12:45.437,-0.004
17:12:45.642,-0.032
17:12:45.843,-0.037
17:12:46.047,-0.037
17:12:46.252,-0.037
17:12:46.454,-0.037
17:12:46.656,-0.037
17:12:46.857,-0.037
17:12:47.059,-0.037
17:12:47.261,-0.037
17:12:47.465,-0.037
17:12:47.668,-0.035
17:12:47.871,-0.04
17:12:48.073,-0.04
17:12:48.274,-0.04
17:12:48.476,-0.04
17:12:48.679,-0.04
17:12:48.881,-0.04
17:12:49.083,-0.04
17:12:49.284,-0.04
17:12:49.485,-0.015
17:12:49.688,-0.037
17:12:49.889,-0.042
17:12:50.094,-0.042
17:12:50.295,-0.042
17:12:50.499,-0.042
17:12:50.702,-0.042
17:12:50.905,-0.042
17:12:51.107,-0.042
17:12:51.309,-0.022
17:12:51.511,-0.04
17:12:51.712,-0.04
17:12:51.916,-0.046
17:12:52.118,-0.046
17:12:52.319,-0.046
17:12:52.520,-0.046
17:12:52.722,-0.046
17:12:52.925,-0.046
17:12:53.127,-0.046
17:12:53.328,-0.046
17:12:53.531,-0.033
17:12:53.732,-0.045
17:12:53.935,-0.051
17:12:54.137,-0.051
17:12:54.339,-0.051
17:12:54.542,-0.051
17:12:54.744,-0.051
17:12:54.946,-0.051
17:12:55.148,-0.051
17:12:55.350,-0.051
17:12:55.554,-0.044
17:12:55.756,-0.044
17:12:55.958,-0.051
17:12:56.162,-0.051
17:12:56.364,-0.051
17:12:56.567,-0.051
17:12:56.768,-0.051
17:12:56.970,-0.051
17:12:57.171,-0.051
17:12:57.374,-0.051
17:12:57.575,-0.037
17:12:57.777,-0.075
17:12:57.979,-0.075
17:12:58.180,-0.075
17:12:58.389,-0.075
17:12:58.593,-0.075
17:12:58.794,-0.075
17:12:58.996,-0.075
17:12:59.199,-0.075
17:12:59.402,-0.041
17:12:59.604,-0.048
17:12:59.805,-0.055
17:13:00.007,-0.055
17:13:00.212,-0.055
17:13:00.414,-0.055
17:13:00.617,-0.055
17:13:00.818,-0.055
17:13:01.020,-0.055
17:13:01.222,-0.055
17:13:01.424,-0.055
17:13:01.627,-0.038
17:13:01.829,-0.061
17:13:02.032,-0.061
17:13:02.233,-0.061
17:13:02.435,-0.061
17:13:02.636,-0.061
17:13:02.837,-0.061
17:13:03.040,-0.061
17:13:03.244,-0.061
17:13:03.450,-0.033
17:13:03.652,-0.057
17:13:03.853,-0.065
17:13:04.056,-0.065
17:13:04.261,-0.065
17:13:04.464,-0.065
17:13:04.666,-0.065
17:13:04.868,-0.065
17:13:05.070,-0.065
17:13:05.273,-0.065
17:13:05.478,-0.065
17:13:05.681,-0.03
17:13:05.883,-0.065
17:13:06.086,-0.065
17:13:06.289,-0.065
17:13:06.493,-0.065
17:13:06.695,-0.065
17:13:06.898,-0.065
17:13:07.099,-0.065
17:13:07.300,-0.065
17:13:07.504,-0.055
17:13:10.826,-0.065
17:13:11.028,-0.009
17:13:11.231,-0.009
17:13:11.432,-0.009
17:13:11.634,-0.009
17:13:11.837,-0.009
17:13:12.039,-0.009
17:13:12.246,-0.009
17:13:12.448,-0.009
17:13:12.650,-0.045
17:13:12.851,-0.065
17:13:13.054,-0.075
17:13:13.256,-0.075
17:13:13.458,-0.075
17:13:13.660,-0.075
17:13:13.862,-0.075
17:13:14.064,-0.075
17:13:14.266,-0.075
17:13:14.467,-0.075
17:13:14.670,-0.484
17:13:14.874,-0.518
