time_stamp,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT
23:50:12,STABILIZE,-35.3632621,149.1652374,25.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0009520238963887095,0.0009315232164226472,0.026035666465759277,0.00014751654816791415,0.00011136045213788748,0.001956478226929903,66372.0
23:50:20,AUTO,-35.3632622,149.1652375,3.5,-1.0,0.0,-1.0,0.0,1.5,-1000.0,0.5,0.0,0.5,-0.0009593880386091769,0.0009752441546879709,0.02350749261677265,0.0003019539872184396,0.00023986375890672207,0.0015751097234897316,66372.0
23:50:22,AUTO,-35.3632621,149.1652375,12.0,0.0,0.0,-1.5,0.0,1.0,-1000.0,0.5,0.0,0.5,-0.00044983389670960605,0.0013765167095698416,0.022907515987753868,0.0003114936116617173,0.00029706594068557024,0.0014558876864612103,66372.0
23:50:23,AUTO,-35.3632621,149.1652375,28.0,0.0,0.0,-12.5,0.0,0.5,-1058.75,2.75,-1.75,0.75,0.000511384590936359,0.0009087151265703142,0.02244644844904542,0.0024861234560376033,-0.0018725390982581303,0.001764845015713945,2428.0
23:50:24,AUTO,-35.3632621,149.1652375,329.0,0.0,0.0,-89.0,0.0,0.0,-1118.5,0.0,3.5,1.0,0.0017000188818201423,0.000686632702127099,0.022383498027920723,-0.00035331270191818476,0.0033280663192272186,0.0020050187595188618,2428.0
23:50:26,AUTO,-35.3632615,149.16524045,3147.0,8.5,49.0,-146.5,1.0,-9.0,-990.5,-88.0,58.5,-76.0,0.050797486677765846,0.0027779811061918736,-0.019863986875861883,-0.08903870638459921,0.058156474493443966,-0.07616692036390305,2428.0
23:50:28,AUTO,-35.3632602,149.16524575,6192.0,-4.0,-35.0,-148.5,-2.5,4.5,-1001.5,53.5,1.5,-36.5,-0.07411712780594826,0.014969436917454004,-0.11576488614082336,0.052890777587890625,0.0007281734142452478,-0.03666456509381533,17625.0
23:50:30,AUTO,-35.36326495,149.16523365,9281.5,-42.0,-27.0,-151.5,2.0,13.5,-997.5,-8.0,-81.5,78.0,0.04795762710273266,0.006762904115021229,-0.1200428269803524,-0.008660873398184776,-0.08239091373980045,0.0788349062204361,32822.0
23:50:32,AUTO,-35.3632635,149.16523715,12342.5,72.0,48.5,-143.5,-6.5,-17.5,-1008.0,-140.0,146.0,-142.0,-0.004449892323464155,-0.03105780528858304,-0.05192949250340462,-0.14113865792751312,0.14540039002895355,-0.1423240303993225,32822.0
23:50:33,AUTO,-35.3632571,149.165239425,14280.0,24.5,-11.75,-152.75,-6.5,-4.5,-1001.5,13.25,29.75,-76.5,-0.04773748014122248,0.05366824474185705,-0.20807576179504395,0.01249348372220993,0.029478468699380755,-0.07675513066351414,160825.0
23:50:34,AUTO,-35.36325685,149.1652375,15452.5,-26.0,-31.0,-151.5,-2.5,6.5,-999.5,58.5,3.0,-28.0,-0.02239017654210329,0.06253206543624401,-0.24636885523796082,0.05825064517557621,0.0027341056702425703,-0.02818617131561041,160825.0
23:50:36,AUTO,-35.3632669,149.1652368,18548.5,-36.5,32.5,-152.5,12.0,1.5,-1008.0,-27.5,-138.5,151.0,0.019146277103573084,-0.08156510442495346,-0.14676658064126968,-0.028655927628278732,-0.14005934447050095,0.15195953100919724,160825.0
23:50:38,AUTO,-35.36325825,149.16523669999998,21594.5,67.5,-53.5,-151.5,-21.0,-4.0,-1005.5,40.5,51.5,-55.0,-0.044207388535141945,0.007511276111472398,-0.22396832704544067,0.040368346497416496,0.051566073670983315,-0.055040907114744186,91628.0
23:50:40,AUTO,-35.36325495,149.16522485000002,24734.5,-42.0,-7.0,-153.0,2.5,7.5,-999.0,61.0,-6.5,-1.5,0.0628504678606987,0.07441740855574608,-0.26348723471164703,0.060875533148646355,-0.007289605448022485,-0.0017059135570889339,22431.0
23:50:42,AUTO,-35.3632619,149.16523875000001,27760.0,4.0,60.0,-152.5,12.0,-12.5,-1017.0,-62.5,44.5,-94.0,-0.07709703966975212,-0.04384185001254082,-0.22589492797851562,-0.06415928900241852,0.04427920840680599,-0.09419193118810654,22431.0
23:50:43,AUTO,-35.36326065,149.165239175,29705.25,9.5,-33.75,-152.0,-6.25,2.75,-1001.5,79.0,48.75,21.25,-0.03205722582060844,0.002602902939543128,-0.2845384404063225,0.07860472518950701,0.04853980662301183,0.022288884152658284,1779.0
23:50:44,AUTO,-35.36326045,149.1652361,30873.0,-6.5,-32.5,-154.0,-6.0,6.0,-1003.0,58.0,11.5,14.5,0.01722693908959627,0.02457527257502079,-0.26917873322963715,0.057829976081848145,0.011102188844233751,0.014850693754851818,1779.0
23:50:46,AUTO,-35.3632626,149.1652382,33974.5,-2.5,30.0,-150.0,6.5,-5.0,-997.5,-118.5,-1.5,-13.0,-0.027098290622234344,-0.013315439689904451,-0.2417042776942253,-0.11978626623749733,-0.002776588487904519,-0.013475232291966677,1779.0
23:50:48,AUTO,-35.3632654,149.1652338,36093.5,-2.5,-19.5,-51.5,-1.5,5.5,-965.5,24.5,12.5,-33.0,0.04640262760221958,-0.04530733451247215,0.030485411174595356,0.023660963401198387,0.012077128689270467,-0.03369930572807789,36151.0
23:50:50,AUTO,-35.36326215,149.165236,36601.0,18.5,23.5,-3.0,-1.5,-26.0,-974.5,-608.5,15.0,-4.5,-0.004959404730470851,0.012959647458046675,0.0005315378366503865,-0.6098063886165619,0.014192014466971159,-0.004787033511092886,70523.0
