time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro
18:22:56,-0.0011462048860266805,0.0009540000076716145,0.02456717441479365,0.00022600810431564847,0.0002427789925908049,0.0018803128041327,-35.3632621,149.16523753333334,0.0,-1.0,1.3333333333333333,1.0,STABILIZE,1500.0,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.3333333333333333,0.0
18:23:00,-0.0011957688839174807,0.0010144005063921213,0.023478934075683355,0.0002532438520574942,0.0002673378476174548,0.001646587683353573,-35.3632622,149.1652375,5.0,-1.0,0.0,0.0,STABILIZE,1500.0,0.0,1.3333333333333333,-1000.0,0.0,0.0,0.0
18:23:02,-0.0009197350009344518,0.0010002985363826156,0.022939980030059814,0.0002562515049551924,0.00028742803260684013,0.001603038787531356,-35.3632622,149.1652375,7.0,-1.0,1.0,0.0,AUTO,1500.0,0.0,1.0,-1000.0,0.25,0.0,0.25
18:23:12,0.04209990302721659,-0.004709984253471096,0.021793151274323463,0.04289110004901886,-0.009091040740410486,0.003322326966250936,-35.3632619,149.16523806666666,2159.6666666666665,2.3333333333333335,18.666666666666668,-149.66666666666666,AUTO,1500.0,0.0,-2.0,-1003.6666666666666,43.0,-8.0,2.3333333333333335
18:23:13,-0.03228373918682337,0.016159826579193275,-0.0768554334839185,-0.07028572773560882,-0.02082254671646903,-0.038280693193276726,-35.36326111666666,149.16524465,4557.0,-2.1666666666666665,31.5,-148.66666666666666,AUTO,1500.0,4.0,-7.5,-1002.3333333333334,-69.0,-20.333333333333332,-38.5
18:23:15,-0.004947622423060238,-0.009000577498227358,-0.0765460878610611,0.06346264481544495,0.014988244511187077,0.003913026070222259,-35.3632615,149.1652412,7521.666666666667,4.0,-55.333333333333336,-151.0,AUTO,1500.0,-7.0,10.0,-1002.3333333333334,63.333333333333336,13.333333333333334,3.0
18:23:16,0.044825092889368534,0.02104336954653263,-0.09157026186585426,-0.0002391443122178316,0.013466570293530822,-0.019125168677419424,-35.36326125,149.1652352,9590.0,-4.0,-15.25,-152.25,AUTO,1500.0,-3.0,4.5,-998.25,0.75,13.5,-19.25
18:23:18,-0.008663394255563617,-0.008453647722490132,-0.09746122919023037,0.0017623627136345021,0.0005981945723760873,-0.01651979284361005,-35.363262675,149.1652364,12694.75,-2.0,5.0,-152.0,AUTO,1500.0,0.75,-0.5,-1001.0,2.25,1.25,-16.5
18:23:20,0.007185787078924477,0.004717147152405232,-0.1453125923871994,0.003964876406826079,0.005480572115629911,-0.018785401480272412,-35.363261975,149.165235675,15819.5,3.5,-1.75,-153.0,AUTO,1500.0,-1.6,0.0,-999.8,5.4,6.2,-19.2
18:23:22,0.005524568570156892,0.00609722500666976,-0.17349743594725928,-0.002086062372351686,-0.0003444168153995027,-0.015061788416157166,-35.36326158333333,149.1652356,18555.0,-1.5,4.833333333333333,-153.0,AUTO,1500.0,0.0,0.0,-1000.0,-1.0,0.16666666666666666,-15.0
18:23:24,0.0015122686551573377,0.0034565802585954466,-0.20742168525854746,-0.00018643008661456406,-9.858116876178731e-05,-0.020713137462735176,-35.36326163333334,149.16523633333333,21679.0,-3.0,4.833333333333333,-153.0,AUTO,1500.0,0.16666666666666666,0.0,-1000.0,0.3333333333333333,0.3333333333333333,-20.5
18:23:26,-0.0025920458720065653,0.003085822449065745,-0.24516036361455917,0.0010232785619640101,0.002098713661932076,-0.014447467285208404,-35.363261816666665,149.16523675000002,24803.666666666668,-2.6666666666666665,1.3333333333333333,-152.83333333333334,AUTO,1500.0,0.0,0.0,-1000.3333333333334,1.6666666666666667,2.5,-14.333333333333334
18:23:28,0.008541807698618089,0.001738168773174818,-0.22065062820911407,-0.003870346999195005,-0.0005513257513354931,0.023737967546497072,-35.363262285714285,149.16523671428573,28117.571428571428,-2.857142857142857,5.571428571428571,-153.0,AUTO,1500.0,0.2857142857142857,0.0,-999.5714285714286,-2.7142857142857144,0.2857142857142857,23.142857142857142
18:23:30,-0.0005708908574888483,0.0015330345292265217,-0.18050945550203323,-0.001583827465462188,-0.0006960516911931336,0.017720009200274944,-35.3632623,149.1652378166667,31197.666666666668,0.0,4.666666666666667,-153.0,AUTO,1500.0,0.0,-0.5,-1000.1666666666666,-0.8333333333333334,0.3333333333333333,17.166666666666668
18:23:32,0.0009918033368497465,0.0013396999177833397,-0.15032354245583215,0.0012636315077543259,-0.000443198853948464,0.013580377213656902,-35.36326226666667,149.16523800000002,34312.833333333336,0.0,0.16666666666666666,-153.0,AUTO,1500.0,0.0,0.0,-1000.1666666666666,1.8333333333333333,0.3333333333333333,12.833333333333334
18:23:34,0.0016947787759515147,0.0014018717629369348,-0.12882295871774355,0.0007612674671690911,0.0011985004142237206,0.010861448167512814,-35.36326218333334,149.16523778333334,37273.166666666664,0.0,0.0,-153.0,AUTO,1500.0,0.0,0.0,-1000.0,1.5,1.8333333333333333,10.166666666666666
18:23:36,0.0021654564576844373,0.0013693518897828956,-0.11148305361469586,0.0009198597399517894,0.0009493636607658118,0.00825203776669999,-35.36326209999999,149.16523751666668,40396.166666666664,0.0,0.0,-153.0,AUTO,1500.0,0.0,0.0,-1000.3333333333334,1.5,1.5,8.0
