time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
17:34:57,STABILIZE,-0.0011545071611180902,0.0009732175967656076,0.02261768188327551,0.00022397900465875864,0.0002908835303969681,0.0016633823979645967,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0,1500.0
17:35:06,AUTO,-0.0010249275946989655,0.0010046140135576327,0.02144147704044978,0.0002528566401451826,0.00028855671795705956,0.0014619143136466544,0.0,1.3333333333333333,-1000.0,0.0,0.3333333333333333,0.3333333333333333,-35.3632622,149.1652375,2.0,-1.0,0.6666666666666666,0.0,1500.0
17:35:08,AUTO,0.02014562184922397,0.001061964183463715,0.01258931215852499,0.023080732906237245,-0.0032885088730836287,-0.008355265948921442,0.0,-0.8,-1009.2,23.8,-1.8,-7.8,-35.363262,149.165237825,2078.75,0.25,9.0,-147.25,1500.0
17:35:13,AUTO,-0.01647256314754486,0.007791436277329922,-0.058647298440337184,-0.10915386378765106,0.011678878776729107,-0.05783713012933731,2.8,-8.2,-1001.2,-107.6,12.2,-57.6,-35.36326122,149.16524285999998,4573.0,5.4,37.2,-146.8,1500.0
17:35:15,AUTO,-0.022923785261809826,0.006056331237778068,-0.10742824375629426,0.06363212689757347,0.007933211512863636,-0.0068895079428330066,-5.0,10.4,-1001.8,63.8,8.2,-6.6,-35.363261179999995,149.16524054,7342.8,-8.8,-52.8,-150.2,1500.0
17:35:17,AUTO,0.029887689077960595,-0.021578271374372498,-0.07248483757887568,-0.04117466562560627,-0.008539094922265835,0.013854191206129534,1.4285714285714286,-0.14285714285714285,-999.7142857142857,-40.0,-7.714285714285714,13.285714285714286,-35.36326361428572,149.16523398571425,10543.285714285714,-1.2857142857142858,10.714285714285714,-150.57142857142858,1500.0
17:35:19,AUTO,-0.004119905317202211,0.016333984211087227,-0.14802494049072265,0.02500925064086914,0.01128665303112939,-0.03385890256613493,-3.6,-1.0,-1000.6,25.4,11.6,-33.6,-35.363261079999994,149.16523528,13564.2,11.8,-6.8,-153.0,1500.0
17:35:21,AUTO,0.011156287044286728,0.009410311235114932,-0.16854708269238472,-0.00793619075557217,-0.008635645732283592,-0.004976338008418679,1.25,0.0,-999.5,-7.0,-7.5,-4.5,-35.363260874999995,149.16523452500002,16348.0,-9.5,7.25,-152.5,1500.0
17:35:23,AUTO,-0.00016277371711718538,-8.005438333687682e-05,-0.19889127214749655,0.0006108703479791681,0.0020322718967994056,-0.02595381128291289,0.75,0.0,-1000.25,1.0,1.5,-24.5,-35.36326196666666,149.16523600000002,19435.666666666668,-4.0,6.0,-153.0,1500.0
17:35:50,AUTO,0.032424353528767824,-0.04258437342941761,0.19299814403057097,-0.1547105133533478,-0.05373561717569828,0.015322879143059253,-1.2,-11.8,-1007.6,-152.8,-52.2,15.8,-35.363261,149.16523911999997,49992.4,14.4,25.8,5.2,1500.0
17:35:52,AUTO,0.005389700084924698,-0.15656057596206666,0.997916293144226,-0.025362665206193923,-0.04546780213713646,0.39050672575831413,-37.0,-19.4,-1007.8,-24.4,-43.8,391.0,-35.36325126,149.16525194000002,49956.4,117.2,136.2,0.0,1500.0
17:35:54,AUTO,0.019872277788817883,-0.20455099046230316,1.0090606689453125,-0.010307739675045013,-0.016393882827833293,-0.014392019808292389,-87.2,-45.2,-999.2,-9.4,-15.0,-13.4,-35.36321582,149.16530188000002,49929.0,275.4,321.8,0.2,1500.0
17:35:55,AUTO,0.03236915497109294,-0.204449612647295,0.9876042306423187,0.02741757733747363,0.028160501271486282,-0.017888773698359728,-120.25,-55.5,-997.0,28.5,28.5,-16.5,-35.363168375,149.165371175,49946.75,388.25,444.25,-5.5,1500.0
17:35:59,AUTO,0.0689659354587396,-0.14265422771374384,0.9550031125545502,0.02273690824707349,-0.0058020512806251645,-0.008455241176610192,-142.5,-61.666666666666664,-984.3333333333334,23.833333333333332,-4.5,-7.5,-35.36302693333334,149.16557360000002,50007.166666666664,444.6666666666667,517.6666666666666,1.5,1500.0
17:36:01,AUTO,0.07003089040517807,-0.14258712530136108,0.942596435546875,-0.015626419335603714,0.013301452156156301,-0.0068141521187499166,-143.66666666666666,-74.16666666666667,-985.6666666666666,-14.333333333333334,14.333333333333334,-6.166666666666667,-35.36294638333334,149.16568891666665,49996.666666666664,444.0,525.0,-0.5,1500.0
17:36:03,AUTO,0.07038656001289685,-0.13071278234322867,0.9323361416657766,-0.005832457294066747,-0.004309614809850852,-0.010373603863020739,-135.83333333333334,-73.33333333333333,-983.5,-4.166666666666667,-2.8333333333333335,-9.666666666666666,-35.36286571666667,149.16580535,50001.0,441.8333333333333,520.8333333333334,0.0,1500.0
17:36:05,AUTO,0.07306186854839325,-0.07295404250423114,0.9247230589389801,0.14345702528953552,0.05105491727590561,-0.012592846372475227,-133.83333333333334,-69.33333333333333,-989.8333333333334,144.66666666666666,51.833333333333336,-12.0,-35.36279103333333,149.16591356666666,50026.666666666664,418.3333333333333,486.8333333333333,-2.5,1500.0
17:36:07,AUTO,0.06575557962059975,0.015974027764362592,0.9189500411351522,0.17793168127536774,0.05468766763806343,-0.00808411012015616,-101.0,-55.333333333333336,-996.6666666666666,178.83333333333334,55.666666666666664,-7.666666666666667,-35.36272483333334,149.1660093,50022.333333333336,309.8333333333333,360.1666666666667,0.6666666666666666,1500.0
