time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
20:59:14,0.0,1.4,-1000.0,0.2,0.2,0.6,-0.0009691082232166082,0.0011032631155103445,0.02195783704519272,0.0002772596781142056,0.0002160379954148084,0.0014989090850576758,AUTO,-35.3632621,149.1652375,1.0,0.0,0.0,1.0,1500.0
20:59:18,0.0,-0.75,-1020.25,45.5,-6.5,1.25,0.02424937952309847,-0.0015124196070246398,0.020773460157215595,0.04532770439982414,-0.0073810601606965065,0.0020893996115773916,AUTO,-35.363262,149.1652377,1578.0,0.75,7.75,-145.25,1500.0
20:59:20,3.2857142857142856,-7.285714285714286,-1000.8571428571429,-73.0,2.7142857142857144,-47.857142857142854,-0.03481866760800282,0.012680505053140223,-0.07183012552559376,-0.06825701733275007,-0.01610511727631092,-0.03757421509362757,AUTO,-35.363261,149.16524476666666,4629.0,0.16666666666666666,29.333333333333332,-149.0,1500.0
20:59:21,-5.2,9.0,-1002.0,61.8,8.0,-0.2,-0.020021324791014195,-0.0044858093955554065,-0.08866051584482193,0.06151782870292664,0.007615104224532843,0.0002693385817110538,AUTO,-35.36326124,149.16524198,7292.6,-2.2,-49.8,-150.8,1500.0
20:59:31,0.0,0.0,-999.0,-1.0,0.0,-18.0,0.0017750983824953437,0.002913261530920863,-0.22708600759506226,-0.0020969414617866278,-0.00015356315998360515,-0.018719825893640518,BRAKE,-35.3632618,149.1652365,22747.0,-3.0,3.0,-153.0,1500.0
20:59:33,2.25,8.75,-938.25,111.75,-134.75,68.25,-0.0003953410778194666,-0.008798888520686887,0.1102015133947134,0.11152118444442749,-0.136119672562927,0.06882126536220312,BRAKE,-35.363263725,149.16523415,25200.25,-31.25,-31.0,-86.25,1500.0
20:59:35,-0.3333333333333333,-7.166666666666667,-984.3333333333334,81.5,35.666666666666664,-2.8333333333333335,0.029056699015200138,-0.013021203669874618,0.08591517309347789,0.08110694649318854,0.03507954782495896,-0.002816197588496531,ALT_HOLD,-35.36326425000001,149.1652340166667,25920.833333333332,16.666666666666668,26.833333333333332,-14.666666666666666,1500.0
20:59:37,-0.8571428571428571,-28.857142857142858,-888.2857142857143,-593.4285714285714,-5.714285714285714,-3.2857142857142856,-0.01665455981024674,0.010189266609294074,0.07449942827224731,-0.5941138038677829,-0.007195287051477602,-0.003376167070070681,AUTO,-35.36326141428571,149.16523797142855,25090.571428571428,4.857142857142857,3.142857142857143,130.14285714285714,1500.0
20:59:39,-0.14285714285714285,-8.857142857142858,-1070.4285714285713,-496.57142857142856,1.7142857142857142,-12.571428571428571,0.009342697565443814,-0.007797012305153268,0.06545973994902202,-0.4995544808251517,0.0009645129736912038,-0.013057701356176819,AUTO,-35.363261828571424,149.16523591428572,22082.85714285714,-0.14285714285714285,11.142857142857142,45.714285714285715,1500.0
20:59:41,0.3333333333333333,-1.8333333333333333,-1048.5,-41.166666666666664,-0.16666666666666666,-3.1666666666666665,0.008000997205575308,-0.00449937186203897,0.054540133103728294,-0.043203720512489475,-0.001146867434727028,-0.003607477255476018,AUTO,-35.36326209999999,149.16523563333334,22228.0,4.666666666666667,18.0,-57.0,1500.0
20:59:45,0.0,-1.8333333333333333,-1025.8333333333333,20.666666666666668,-4.0,-1.3333333333333333,0.016992430513103802,-0.004933025649127861,0.046488380059599876,0.019035250103722017,-0.004850707492247845,-0.0015668595103003706,AUTO,-35.36326208333333,149.16523641666666,24163.833333333332,5.666666666666667,17.166666666666668,-137.33333333333334,1500.0
20:59:47,4.0,-10.8,-1002.4,-109.8,16.2,-66.2,-0.021892273612320424,0.0143402059096843,-0.008919439278542995,-0.11242048144340515,0.015308628231287003,-0.06681965328752995,AUTO,-35.36326106,149.16524268,26963.0,7.2,46.2,-146.0,1500.0
20:59:53,-1.75,-0.25,-999.5,11.5,2.75,-18.5,-0.0024410801961494144,0.01354547900458177,-0.09171118835608165,0.008741148631088436,-0.0003082843031734228,-0.016076919933160145,AUTO,-35.36326019999999,149.16523583333333,36196.666666666664,-0.3333333333333333,-8.0,-152.0,1500.0
20:59:55,0.6666666666666666,0.0,-999.8333333333334,-1.8333333333333333,-3.3333333333333335,-10.5,-0.0015513072527634602,0.005933585964764158,-0.11193857962886493,-0.004144004623716076,-0.004527705333506067,-0.011574911962573728,AUTO,-35.36326038333333,149.16523591666666,38653.666666666664,-9.0,0.0,-152.0,1500.0
20:59:57,0.125,0.0,-999.875,1.875,1.375,-20.125,-0.004432312096469104,0.0006750906795787159,-0.15744449943304062,0.00021461438154801726,0.0004586745926644653,-0.021193545195274055,BRAKE,-35.3632611,149.16523677499998,42175.125,-4.75,0.0,-153.0,1500.0
21:00:00,0.4,7.5,-943.9,85.7,-20.5,105.1,-0.0019194701686501502,-0.004119075322523713,0.03560659576905891,0.08400898259133101,-0.02153346100822091,0.10448476043529809,ALT_HOLD,-35.36326296,149.16523443999998,45716.4,-16.6,-17.8,-77.7,1500.0
21:00:03,0.6666666666666666,21.333333333333332,-841.6666666666666,993.3333333333334,-2.3333333333333335,8.0,-0.027017624427874882,0.027136448149879772,0.07382108271121979,0.996944010257721,-0.0030870664243896804,0.007566371932625771,ALT_HOLD,-35.36326373333333,149.16523366666667,46226.666666666664,0.3333333333333333,-3.0,59.666666666666664,1500.0
