time_stamp,MODE,RTL_ALT,LAND_SPEED,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
22:07:30,GUIDED,1500.0,50.0,-0.00027195018871376914,0.0015211262507364154,0.029247415562470753,0.00030251506056326133,0.00026510054400811595,0.002401122668137153,-35.3632621,149.1652374,1.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0
22:07:32,GUIDED,1500.0,50.0,-0.0005667325264463822,0.0014327843285476167,0.02794201175371806,0.00018642506135317186,0.00032401179972415167,0.0022393302836765847,-35.3632622,149.1652375,9.0,-1.3333333333333333,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0
22:07:34,GUIDED,1500.0,50.0,-0.0004608237650245428,0.0016673013257483642,0.026806406676769257,0.00020745533402077854,0.0003029268215565632,0.0021030359591046968,-35.3632621,149.1652374,10.0,0.0,0.0,0.0,0.0,1.3333333333333333,-1000.0,0.0,0.0,0.3333333333333333
22:07:36,GUIDED,1500.0,50.0,0.001534174516564235,0.0005894653537931541,0.025658896192908287,0.0017780994627779971,-0.004335943657982473,0.0017764066190769274,-35.3632621,149.1652374,40.0,0.0,0.0,-20.333333333333332,0.0,0.3333333333333333,-1091.0,2.0,-4.0,0.0
22:07:38,GUIDED,1500.0,50.0,0.04724384471774101,-0.004998308218394716,0.025909583394726116,0.04143912469347318,-0.009602080409725508,0.003925108350813389,-35.36326186666667,149.16523830000003,2260.0,3.0,23.0,-148.66666666666666,0.6666666666666666,-3.3333333333333335,-1001.6666666666666,41.333333333333336,-8.666666666666666,2.6666666666666665
22:07:40,GUIDED,1500.0,50.0,-0.05598124861717224,0.0023989100785305104,-0.09099861482779185,-0.06634700298309326,-0.055331227680047355,0.010928153060376644,-35.36326113333334,149.16524663333334,5315.666666666667,-7.666666666666667,12.333333333333334,-149.0,3.3333333333333335,-2.6666666666666665,-998.6666666666666,-65.33333333333333,-54.666666666666664,9.666666666666666
22:07:42,GUIDED,1500.0,50.0,0.015658663236536086,-0.0018052048981189728,-0.07928296426932017,0.06515584637721379,0.018761662145455677,0.00573857252796491,-35.363261333333334,149.16523793333334,8392.333333333334,3.3333333333333335,-57.666666666666664,-152.0,-8.666666666666666,11.333333333333334,-1003.6666666666666,65.33333333333333,18.666666666666668,4.0
22:07:44,GUIDED,1500.0,50.0,0.00470668434475859,0.0055605768381307525,-0.09490905950466792,-0.07132505377133687,-0.03855126413206259,0.008228654623962939,-35.363262,149.16523529999998,11505.0,-13.333333333333334,30.0,-149.0,5.666666666666667,-4.0,-1002.0,-70.0,-37.666666666666664,7.0
22:07:46,GUIDED,1500.0,50.0,-0.003622783930040896,-0.0039004767313599586,-0.12932567795117697,0.019163671260078747,0.009471675381064415,-0.02291974114874999,-35.36326256666666,149.16523723333333,14612.0,4.0,-8.333333333333334,-152.0,-1.6666666666666667,0.0,-1000.0,19.333333333333332,9.333333333333334,-23.666666666666668
22:07:48,GUIDED,1500.0,50.0,0.009552184802790483,0.007682604715228081,-0.1652923176685969,-0.001958279657022407,0.00041154539212584496,-0.01266103982925415,-35.363261666666666,149.1652356,17725.666666666668,0.3333333333333333,1.3333333333333333,-152.0,-0.6666666666666666,0.0,-1000.0,-1.3333333333333333,1.0,-13.0
22:07:50,GUIDED,1500.0,50.0,0.0023671588860452175,0.004124971184258659,-0.1927729845046997,-0.0009209509395683805,-0.0001309462143884351,-0.016891082748770714,-35.36326156666667,149.1652361,20851.0,-3.0,5.0,-153.0,0.0,0.0,-1000.0,-0.3333333333333333,0.3333333333333333,-17.333333333333332
22:07:52,GUIDED,1500.0,50.0,0.001345172873698175,0.0030275894484172263,-0.23055466512838999,0.0019108232421179612,0.00024063491340105733,-0.019665087883671124,-35.3632617,149.1652366333333,23974.0,-2.0,2.6666666666666665,-153.0,0.0,0.0,-1000.0,2.0,0.3333333333333333,-19.666666666666668
22:07:54,GUIDED,1500.0,50.0,0.012019970454275608,0.0037349581252783537,-0.2420747478802999,0.007786533795297146,-0.0017962410541561742,0.02190631317595641,-35.36326210000001,149.16523636666668,27087.666666666668,-4.333333333333333,0.6666666666666666,-153.0,0.0,0.3333333333333333,-999.0,8.666666666666666,-0.6666666666666666,21.0
22:07:56,GUIDED,1500.0,50.0,-0.00038614611063773435,0.0023446238289276757,-0.19716216623783112,-0.003943220557024081,0.0004609055273855726,0.0214021032055219,-35.3632623,149.1652375,30192.0,0.0,8.0,-152.33333333333334,0.3333333333333333,-1.0,-1000.3333333333334,-2.3333333333333335,0.6666666666666666,20.0
22:07:58,GUIDED,1500.0,50.0,-7.895794260548428e-05,0.001141685953674217,-0.16241306066513062,0.001767437478216986,0.0006087882211431861,0.015333950830002626,-35.3632623,149.1652381,33304.0,0.0,0.6666666666666666,-153.0,0.0,0.0,-999.6666666666666,2.0,1.3333333333333333,14.333333333333334
22:08:00,GUIDED,1500.0,50.0,0.0012266553627947967,0.0008027932490222156,-0.13675378759702048,0.0010197429607311885,0.00024560790431375307,0.012569049062828222,-35.3632622,149.1652379,36412.333333333336,0.0,0.0,-153.0,0.0,0.0,-1000.0,1.6666666666666667,0.6666666666666666,11.666666666666666
22:08:02,GUIDED,1500.0,50.0,0.0020962380804121494,0.0015280996449291706,-0.11746594806512196,-0.0006291662187625965,0.0003590837392645578,0.009624344607194265,-35.36326213333333,149.16523756666666,39520.333333333336,0.0,0.0,-153.0,0.0,0.0,-1000.0,0.0,0.6666666666666666,8.666666666666666
