time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
02:08:03,-0.001063431380316615,0.0010575740598142147,0.024974883534014225,0.00013940726057626307,0.000321562634781003,0.0018691224395297468,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,0.6666666666666666,0.3333333333333333,1500.0
02:08:07,-0.0012472026282921433,0.0009329112363047898,0.023732950910925865,0.00019580358639359474,0.00030883471481502056,0.0018836449598893523,0.0,1.0,-1000.0,0.5,0.0,0.0,STABILIZE,-35.3632621,149.1652375,0.0,-1.0,1.0,1.0,1500.0
02:08:09,-0.001358242705464363,0.0009370390907861292,0.023062588647007942,7.59175163693726e-05,0.0003261795500293374,0.0016136453486979008,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,-35.3632621,149.1652375,0.0,-1.0,1.0,0.0,1500.0
02:08:19,-0.0011284261709079146,0.001134413410909474,0.021105884574353695,0.00032088023726828396,0.0003165642265230417,0.001395994855556637,0.0,2.0,-1000.0,0.0,0.0,1.0,AUTO,-35.3632621,149.1652375,18.0,0.0,0.0,-2.0,21603.0
02:08:20,-0.000849692223710008,0.0014568603073712438,0.020865611732006073,0.0002969464985653758,0.00032655560062266886,0.0013183897244744003,0.0,1.5,-1000.0,0.5,0.25,0.25,AUTO,-35.3632621,149.1652375,21.5,0.0,0.0,-1.5,171188.0
02:08:21,-0.0006418815755750984,0.0016784283798187971,0.020698318257927895,0.00033219941542483866,0.00029875567997805774,0.0013703986187465489,0.0,1.5,-1000.0,0.5,0.5,0.5,AUTO,-35.3632621,149.1652375,22.5,0.0,0.0,-1.0,171188.0
02:08:23,0.03266873676329851,-0.0025009685195982456,0.01938149891793728,0.0451766774058342,-0.008035463746637106,0.0020733638666570187,0.0,-0.5,-1006.5,45.5,-6.5,1.5,AUTO,-35.363262,149.1652377,1815.0,1.5,11.0,-148.5,102161.0
02:08:25,-0.08249763399362564,0.006023633060976863,-0.08188586682081223,-0.01371668465435505,-0.012131534982472658,-0.03632282931357622,2.5,-4.0,-1007.0,-12.5,-11.0,-36.0,AUTO,-35.3632609,149.1652451,4862.0,-0.5,6.5,-149.5,33134.0
02:08:26,-0.0220261964132078,0.003948925354052335,-0.10318558663129807,0.06561089865863323,0.008094006916508079,-0.0041239280726586,-5.0,11.0,-1002.0,65.75,8.25,-4.0,AUTO,-35.363261475,149.1652404,6784.0,-10.75,-57.0,-150.25,30031.0
02:08:27,0.02851573470979929,0.010333213489502668,-0.10294618830084801,0.06761205196380615,0.006112364120781422,0.002760530449450016,-4.0,12.5,-1003.5,67.5,6.0,2.0,AUTO,-35.363262399999996,149.16523560000002,7949.5,-18.0,-48.0,-152.5,30031.0
02:08:29,-0.01691652787849307,-0.019544996321201324,-0.060928814113140106,-0.04731621313840151,0.07437938079237938,-0.08123473823070526,-2.0,-7.5,-1005.5,-46.5,75.0,-81.5,AUTO,-35.36326345,149.16523515,11040.5,30.0,21.5,-149.5,151576.5
02:08:31,0.012042686343193054,0.0225732009857893,-0.16309309750795364,0.016448267735540867,-0.008895711274817586,-0.004233203246258199,-1.5,1.0,-999.0,16.5,-7.5,-4.0,AUTO,-35.36326,149.16523460000002,14153.0,-3.0,-6.0,-153.0,273122.0
