time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
20:55:10,0.0,2.0,-1000.0,0.0,0.5,0.0,AUTO,-0.0009822251158766448,0.0009685096156317741,0.021910405717790127,0.0002649711968842894,0.00031039322493597865,0.0015064527979120612,-35.36326215,149.1652375,17.0,-1.0,0.0,-2.5,1500.0
20:55:12,0.0,1.5,-1000.0,0.0,0.0,0.5,AUTO,-0.0005512569041457027,0.001367060118354857,0.021364478394389153,0.0003632943844422698,0.00026600065757520497,0.001498379628174007,-35.3632621,149.1652375,26.5,0.0,0.0,-2.0,1500.0
20:55:14,0.0,0.0,-1120.5,-3.0,4.0,1.0,AUTO,0.00211040215799585,0.0006134108916739933,0.020900367759168148,-0.002990512817632407,0.0033702661748975515,0.0017408843850716949,-35.3632621,149.1652375,325.5,0.0,1.0,-87.5,1500.0
20:55:16,1.5,-9.5,-991.5,-73.0,58.5,-71.5,AUTO,0.05228507146239281,0.0018588947132229805,-0.018940352369099855,-0.07327863574028015,0.0581624461337924,-0.0717651229351759,-35.3632615,149.16524035,3130.5,8.5,48.0,-147.0,1500.0
20:55:18,-2.5,5.0,-1000.5,54.0,0.0,-16.5,AUTO,-0.06341454200446606,0.0009012286609504372,-0.10001394525170326,0.05455084517598152,-0.0003737345105037093,-0.016444820445030928,-35.3632608,149.1652454,6183.5,-3.0,-36.0,-149.0,1500.0
20:55:20,0.5,8.0,-999.5,46.5,-13.5,18.0,AUTO,0.06481306999921799,0.011936976108700037,-0.10341659560799599,0.04664588812738657,-0.014436319936066866,0.018739097518846393,-35.3632631,149.16523445,9291.5,-21.5,-17.5,-153.0,1500.0
20:55:22,-5.5,-5.0,-1004.0,11.0,36.0,-75.5,AUTO,-0.029615556821227074,0.007210926152765751,-0.11507624387741089,0.01129345188383013,0.035885476507246494,-0.07557996362447739,-35.363261800000004,149.1652373,12381.0,29.0,1.0,-151.5,1500.0
20:55:24,0.5,1.5,-999.0,-0.5,-12.0,5.0,AUTO,0.016252190805971622,0.015959245152771473,-0.1687038317322731,-0.0006186235696077347,-0.012983114924281836,0.00572921265847981,-35.3632601,149.16523504999998,15509.0,-11.5,-1.0,-152.0,1500.0
20:55:26,1.5,0.0,-1000.0,-2.5,0.5,-23.5,AUTO,-0.0004259014349372592,-0.002699661417864263,-0.18047654628753662,-0.0029235801775939763,0.00011274116695858538,-0.023459711112082005,-35.363261949999995,149.16523610000002,18621.0,-7.0,7.5,-152.0,1500.0
20:55:28,0.0,0.0,-999.5,1.5,4.0,-24.0,AUTO,0.003556255018338561,0.0023703910410404205,-0.23216859251260757,0.0020225400221534073,0.0033441800624132156,-0.024116696789860725,-35.3632621,149.1652364,21755.5,0.0,2.0,-153.0,1500.0
20:55:30,0.0,-1.5,-989.5,-53.0,7.0,-9.5,AUTO,0.0010419872996862978,0.0034183370880782604,-0.27215851843357086,-0.05301381560275331,0.00640949874650687,-0.009173730795737356,-35.3632621,149.16523665,24882.0,-1.0,3.5,-152.5,1500.0
20:55:32,0.5,0.0,-999.5,-6.0,1.5,23.0,AUTO,0.008548848098143935,0.0014337251195684075,-0.2317703291773796,-0.006414286093786359,0.00026705302298069,0.02362209837883711,-35.3632624,149.16523675000002,27995.5,-2.5,6.5,-152.5,1500.0
20:55:34,0.0,0.0,-1000.5,0.5,0.0,17.0,AUTO,-0.0010022350470535457,0.001239395933225751,-0.19259878993034363,0.000573894358240068,-0.0001738332794047892,0.01779503095895052,-35.3632624,149.16523795,31111.0,0.0,4.5,-153.0,1500.0
20:55:36,0.0,0.0,-1000.0,0.5,1.5,13.0,AUTO,0.0014486381551250815,0.0009334044007118791,-0.16325680911540985,0.00029764953069388866,0.001043032418237999,0.01337144011631608,-35.3632623,149.1652381,34224.5,0.0,0.0,-153.0,1500.0
20:55:38,0.0,0.0,-1001.0,3.5,1.5,9.0,AUTO,0.0015736256609670818,0.0011227118666283786,-0.14150093495845795,0.004187735263258219,0.0011300609621684998,0.009538373909890652,-35.3632622,149.1652378,37338.0,0.0,0.0,-153.0,1500.0
20:55:40,0.0,0.0,-1000.5,2.0,0.5,8.5,AUTO,0.0023698273580521345,0.0015230783028528094,-0.12489818781614304,0.002169086132198572,-0.00018744025146588683,0.008741026744246483,-35.3632621,149.16523755,40456.5,0.0,0.0,-153.0,1500.0
20:55:42,0.0,0.0,-1000.0,0.5,1.0,6.5,AUTO,0.0018555900896899402,0.0016028481186367571,-0.11189152300357819,0.0003753298515221104,0.000320231425575912,0.006719172233715653,-35.363262,149.1652375,43569.0,-1.0,1.0,-153.0,1500.0
20:55:44,0.0,0.0,-999.5,2.0,2.5,8.0,AUTO,0.0017313838470727205,0.0012021003640256822,-0.1001092866063118,0.002389834960922599,0.0018797997618094087,0.008130328264087439,-35.363262,149.1652374,46693.0,-1.0,1.0,-153.0,1500.0
20:55:46,0.5,5.5,-965.0,49.0,-1.5,-11.0,AUTO,0.031564568169415,-0.05433990620076656,0.2933233827352524,0.04901578463613987,-0.0028384365141391754,-0.012114672572351992,-35.3632647,149.16523295,49106.5,-7.0,-17.0,-73.5,1500.0
20:55:48,-2.0,-32.5,-975.5,-451.5,18.0,-25.0,AUTO,0.003062016796320677,0.011208390351384878,0.22644365578889847,-0.45117609202861786,0.017615032382309437,-0.025603530928492546,-35.36326215,149.16523605,50057.0,16.5,29.0,-25.0,1500.0
