,A.RTL3
18:55:52.878,-1.0
18:55:53.080,-1.0
18:55:53.283,-1.0
18:55:53.486,-1.0
18:55:53.689,-1.0
18:55:53.890,-1.0
18:55:54.093,-1.0
18:55:54.295,-1.0
18:55:54.499,-1.0
18:55:54.700,-1.0
18:55:54.902,-1.0
18:55:55.103,-1.0
18:55:55.306,-1.0
18:55:55.511,-1.0
18:55:55.721,-1.0
18:55:55.951,-1.0
18:55:56.197,-1.0
18:55:56.403,-1.0
18:55:56.606,-1.0
18:55:56.807,-1.0
18:55:57.008,-1.0
18:55:57.210,-1.0
18:55:57.412,-1.0
18:55:57.613,-1.0
18:55:57.817,-1.0
18:55:58.019,-1.0
18:55:58.223,-1.0
18:55:58.426,-1.0
18:55:58.628,-1.0
18:55:58.829,-1.0
18:55:59.031,-1.0
18:55:59.233,-1.0
18:55:59.436,-1.0
18:55:59.642,-1.0
18:55:59.852,-1.0
18:56:00.060,-1.0
18:56:00.277,-1.0
18:56:00.487,-1.0
18:56:00.690,-1.0
18:56:00.892,-1.0
18:56:01.095,-1.0
18:56:01.301,-1.0
18:56:01.506,-1.0
18:56:01.710,-1.0
18:56:01.913,-1.0
18:56:02.114,-1.0
18:56:02.316,-1.0
18:56:02.520,-1.0
18:56:02.721,-1.0
18:56:02.923,-1.0
18:56:03.124,-1.0
18:56:03.330,-1.0
18:56:03.531,-1.0
18:56:03.732,-1.0
18:56:03.935,-1.0
18:56:04.141,-1.0
18:56:04.370,-1.0
18:56:04.628,-1.0
18:56:04.834,-1.0
18:56:05.037,-1.0
18:56:05.238,-1.0
18:56:05.440,-1.0
18:56:05.642,-1.0
18:56:05.845,-1.0
18:56:06.047,-1.0
18:56:06.250,-1.0
18:56:06.451,-1.0
18:56:06.653,-1.0
18:56:06.854,-1.0
18:56:07.056,-1.0
18:56:07.257,-1.0
18:56:07.459,-1.0
18:56:07.661,-1.0
18:56:07.864,-1.0
18:56:08.078,-1.0
18:56:08.284,-1.0
18:56:08.488,-1.0
18:56:08.706,-1.0
18:56:08.943,-1.0
18:56:09.147,-1.0
18:56:09.351,-1.0
18:56:09.555,-1.0
18:56:09.756,-1.0
18:56:09.958,-1.0
18:56:10.161,-1.0
18:56:10.365,-1.0
18:56:10.566,-1.0
18:56:10.768,-1.0
18:56:10.970,-1.0
18:56:14.753,-1.0
18:56:14.956,-1.0
18:56:15.158,-1.0
18:56:15.360,-1.0
18:56:15.566,-1.0
18:56:15.793,-1.0
18:56:16.015,-1.0
18:56:16.221,-1.0
18:56:16.441,-1.0
18:56:16.663,-1.0
18:56:16.864,-1.0
18:56:17.066,-1.0
18:56:17.269,-1.0
18:56:17.472,-1.0
18:56:17.674,-1.0
18:56:17.876,-1.0
18:56:18.080,-1.0
18:56:18.283,-1.0
18:56:18.486,-1.0
18:56:18.687,-1.0
18:56:18.889,-1.0
18:56:19.092,-1.0
18:56:19.296,-1.0
18:56:19.498,-1.0
18:56:19.703,-1.0
18:56:19.906,-1.0
18:56:20.110,-1.0
18:56:20.314,-1.0
18:56:20.520,-1.0
18:56:20.726,-1.0
18:56:20.937,-1.0
18:56:21.154,-1.0
18:56:21.368,-1.0
18:56:21.640,-1.0
18:56:21.851,-1.0
18:56:22.084,-1.0
18:56:22.288,-1.0
18:56:22.494,-1.0
18:56:22.695,-1.0
18:56:22.900,-1.0
18:56:23.102,-1.0
18:56:23.303,-1.0
18:56:23.505,-1.0
18:56:23.707,-1.0
18:56:23.909,-1.0
18:56:24.113,-1.0
18:56:24.314,-1.0
18:56:24.517,-1.0
18:56:24.718,-1.0
18:56:24.920,-1.0
18:56:25.121,-1.0
18:56:25.323,-1.0
18:56:25.525,-1.0
18:56:25.727,-1.0
18:56:25.928,-1.0
18:56:26.130,-1.0
18:56:26.333,-1.0
18:56:26.546,-1.0
18:56:26.759,-1.0
18:56:26.984,-1.0
18:56:27.233,-1.0
18:56:27.438,-1.0
18:56:27.640,-1.0
18:56:27.843,-1.0
18:56:28.045,-1.0
18:56:28.247,-1.0
18:56:28.448,-1.0
18:56:28.650,-1.0
18:56:28.851,-1.0
18:56:29.053,-1.0
18:56:29.255,-1.0
18:56:29.457,-1.0
18:56:29.659,-1.0
18:56:29.860,-1.0
18:56:30.064,-1.0
18:56:30.266,-1.0
18:56:30.488,-1.0
18:56:30.691,-1.0
18:56:30.896,-1.0
18:56:31.116,-1.0
18:56:31.340,-1.0
18:56:31.542,-1.0
18:56:31.744,-1.0
18:56:31.945,-1.0
18:56:32.150,-1.0
18:56:32.351,-1.0
18:56:32.555,-1.0
18:56:32.757,-1.0
18:56:32.958,-1.0
18:56:33.162,-1.0
18:56:33.363,-1.0
18:56:33.566,-1.0
18:56:33.769,-1.0
18:56:33.971,-1.0
18:56:34.172,-1.0
18:56:34.374,-1.0
18:56:34.578,-1.0
18:56:34.798,-1.0
18:56:35.004,-1.0
18:56:35.211,-1.0
18:56:35.414,-1.0
18:56:35.619,-1.0
18:56:35.820,-1.0
18:56:36.023,-1.0
18:56:36.226,-1.0
18:56:36.428,0.001
18:56:36.629,-0.196
18:56:36.831,-0.259
18:56:37.034,-0.259
18:56:37.236,-0.259
18:56:37.438,-0.259
18:56:37.641,-0.259
18:56:37.843,-0.259
18:56:38.045,-0.259
18:56:38.246,-0.259
18:56:38.448,-0.0
18:56:38.664,-0.0
18:56:38.873,-0.0
18:56:39.118,-0.0
18:56:39.327,-0.0
18:56:39.531,-0.0
18:56:39.733,-0.0
18:56:39.935,-0.0
18:56:40.138,-0.0
18:56:40.340,-0.0
18:56:40.541,-0.0
18:56:40.742,0.0
18:56:40.945,0.0
18:56:41.147,0.0
18:56:41.350,0.0
18:56:41.553,0.0
18:56:41.756,0.0
18:56:41.959,0.0
18:56:42.160,0.0
18:56:42.362,0.0
18:56:42.566,-0.0
18:56:42.771,-0.0
18:56:42.980,-0.0
18:56:43.184,-0.0
18:56:43.387,-0.0
18:56:43.590,-0.0
18:56:43.792,-0.0
18:56:43.993,-0.0
18:56:44.195,-0.0
18:56:44.398,-0.0
18:56:44.602,-0.005
18:56:44.804,-0.005
18:56:45.005,-0.009
18:56:45.208,-0.009
18:56:45.411,-0.009
18:56:45.614,-0.009
18:56:45.816,-0.009
18:56:46.017,-0.009
18:56:46.220,-0.009
18:56:46.429,-0.009
18:56:46.640,-0.033
18:56:46.865,-0.044
18:56:50.692,-0.044
18:56:50.909,-0.044
18:56:51.139,-0.044
18:56:51.340,-0.044
18:56:51.541,-0.044
18:56:51.743,-0.044
18:56:51.945,-0.044
18:56:52.147,-0.033
18:56:52.348,-0.033
18:56:52.549,-0.033
18:56:52.750,-0.033
18:56:52.952,-0.033
18:56:53.154,-0.033
18:56:53.356,-0.033
18:56:53.558,-0.033
18:56:53.760,-0.033
18:56:53.961,-0.03
18:56:54.162,-0.046
18:56:54.365,-0.046
18:56:54.568,-0.046
18:56:54.771,-0.046
18:56:54.973,-0.046
18:56:55.177,-0.046
18:56:55.379,-0.046
18:56:55.582,-0.046
18:56:55.784,-0.046
18:56:55.986,-0.035
18:56:56.225,-0.041
18:56:56.467,-0.041
18:56:56.687,-0.041
18:56:56.917,-0.041
18:56:57.131,-0.041
18:56:57.339,-0.041
18:56:57.543,-0.038
18:56:57.745,-0.038
18:56:57.948,-0.038
18:56:58.149,-0.038
18:56:58.352,-0.038
18:56:58.553,-0.025
18:56:58.754,-0.032
18:56:58.955,-0.038
18:56:59.156,-0.044
18:56:59.358,-0.044
18:56:59.559,-0.051
18:56:59.763,-0.051
18:56:59.967,-0.051
18:57:00.168,-0.051
18:57:00.370,-0.051
18:57:00.571,-0.051
18:57:00.777,-0.051
18:57:00.982,-0.02
18:57:01.184,-0.183
18:57:01.391,-0.183
18:57:01.651,-0.183
18:57:01.857,-0.183
18:57:02.064,-0.183
18:57:02.281,-0.183
18:57:02.489,-0.183
18:57:02.691,-0.183
18:57:02.893,-0.183
18:57:03.095,-0.035
18:57:03.297,-0.049
18:57:03.498,-0.056
18:57:03.700,-0.056
18:57:03.902,-0.056
18:57:04.103,-0.056
18:57:04.308,-0.056
18:57:04.512,-0.056
18:57:04.714,-0.056
18:57:04.916,-0.056
18:57:05.118,-0.045
18:57:05.321,-0.052
18:57:05.529,-0.06
18:57:05.772,-0.06
18:57:05.995,-0.06
18:57:06.202,-0.06
18:57:06.452,-0.06
18:57:06.655,-0.06
18:57:06.857,-0.06
18:57:07.060,-0.06
18:57:07.265,-0.065
18:57:07.470,-0.064
18:57:07.671,-0.064
18:57:07.877,-0.064
18:57:08.079,-0.064
18:57:08.283,-0.064
18:57:08.485,-0.064
18:57:08.687,-0.064
18:57:08.888,-0.064
18:57:09.093,-0.064
18:57:09.295,-0.059
18:57:09.500,-0.068
18:57:09.744,-0.068
18:57:09.956,-0.068
18:57:10.185,-0.068
18:57:10.411,-0.068
18:57:10.614,-0.068
18:57:10.817,-0.068
18:57:11.019,-0.045
18:57:11.220,-0.064
18:57:11.422,-0.064
18:57:11.623,-0.073
18:57:11.825,-0.073
18:57:12.033,-0.073
18:57:12.235,-0.073
18:57:12.437,-0.073
18:57:12.642,-0.073
18:57:12.843,-0.073
18:57:13.044,-0.049
18:57:13.246,-0.069
18:57:13.447,-0.069
18:57:13.656,-0.078
18:57:13.860,-0.078
18:57:14.085,-0.078
18:57:14.309,-0.078
18:57:14.542,-0.078
18:57:14.753,-0.078
18:57:14.956,-0.078
18:57:15.159,-0.043
18:57:15.362,-0.075
18:57:15.563,-0.085
18:57:15.765,-0.085
18:57:15.968,-0.085
18:57:16.169,-0.085
18:57:16.372,-0.085
18:57:16.574,-0.085
18:57:16.776,-0.085
18:57:16.980,-0.085
18:57:17.186,-0.058
18:57:17.388,-0.082
18:57:17.591,-0.093
18:57:17.795,-0.093
18:57:18.018,-0.093
18:57:18.222,-0.093
18:57:18.429,-0.093
18:57:18.672,-0.093
18:57:18.879,-0.093
18:57:19.083,-0.039
18:57:19.285,-0.09
18:57:19.487,-0.09
18:57:19.692,-0.104
18:57:19.895,-0.104
18:57:20.097,-0.104
18:57:20.299,-0.104
18:57:20.502,-0.104
18:57:20.705,-0.104
18:57:20.906,-0.104
18:57:21.109,-0.043
18:57:21.311,-0.1
18:57:21.513,-0.115
18:57:21.715,-0.115
