,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG
13:34:09.274,222429.0,0.25,0.1,1000.0,30.0,2.3,500.0,1000.0,32000.0,2700.0,0.0,2000.0,0.5,0.0,0.0
13:34:13.305,300000.0,0.25,0.1,1000.0,30.0,2.4,16700.0,1000.0,25390.0,0.0,0.0,2000.0,6.6,0.0,0.0
13:34:17.346,217579.0,0.25,0.1,1000.0,30.0,5.1,9300.0,1000.0,7514.0,3000.0,0.0,0.0,5.6,0.0,0.0
13:34:21.385,300000.0,0.25,0.1,1000.0,30.0,3.6,500.0,1000.0,1217.0,0.0,0.0,0.0,2.0,0.0,0.0
13:34:25.407,132739.0,0.25,0.1,1000.0,30.0,5.1,12400.0,1000.0,19799.0,0.0,0.0,1150.0,0.5,0.0,0.0
13:34:29.428,63040.0,0.25,0.1,1000.0,30.0,3.8,18000.0,1000.0,5674.0,0.0,0.0,2000.0,7.9,0.0,0.0
13:34:33.462,202064.0,0.25,0.1,1000.0,30.0,2.8,3200.0,1000.0,25133.0,2470.0,0.0,600.0,10.1,0.0,0.0
13:34:37.482,50245.0,0.25,0.1,1000.0,30.0,2.3,500.0,1000.0,0.0,450.0,0.0,2000.0,3.8,0.0,0.0
13:34:41.503,64059.0,0.25,0.1,1000.0,30.0,3.0,500.0,1000.0,2690.0,940.0,0.0,0.0,0.5,0.0,0.0
13:34:45.033,243964.0,0.25,0.1,1000.0,30.0,1.7,6800.0,1000.0,0.0,2720.0,0.0,0.0,0.5,0.0,0.0
13:34:49.061,125022.0,0.25,0.1,1000.0,30.0,1.8,17200.0,1000.0,28757.0,3000.0,0.0,2000.0,6.1,0.0,0.0
13:34:53.092,39267.0,0.25,0.1,1000.0,30.0,1.8,13100.0,1000.0,4464.0,0.0,0.0,1050.0,9.3,0.0,0.0
13:34:57.113,114349.0,0.25,0.1,1000.0,30.0,5.1,500.0,1000.0,22237.0,2370.0,0.0,300.0,0.5,0.0,0.0
13:35:01.153,291913.0,0.25,0.1,1000.0,30.0,5.1,700.0,1000.0,31439.0,1560.0,0.0,250.0,7.1,0.0,0.0
13:35:05.193,300000.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,2347.0,3000.0,0.0,1750.0,0.9,0.0,0.0
13:35:09.219,196128.0,0.25,0.1,1000.0,30.0,1.4,3700.0,1000.0,24704.0,1760.0,0.0,200.0,2.1,0.0,0.0
13:35:13.262,300000.0,0.25,0.1,1000.0,30.0,0.0,4800.0,1000.0,1042.0,0.0,0.0,500.0,8.6,0.0,0.0
