time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro
05:36:54,11105.0,-35.3632622,149.1652375,6.0,-1.0,0.0,-1.0,AUTO,-0.0011358299234416336,0.000986545841442421,0.021939102094620466,0.0002493101928848773,0.00018367280426900834,0.0014632301172241569,0.0,1.0,-1000.0,0.75,0.5,1.0
05:36:56,4302.0,-35.3632622,149.1652375,10.5,0.0,0.0,-1.0,AUTO,-0.0008230578823713586,0.0012962587061338127,0.021542145404964685,0.0003803381259785965,0.0003191283030901104,0.0013998611248098314,0.0,1.25,-1000.0,0.5,0.25,0.25
05:36:57,4302.0,-35.3632622,149.1652375,12.0,0.0,0.0,-1.0,AUTO,-0.000518810615176335,0.0016662936541251838,0.021247660741209984,0.0003343520511407405,0.00031027066870592535,0.0013665359001606703,0.0,1.0,-1000.0,0.5,1.0,1.0
05:36:58,4302.0,-35.36326215,149.1652375,184.25,0.0,0.25,-56.25,AUTO,0.0019424248166615143,0.0004272074584150687,0.02105435961857438,0.002522749127820134,-0.0004084451211383566,0.0010149024310521781,0.0,0.0,-1118.75,3.25,0.0,0.25
05:37:01,16881.0,-35.36326065,149.16524555,4661.5,11.0,33.0,-149.0,AUTO,-0.03743774350732565,-0.010160396341234446,-0.04791134595870972,-0.07961462251842022,0.029669062234461308,-0.05274764820933342,2.5,-8.5,-1000.0,-78.5,30.0,-52.5
05:37:03,29460.0,-35.363261800000004,149.16523905000003,7732.5,-34.5,-64.5,-150.5,AUTO,-0.0058601421769708395,0.02512037567794323,-0.14454668760299683,0.07392372936010361,0.004082837607711554,-0.006891561206430197,-4.5,16.0,-1003.5,74.0,4.0,-6.5
05:37:05,29460.0,-35.36326785,149.1652325,10851.0,9.5,16.5,-151.5,AUTO,0.05931812338531017,-0.07014352455735207,-0.03298582881689072,0.020560198463499546,-0.038894664496183395,0.06927665695548058,1.0,-1.0,-997.5,21.0,-37.5,68.5
05:37:06,81984.0,-35.363265150000004,149.16523537499998,11991.5,62.75,47.5,-145.5,AUTO,0.03787143644876778,-0.0592455742880702,-0.025873439968563616,-0.07989477179944515,0.07634578249417245,-0.057367780013009906,-3.75,-14.5,-997.75,-79.0,77.0,-57.5
05:37:07,81984.0,-35.36325705,149.16524040000002,13893.5,53.0,15.0,-153.5,AUTO,-0.03631898947060108,0.04373622313141823,-0.1680644229054451,-0.13980650377925485,0.021665499196387827,-0.06079618539661169,-7.0,-17.0,-983.5,-139.5,22.0,-60.5
05:37:09,81984.0,-35.363258349999995,149.1652345,16998.5,-68.0,-33.5,-151.0,AUTO,0.013514065183699131,0.05568032152950764,-0.22953611612319946,0.07084520161151886,-0.01627831207588315,0.003106433665379882,4.5,15.0,-1002.0,71.0,-15.0,3.0
