,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
00:53:03.711,34086.0,0.3,0.5,0.1,0.25
00:53:08.409,110823.0,0.3,0.5,-7.9,0.25
00:53:14.137,4260.0,0.2,0.4,-5.8,0.25
00:53:19.704,78335.0,0.5,0.5,-6.5,0.25
00:53:24.285,66717.0,0.2,0.5,-7.4,0.25
00:53:29.863,26105.0,0.3,0.4,-6.1,0.25
00:53:34.406,65185.0,0.2,0.7,-7.2,0.25
00:53:39.962,37593.0,0.5,0.2,-1.9,0.25
00:53:44.581,68495.0,0.3,0.4,-8.1,0.25
00:53:49.480,101856.0,0.3,0.3,-3.1,0.25
00:53:54.046,95883.0,0.5,0.3,-8.9,0.25
00:53:59.460,21181.0,0.2,0.2,-8.9,0.25
00:54:04.088,55735.0,0.4,0.5,-9.4,0.25
00:54:09.523,5861.0,0.2,0.2,0.4,0.25
00:54:14.125,113749.0,0.4,0.3,-9.8,0.25
00:54:19.615,19535.0,0.5,0.7,-9.2,0.25
00:54:24.227,68584.0,0.2,0.5,4.7,0.25
00:54:29.687,69979.0,0.4,0.5,-8.9,0.25
00:54:34.230,140985.0,0.2,0.4,-4.3,0.25
00:54:39.747,130881.0,0.5,0.5,-9.8,0.25
00:54:44.413,9117.0,0.3,0.3,-9.8,0.25
00:54:49.859,31579.0,0.4,0.3,-9.7,0.25
00:54:54.446,25956.0,0.7,0.4,-8.2,0.25
00:55:00.034,55230.0,0.2,0.2,0.6,0.25
00:55:05.654,39285.0,0.5,0.3,-3.1,0.25
00:55:10.309,54179.0,0.2,0.2,-9.4,0.25
00:55:15.781,89427.0,0.5,0.2,-9.2,0.25
00:55:20.284,20764.0,0.4,0.2,-8.2,0.25
00:55:25.673,56787.0,0.2,0.7,-8.5,0.25
00:55:30.252,27173.0,0.3,0.4,-7.9,0.25
00:55:35.796,24902.0,0.2,1.1,-9.9,0.25
00:55:40.488,36677.0,0.3,0.4,-8.1,0.25
00:55:46.088,144113.0,0.7,0.2,-8.9,0.25
00:55:51.551,51066.0,0.2,0.5,-7.6,0.25
00:55:56.107,11323.0,0.3,0.5,-7.1,0.25
00:56:01.572,12003.0,0.2,0.7,-4.3,0.25
00:56:06.099,47489.0,0.3,0.2,2.2,0.25
00:56:11.586,96081.0,0.4,0.2,-7.8,0.25
00:56:16.172,88979.0,0.2,0.3,0.3,0.25
00:56:21.768,28732.0,0.3,0.2,-8.2,0.25
00:56:26.312,61804.0,0.3,0.2,-7.6,0.25
00:56:31.829,21557.0,0.3,1.7,-5.3,0.25
00:56:36.545,16726.0,0.2,0.2,-2.4,0.25
00:56:41.655,113986.0,0.3,0.4,-7.2,0.25
00:56:46.291,61273.0,0.5,0.2,-9.0,0.25
00:56:51.824,37230.0,0.7,0.3,-4.9,0.25
00:56:56.513,252956.0,0.2,0.2,-2.7,0.25
00:57:01.573,93931.0,0.2,0.5,-9.7,0.25
00:57:06.137,82159.0,0.2,0.5,-8.4,0.25
00:57:11.649,57725.0,0.2,0.4,-6.2,0.25
00:57:16.220,23211.0,0.2,0.7,-7.9,0.25
00:57:21.901,11451.0,0.2,0.9,-4.9,0.25
00:57:26.519,278544.0,0.9,1.5,-9.6,0.25
00:57:31.632,1561.0,0.5,0.2,-1.3,0.25
00:57:36.691,122997.0,0.2,0.2,3.6,0.25
00:57:41.250,16412.0,0.5,0.5,-6.2,0.25
00:57:46.799,56139.0,0.3,1.3,-7.4,0.25
00:57:51.396,55511.0,0.3,1.8,-8.9,0.25
00:57:57.023,16707.0,0.2,0.5,-0.0,0.25
00:58:02.610,64178.0,0.2,0.2,2.4,0.25
00:58:07.149,62389.0,0.2,0.7,-3.6,0.25
00:58:12.654,68748.0,0.5,0.9,-8.8,0.25
00:58:17.279,11801.0,0.4,0.4,-9.4,0.25
00:58:22.879,25274.0,0.7,0.5,-5.3,0.25
00:58:27.480,165701.0,0.3,0.3,-9.2,0.25
00:58:33.049,129018.0,0.3,0.3,-4.7,0.25
00:58:38.528,318.0,0.5,0.7,-8.1,0.25
00:58:43.142,51292.0,0.3,0.2,-4.8,0.25
00:58:48.727,5375.0,0.2,0.7,-4.1,0.25
00:58:53.258,37754.0,0.2,0.5,-5.3,0.25
00:58:58.800,40038.0,0.5,0.4,-8.1,0.25
00:59:03.410,131936.0,0.4,0.5,-6.6,0.25
00:59:08.924,31734.0,0.3,0.7,0.9,0.25
00:59:13.450,23896.0,0.4,0.4,-7.1,0.25
00:59:18.966,43254.0,0.7,0.5,-8.4,0.25
00:59:23.605,109746.0,0.2,0.3,-4.4,0.25
00:59:28.727,48089.0,0.2,0.9,-5.2,0.25
00:59:33.329,33320.0,0.7,0.3,-9.0,0.25
00:59:39.002,185585.0,0.3,0.3,-8.9,0.25
00:59:44.605,67299.0,0.2,0.4,9.1,0.25
00:59:49.149,3206.0,0.4,0.5,-6.8,0.25
00:59:54.767,90494.0,0.2,0.3,-7.9,0.25
00:59:59.369,100864.0,0.2,1.3,-9.4,0.25
01:00:05.062,50489.0,0.5,0.3,-8.4,0.25
01:00:10.741,108040.0,0.2,0.4,-4.1,0.25
01:00:15.363,7807.0,0.2,0.9,-5.3,0.25
01:00:21.034,87916.0,0.3,0.3,-3.3,0.25
01:00:26.699,3160.0,0.5,0.7,-7.8,0.25
01:00:31.273,164651.0,0.2,0.3,-7.1,0.25
01:00:36.755,19163.0,0.2,0.3,-1.0,0.25
01:00:41.411,48366.0,0.2,0.5,-8.9,0.25
01:00:46.948,18033.0,0.2,0.5,-6.8,0.25
01:00:51.581,36164.0,0.5,0.3,-4.9,0.25
01:00:56.564,35594.0,0.4,0.9,-6.3,0.25
