time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,chan4_raw,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
14:40:03,1500.0,-35.3632621,149.1652374,0.0,-1.0,1.0,2.0,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,-2.6102079573320225e-06,0.001569463696796447,0.026477335952222347,0.0003402763104531914,0.00025408958026673645,0.0022952479775995016
14:40:05,1500.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,-0.0005353190936148167,0.0012213916052132845,0.025480639189481735,0.00020016386406496167,0.00027165180654264987,0.0021109431982040405
14:40:19,1500.0,-35.3632622,149.1652375,1.0,0.0,0.0,0.0,1500.0,0.0,1.5,-1000.0,0.5,1.0,0.5,AUTO,-0.0009418559784535319,0.001134578138589859,0.02141172345727682,0.0002460529503878206,0.00027547930949367583,0.0014122274005785584
14:40:21,1500.0,-35.3632622,149.1652375,1.0,0.0,0.0,0.0,1500.0,0.0,1.0,-1000.0,1.0,0.0,0.0,AUTO,-0.0004030642448924482,0.0016867208760231733,0.020959092304110527,0.0003344673605170101,0.0002944262232631445,0.0015147138037718832
14:40:23,1500.0,-35.363262,149.1652376,1570.0,0.5,7.0,-146.0,1500.0,0.0,-0.5,-1012.5,47.0,-6.5,1.5,AUTO,0.02706228382885456,-0.0015390093612950295,0.0202679093927145,0.046260835602879524,-0.007603646256029606,0.0023914981866255403
14:40:25,1500.0,-35.3632609,149.16524535000002,4624.0,-1.0,31.5,-149.5,1500.0,4.0,-8.0,-1003.5,-31.5,-17.0,-41.5,AUTO,-0.03759297728538513,0.01502163428813219,-0.0810210220515728,-0.032798017375171185,-0.017809559125453234,-0.04156506899744272
14:40:27,1500.0,-35.3632611,149.1652453,6359.0,-2.0,-38.0,-150.0,1500.0,-3.0,7.0,-1001.0,56.0,0.0,-2.0,AUTO,-0.05896122381091118,-0.010236484929919243,-0.09169817715883255,0.05516919493675232,7.222109707072377e-05,-0.0020405633840709925
14:40:29,1500.0,-35.3632616,149.1652345,9221.0,4.5,-42.5,-138.0,1701.0,-2.5,10.0,-1006.5,36.5,-21.0,812.0,AUTO,-0.010063921334221959,-0.0385211780667305,0.2557457685470581,0.03584213461726904,-0.021916965022683144,0.813023030757904
14:40:31,1500.0,-35.3632593,149.16523165,12184.5,2.5,34.5,-144.0,1701.0,-6.0,0.0,-999.0,53.5,27.5,731.5,AUTO,0.02764284983277321,-0.05475688725709915,1.699418544769287,0.053238462656736374,0.027286868542432785,0.7327463626861572
14:40:33,1500.0,-35.363265,149.16523999999998,15222.5,-43.0,16.0,-153.5,1500.0,-8.5,-9.0,-1005.5,-16.5,79.5,-31.5,AUTO,0.0196234667673707,0.05793925188481808,2.362325072288513,-0.01740901079028845,0.07880502566695213,-0.03156692394986749
14:40:35,1500.0,-35.3632616,149.1652295,18255.0,70.5,-100.5,-145.5,1500.0,26.0,14.0,-1013.0,13.5,-134.0,10.5,AUTO,-0.008393827127292752,0.03525844868272543,2.228436231613159,0.013044165913015604,-0.13531237840652466,0.01106274127960205
