time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,MODE
19:54:44,-0.0005706815694187147,0.0014517294863859813,0.02822394606967767,0.0002239442643864701,0.00023715228356498605,0.0024620828917250037,0.0,1.0,-1000.0,0.0,0.0,0.0,-35.3632621,149.1652374,0.0,0.0,0.0,0.0,1500.0,STABILIZE
19:54:52,-0.000748438974066327,0.0011456018934647243,0.026007817437251408,0.0002394585171714425,0.00029255600141671795,0.0021293064734588065,0.0,1.5,-1000.0,0.0,0.0,0.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0,1500.0,STABILIZE
19:55:02,-0.0005389732774347067,0.0009764968766830861,0.023695673048496246,0.00024693125160411,0.00032617287943139674,0.0017925915075466038,0.0,1.8,-999.0,0.2,0.0,0.4,-35.3632622,149.16523754,0.0,-1.0,2.6,1.0,1500.0,STABILIZE
19:55:03,0.004332931479439139,0.0008250123821198941,0.021971920877695082,0.005408829404041171,0.0002496855333447456,0.0017178435111418367,0.0,-0.4,-1109.0,6.2,0.8,0.6,-35.36326212,149.16523748,378.2,0.0,0.6,-82.0,1500.0,AUTO
19:55:05,0.0323546405415982,0.007218145648948848,-0.020179324550554156,-0.0762135349214077,0.024205262074247003,-0.05374402354937047,2.75,-9.75,-998.25,-75.25,24.5,-54.0,-35.3632614,149.1652411,3256.75,7.25,46.0,-146.25,1500.0,AUTO
19:55:07,-0.05891320916513602,0.0033195691260819635,-0.0955861359834671,0.0026810873920718827,0.0048961623494202895,-0.02756028777609269,-1.0,1.5,-1001.0,3.5,5.333333333333333,-27.666666666666668,-35.36326068333333,149.16524571666665,5948.5,-1.3333333333333333,-19.333333333333332,-149.16666666666666,1500.0,AUTO
19:55:09,0.03971883454748119,0.011476920859422535,-0.11109438290198644,0.04965077588955561,-0.014365362313886484,0.01756066510764261,-2.1666666666666665,10.666666666666666,-1002.0,49.833333333333336,-13.666666666666666,16.833333333333332,-35.36326261666667,149.16523613333334,8892.0,-22.333333333333332,-35.333333333333336,-152.66666666666666,1500.0,AUTO
19:55:11,-0.016202419879846275,-0.02160367990533511,-0.0782057624310255,-0.049596836033742875,0.06425973773002625,-0.07194362829128902,-2.8333333333333335,-7.5,-1003.3333333333334,-48.833333333333336,64.33333333333333,-72.16666666666667,-35.363263,149.16523691666666,11997.5,31.833333333333332,17.666666666666668,-150.33333333333334,1500.0,AUTO
19:55:13,0.012995962907249728,0.02540287934243679,-0.1788169046243032,0.01807790350479384,-0.01042092241308031,-0.000735618562127153,-1.6666666666666667,2.1666666666666665,-999.3333333333334,18.666666666666668,-9.5,-1.3333333333333333,-35.36325946666667,149.16523558333333,15133.5,-6.833333333333333,-8.833333333333334,-154.0,1500.0,AUTO
19:55:15,0.0012220920276983331,-0.0025754085703132055,-0.17569183061520258,-0.006215027814808612,-0.0048947129301571595,-0.015509516757447273,2.8333333333333335,0.16666666666666666,-1000.3333333333334,-5.166666666666667,-4.0,-15.5,-35.36326163333333,149.16523594999998,18261.333333333332,-11.666666666666666,8.833333333333334,-153.5,1500.0,AUTO
19:55:17,0.0023335077700418574,0.0006277761713135988,-0.22625754525264105,0.003106481434466938,0.003950311957548062,-0.025971056893467903,0.0,0.0,-999.8333333333334,3.3333333333333335,4.166666666666667,-25.666666666666668,-35.363262250000005,149.1652365333333,21390.166666666668,-0.5,0.6666666666666666,-154.0,1500.0,AUTO
19:55:19,0.001084867127550145,0.003843380603939295,-0.2685017188390096,-0.01956314408259156,0.0018849743355531245,-0.011194423539564013,0.0,-0.5,-997.0,-18.5,2.6666666666666665,-11.333333333333334,-35.3632622,149.16523654999997,24521.166666666668,-0.6666666666666666,2.5,-153.66666666666666,1500.0,AUTO
19:55:21,0.0094823461646835,0.0029128536116331816,-0.2461801071961721,-0.0009273786660439024,-0.0020505463083585105,0.023939694898823898,0.16666666666666666,0.0,-999.6666666666666,0.0,-1.1666666666666667,23.333333333333332,-35.36326233333333,149.1652366333333,27639.833333333332,-3.0,4.833333333333333,-153.83333333333334,1500.0,AUTO
19:55:28,0.0004322334236348979,0.0010324658476747572,-0.18067980110645293,0.0014449379174038767,0.0006313586374744773,0.013980958424508572,0.0,0.0,-999.8,1.8,1.2,13.2,-35.36326236000001,149.16523813999999,33052.0,0.0,0.8,-154.0,1500.0,AUTO
19:55:30,0.0016636460204608738,0.0012264106189832091,-0.155141681432724,0.0002010481257457286,-0.0006255139887798578,0.011325596831738949,0.0,0.0,-1000.0,0.5,0.0,10.5,-35.3632622,149.165238,36283.5,0.0,0.0,-154.0,1500.0,AUTO
19:55:32,0.002914787153713405,0.0015152781852521002,-0.1371021643280983,0.000534134334884584,0.00037050351966172457,0.009982977993786335,0.0,0.0,-999.5,2.0,0.5,9.5,-35.3632621,149.16523765,39326.5,0.0,0.0,-154.0,1500.0,AUTO
19:55:34,0.002288365464967986,0.00156790737916405,-0.12597910687327385,-0.0003196893958374858,0.00017249161222328743,0.007842277797559897,0.0,0.0,-1000.0,0.6666666666666666,0.8333333333333334,7.166666666666667,-35.36326209999999,149.16523751666668,41663.166666666664,-0.16666666666666666,0.3333333333333333,-153.0,1500.0,AUTO
19:55:36,0.0021979164254541197,0.0013705789460800588,-0.1133002092440923,0.0010604657970058422,0.00031377569151421386,0.007130582816898823,0.0,0.0,-1000.0,1.8333333333333333,1.1666666666666667,6.833333333333333,-35.363262,149.16523743333335,44780.0,-1.0,1.0,-153.0,1500.0,AUTO
