time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,chan4_raw,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
14:33:25,1500.0,0.0002654269919730723,0.0015904710162431002,0.02659507840871811,0.0002558726700954139,0.0004189365718048066,0.002229053294286132,1500.0,STABILIZE,-35.3632621,149.1652374,0.0,-1.0,1.0,0.0,0.0,1.0,-1000.0,0.0,0.0,0.0
14:33:43,1500.0,-0.0009867290500551462,0.0009734607883729041,0.02073894627392292,0.00014007720164954662,0.00017936865333467722,0.0012492439709603786,1500.0,STABILIZE,-35.3632622,149.1652375,0.0,-1.0,2.0,0.0,0.0,1.0,-1000.0,1.0,0.0,1.0
14:33:45,1500.0,-0.001158295664936304,0.0009735151543281972,0.020444784313440323,0.00023653480457141995,0.0003349625039845705,0.0013089516432955861,1500.0,AUTO,-35.3632621,149.1652375,4.0,-1.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,0.0
14:33:47,1500.0,-0.0006578935426659882,0.0014219573931768537,0.02011866495013237,0.0003322308766655624,0.0002591430093161762,0.0013612997718155384,1500.0,AUTO,-35.3632621,149.1652375,18.0,0.0,0.0,-2.0,0.0,2.0,-1000.0,1.0,0.0,0.0
14:33:49,1500.0,0.0010012368438765407,0.001060648588463664,0.019743863493204117,-0.0008842684328556061,0.002680110512301326,0.00126354128587991,1500.0,AUTO,-35.3632621,149.1652375,429.0,0.0,0.0,-102.0,0.0,0.0,-1110.0,0.0,3.0,0.0
14:33:51,1500.0,0.03143478184938431,0.005096950102597475,-0.02186194248497486,-0.19149336218833923,0.029239175841212273,-0.05463435500860214,1500.0,AUTO,-35.3632614,149.165241,3334.0,10.0,53.0,-145.0,4.0,-14.0,-988.0,-190.0,29.0,-54.0
14:33:53,1500.0,-0.03626245632767677,0.00673306081444025,-0.07952117919921875,0.06992589682340622,0.021709594875574112,-0.002400124678388238,1500.0,AUTO,-35.3632595,149.1652401,6376.0,3.0,-64.0,-149.0,-8.0,10.0,-1001.0,70.0,22.0,-2.0
14:33:55,1500.0,0.043510906398296356,0.0801755040884018,-0.368969202041626,0.12010223418474197,-0.03743639588356018,-0.7645965814590454,1026.0,AUTO,-35.3632629,149.1652302,9447.0,-49.0,10.0,-137.0,7.0,8.0,-1004.0,121.0,-36.0,-764.0
14:33:57,1500.0,0.07893040776252747,0.012986804048220316,-1.7149675687154133,0.06623941411574681,-0.18190830945968628,-0.697122057278951,1026.0,AUTO,-35.36326616666667,149.16524536666668,11910.0,35.333333333333336,120.0,-136.33333333333334,27.666666666666668,12.666666666666666,-1011.0,66.66666666666667,-181.0,-696.6666666666666
14:33:59,1500.0,-0.05822953892250856,-0.18227297315994898,-2.336569388707479,-0.12278519570827484,0.21513122816880545,-0.11282486468553543,1500.0,AUTO,-35.36325673333334,149.1652464,14779.333333333334,-47.666666666666664,-135.33333333333334,-127.33333333333333,-14.333333333333334,-24.666666666666668,-1002.0,-121.66666666666667,215.0,-112.33333333333333
