time_stamp,MODE,RTL_ALT,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,EK2_ALT_SOURCE
10:26:40,ALT_HOLD,1500.0,627330.0,-35.362419700000004,149.1668317,43345.0,119.5,239.0,-145.0,627.3299865722656,-55.5,-25.5,-995.5,-20.0,-48.0,50.0,0.0037057471345178783,0.01648020278662443,1.15382719039917,-0.021553107886575162,-0.05058573558926582,0.04861983843147755,0.0
10:26:46,AUTO,1500.0,622010.0,-35.362298499999994,149.16702805,38024.0,39.0,43.5,42.5,622.0099792480469,-14.5,27.0,-1083.0,810.0,-85.5,3.5,0.09051496908068657,0.17426247149705887,1.1818825006484985,0.8091745376586914,-0.08874519914388657,0.0014055713545531034,0.0
10:26:48,AUTO,1500.0,622395.0,-35.36230425,149.1670229,38410.0,-71.5,-74.5,-63.5,622.3949890136719,18.0,-5.5,-1037.5,49.5,3.0,781.5,0.04654613137245178,0.04216507449746132,1.936269998550415,0.04829264432191849,0.0008134630043059587,0.7795175313949585,0.0
10:26:50,AUTO,1500.0,624480.0,-35.362317399999995,149.1670034,40495.0,-112.0,-103.0,-130.0,624.47998046875,-13.5,-23.0,-1023.0,-10.0,3.5,683.0,0.03081388957798481,-0.04157127998769283,-2.925035238265991,-0.012006980367004871,0.0010168907465413213,0.6810444891452789,0.0
10:26:52,AUTO,1500.0,627460.0,-35.36233369999999,149.166984,43471.0,-102.0,-85.5,-146.5,627.4599609375,-23.5,-8.0,-996.0,-3.0,-58.5,94.5,0.03132971189916134,-0.028618774376809597,-2.2804667949676514,-0.004198215901851654,-0.0615915022790432,0.09287357330322266,0.0
10:26:54,AUTO,1500.0,630245.0,-35.36235404999999,149.16695844999998,46263.0,-169.0,-177.5,-127.0,630.2449645996094,-48.5,-14.0,-1006.5,35.5,72.0,26.0,0.003452459059190005,-0.09388642758131027,-2.0982202291488647,0.034120481461286545,0.06963304430246353,0.024347850121557713,0.0
10:26:56,AUTO,1500.0,632995.0,-35.3623835,149.1669177,49005.0,-157.5,-232.0,-119.0,632.9949645996094,-57.0,-23.5,-970.0,24.0,-84.0,-37.0,0.06877132505178452,-0.14069806039333344,-2.1433736085891724,0.02240095566958189,-0.08674939349293709,-0.0394647978246212,0.0
10:26:58,AUTO,1500.0,634450.0,-35.362406750000005,149.16685805,50462.0,-63.0,-254.5,-6.5,634.4499816894531,-47.0,-34.0,-934.5,-83.5,-47.5,73.5,0.07873490452766418,0.02030301745980978,-1.9297136664390564,-0.08567127212882042,-0.05062264762818813,0.07173595391213894,0.0
10:27:00,AUTO,1500.0,634050.0,-35.3624164,149.16680755,50066.5,-60.5,-232.0,14.0,634.0499877929688,-49.5,-5.0,-1016.0,449.5,-55.0,-25.5,0.020138164050877094,-0.07655125483870506,-1.8664005994796753,0.4468087926506996,-0.05812598392367363,-0.028126132674515247,0.0
10:27:02,ALT_HOLD,1500.0,633855.0,-35.362433249999995,149.16674885,49867.0,-113.5,-280.5,46.5,633.85498046875,-59.0,-7.5,-815.0,-249.5,32.5,-14.5,-0.012395229190587997,-0.0075948836747556925,-1.874038815498352,-0.2536061964929104,0.030673812609165907,-0.016811632551252842,0.0
10:27:04,ALT_HOLD,1500.0,630680.0,-35.3624566,149.16670155,46692.0,-127.0,-163.0,186.5,630.6799926757812,-49.5,-59.0,-990.5,77.5,0.5,28.5,0.013117036316543818,-0.0034181965747848153,-1.8769020438194275,0.07928963005542755,-0.0014708987437188625,0.026426807511597872,0.0
10:27:06,ALT_HOLD,1500.0,627030.0,-35.36247885,149.16667605,43046.0,-106.5,-86.0,168.5,627.0299987792969,-34.5,38.0,-999.0,-415.0,4.5,4.5,-0.013708142563700676,-0.0029332967242226005,-1.8775001168251038,-0.4215967394411564,0.0030185432406142354,0.002224461641162634,0.0
10:27:08,AUTO,1500.0,624765.0,-35.3624878,149.16666635,40780.0,-5.0,-42.0,26.0,624.7649841308594,-9.0,24.0,-1050.5,290.5,5.0,-7.0,0.01656936202198267,-0.03503330424427986,-1.8468647599220276,0.28593821078538895,0.002880276180803776,-0.010080609936267138,0.0
