
15:55:06.175 : ============================================================

15:55:06.175 : {'window_size_lstm': 3, 'window_size_vio': 15}
15:55:06.427 : ------------------------------------------------------------
15:55:06.427 : Loop #1
15:56:22.159 : ------------------------------------------------------------
15:56:22.159 : Loop #2
15:57:42.409 : Generated Params : [0.0, 0.0, 1.0, -33.0, -0.5, 570.0, -1.0, -0.5, -121.0, 58.0, 8.0, 1500.0, 250.0, 0.0, 52.0, 86.0, 8.0, 0.215, 3.0, 7.0, 0.06, 0.0, 1.0, -101.0, -42.0]
15:57:46.311 : Generated Params : [0.0, 0.0, 1.0, -39.0, -0.5, 210.0, -1.0, -0.5, 69.0, 8.0, 53.0, 1200.0, 216.0, 0.0, 51.0, 59.0, 3.0, 0.49, 3.0, 7.0, 0.07, 0.0, 1.0, -52.0, -164.0]
15:57:50.191 : Generated Params : [0.0, 0.0, 1.0, -97.0, -0.5, 520.0, -1.0, -0.5, 122.0, 42.0, 80.0, 200.0, 77.0, 0.0, 38.0, 71.0, 3.0, 0.335, 3.0, 10.0, 0.06, 0.01, 1.0, -74.0, -142.0]
15:57:54.199 : Generated Params : [0.0, 0.0, 1.0, 154.0, -0.5, 220.0, -1.0, -0.5, -123.0, 4.0, 68.0, 1000.0, 198.0, 0.0, 25.0, 32.0, 3.0, 0.225, 3.0, 10.0, 0.18, 0.0, 1.0, -144.0, -139.0]
15:57:58.215 : Generated Params : [0.0, 0.0, 1.0, 46.0, -0.5, 420.0, -1.0, -0.5, -147.0, 45.0, 34.0, 2000.0, 144.0, 0.0, 6.0, 29.0, 3.0, 0.465, 3.0, 10.0, 0.07, 0.0, 1.0, -173.0, 157.0]
15:58:02.288 : Generated Params : [0.0, 0.0, 1.0, -78.0, -0.5, 10.0, -1.0, -0.5, -91.0, 3.0, 45.0, 200.0, 28.0, 0.0, 10.0, 68.0, 3.0, 0.215, 3.0, 6.0, 0.2, 0.01, 1.0, -148.0, 43.0]
15:58:06.198 : Generated Params : [0.0, 0.0, 1.0, 173.0, -0.5, 780.0, -1.0, -0.5, -117.0, 89.0, 13.0, 500.0, 138.0, 0.0, 21.0, 50.0, 5.0, 0.385, 3.0, 3.0, 0.12, 0.01, 1.0, -52.0, -117.0]
15:58:10.263 : Generated Params : [0.0, 0.0, 1.0, -90.0, -0.5, 280.0, -1.0, -0.5, -29.0, 86.0, 61.0, 800.0, 179.0, 0.0, 11.0, 50.0, 8.0, 0.385, 3.0, 3.0, 0.04, 0.0, 1.0, -154.0, -80.0]
15:58:14.322 : Generated Params : [0.0, 0.0, 1.0, 143.0, -0.5, 210.0, -1.0, -0.5, -105.0, 47.0, 16.0, 2700.0, 66.0, 0.0, 3.0, 6.0, 8.0, 0.275, 3.0, 4.0, 0.07, 0.01, 1.0, -56.0, 50.0]
15:58:18.219 : Generated Params : [0.0, 0.0, 1.0, -148.0, -0.5, 30.0, -1.0, -0.5, 72.0, 59.0, 58.0, 1300.0, 152.0, 0.0, 6.0, 18.0, 3.0, 0.275, 3.0, 9.0, 0.07, 0.02, 1.0, -72.0, -58.0]
