time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,RTL_ALT
19:53:48.911,STABILIZE,-35.3632621,149.1652374,11,-0.0006403183215297759,0.0015022612642496824,0.028057487681508064,9.937392314895988e-05,0.0002969983615912497,0.002215990098193288,0,1,-1000,0,0,0,-2,1,0,1500.0
19:53:49.111,STABILIZE,-35.3632621,149.1652374,11,-0.0006403183215297759,0.0015022612642496824,0.028057487681508064,9.937392314895988e-05,0.0002969983615912497,0.002215990098193288,0,1,-1000,0,0,0,-2,1,0,1500.0
19:53:49.312,STABILIZE,-35.3632621,149.1652374,11,-0.0006403183215297759,0.0015022612642496824,0.028057487681508064,9.937392314895988e-05,0.0002969983615912497,0.002215990098193288,0,1,-1000,0,0,0,-2,1,0,1500.0
19:53:49.513,STABILIZE,-35.3632621,149.1652374,11,-0.0006403183215297759,0.0015022612642496824,0.028057487681508064,9.937392314895988e-05,0.0002969983615912497,0.002215990098193288,0,1,-1000,0,0,0,-2,1,0,1500.0
19:53:49.714,STABILIZE,-35.3632622,149.1652375,12,-0.0007277918630279601,0.0012094394769519567,0.02722092717885971,0.00011783972149714828,0.00022563216043636203,0.002210528589785099,0,1,-1000,0,0,0,-1,2,0,1500.0
19:53:49.915,STABILIZE,-35.3632622,149.1652375,12,-0.0008323218789882958,0.0011593885719776154,0.027081923559308052,0.00021563522750511765,0.0002433453919366002,0.002111045178025961,0,1,-1000,0,0,0,-1,2,0,1500.0
19:53:50.116,STABILIZE,-35.3632622,149.1652375,13,-0.0009131575934588909,0.001119699445553124,0.026966236531734467,0.0001896953908726573,0.00019761096336878836,0.0020713810808956623,0,1,-1000,0,0,1,-1,1,0,1500.0
19:53:50.317,STABILIZE,-35.3632622,149.1652375,14,-0.0009131575934588909,0.001119699445553124,0.026966236531734467,0.0001896953908726573,0.00019761096336878836,0.0020713810808956623,0,1,-1000,0,0,1,-1,1,0,1500.0
19:53:50.518,STABILIZE,-35.3632622,149.1652375,14,-0.0009131575934588909,0.001119699445553124,0.026966236531734467,0.0001896953908726573,0.00019761096336878836,0.0020713810808956623,0,1,-1000,0,0,1,-1,1,0,1500.0
19:53:50.718,STABILIZE,-35.3632622,149.1652375,15,-0.0010564877884462476,0.0010636582737788558,0.026709217578172684,0.00014996319077908993,0.00031570636201649904,0.002027843613177538,0,1,-1000,0,0,0,-1,1,0,1500.0
19:53:50.919,STABILIZE,-35.3632622,149.1652375,16,-0.0010564877884462476,0.0010636582737788558,0.026709217578172684,0.00014996319077908993,0.00031570636201649904,0.002027843613177538,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:51.120,STABILIZE,-35.3632622,149.1652375,16,-0.0010564877884462476,0.0010636582737788558,0.026709217578172684,0.00014996319077908993,0.00031570636201649904,0.002027843613177538,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:51.321,STABILIZE,-35.3632622,149.1652375,16,-0.0010564877884462476,0.0010636582737788558,0.026709217578172684,0.00014996319077908993,0.00031570636201649904,0.002027843613177538,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:51.522,STABILIZE,-35.3632622,149.1652375,16,-0.0010564877884462476,0.0010636582737788558,0.026709217578172684,0.00014996319077908993,0.00031570636201649904,0.002027843613177538,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:51.723,STABILIZE,-35.3632622,149.1652375,18,-0.0010564877884462476,0.0010636582737788558,0.026709217578172684,0.00014996319077908993,0.00031570636201649904,0.002027843613177538,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:51.923,STABILIZE,-35.3632622,149.1652375,18,-0.0010564877884462476,0.0010636582737788558,0.026709217578172684,0.00014996319077908993,0.00031570636201649904,0.002027843613177538,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:52.124,STABILIZE,-35.3632622,149.1652375,18,-0.0010564877884462476,0.0010636582737788558,0.026709217578172684,0.00014996319077908993,0.00031570636201649904,0.002027843613177538,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:52.325,STABILIZE,-35.3632622,149.1652375,18,-0.001291923807002604,0.0009564720094203949,0.026057759299874306,0.00021741644013673067,0.00023657569545321167,0.0018028800841420889,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:52.526,STABILIZE,-35.3632622,149.1652375,18,-0.001291923807002604,0.0009564720094203949,0.026057759299874306,0.00021741644013673067,0.00023657569545321167,0.0018028800841420889,0,2,-1000,0,0,0,-1,1,0,1500.0
19:53:52.726,STABILIZE,-35.3632622,149.1652375,17,-0.001291923807002604,0.0009564720094203949,0.026057759299874306,0.00021741644013673067,0.00023657569545321167,0.0018028800841420889,0,2,-1000,0,0,0,-1,2,1,1500.0
19:53:52.927,STABILIZE,-35.3632622,149.1652375,17,-0.001291923807002604,0.0009564720094203949,0.026057759299874306,0.00021741644013673067,0.00023657569545321167,0.0018028800841420889,0,2,-1000,0,0,0,-1,2,1,1500.0
19:53:53.128,STABILIZE,-35.3632622,149.1652375,17,-0.001291923807002604,0.0009564720094203949,0.026057759299874306,0.00021741644013673067,0.00023657569545321167,0.0018028800841420889,0,2,-1000,0,0,0,-1,2,1,1500.0
19:53:53.329,STABILIZE,-35.3632622,149.1652375,17,-0.001291923807002604,0.0009564720094203949,0.026057759299874306,0.00021741644013673067,0.00023657569545321167,0.0018028800841420889,0,2,-1000,0,0,0,-1,2,1,1500.0
