time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,alt,lat,lon,relative_alt,vx,vy,vz
19:20:47,0.0,2.0,-999.0,0.6666666666666666,0.0,0.0,-0.0010083543311338872,0.0009398911788593978,0.023228145204484463,0.0008634911791887134,0.0003020716831088066,0.0017245522467419505,STABILIZE,583930.0,-35.3632621,149.1652375,0.0,-1.0,2.0,2.0
19:20:48,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0010111237643286586,0.0009574666037224233,0.02298428677022457,0.00016186514403671026,0.0001306873164139688,0.0016606631688773632,STABILIZE,583930.0,-35.3632622,149.1652375,0.0,-1.0,1.0,1.0
19:20:50,0.0,1.5,-1000.0,1.0,0.0,0.5,-0.0009171956335194409,0.0009710906888358295,0.022393323481082916,0.00025196472415700555,0.0002498747780919075,0.001632165047340095,STABILIZE,583930.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
19:20:53,0.0,2.0,-1000.0,0.5,0.5,0.0,-0.0012113188276998699,0.000992502667941153,0.021829314529895782,0.0002685918007045984,0.000272201607003808,0.0015469988575205207,STABILIZE,583940.0,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
19:20:56,0.0,1.0,-1000.0,0.0,0.0,0.0,-0.0013017243472859263,0.0009946259669959545,0.02142711542546749,0.00018036807887256145,0.0001358673325739801,0.001412330660969019,STABILIZE,583940.0,-35.3632622,149.1652375,0.0,-1.0,0.5,0.0
19:20:57,0.0,1.3333333333333333,-1000.0,1.0,0.3333333333333333,0.6666666666666666,-0.0012752742040902376,0.0009920247830450535,0.02127157896757126,0.00029227574123069644,0.00024077401030808687,0.001418636878952384,STABILIZE,583943.3333333334,-35.3632622,149.1652375,0.0,-1.0,0.0,0.0
19:21:00,0.0,1.5,-1000.0,0.0,0.0,1.0,-0.001105538452975452,0.0009981251787394285,0.02087610587477684,0.0002656769356690347,0.0002841555397026241,0.0013975533656775951,AUTO,583960.0,-35.3632622,149.1652375,2.0,-1.0,1.0,0.0
19:21:01,0.0,1.5,-1000.0,0.75,0.25,0.75,-0.001003614321234636,0.001044814969645813,0.020782841369509697,0.0003183114604325965,0.0002701654884731397,0.0012761753459926695,AUTO,583970.0,-35.363262125,149.1652375,15.0,-0.5,-0.25,-3.25
19:21:02,0.0,1.0,-1000.0,1.0,0.0,0.5,-0.0007808566733729094,0.0012631886056624353,0.020638677291572094,0.0002518945839256048,0.0002994943642988801,0.001339286391157657,AUTO,583980.0,-35.3632621,149.1652375,22.5,0.0,0.0,-2.5
19:21:03,0.0,1.5,-1000.0,1.0,0.75,0.5,-0.0005372117229853757,0.0015521390305366367,0.0204572849906981,0.0002997579867951572,0.00027913940721191466,0.0012935383419971913,AUTO,583980.0,-35.3632621,149.1652375,25.5,0.0,0.25,-2.0
19:21:04,0.0,1.0,-1066.5,0.0,3.0,0.5,0.0008279150788439438,0.000933241935854312,0.020283950492739677,-0.0007352791726589203,0.0024297445779666305,0.0009548083180561662,AUTO,584070.0,-35.3632621,149.1652375,114.0,0.0,1.0,-36.0
19:21:05,0.0,0.0,-1066.5,24.0,-1.5,0.5,0.008685297681950033,0.0006618665502173826,0.020061823073774576,0.023312856821576133,-0.002227647273684852,0.001284271027543582,AUTO,584827.5,-35.3632621,149.1652375,874.25,0.0,2.0,-126.75
19:21:06,0.0,-5.0,-1001.0,27.0,-0.5,-16.0,0.04817555285990238,-0.006102471495978534,0.006710095331072807,0.026786556700244546,-0.0013208657037466764,-0.015576368197798729,AUTO,586285.0,-35.36326185,149.16523865,2328.5,4.5,26.5,-148.5
