time_stamp,RTL_ALT,MODE,VFR_HUD_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,EK2_ALT_SOURCE
11:59:52,1500.0,AUTO,583.97998046875,0.003956697648391128,-0.00045848777517676353,0.020641607232391834,-0.0008559876587241888,-0.005023914040066302,0.0025913630379363894,583980.0,-35.3632621,149.1652375,42.5,0.0,0.0,-29.0,0.0,0.0,-1139.0,0.0,-4.0,2.0,0.0
11:59:58,1500.0,AUTO,591.13798828125,-0.028267342410981656,0.0067030457779765126,-0.11275617331266403,0.06445582211017609,0.007567740511149168,-0.007651585130952298,591138.0,-35.36326104,149.16524218,7203.0,-10.4,-54.8,-150.6,-5.0,10.6,-1002.2,64.6,7.8,-7.4,0.0
12:00:02,1500.0,AUTO,597.4149780273438,-0.019405622966587543,0.024477476254105568,-0.1568543240427971,0.04083842225372791,0.017371629364788532,-0.048971084877848625,597415.0,-35.36326015,149.16523725,13476.5,20.0,-14.5,-154.5,-7.0,-1.0,-1001.5,41.5,17.5,-49.0,0.0
12:00:09,1500.0,AUTO,609.6099853515625,-0.0021588164381682873,0.005227916920557618,-0.27012566924095155,0.0019027183763682843,0.0016927337506785988,0.008347960375249385,609610.0,-35.36326212,149.1652366,25675.0,-2.8,0.8,-153.6,0.0,0.0,-1000.0,2.4,2.4,8.0,0.0
12:00:35,1500.0,AUTO,633.8559814453125,0.019855124037712814,-0.16578781008720397,0.7311632633209229,0.022110264003276824,0.028603503853082655,-0.01774131986312568,633856.0,-35.363192119999994,149.1652957,49919.6,364.4,247.2,-4.2,-94.4,-44.6,-1002.8,24.0,29.2,-16.6,0.0
12:00:37,1500.0,AUTO,633.9059814453125,0.04366091787815094,-0.13615836203098297,0.7092555403709412,-0.016964662075042724,0.02673050630837679,-0.006312780035659671,633906.0,-35.3631275,149.16535086,49970.2,435.6,287.0,-4.0,-114.0,-52.4,-993.6,-15.8,27.6,-5.8,0.0
12:00:50,1500.0,RTL,633.9324951171875,0.002327019232325256,0.006926518733962439,0.6453195810317993,0.34915928542613983,-0.03890986833721399,-0.002769938117126003,633932.5,-35.362911025,149.165534575,49997.25,-16.25,-13.75,0.25,3.25,7.25,-1000.75,345.5,-37.25,-1.75,0.0
12:01:10,1500.0,RTL,633.9299926757812,0.013520926423370837,-0.006642917729914188,0.6284663319587708,0.29620537497103216,0.02575870044529438,-0.0016403993126004935,633930.0,-35.36326388,149.16523382,49995.0,2.0,4.0,0.0,-1.0,0.2,-998.2,289.8,26.6,-1.0,0.0
12:01:16,1500.0,RTL,633.9349975585938,0.008579704163518423,0.0010435471558594145,0.6247563362121582,0.10953365763028462,0.0011567106218232464,-0.0005377330526243895,633935.0,-35.36326196666666,149.16523515,50000.5,-6.5,17.166666666666668,5.166666666666667,-0.16666666666666666,11.5,-979.5,116.33333333333333,2.3333333333333335,-0.3333333333333333,0.0
12:01:38,1500.0,RTL,616.1619750976563,-0.0005319742485880852,0.0012915222439914941,0.6198131203651428,0.523097601532936,-0.001221394632011652,0.006712096743285656,616162.0,-35.36326132,149.16523662,32228.2,-10.0,10.0,97.2,0.8,55.4,-1005.4,545.4,0.2,7.8,0.0
12:01:54,1500.0,RTL,599.9233194986979,0.027719498456766207,-0.005529454288383325,0.6182903448740641,0.44540368393063545,-0.0005485010915435851,0.0016203484265133739,599923.3333333334,-35.36326186666667,149.16523703333334,15988.333333333334,0.5,-4.5,100.16666666666667,-3.3333333333333335,-1.6666666666666667,-988.1666666666666,430.0,1.5,3.5,0.0
12:01:56,1500.0,RTL,597.8966369628906,0.014890253408035884,-0.0017493479729940493,0.6179554561773936,-1.1103396813074748,0.002673679613508284,-0.00017067780330156287,597896.6666666666,-35.3632604,149.16523471666665,13961.0,-13.166666666666666,16.333333333333332,100.0,-1.6666666666666667,-54.833333333333336,-994.8333333333334,-1117.3333333333333,4.166666666666667,1.8333333333333333,0.0
12:01:58,1500.0,RTL,596.3679931640625,0.02971546370536089,-0.0008904021698981524,0.6183659195899963,0.6926931202411651,-0.00017142035067081453,0.006559603847563267,596368.0,-35.36325978,149.16523388000002,12432.2,-22.2,28.4,101.4,0.2,55.8,-1009.4,705.6,1.6,8.4,0.0
12:02:27,1500.0,RTL,589.7799926757813,-0.019926064275205137,0.00046716493379790337,0.6179513096809387,-0.8049374580383301,-0.0034386349841952326,-0.001422068662941456,589780.0,-35.36326266,149.16523862,5843.4,0.8,-4.0,33.4,1.8,-49.6,-986.2,-812.8,-1.0,1.2,0.0
12:02:51,1500.0,RTL,584.7999877929688,0.004552940186113119,0.0004420163400936872,0.6196816802024842,0.0020750755909830334,0.0006644291337579489,0.0006522442679852247,584800.0,-35.3632616,149.16523658,868.2,-8.0,5.0,3.8,0.0,1.2,-1000.0,3.0,3.0,3.0,0.0
