time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,chan4_raw,RTL_ALT
14:38:29.887,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,1,1500,1500.0
14:38:30.089,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:30.292,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:30.498,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:30.704,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:30.906,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:31.109,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:31.311,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:31.516,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:31.723,STABILIZE,-35.3632621,149.1652375,0,-0.0008686122018843889,0.0009395194356329739,0.02468828856945038,6.055115954950452e-05,0.00023429194698110223,0.002000883687287569,0,1,-1000,0,0,1,-1,1,0,1500,1500.0
14:38:31.926,STABILIZE,-35.3632621,149.1652375,0,-0.0011013966286554933,0.0009443658054806292,0.02404426597058773,0.00022792897652834654,0.0001827316009439528,0.0019421674078330398,0,1,-1000,0,0,0,-1,1,0,1500,1500.0
14:38:32.128,STABILIZE,-35.3632621,149.1652375,0,-0.0011049124877899885,0.0009601738420315087,0.023962534964084625,0.00018926471238955855,0.00029507704311981797,0.0017243416514247656,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:32.333,STABILIZE,-35.3632621,149.1652375,0,-0.0011049124877899885,0.0009601738420315087,0.023962534964084625,0.00018926471238955855,0.00029507704311981797,0.0017243416514247656,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:32.535,STABILIZE,-35.3632621,149.1652375,0,-0.0011049124877899885,0.0009601738420315087,0.023962534964084625,0.00018926471238955855,0.00029507704311981797,0.0017243416514247656,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:32.743,STABILIZE,-35.3632621,149.1652375,0,-0.0011049124877899885,0.0009601738420315087,0.023962534964084625,0.00018926471238955855,0.00029507704311981797,0.0017243416514247656,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:32.946,STABILIZE,-35.3632621,149.1652375,0,-0.0011049124877899885,0.0009601738420315087,0.023962534964084625,0.00018926471238955855,0.00029507704311981797,0.0017243416514247656,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:33.151,STABILIZE,-35.3632621,149.1652375,0,-0.0011049124877899885,0.0009601738420315087,0.023962534964084625,0.00018926471238955855,0.00029507704311981797,0.0017243416514247656,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:33.354,STABILIZE,-35.3632621,149.1652375,0,-0.0011049124877899885,0.0009601738420315087,0.023962534964084625,0.00018926471238955855,0.00029507704311981797,0.0017243416514247656,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:33.566,STABILIZE,-35.3632621,149.1652375,0,-0.0011049124877899885,0.0009601738420315087,0.023962534964084625,0.00018926471238955855,0.00029507704311981797,0.0017243416514247656,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:33.768,STABILIZE,-35.3632621,149.1652375,0,-0.0010488748084753752,0.0009695568587630987,0.02372664213180542,0.00023624836467206478,0.00025048182578757405,0.0017979089170694351,0,1,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:33.972,STABILIZE,-35.3632622,149.1652375,0,-0.0009590066620148718,0.0009818061953410506,0.023464247584342957,0.00022137915948405862,0.00016694929217919707,0.0015921536833047867,0,2,-1000,0,0,0,-1,0,-1,1500,1500.0
14:38:34.181,STABILIZE,-35.3632622,149.1652375,0,-0.0009590066620148718,0.0009818061953410506,0.023464247584342957,0.00022137915948405862,0.00016694929217919707,0.0015921536833047867,0,2,-1000,0,0,0,-1,0,-1,1500,1500.0
