,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH
13:38:31.509,3096.0,0.3,0.3,-0.4,0.25
13:38:36.820,2380.0,0.2,0.3,-6.5,0.25
13:38:41.674,104028.0,0.3,0.5,-7.9,0.25
13:38:47.026,54007.0,0.4,0.4,-8.1,0.25
13:38:52.932,12255.0,0.3,0.7,-5.5,0.25
13:38:57.827,198393.0,0.3,0.2,-7.9,0.25
13:39:03.221,21732.0,0.2,0.3,-2.0,0.25
13:39:09.130,44649.0,0.2,0.5,2.4,0.25
13:39:15.092,4759.0,0.2,0.9,-7.8,0.25
13:39:20.994,9722.0,0.7,0.7,-6.6,0.25
13:39:25.977,169647.0,0.2,0.2,-9.8,0.25
13:39:31.334,1252.0,0.2,0.5,-9.2,0.25
13:39:37.214,31651.0,0.2,0.5,-8.4,0.25
13:39:43.093,43787.0,0.2,0.4,-7.6,0.25
13:39:48.808,138616.0,0.5,0.4,-8.7,0.25
13:39:53.736,43196.0,0.4,0.7,-3.7,0.25
13:39:59.159,5748.0,0.2,0.9,-5.5,0.25
13:40:05.072,1666.0,0.3,0.5,0.1,0.25
13:40:10.968,135799.0,0.2,0.4,-3.7,0.25
13:40:15.843,63037.0,0.3,0.7,-7.6,0.25
13:40:21.272,101444.0,0.2,1.5,-9.9,0.25
13:40:26.970,56009.0,0.3,0.2,-7.6,0.25
13:40:31.923,167952.0,0.2,0.3,-6.2,0.25
13:40:37.236,21715.0,0.2,0.9,-8.1,0.25
13:40:43.178,56521.0,0.2,0.2,-8.9,0.25
13:40:49.035,44757.0,0.2,0.9,-2.6,0.25
13:40:54.906,48121.0,0.4,0.5,-8.7,0.25
