time_stamp,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
09:39:06,STABILIZE,0.0,1.0,-1000.0,0.0,0.0,0.0,0.0011617253767326474,0.0015827985480427742,0.026192517951130867,0.0004006775270681828,0.0003077261208090931,0.0023884910624474287,-35.3632621,149.1652375,0.0,-1.0,2.0,1.0,1500.0
09:39:12,STABILIZE,0.0,2.0,-1000.0,0.0,0.0,0.0,-0.0010451646521687508,0.0009551637922413647,0.02316748909652233,0.00013152073370292783,0.0002490612387191504,0.0018065576441586018,-35.3632621,149.1652375,0.0,-1.0,1.0,2.0,1500.0
09:39:20,AUTO,0.0,1.5,-1000.0,0.5,1.0,1.0,-0.0005358565249480307,0.0009882100857794285,0.02138473279774189,0.00022109132260084152,0.00018170912517234683,0.001555328955873847,-35.3632622,149.1652375,2.5,-1.0,1.0,-0.5,136073.5
09:39:22,AUTO,0.0,1.5,-1000.0,0.0,1.0,0.5,-0.0001055734201145242,0.0012551623512990773,0.020953870378434658,0.00025390833616256714,0.0002378753270022571,0.0015228745178319514,-35.3632621,149.1652375,0.0,0.0,0.0,0.0,270647.0
09:39:23,AUTO,0.0,1.25,-1000.0,0.0,0.25,0.0,0.0001308639430135372,0.0015347460866905749,0.020663788076490164,0.00031645737180951983,0.0003028205392183736,0.0014944167050998658,-35.3632621,149.16523742500002,0.0,0.0,0.0,0.0,91903.0
09:39:24,AUTO,0.0,1.0,-1064.5,-1.5,3.0,0.0,0.001954166029463522,0.0009745772767928429,0.02038801647722721,-0.0023242161551024765,0.002962790400488302,0.0015272705350071192,-35.3632621,149.16523745,93.5,0.0,0.0,-35.0,91903.0
09:39:26,AUTO,0.0,-4.5,-1000.5,24.5,1.5,-12.0,0.048663996160030365,-0.005963341798633337,0.005743267480283976,0.02476013940759003,0.0008080312982201576,-0.011381983757019043,-35.363261800000004,149.1652387,2333.5,4.5,26.5,-146.5,144039.5
09:39:28,AUTO,2.0,-1.5,-1001.5,-1.5,-13.0,-17.5,-0.05550646781921387,0.001113644801080227,-0.08744300529360771,-0.0022330395877361298,-0.01413743628654629,-0.01729552331380546,-35.363261,149.1652459,5379.5,-2.5,1.5,-148.0,196176.0
09:39:29,AUTO,-5.5,9.0,-1001.75,61.0,7.75,0.75,-0.03449302422814071,-0.008546680328436196,-0.08970419876277447,0.060602798126637936,0.007660128365387209,0.0014445110864471644,-35.363261224999995,149.165243175,6915.75,-1.0,-50.75,-148.25,271491.0
09:39:30,AUTO,-5.5,10.5,-1003.5,64.5,11.5,3.5,0.02929187286645174,0.0034194389590993524,-0.08785375580191612,0.06445149518549442,0.011386062018573284,0.004257844295352697,-35.363261449999996,149.1652372,8464.0,-3.0,-44.5,-151.0,271491.0
09:39:32,AUTO,2.5,-3.0,-1002.0,-29.0,-4.5,-15.0,-0.004756447393447161,-0.0037277761148288846,-0.09180447086691856,-0.030191995669156313,-0.00529292513965629,-0.015247161034494638,-35.363262399999996,149.16523585,11562.5,-2.5,15.5,-149.0,241449.0
09:39:34,AUTO,-1.0,0.0,-1000.0,12.0,7.0,-19.0,0.004840101231820881,0.0030163484043441713,-0.1376214697957039,0.01221087435260415,0.0069942891132086515,-0.018759232945740223,-35.36326205,149.16523610000002,14677.5,3.0,-5.0,-151.5,211407.0
09:39:35,AUTO,-0.5,0.0,-999.75,1.0,1.0,-12.5,0.009874350856989622,0.006394719472154975,-0.15457619726657867,0.0005093454819871113,0.0007373735716100782,-0.012434212490916252,-35.363261725,149.165235575,16233.25,0.25,-0.25,-151.75,38905.0
09:39:36,AUTO,0.0,0.0,-1000.0,-2.0,0.0,-13.0,0.007305040722712874,0.005548609886318445,-0.16812121868133545,-0.003145000198855996,-0.0006840850110165775,-0.012833822052925825,-35.3632616,149.16523554999998,17790.5,-1.5,4.0,-152.0,38905.0
09:39:38,AUTO,0.5,8.0,-968.5,58.5,-11.5,188.0,-0.014923062175512314,0.009881186299026012,-0.021777339279651642,0.05798354046419263,-0.01196332648396492,0.18920069374144077,-35.3632626,149.16523395000002,20797.0,-22.0,-26.0,-128.5,73963.5
09:39:40,AUTO,0.5,-7.0,-975.5,-40.5,31.0,-2.0,0.029804726131260395,-0.012141579922172241,0.04925411194562912,-0.04165507107973099,0.03033886756747961,-0.0018577500595711172,-35.3632641,149.16523315,22686.5,13.5,34.0,-60.0,109022.0
09:39:41,AUTO,0.25,-8.75,-977.0,-17.5,12.25,-0.5,-0.002950072957901284,0.010846654186025262,0.046811316162347794,-0.01884339819662273,0.012112431926652789,-0.00019609733135439456,-35.363262524999996,149.16523694999998,23185.25,15.5,33.0,-36.75,97204.0
09:39:42,AUTO,1.0,2.0,-948.5,22.5,33.5,-4.5,-0.01965318527072668,0.01796072954311967,0.04311329312622547,0.022213671822100878,0.03263176715699956,-0.0045550246722996235,-35.363261449999996,149.16523945,23418.5,5.0,14.5,-8.5,97204.0
09:39:44,AUTO,8.5,8.0,-1018.0,234.5,2.5,330.0,0.08314945548772812,0.014777254313230515,0.09416340477764606,0.2330908477306366,0.0016158036887645721,0.3299071507062763,-35.363262649999996,149.16524105000002,23214.0,-21.5,40.5,4.5,66891.0
09:39:46,AUTO,-30.5,-30.0,-1010.5,372.5,-1.5,706.5,0.10356821119785309,-0.13800161704421043,1.3928279876708984,0.3718104213476181,-0.0024603726342320442,0.7075304687023163,-35.3632698,149.1652686,23202.5,-66.5,234.0,-2.0,36578.0
