time_stamp,VFR_HUD_alt,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,EK2_ALT_SOURCE
14:13:01,587.9149780273438,AUTO,0.0003356579691171646,0.01105429558083415,-0.0497870072722435,-0.10492575168609619,0.032021443359553814,-0.06278996914625168,587915.0,-35.3632611,149.1652432,3941.5,5.5,45.0,-147.0,3.0,-10.0,-997.0,-104.0,33.0,-63.0,1500.0,0.0
14:13:03,590.97998046875,AUTO,-0.030395727371796966,0.004724141850601882,-0.10562791675329208,0.06282408535480499,0.006832493236288428,-0.00724158831872046,590980.0,-35.36326105,149.16524235,7004.0,-9.0,-52.5,-149.5,-4.5,10.0,-1001.5,63.0,7.0,-7.0,1500.0,0.0
14:13:05,594.0999755859375,AUTO,0.047042474150657654,-0.027440622681751847,-0.06713099218904972,-0.06065528967883438,-0.014319518581032753,0.03456621104851365,594100.0,-35.3632639,149.16523469999998,10122.0,-7.0,12.5,-150.0,2.0,0.5,-995.5,-60.0,-13.5,33.5,1500.0,0.0
14:13:07,597.1849670410156,AUTO,-0.01375842746347189,0.018705930560827255,-0.14556096494197845,0.029499202966690063,0.017419057432562113,-0.04612591490149498,597185.0,-35.3632607,149.1652367,13210.0,17.0,-9.5,-152.5,-5.5,-2.0,-1001.5,29.5,17.5,-46.0,1500.0,0.0
14:13:09,600.3199768066406,AUTO,0.011252796743065119,0.008542129187844694,-0.16526085138320923,-0.010309022385627031,-0.01177139114588499,-0.0006421718280762434,600320.0,-35.3632607,149.16523510000002,16341.5,-13.0,5.5,-152.0,2.0,0.5,-999.5,-9.0,-10.5,-1.0,1500.0,0.0
14:13:11,603.4349670410156,AUTO,-0.0004451854183571413,-0.0018038417620118707,-0.19349195063114166,0.0005598576972261071,0.0024368026643060148,-0.025166044011712074,603435.0,-35.36326205,149.1652363,19459.5,-4.0,4.5,-153.0,0.5,0.0,-1000.0,1.5,2.5,-24.5,1500.0,0.0
14:13:13,606.5649719238281,AUTO,0.0037601531948894262,0.0031938155880197883,-0.24317537248134613,-0.00023191043874248862,0.0012051004741806537,-0.020154833793640137,606565.0,-35.3632621,149.16523645,22587.0,-0.5,2.5,-153.0,0.0,0.0,-1000.0,0.5,2.0,-20.0,1500.0,0.0
14:13:15,609.6849670410156,AUTO,0.0005280593177303672,0.0046427169581875205,-0.26688116788864136,-0.035678766667842865,0.003686134936287999,0.01344577973941341,609685.0,-35.36326215,149.16523665,25708.5,-3.0,1.5,-152.5,0.0,-0.5,-992.5,-34.5,4.5,12.5,1500.0,0.0
14:13:17,612.7949829101562,AUTO,0.004526146163698286,0.0015404056175611913,-0.22001375257968903,-0.005705001298338175,-0.001164579065516591,0.020960348658263683,612795.0,-35.3632624,149.1652371,28818.5,-1.5,7.5,-152.0,0.5,-0.5,-1000.0,-4.0,0.0,20.0,1500.0,0.0
14:13:19,615.9049987792969,AUTO,-0.0008800104260444641,0.0011300715268589556,-0.1838458627462387,0.003626288613304496,-0.001476153323892504,0.015178525354713202,615905.0,-35.3632624,149.16523805,31930.0,0.0,2.5,-153.0,0.0,0.0,-1001.0,4.5,-0.5,14.5,1500.0,0.0
