time_stamp,RTL_ALT,chan4_raw,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
14:07:47,1500.0,1500.0,AUTO,0.0,1.0,-1000.0,0.0,1.0,1.0,-0.0007379879243671894,0.0010384112829342484,0.02044111117720604,0.00019125861581414938,0.00011012837057933211,0.001296676928177476,-35.3632621,149.1652375,15.0,0.0,0.0,0.0
14:07:49,1500.0,1500.0,AUTO,0.0,2.0,-1000.0,0.0,0.0,0.0,-0.00035751686664298177,0.001536856172606349,0.020053373649716377,0.000335320015437901,0.00024482159642502666,0.0013600972015410662,-35.3632621,149.1652375,16.0,0.0,0.0,0.0
14:07:51,1500.0,1500.0,AUTO,0.0,0.0,-1052.0,46.0,-4.0,0.0,0.007654030341655016,0.0011256163707002997,0.01960432343184948,0.045907292515039444,-0.004960692021995783,0.0011014036135748029,-35.3632621,149.1652375,938.0,0.0,1.0,-135.0
14:07:53,1500.0,1500.0,AUTO,5.0,-11.0,-1011.0,-49.0,-86.0,5.0,-0.016155358403921127,0.01089234184473753,-0.04903280362486839,-0.05045695602893829,-0.08738792687654495,0.00579777592793107,-35.363261,149.1652435,3957.0,4.0,50.0,-146.0
14:07:55,1500.0,1500.0,AUTO,-5.0,10.0,-1001.0,66.0,8.0,-17.0,-0.039990346878767014,0.017640292644500732,-0.1324486881494522,0.06587041914463043,0.0076538813300430775,-0.01699046604335308,-35.3632606,149.1652427,7025.0,-18.0,-61.0,-148.0
14:07:57,1500.0,1920.0,AUTO,-4.0,17.0,-1006.0,193.0,127.0,805.0,-0.043482571840286255,-0.027105465531349182,0.5559049844741821,0.1928979903459549,0.12641684710979462,0.8052820563316345,-35.363265,149.1652293,10013.0,17.0,-73.0,-139.0
14:07:59,1500.0,1920.0,AUTO,-6.0,4.0,-1009.0,25.0,-56.0,584.0,-0.09918293356895447,-0.14128778874874115,1.9835941791534424,0.024988753721117973,-0.057566359639167786,0.5845832228660583,-35.3632633,149.1652196,12984.0,20.0,50.0,-142.0
14:08:01,1500.0,1500.0,AUTO,-37.0,0.0,-1019.0,42.0,108.0,-40.0,0.045011088252067566,0.010271372273564339,2.2126684188842773,0.04227842018008232,0.10820706933736801,-0.04050328582525253,-35.3632612,149.1652476,15896.0,-18.0,140.0,-153.0
14:08:03,1500.0,1500.0,AUTO,15.0,-8.0,-990.0,35.0,-44.0,-14.0,0.11124805361032486,0.1028047427535057,2.1504955291748047,0.03494580090045929,-0.045295413583517075,-0.014036577194929123,-35.3632652,149.165256,19069.0,-35.0,-91.0,-143.0
14:08:05,1500.0,1500.0,AUTO,34.5,-29.0,-1037.5,-191.5,-60.0,-21.5,-0.07614514231681824,-0.05959583818912506,2.112760305404663,-0.1712801605463028,-0.03671019524335861,-0.016018018126487732,-35.3632818,149.1652229,21904.0,-122.0,-119.0,-155.0
14:08:07,1500.0,1500.0,AUTO,-11.0,22.0,-989.0,6.0,28.0,16.0,-0.15749937295913696,0.03173399344086647,2.1572320461273193,0.00609293207526207,0.028245138004422188,0.016492623835802078,-35.3632857,149.1652221,25006.0,106.0,73.0,-136.0
14:08:09,1500.0,1167.0,AUTO,1.5,60.5,-1032.0,223.0,-79.5,-83.0,0.09339539706707001,0.06670524924993515,2.164027690887451,0.24575212597846985,-0.1119534820318222,-0.12414015084505081,-35.3632487,149.1652337,27742.0,229.0,-36.0,-147.0
14:08:11,1500.0,1333.5,AUTO,36.5,-1.0,-1005.0,-124.0,-177.5,-503.5,0.1466098129749298,-0.08413736522197723,1.2910237312316895,-0.12288205325603485,-0.17086797952651978,-0.626826822757721,-35.3632414,149.1652117,30681.0,-147.0,-68.0,-129.0
14:08:13,1500.0,1500.0,AUTO,-32.0,-43.5,-1040.0,33.0,179.5,38.5,-0.07440855354070663,-0.038042306900024414,1.128739356994629,0.023503346368670464,0.14940574765205383,0.04395933821797371,-35.36326005,149.16523495,33146.0,22.5,214.5,-136.0
14:08:15,1500.0,1500.0,AUTO,-17.5,7.0,-1001.0,59.5,57.5,-2.0,-0.020403636619448662,0.15573428571224213,1.136711835861206,0.06259775161743164,0.04628920555114746,-0.0010057523613795638,-35.3632451,149.1652638,36487.0,78.0,-27.0,-156.0
14:08:17,1500.0,1500.0,AUTO,46.5,15.5,-1009.5,64.5,-141.0,36.0,0.13082975149154663,0.06594965606927872,1.1435307264328003,0.06387881375849247,-0.14242475479841232,0.03651118651032448,-35.3632488,149.1652378,39185.0,-144.5,-168.5,-131.0
14:08:19,1500.0,1365.0,AUTO,21.5,-41.5,-1031.0,-229.5,8.5,-80.5,-0.07354217767715454,-0.16663487255573273,1.1041911840438843,-0.1844460517168045,0.07830055058002472,-0.13909456133842468,-35.3632872,149.165231,42207.0,-144.0,135.0,-146.0
14:08:21,1500.0,1230.0,AUTO,-44.5,-15.5,-1011.0,-97.5,337.5,-624.5,-0.1280219852924347,-0.08796923607587814,-0.33962687849998474,-0.1294248104095459,0.3712938129901886,-0.6427253484725952,-35.3632769,149.1652357,44956.0,194.0,-139.0,-110.0
14:08:23,1500.0,1500.0,AUTO,-21.5,8.0,-1016.5,128.0,121.0,91.5,0.09496552497148514,0.295210599899292,-1.0288944244384766,0.11610215157270432,0.09904496371746063,0.10144311934709549,-35.3632647,149.16520185000002,47653.5,-52.0,-31.5,-158.5
14:08:25,1500.0,1500.0,AUTO,29.5,-18.5,-934.0,-101.5,202.0,-5.0,-0.17552699148654938,-0.18572652339935303,-1.1071070432662964,-0.10253646969795227,0.20091722160577774,-0.005927128135226667,-35.36326255,149.16523684999999,49927.5,97.0,95.5,-83.0
