time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
00:04:36,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.5,STABILIZE,-0.0008519667899236083,0.0011873205075971782,0.02780576329678297,0.00017355216550640762,0.00020831127767451108,0.002159827039577067,-35.3632622,149.1652375,13.0,-1.0,1.5,1.0
00:04:38,1500.0,0.0,1.0,-1000.0,0.0,0.0,0.0,STABILIZE,-0.0009458228014409542,0.0009778821840882301,0.02689502201974392,0.00022924639051780105,0.00023800646886229515,0.0019829939119517803,-35.3632621,149.1652375,12.0,-1.0,0.0,0.0
00:04:52,1500.0,0.0,1.0,-1000.0,0.0,0.0,1.0,AUTO,-0.0009777566592674702,0.0011389068677090108,0.022434426471590996,0.0002601760788820684,0.00026379997143521905,0.0015428723418153822,-35.3632621,149.1652375,7.0,0.0,0.0,0.0
00:04:54,19548.5,0.0,1.0,-1000.0,1.0,1.0,0.5,AUTO,-0.0005831152084283531,0.001694847596809268,0.021965806372463703,0.0003584916121326387,0.00028009412926621735,0.0014214470866136253,-35.3632621,149.1652375,10.0,0.0,0.0,0.0
00:04:56,37597.0,0.0,-0.5,-1012.0,45.5,-6.5,2.0,AUTO,0.027805828489363194,-0.0018303926917724311,0.02198950108140707,0.04566211439669132,-0.0075912196189165115,0.002893563243560493,-35.363262,149.1652376,1603.5,0.5,8.0,-146.5
00:04:58,37597.0,4.5,-7.5,-1003.0,-37.5,-28.0,-37.5,AUTO,-0.0393667034804821,0.02171051688492298,-0.09045303240418434,-0.03892707731574774,-0.029082859167829156,-0.037911095190793276,-35.363261,149.1652454,4658.0,-4.5,31.0,-149.5
00:04:59,193619.0,0.5,1.75,-1001.75,2.25,-27.25,13.0,AUTO,-0.06646018661558628,-0.013164797405806894,-0.0839703194797039,0.001623355783522129,-0.028127689380198717,0.013608448905870318,-35.363261324999996,149.165246,5813.0,-4.5,-14.75,-149.0
00:05:00,193619.0,-8.0,11.5,-1003.5,65.0,18.0,4.0,AUTO,0.0021610630210489035,-0.006006448762491345,-0.0805639699101448,0.0650089904665947,0.017700144089758396,0.004954115021973848,-35.3632614,149.16523925,7895.0,4.0,-59.5,-151.5
00:05:02,193619.0,5.0,-1.0,-1000.5,-74.5,-43.0,14.0,AUTO,0.016023927833884954,0.009437628905288875,-0.09676237031817436,-0.07549083232879639,-0.044316450133919716,0.014647483360022306,-35.36326185,149.16523469999998,11009.0,-14.0,25.5,-149.0
00:05:04,133516.0,-1.5,0.0,-1000.0,18.0,9.0,-25.0,AUTO,-0.006528171710669994,-0.005453451769426465,-0.12473014742136002,0.0176268657669425,0.00909102475270629,-0.025298425927758217,-35.3632627,149.16523705,14107.5,4.5,-6.0,-152.5
