time_stamp,RTL_ALT,chan4_raw,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
14:07:31,1500.0,1500.0,0.0,2.0,-1000.0,0.0,0.0,0.0,STABILIZE,-35.36326215,149.16523755,0.0,-2.0,1.5,2.5,-0.0003206577675882727,0.001544659724459052,0.026415403932332993,0.00019882764900103211,0.00016093498561531305,0.002197174821048975
14:07:46,1500.0,1500.0,0.0,2.6666666666666665,-998.1666666666666,1.5,0.16666666666666666,0.6666666666666666,AUTO,-35.3632622,149.1652375,0.8333333333333334,-1.0,0.5,-1.0,-0.0010295092361047864,0.0009685360904162129,0.023008027734855812,0.001540107613739868,0.0002581427203646551,0.001605409081093967
14:07:48,1500.0,1500.0,0.0,1.4285714285714286,-1000.0,0.42857142857142855,0.42857142857142855,0.2857142857142857,AUTO,-35.36326212857142,149.16523750000002,6.428571428571429,-0.2857142857142857,0.14285714285714285,-1.0,-0.0009022812924480864,0.0010577758075669408,0.02257169144494193,0.00028351443220994303,0.00026021426310762763,0.001594182220287621
14:07:50,1500.0,1500.0,0.0,1.4,-1000.0,0.6,0.0,0.0,AUTO,-35.3632621,149.1652375,0.0,0.0,1.2,1.8,-4.815617794520222e-05,0.0015076763462275266,0.022057504579424857,0.00030736097833141687,0.00030045148450881244,0.0014822622993960976
14:07:52,1500.0,1500.0,0.0,-0.16666666666666666,-1073.8333333333333,21.666666666666668,-1.1666666666666667,0.8333333333333334,AUTO,-35.36326208333333,149.16523753333334,791.1666666666666,0.16666666666666666,2.8333333333333335,-112.83333333333333,0.010624581986727813,0.0002760138777375687,0.021394079240659874,0.021123084317271907,-0.001789414886540423,0.001714845042442903
14:08:01,1500.0,1500.0,-10.0,-19.5,-999.6666666666666,-25.333333333333332,15.166666666666666,17.0,AUTO,-35.36326353333333,149.16524346666668,14917.166666666666,-38.666666666666664,-108.83333333333333,-138.0,0.018581844633445144,-0.14918155719836554,-2.35550057888031,-0.02606876737748583,0.014741665994127592,0.01778701056415836
14:08:03,1500.0,1500.0,-32.666666666666664,-26.166666666666668,-1013.6666666666666,-22.0,140.0,9.5,AUTO,-35.363279416666664,149.16520976666666,17809.666666666668,-79.5,-132.83333333333334,-157.16666666666666,0.028486338444054127,0.07541527505964041,-2.2816051244735718,-0.022419073308507603,0.13989677528540292,0.010061033147697648
14:08:15,1500.0,1687.3333333333333,6.333333333333333,16.666666666666668,-1003.6666666666666,23.333333333333332,-66.0,765.6666666666666,AUTO,-35.36327645,149.16523625000002,30455.0,-50.5,-43.5,-147.0,-0.044243769720196724,-0.07317693158984184,-0.19230599701404572,0.025297269225120544,-0.06303395703434944,0.7664651274681091
14:08:17,1500.0,1500.0,-13.833333333333334,1.3333333333333333,-999.0,62.0,6.833333333333333,-39.833333333333336,AUTO,-35.36327551666667,149.16522899999998,32723.833333333332,71.16666666666667,-10.833333333333334,-146.33333333333334,0.05756239593029022,-0.11825346201658249,0.23071440060933432,0.061034913485248886,0.006136682505408923,-0.04001155340423187
14:08:19,1500.0,1500.0,-10.166666666666666,-27.666666666666668,-1005.0,-27.0,53.5,-80.5,AUTO,-35.363256566666664,149.16523991666665,35713.833333333336,88.83333333333333,84.5,-153.66666666666666,0.04329791199415922,0.04829335740456978,0.02041731619586547,-0.028322347711461287,0.053251770635445915,-0.08089696491758029
14:08:21,1500.0,1500.0,7.0,-0.3333333333333333,-1000.1666666666666,-44.166666666666664,-23.833333333333332,6.666666666666667,AUTO,-35.3632519,149.1652546,38841.0,-33.333333333333336,2.1666666666666665,-151.16666666666666,-0.10393336042761803,0.047035845617453255,-0.046482362474004425,-0.04544947358469168,-0.025140378158539534,0.006659220710086326
14:08:23,1500.0,1500.0,2.5,32.666666666666664,-1010.5,100.33333333333333,-14.5,16.166666666666668,AUTO,-35.36326378333333,149.16523816666665,41841.666666666664,-88.0,-107.66666666666667,-150.66666666666666,-0.001962790576120218,0.014029207251345118,-0.021005535187820595,0.09968425085147221,-0.015820396908869345,0.01652375313763817
14:08:25,1500.0,1473.8333333333333,12.833333333333334,-8.5,-993.3333333333334,-50.0,-57.0,34.666666666666664,AUTO,-35.36327698333333,149.16523088333335,44974.166666666664,-26.666666666666668,77.83333333333333,-147.5,0.11437190572420756,-0.08456444864471753,0.030044159953831695,-0.051152696212132774,-0.058254703879356384,0.03466423321515322
14:08:27,1500.0,1343.0,-0.5,-16.0,-1001.5,-11.5,26.166666666666668,-844.0,AUTO,-35.3632699,149.1652476333333,47877.333333333336,47.0,-9.0,-145.0,-0.07986632982889812,-0.06702896378313501,-0.9477941940228144,-0.012870619151120385,0.02552431294073661,-0.8448036511739095
14:08:29,1500.0,1473.8333333333333,-1.1666666666666667,-4.833333333333333,-942.1666666666666,63.0,20.666666666666668,-172.83333333333334,AUTO,-35.36326628333334,149.16523743333335,49932.333333333336,6.166666666666667,-30.166666666666668,-51.5,-0.01594380068127066,0.056317473451296486,-2.239379127820333,0.0608044791345795,0.01977943815290928,-0.17371853068470955
14:08:31,1500.0,1500.0,4.166666666666667,-22.833333333333332,-983.1666666666666,-380.6666666666667,-14.666666666666666,15.5,AUTO,-35.36326256666666,149.16523638333334,50163.833333333336,21.166666666666668,4.166666666666667,13.333333333333334,-0.004132349948728613,-0.004999252501875162,-2.1825949350992837,-0.3784459087376793,-0.01570329211729889,0.015375433334459862
