time_stamp,alt,MODE_AUTO,MODE_LOITER,MODE_RTL,MODE_STABILIZE,vx,vy,vz
11:43:51.523,583970,0,0,0,1,-1,1,0
11:43:51.726,583970,0,0,0,1,-1,1,0
11:43:51.931,583970,0,0,0,1,-1,1,0
11:43:52.141,583970,0,0,0,1,-1,1,0
11:43:52.346,583970,0,0,0,1,-1,1,0
11:43:52.551,583970,0,0,0,1,-1,1,0
11:43:52.752,583970,0,0,0,1,-1,1,0
11:43:52.956,583970,0,0,0,1,-1,1,0
11:43:53.167,583970,0,0,0,1,-1,1,0
11:43:53.374,583970,0,0,0,1,-2,0,-3
11:43:53.577,583970,0,0,0,1,-2,0,-3
11:43:53.779,583970,0,0,0,1,-2,0,-3
11:43:53.987,583970,0,0,0,1,-2,0,-3
11:43:54.194,583970,0,0,0,1,-2,0,-3
11:43:54.399,583970,0,0,0,1,-2,0,-3
11:43:54.601,583970,0,0,0,1,-2,0,-3
11:43:54.808,583970,0,0,0,1,-2,0,-3
11:43:55.013,583970,0,0,0,1,-2,0,-3
11:43:55.216,583970,0,0,0,1,-2,0,-3
11:43:55.433,583980,0,0,0,1,-1,0,-2
11:43:55.638,583980,0,0,0,1,-1,1,-1
11:43:55.849,583980,0,0,0,1,-1,1,-1
11:43:56.058,583980,0,0,0,1,-1,1,-1
11:43:56.266,583980,0,0,0,1,-1,1,-1
11:43:56.470,583980,0,0,0,1,-1,1,-1
11:43:56.673,583980,0,0,0,1,-1,1,-1
11:43:56.881,583980,0,0,0,1,-1,1,-1
11:43:57.084,583980,0,0,0,1,-1,1,-1
11:43:57.302,583980,0,0,0,1,-1,2,-1
11:43:58.854,583970,0,0,0,1,-1,2,0
11:43:59.062,583970,0,0,0,1,-1,2,0
11:43:59.274,583970,0,0,0,1,-1,2,0
11:43:59.478,583970,0,0,0,1,-1,2,0
11:43:59.680,583970,0,0,0,1,-1,2,0
11:43:59.886,583970,0,0,0,1,-1,2,0
11:44:00.088,583970,0,0,0,1,-1,2,0
11:44:00.293,583970,0,0,0,1,-1,2,0
11:44:00.499,583970,0,0,0,1,-1,2,0
11:44:00.723,583960,0,0,0,1,-1,2,0
11:44:00.926,583960,0,0,0,1,-1,2,0
11:44:01.136,583960,0,0,0,1,-1,2,0
11:44:01.340,583960,0,0,0,1,-1,2,0
11:44:01.554,583960,0,0,0,1,-1,2,0
11:44:01.765,583960,0,0,0,1,-1,2,0
11:44:01.972,583960,0,0,0,1,-1,2,0
11:44:02.174,583960,0,0,0,1,-1,2,0
11:44:02.379,583960,0,0,0,1,-1,2,0
11:44:02.585,583950,0,0,0,1,-1,1,1
11:44:02.791,583950,0,0,0,1,-1,1,1
11:44:02.994,583950,0,0,0,1,-1,1,1
11:44:03.209,583950,0,0,0,1,-1,1,1
11:44:03.416,583950,0,0,0,1,-1,1,1
11:44:03.618,583950,0,0,0,1,-1,1,1
11:44:03.822,583950,0,0,0,1,-1,1,1
11:44:04.027,583950,0,0,0,1,-1,1,1
11:44:04.237,583950,0,0,0,1,-1,1,1
11:44:04.440,583940,0,0,0,1,-1,1,1
11:44:04.645,583940,0,0,0,1,-1,1,1
11:44:04.847,583940,0,0,0,1,-1,1,1
11:44:05.051,583940,0,0,0,1,-1,1,1
11:44:05.256,583940,0,0,0,1,-1,1,1
11:44:05.459,583940,0,0,0,1,-1,1,1
11:44:05.662,583940,0,0,0,1,-1,1,1
11:44:05.869,583940,0,0,0,1,-1,1,1
11:44:06.075,583940,0,0,0,1,-1,1,1
11:44:06.280,583940,0,0,0,1,-1,1,1
11:44:06.486,583940,0,0,0,1,-1,1,1
11:44:06.690,583940,0,0,0,1,-1,1,1
11:44:06.893,583940,1,0,0,0,-1,1,1
11:44:07.096,583940,1,0,0,0,-1,1,1
11:44:07.298,583940,1,0,0,0,-1,1,1
11:44:07.503,583940,1,0,0,0,-1,1,1
11:44:07.708,583940,1,0,0,0,-1,1,1
11:44:07.910,583940,1,0,0,0,-1,1,1
11:44:08.116,583940,1,0,0,0,-1,1,1
11:44:08.319,583940,1,0,0,0,-1,1,1
11:44:08.525,583940,1,0,0,0,-1,1,1
11:44:08.729,583940,1,0,0,0,-1,1,1
11:44:08.937,583930,1,0,0,0,-1,0,1
11:44:09.143,583930,1,0,0,0,0,0,1
11:44:09.350,583930,1,0,0,0,0,0,1
11:44:09.555,583930,1,0,0,0,0,0,1
11:44:09.760,583930,1,0,0,0,0,0,1
11:44:09.962,583930,1,0,0,0,0,0,1
11:44:10.166,583930,1,0,0,0,0,0,1
11:44:10.370,583930,1,0,0,0,0,0,1
11:44:10.578,583930,1,0,0,0,0,0,1
11:44:10.781,583920,1,0,0,0,0,0,1
11:44:10.988,583920,1,0,0,0,0,0,1
