time_stamp,MODE,chan4_raw,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT
14:27:15,AUTO,1500.0,-35.36326215,149.1652375,0.0,-0.5,0.0,0.0,0.0,1.5,-1000.0,0.5,0.0,0.0,-0.001080990710761398,0.0010052825673483312,0.02058134227991104,0.00023149469052441418,0.00024111787206493318,0.0014481153339147568,1500.0
14:27:19,AUTO,1500.0,-35.3632621,149.1652375,559.5,0.0,0.0,-112.5,0.0,0.0,-1098.5,1.5,1.5,0.0,0.001440281281247735,0.0013202347327023745,0.01983559038490057,0.0007258492987602949,0.001526882711914368,0.0001340271846856922,1500.0
14:27:21,AUTO,1500.0,-35.36326125,149.16524170000002,3512.5,7.5,53.5,-145.0,4.0,-11.0,-999.0,-138.0,44.0,-72.5,0.0197319146245718,0.018210622016340494,-0.03988654166460037,-0.13918551057577133,0.042892830446362495,-0.07280955649912357,1500.0
14:27:23,AUTO,1500.0,-35.3632601,149.16524455,6574.5,-11.5,-49.0,-148.0,-4.0,8.0,-1000.0,60.0,4.5,-32.5,-0.0607940424233675,0.021339803002774715,-0.13095623254776,0.05966443940997124,0.004398218356072903,-0.03309831954538822,1500.0
14:27:25,AUTO,1955.0,-35.363265,149.16523045,9559.0,1.0,-82.0,-138.0,0.0,17.5,-1023.0,152.0,77.0,729.5,-0.06545340828597546,-0.037112160585820675,0.4807288646697998,0.15188411623239517,0.07679371535778046,0.7303909063339233,1500.0
14:27:27,AUTO,1955.0,-35.3632655,149.1652163,12526.5,0.5,20.0,-144.0,3.0,0.0,-998.0,-70.5,-138.0,695.5,-0.10023325309157372,-0.1438029780983925,1.9082359671592712,-0.07177003473043442,-0.138975627720356,0.6960800588130951,1500.0
14:27:29,AUTO,1500.0,-35.363261949999995,149.16524625,15335.0,14.5,170.5,-151.0,-39.5,7.5,-1025.0,71.5,109.5,-37.0,0.03692224156111479,0.0009280159138143063,2.280669927597046,0.07096753269433975,0.10927769169211388,-0.03728555701673031,1500.0
14:27:31,AUTO,1500.0,-35.36326149999999,149.16525895,18515.5,-25.0,-91.0,-142.0,15.5,-5.0,-989.5,39.5,-40.5,-78.0,0.13469593226909637,0.11471790820360184,2.1294223070144653,0.039259880781173706,-0.04142626188695431,-0.0784093588590622,1500.0
14:27:33,AUTO,1500.0,-35.3632796,149.16522685,21305.0,-150.0,-104.5,-150.0,28.0,-34.0,-1031.5,-121.5,38.5,3.0,-0.0494122002273798,-0.05609258823096752,2.112467885017395,-0.12289614230394363,0.03825698792934418,0.0041275061666965485,1500.0
14:27:35,AUTO,1500.0,-35.36329035,149.1652235,24464.5,65.0,42.5,-144.5,-8.0,10.5,-990.5,-8.0,16.5,4.0,-0.14299192279577255,0.041231030598282814,2.1396270990371704,-0.009242282249033451,0.016400962602347136,0.00506241712719202,1500.0
14:27:37,AUTO,1971.0,-35.36325825,149.1652342,27113.5,244.5,33.5,-126.0,18.5,51.5,-1028.5,-6.0,-190.5,714.0,-0.07295778021216393,0.010106510715559125,2.6424816846847534,-0.006568418815732002,-0.1921261101961136,0.7149437963962555,1500.0
14:27:39,AUTO,1971.0,-35.363230349999995,149.1652484,30159.5,-0.5,49.5,-152.0,10.5,12.0,-994.5,46.0,-52.0,723.0,-0.11358125507831573,-0.13387922197580338,-2.194811701774597,0.045789094641804695,-0.0539176594465971,0.72344571352005,1500.0
14:27:41,AUTO,1500.0,-35.3632494,149.16524785000001,33093.0,-141.0,-78.5,-145.0,-38.5,18.0,-1009.0,36.0,135.0,-90.0,0.024836583994328976,-0.07683377899229527,-1.7446566820144653,0.035079481080174446,0.1346331611275673,-0.09049873799085617,1500.0
14:27:43,AUTO,1500.0,-35.3632633,149.1652355,36245.0,23.5,2.0,-153.5,-0.5,-3.0,-990.0,-11.0,-35.0,-17.0,0.09357306361198425,0.11060016974806786,-1.9474725127220154,-0.011977232992649078,-0.03607326187193394,-0.017177503556013107,1500.0
14:27:45,AUTO,1500.0,-35.36325305,149.1652403,39283.0,18.0,12.0,-153.0,7.0,-1.0,-1003.0,-41.5,-47.5,3.5,-0.07198522612452507,-0.05349034629762173,-1.9444575309753418,-0.04314691759645939,-0.04864127188920975,0.00390582880936563,1500.0
14:27:47,AUTO,1500.0,-35.363262399999996,149.1652365,42362.0,-84.0,-41.0,-152.0,-24.5,7.0,-1006.0,56.5,56.5,0.5,0.010714970878325403,-0.02144267875701189,-1.942257046699524,0.055954305455088615,0.05586034990847111,0.00026422574592288584,1500.0
14:27:49,AUTO,1500.0,-35.36326895,149.1652294,45512.5,47.0,-13.5,-150.5,3.0,-8.0,-992.5,-50.5,83.0,-101.0,0.0821177251636982,0.06923822872340679,-1.9638488292694092,-0.05217316746711731,0.08222576789557934,-0.10216889902949333,1500.0
14:27:51,AUTO,1106.0,-35.363253799999995,149.1652378,48380.5,81.0,35.5,-144.5,13.5,18.0,-1000.0,61.0,-253.0,-715.0,0.06530902720987797,-0.06168397702276707,0.016873717308044434,0.060770077630877495,-0.2548269033432007,-0.7159013450145721,1500.0
14:27:53,AUTO,1500.0,-35.363258650000006,149.1652427,50187.0,-51.5,4.5,-28.0,-2.5,-9.0,-960.5,34.5,20.5,51.5,0.024559423327445984,0.0559439305216074,2.206341028213501,0.03271316736936569,0.02044856222346425,0.05107789486646652,1500.0
14:27:55,AUTO,1500.0,-35.3632638,149.16523845,50089.0,19.0,-21.5,18.5,3.0,20.5,-1022.0,664.5,-63.5,33.5,-0.0411288607865572,0.0006246117409318686,2.2202759981155396,0.6652902662754059,-0.0653708167374134,0.03396015055477619,1500.0
