time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,chan4_raw
16:28:18,AUTO,0.02395630404353142,0.14725393056869507,-1.6991892099380492,-0.04455312862992287,-0.005052939546294511,0.012547206203453242,-35.36305058000001,149.16623614,50036.0,519.2,439.8,1.6,154.16666666666666,-29.5,-987.3333333333334,-53.833333333333336,-3.1666666666666665,9.833333333333334,1500.0,1500.0
16:28:20,AUTO,0.028942517936229706,0.14785371720790863,-1.6995347340901692,-0.0064840056002140045,-0.0026447592147936425,0.005090535307923953,-35.362962966666664,149.1663271,50037.5,517.0,435.0,3.0,150.33333333333334,-22.0,-984.3333333333334,-4.666666666666667,-0.8333333333333334,5.833333333333333,1500.0,1500.0
16:28:22,AUTO,0.053633795430262886,0.1415335883696874,-1.5851003328959148,-0.029430975516637165,0.01023322700833281,0.49889994723101455,-35.362852866666664,149.1664415,50016.666666666664,521.0,434.3333333333333,2.0,146.25,-46.0,-990.0,-38.5,3.25,374.0,1500.0,1847.25
16:28:24,AUTO,0.14550279080867767,-0.03367828531190753,-0.11694001903136571,0.019582048058509827,-0.0026220564420024552,0.7242763042449951,-35.3627601,149.16653753333335,50018.333333333336,517.3333333333334,433.6666666666667,2.3333333333333335,-19.0,-141.0,-988.6666666666666,21.666666666666668,-0.6666666666666666,725.0,1500.0,1963.0
16:28:28,AUTO,0.11368751712143421,-0.0994938500225544,0.4461088925600052,-0.013974567176774144,0.03858161735115573,0.0039225742511916906,-35.362577725,149.166724525,50033.25,526.25,438.5,-1.0,-109.2,-119.4,-993.0,1.4,31.2,3.4,1500.0,1500.0
16:28:30,AUTO,0.08718441426753998,0.004306480909387271,0.4556586941083272,-0.06777142733335495,0.037457212805747986,0.023214841571946938,-35.36248336666667,149.16682166666666,50101.0,430.6666666666667,364.6666666666667,1.6666666666666667,-90.75,-106.25,-990.75,77.5,34.75,13.25,1500.0,1500.0
16:28:32,AUTO,0.036215864742795624,0.060487440476814903,0.4583670198917389,-0.2145485281944275,0.01237129264821609,0.019318516366183758,-35.36242073333333,149.1668877,50013.0,256.6666666666667,224.66666666666666,2.0,-52.333333333333336,-87.66666666666667,-1005.0,-217.0,14.333333333333334,20.666666666666668,1500.0,1500.0
16:28:34,AUTO,-0.0851672887802124,0.12012699991464615,0.1773016508668661,0.37268074601888657,-0.024118005763739347,-0.6588749215006828,-35.362393275,149.16691485,49971.0,59.5,25.75,0.0,-12.5,1.25,-1012.75,373.5,-22.0,-656.5,1500.0,1031.0
16:28:36,AUTO,-0.11920914612710476,-0.14727129228413105,-1.3040056228637695,0.021987687796354294,-0.01899407966993749,-0.7288068234920502,-35.36240155,149.1668914,49911.75,-140.5,-223.5,-0.25,-61.75,12.5,-1014.0,23.75,-17.25,-727.0,1500.0,1031.0
16:28:38,AUTO,-0.02297269692644477,-0.20803556591272354,-1.6936913132667542,-0.04219122789800167,-0.01149465306662023,0.02954650903120637,-35.362439099999996,149.166818,49900.25,-261.5,-420.75,-0.75,-110.4,-16.2,-998.8,23.4,-7.4,48.2,1500.0,1500.0
16:28:42,AUTO,0.023082331754267216,-0.1511882320046425,-1.6750186681747437,-0.03340671572368592,-0.03849146328866482,0.0029526023427024484,-35.36256365,149.1665713,50037.5,-354.0,-573.5,-2.5,-150.0,-19.0,-964.5,-31.0,-36.5,4.5,1500.0,1500.0
16:28:44,AUTO,0.01317992266267538,-0.15757366120815278,-1.6731162786483764,0.008325387816876173,-0.0028792522847652436,0.006477102870121598,-35.362615919999996,149.16646744,49983.8,-357.2,-581.8,-0.2,-156.8,-15.8,-992.4,10.6,-1.0,7.6,1500.0,1500.0
16:28:46,AUTO,0.08226033300161362,-0.12901397049427032,-2.13992440700531,-0.04084420297294855,-0.00016318931011483073,-0.8003964424133301,-35.36269345,149.1663144,49996.5,-357.5,-581.0,0.0,-132.0,-81.5,-985.0,-39.0,1.0,-798.0,1500.0,1096.0
16:28:48,AUTO,0.14325126260519028,0.013993710900346438,0.9503200054168701,-0.01866734679788351,0.008665134819845358,-0.7119982639948527,-35.36274223333333,149.16621886666667,50009.666666666664,-361.5,-576.1666666666666,-0.3333333333333333,13.0,-149.66666666666666,-988.0,-15.833333333333334,10.333333333333334,-709.6666666666666,1500.0,1096.0
