time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,chan4_raw
16:26:35,STABILIZE,5.901182582116841e-05,0.0014469313900917768,0.026386318107446034,0.0056675616166709615,0.00031857290499222773,0.0022237219382077456,-35.363262150000004,149.16523755,0.0,-1.75,3.25,2.25,0.0,13.666666666666666,-981.6666666666666,5.666666666666667,0.3333333333333333,0.0,1500.0,1500.0
16:26:49,AUTO,-0.0008984161540865898,0.000976254785200581,0.022002598270773888,0.00028798033599741757,0.0003003980964422226,0.0016020577168092132,-35.3632622,149.1652375,7.0,-1.0,0.0,-2.0,0.0,1.0,-1000.0,0.5,0.5,0.5,1500.0,1500.0
16:26:51,AUTO,-0.0005136123800184578,0.0013038888573646545,0.021545826457440853,0.0003356653905939311,0.0003083798219449818,0.0014648264041170478,-35.3632622,149.1652375,14.0,0.0,0.0,-1.0,0.0,1.0,-1000.0,0.5,0.0,0.5,1500.0,1500.0
16:26:53,AUTO,0.0018761420506052673,-0.0002668810229806695,0.020940707065165043,0.00243525137193501,0.00028516072779893875,0.0015986753860488534,-35.36326215,149.1652375,104.0,0.0,0.0,-47.0,0.0,0.0,-1137.0,3.0,1.0,1.0,1500.0,1500.0
16:26:55,AUTO,0.058038949966430664,-0.00834665005095303,0.02136081364005804,0.0361893605440855,-0.01048815157264471,-0.0022687179734930396,-35.363261800000004,149.16523895,2648.0,5.5,34.0,-147.5,1.0,-5.0,-999.0,36.0,-9.0,-3.0,1500.0,1500.0
16:26:57,AUTO,-0.07215412209431331,0.0033263749598215022,-0.08856228739023209,-0.03332924470305443,0.0005062035440156857,-0.03475353680551052,-35.3632607,149.16524636666668,5500.666666666667,0.6666666666666666,-1.6666666666666667,-148.0,1.25,-3.75,-1001.5,-39.25,-0.25,-35.25,1500.0,1500.0
16:26:59,AUTO,0.024187817548712093,0.020641525896886986,-0.12461807082096736,0.0015366797645886738,0.06409810793896516,-0.13981786475051194,-35.3632623,149.1652363,8592.666666666666,-20.333333333333332,-46.333333333333336,-150.0,-3.6666666666666665,12.0,-989.0,2.0,64.33333333333333,-140.66666666666666,1500.0,1381.3333333333333
16:27:01,AUTO,0.08438534662127495,0.006427773216273636,-1.3139565885066986,-0.02818771917372942,-0.10278274305164814,-0.7294741123914719,-35.3632671,149.165235175,11340.75,7.0,39.75,-139.5,8.25,3.0,-998.0,-27.5,-101.75,-729.5,1500.0,1322.0
16:27:11,AUTO,-0.02484714426100254,0.14069624245166779,-2.2530200481414795,-0.11094743013381958,-0.07389385253190994,0.02210281789302826,-35.3632764,149.1652158,20927.0,110.0,89.0,-132.0,28.0,9.0,-1001.0,-109.0,-73.0,21.0,1500.0,1500.0
16:27:13,AUTO,-0.04347703233361244,-0.09212273359298706,-2.1798641681671143,-0.09089656174182892,-0.07432915270328522,-0.010607821866869926,-35.3632558,149.1652374,23926.0,76.0,46.0,-158.0,24.0,4.0,-1010.0,-89.0,-73.0,-11.0,1500.0,1500.0
16:27:29,AUTO,-0.10023047029972076,0.034255944192409515,-3.0143940448760986,0.309006005525589,0.3412694036960602,0.6726975440979004,-35.3632557,149.1652126,45611.0,-114.0,233.0,-110.0,-54.0,37.0,-1058.0,310.0,342.0,673.0,1500.0,1911.0
16:27:31,AUTO,0.22295111417770386,-0.16643989086151123,-2.229393243789673,0.007227321621030569,-0.4283638298511505,-0.080479197204113,-35.3632605,149.1652646,48439.0,56.0,104.0,-163.0,21.0,26.0,-998.0,8.0,-426.0,-80.0,1500.0,1500.0
16:27:33,AUTO,0.003992751706391573,0.10253571718931198,-2.29742693901062,0.06058561056852341,0.03632098436355591,0.0082054128870368,-35.3632637,149.1652428,50168.0,-30.0,-119.0,-29.0,-17.0,-37.0,-936.0,57.0,38.0,8.0,1500.0,1500.0
16:27:35,AUTO,-0.017032630741596222,0.0009544364875182509,-2.2956933975219727,0.8071565628051758,-0.11829233169555664,0.02475873939692974,-35.3632643,149.1652364,50074.0,27.0,25.0,17.0,3.0,43.0,-1043.0,808.0,-116.0,25.0,1500.0,1500.0
16:27:37,AUTO,0.03579181432723999,-0.08202867209911346,-2.9666965007781982,0.6697258353233337,-0.00822676531970501,-0.7260347604751587,-35.3632727,149.1652473,49949.0,-80.0,4.0,-1.0,-30.0,30.0,-991.0,671.0,-6.0,-725.0,1500.0,1500.0
16:27:42,AUTO,0.07470692073305447,-0.10777729501326878,2.697817246119181,-0.10891043891509374,-0.04770928124586741,-0.4164166748523712,-35.36329396666667,149.16525364999998,49931.0,-196.33333333333334,16.166666666666668,-1.5,-33.666666666666664,-42.333333333333336,-1005.6666666666666,-105.5,-45.666666666666664,-415.8333333333333,1500.0,1390.6666666666667
16:27:44,AUTO,0.1718494494756063,0.03700606695686778,1.3478989899158478,-0.009722807755072912,-0.0007540430718412002,-0.7146462003389994,-35.36335275000001,149.16526755,49891.0,-402.3333333333333,87.5,-1.0,52.5,-78.5,-999.5,-6.833333333333333,1.0,-713.3333333333334,1500.0,1336.0
16:27:46,AUTO,0.10914119829734166,0.15061045934756598,0.7469329138596853,-0.02525035571306944,-0.001536670063311855,0.05487362504936755,-35.36343995,149.16529243333335,49899.166666666664,-572.5,145.5,-6.333333333333333,122.66666666666667,-57.166666666666664,-997.0,-22.333333333333332,0.5,55.333333333333336,1500.0,1500.0
16:27:48,AUTO,0.07780166094501813,0.1309818501273791,0.7644020716349283,-0.019455034441004198,-0.0074015670688822865,-0.0005606367097546657,-35.36355221666667,149.16532525,49999.833333333336,-643.1666666666666,162.66666666666666,-3.8333333333333335,129.16666666666666,-67.66666666666667,-984.8333333333334,-16.0,-4.833333333333333,0.5,1500.0,1500.0
16:27:50,AUTO,0.01866762654390186,0.10162258024017017,0.7635193169116974,-0.08195828646421432,-0.02587977183672289,-0.0025525128100222596,-35.363667516666666,149.16536005,50089.666666666664,-611.0,154.16666666666666,-1.8333333333333333,131.16666666666666,-66.5,-987.6666666666666,-78.33333333333333,-23.166666666666668,-1.6666666666666667,1500.0,1500.0
16:27:52,AUTO,-0.05529513147970041,0.03750531996289889,0.7648700873057047,0.22736477851867676,-0.031316984212026,-0.05009031901136041,-35.36376538333333,149.16538961666666,50097.166666666664,-442.6666666666667,110.33333333333333,4.5,104.5,-30.166666666666668,-1004.5,231.5,-28.666666666666668,-49.5,1500.0,1500.0
16:27:54,AUTO,-0.0976662610967954,-0.07587933354079723,0.775793602069219,-0.42221745662391186,-0.08374881744384766,0.0005958426433304945,-35.3638255,149.1654093666667,50037.0,-182.33333333333334,68.83333333333333,3.8333333333333335,45.0,-45.166666666666664,-1004.6666666666666,-419.6666666666667,-81.16666666666667,1.3333333333333333,1500.0,1500.0
16:27:56,AUTO,-0.17250455915927887,-0.07663920770088832,1.7466503779093425,-0.030001503725846607,-0.05174775173266729,0.7425149778525034,-35.36383165,149.16543169999997,49968.666666666664,138.0,138.5,4.666666666666667,-37.0,10.166666666666666,-1010.0,-28.333333333333332,-49.5,742.8333333333334,1500.0,1993.0
16:27:58,AUTO,-0.18657474468151727,0.07329342265923817,2.9217774073282876,-0.003914435704549153,0.001762624519566695,0.2076005848745505,-35.36378679999999,149.16547963333335,49926.833333333336,351.5,282.5,0.6666666666666666,10.0,103.66666666666667,-998.8333333333334,-1.8333333333333333,3.6666666666666665,208.16666666666666,1500.0,1664.3333333333333
16:28:00,AUTO,-0.18280132114887238,0.05890662595629692,2.930825392405192,0.009722588816657662,-0.021511817661424477,9.343404478083055e-05,-35.36371116666667,149.16555751666667,49933.5,488.6666666666667,396.6666666666667,-3.1666666666666665,15.0,143.0,-996.6666666666666,11.5,-19.333333333333332,1.1666666666666667,1500.0,1500.0
16:28:02,AUTO,-0.15350391219059625,0.016355450653160613,2.9355036417643228,0.024923870339989662,-0.00797249578560392,-9.108664623151223e-05,-35.363618349999996,149.16565151666666,50032.5,532.3333333333334,434.8333333333333,-4.5,15.833333333333334,155.33333333333334,-985.5,26.833333333333332,-5.5,0.5,1500.0,1500.0
16:28:04,AUTO,-0.16471800953149796,0.018292711426814396,2.933098832766215,-0.007452673589189847,-0.0015138504289401074,-0.0009607215082117667,-35.363523316666665,149.16574826666667,50021.666666666664,528.1666666666666,440.8333333333333,3.8333333333333335,16.333333333333332,157.16666666666666,-991.8333333333334,-5.5,0.5,0.0,1500.0,1500.0
16:28:06,AUTO,-0.15681947519381842,0.010245672815168897,2.9444498221079507,0.02660812468578418,0.0013295816024765372,0.09848950085385393,-35.36342776666667,149.16584621666667,50007.333333333336,526.0,445.3333333333333,-0.5,15.666666666666666,155.0,-985.6666666666666,28.5,2.8333333333333335,99.0,1500.0,1516.5
16:28:08,AUTO,-0.08475031082828839,0.12333783383170764,-2.4626758893330893,0.024019189178943634,0.014294777647592127,0.5636475284894308,-35.363333499999996,149.16594365,50003.666666666664,514.0,441.5,0.6666666666666666,125.66666666666667,76.33333333333333,-983.8333333333334,25.666666666666668,16.166666666666668,564.3333333333334,1500.0,1599.0
16:28:10,AUTO,0.035580286445717015,0.1600155159831047,-1.6674753427505493,-0.004003928042948246,-0.0002642575030525525,0.05702442994030813,-35.363240233333336,149.16603956666668,49973.666666666664,519.5,445.6666666666667,-0.16666666666666666,150.16666666666666,-37.333333333333336,-991.0,-2.5,1.6666666666666667,58.166666666666664,1500.0,1516.5
16:28:12,AUTO,0.0243509237964948,0.15180755158265433,-1.6984760562578838,0.01833901337037484,-0.014245615573599935,-0.0037125456146895885,-35.36315031666667,149.16613238333332,50006.5,523.1666666666666,449.0,-0.5,154.5,-27.166666666666668,-987.6666666666666,19.5,-12.166666666666666,-2.1666666666666665,1500.0,1500.0
