time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:04:43,0.0,2.0,-1000.0,0.5,0.0,0.0,1500.0,STABILIZE,-0.00036494489177130163,0.0014933667844161391,0.026682473719120026,0.00010913595906458795,0.0002207876241300255,0.002246713498607278,-35.3632622,149.1652375,0.0,-2.0,1.0,0.0
20:04:47,0.0,1.5,-1000.0,0.25,0.0,0.0,1500.0,STABILIZE,-0.0007695637759752572,0.0009610442211851478,0.024792075157165527,0.0002312028082087636,0.00024233816657215357,0.0019709239713847637,-35.3632621,149.1652374,0.0,-1.0,0.5,-0.5
20:04:49,0.0,1.0,-1000.0,1.0,0.0,0.0,1500.0,STABILIZE,-0.0006751258479198441,0.0009318413067376241,0.024280729237943888,0.0002579288120614365,0.00021712361194659024,0.0018163732893299311,-35.3632621,149.1652374,0.0,-1.0,0.6666666666666666,-0.3333333333333333
20:04:58,0.0,1.0,-1000.0,0.0,1.0,1.0,1500.0,STABILIZE,-0.0007391128650245568,0.0009665127145126462,0.022459402680397034,0.00023008803448950252,0.00026114504241074127,0.00165399470521758,-35.3632622,149.1652375,1.0,-1.0,0.0,-0.5
20:05:01,0.0,1.0,-1000.0,0.0,1.0,0.0,1500.0,AUTO,-3.842601290671155e-05,0.0014102091081440449,0.02173227071762085,0.0003301740507595241,0.0003548732493072748,0.0015339483506977558,-35.3632621,149.1652374,5.0,0.0,0.0,-1.0
20:05:03,0.0,0.6,-1079.2,1.2,0.6,0.4,1500.0,AUTO,0.0013193841994507238,0.0007590300127048976,0.021239340677857398,0.0009140972630120814,6.271814927458764e-05,0.0015619987621903419,-35.3632621,149.16523748,113.8,0.0,0.0,-38.0
20:05:06,4.666666666666667,-8.666666666666666,-1005.0,-56.333333333333336,-22.333333333333332,-39.333333333333336,1500.0,AUTO,-0.03386843887468179,0.015298822584251562,-0.07429268956184387,-0.05737643068035444,-0.023245961715777714,-0.039499009028077126,-35.36326093333333,149.16524470000002,4420.666666666667,0.6666666666666666,37.333333333333336,-147.33333333333334
20:05:10,2.0,-4.0,-1004.0,-50.0,8.0,-23.0,1500.0,AUTO,-0.003464330919086933,-0.0074980296194553375,-0.07892215996980667,-0.050831422209739685,0.007681005634367466,-0.023040693253278732,-35.3632626,149.1652354,11079.0,1.0,23.0,-148.0
20:05:12,-2.0,0.0,-1000.0,17.0,7.0,-22.0,1500.0,AUTO,0.001362473820336163,0.005424944218248129,-0.13708731532096863,0.01696217805147171,0.00637474749237299,-0.021884681656956673,-35.3632618,149.1652362,14034.0,3.0,-7.0,-151.0
20:05:14,0.0,0.0,-1000.0,-5.0,-1.0,-13.0,1500.0,AUTO,0.0074806311167776585,0.005178488325327635,-0.16358590126037598,-0.006250029895454645,-0.0027967672795057297,-0.012663276866078377,-35.3632615,149.1652353,17155.0,-3.0,5.0,-151.0
