time_stamp,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz
21:48:13,1500.0,STABILIZE,-0.0006694747426081449,0.0009648383129388094,0.022986060474067926,0.00021633217693306506,0.0002351205621380359,0.0017046288994606584,0.0,1.3333333333333333,-1000.0,0.3333333333333333,0.3333333333333333,0.0,-35.3632621,149.1652375,0.0,-1.0,1.0,0.0
21:48:16,1500.0,STABILIZE,-0.000525794574059546,0.0009823563741520047,0.02234555222094059,0.00018932431703433394,0.0003838707343675196,0.0015961243771016598,0.0,1.0,-1000.0,0.0,0.0,0.5,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
21:48:18,1500.0,STABILIZE,-0.0006127486897942921,0.000972968254548808,0.022008424624800682,0.00032817182363942266,0.00021679623750969768,0.0015398013250281413,0.0,1.3333333333333333,-1000.0,0.6666666666666666,0.0,0.3333333333333333,-35.3632622,149.1652375,0.0,-1.0,1.0,0.0
21:48:21,1500.0,STABILIZE,-0.0006612809665966779,0.0009747350413817912,0.021473927423357964,0.00029760439065285027,0.00032533405465073884,0.0016143209068104625,0.0,1.0,-1000.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,-35.3632622,149.1652375,0.0,-1.0,2.0,1.0
21:48:24,1500.0,AUTO,-0.0009863927197228703,0.0010006959782913327,0.020995931492911443,0.000268215695137365,0.00025697148844806687,0.0014577405785934792,0.0,1.5,-1000.0,0.5,0.4,0.3,-35.36326215555555,149.1652375,0.1111111111111111,-0.6666666666666666,1.0,1.3333333333333333
21:48:27,1500.0,AUTO,-0.0008047915995121002,0.001379669876769185,0.02064901255071163,0.00025875362334772947,0.0002934296033345163,0.0013833914184942842,0.0,1.2,-1000.0,0.2,0.4,0.4,-35.3632621,149.1652374,9.8,0.0,-0.8,-1.0
21:48:30,1500.0,AUTO,0.001995138688168178,0.000742744574987834,0.02020315546542406,0.009487777890171856,-0.001373066760910054,0.001161079853773117,0.0,0.0,-1091.6666666666667,10.0,-0.5,0.5,-35.36326209999999,149.16523748333333,379.5,0.0,0.0,-76.33333333333333
21:48:33,1500.0,AUTO,0.0392906703442956,0.00201354396995157,-0.004446044409026702,-0.02971899261077245,0.015773799115171034,-0.035196649531523384,1.3333333333333333,-6.333333333333333,-999.3333333333334,-29.166666666666668,16.0,-35.666666666666664,-35.36326165,149.16523949999998,2769.5,5.333333333333333,35.333333333333336,-147.33333333333334
21:48:36,1500.0,AUTO,-0.07179982960224152,-0.004460730473510921,-0.08753157407045364,-0.014760691362122694,-0.017137986995900672,-0.008714472719778618,1.0,-1.0,-1001.0,-25.5,-17.75,-12.5,-35.36326093333333,149.16524626666668,5726.0,-2.0,-8.666666666666666,-148.66666666666666
21:48:41,1500.0,AUTO,0.006073701868040694,0.0027644041175436643,-0.23286827239725325,0.007527051765161256,-0.0012398378134498165,0.023113440515266523,0.0,0.1,-1000.4,7.5,0.6,21.0,-35.36326224,149.16523656,27285.8,-3.1,2.9,-152.4
21:48:53,1500.0,BRAKE,0.0012857322581112385,0.0013777515850961208,-0.10365378856658936,0.0015988897066563368,-0.0006094073760323226,0.005892093293368816,0.0,0.0,-1001.0,2.0,0.0,5.0,-35.363262,149.1652373,43310.0,-1.0,1.0,-153.0
21:49:04,1500.0,AUTO,0.036885324865579605,0.00024396258231718093,0.13754072785377502,1.7691913843154907,0.0056684971787035465,-0.003930544015020132,2.0,73.0,-1031.0,1768.0,6.0,-3.0,-35.3632637,149.1652293,40374.0,-18.0,0.0,171.0
21:49:08,1500.0,AUTO,0.023971065878868103,-0.011837781872600317,0.12798282504081726,1.2468770146369934,-0.0004722436424344778,-0.002758751157671213,5.5,63.0,-1192.5,1251.0,0.5,-2.5,-35.36326495,149.16522824999998,39064.5,-11.5,6.5,98.5
21:49:24,1500.0,AUTO,0.06398678943514824,-0.04383932100608945,0.06551233120262623,0.22335938550531864,-0.03831173526123166,0.0898737351235468,0.5,-17.5,-1019.5,220.0,-37.0,90.75,-35.3632646,149.16523095000002,50020.25,14.25,36.0,6.0
21:49:31,1500.0,AUTO,0.060344056536753975,-0.1818344642718633,1.0398117303848267,0.026104316115379333,0.02427666572233041,-0.0033395192391859987,-117.0,-65.0,-999.3333333333334,28.0,24.666666666666668,-2.0,-35.36318273333334,149.16538783333337,49900.333333333336,327.6666666666667,493.3333333333333,-3.3333333333333335
21:50:08,1500.0,BRAKE,0.0063089692499488596,0.012467379495501519,1.0287072896957397,-0.6278509259223938,-0.004578556353226304,0.00628622891381383,-2.2,-14.0,-1007.8,-622.6,-2.4,7.8,-35.3624117,149.16687267999998,49997.0,-2.8,3.6,-0.4
21:50:14,1500.0,ALT_HOLD,0.024224205873906612,0.005646505975164473,1.0271992981433868,0.36636025831103325,-0.0007680659764446318,0.0009955590358003974,-0.75,0.0,-1006.75,363.75,1.25,2.5,-35.362410975,149.166872625,49995.5,-12.0,-0.25,-0.25
21:50:37,1500.0,ALT_HOLD,0.017742651514708996,0.0016038266476243734,1.0253481268882751,0.3215978890657425,0.0010013397550210357,0.039659928530454636,-10.0,-70.66666666666667,-990.3333333333334,-555.3333333333334,5.333333333333333,33.0,-35.362383550000004,149.16687124999999,20276.5,-2.0,57.0,170.0
